1311_134176_000000_000000	CHAPTER 14	CHAPTER fourteen	false	1.74	3.15	18
1311_134176_000001_000000	STAR SURGEON	STAR SURGEON	false	3.15	30.075	19.208378
1311_134176_000002_000000	It was amazing to Dal Timgar just how good it seemed to be back on Hospital Earth again.	It was amazing to Dal Timgar just how good it seemed to be back on Hospital Earth again.	true	30.075	35.8	15
1311_134176_000003_000000	In the time he had been away as a crewman of the _Lancet_, the seasons had changed, and the port of Philadelphia lay under the steaming summer sun.	In the time he had been away as a crewman of the underscore Lancet underscore, the seasons had changed, and the port of Philadelphia lay under the steaming summer sun	false	36.23	45.55	18
1311_134176_000003_000001	As Dal stepped off the shuttle ship to join the hurrying crowds in the great space-port, it seemed almost as though he were coming home.	As Dal stepped off the shuttle ship to join the hurrying crowds in the great space port, it seemed almost as though he were coming home.	true	46.07	54.94	17
1311_134176_000004_000000	He thought for a moment of the night not so long before when he had waited here for the shuttle to Hospital Seattle, to attend the meeting of the medical training council.	He thought for a moment of the night not so long before when he had waited here for the shuttle to Hospital Seattle, to attend the meeting of the medical training council.	true	55.73	65.98	19
1311_134176_000004_000001	He had worn no uniform then, not even the collar and cuff of the probationary physician, and he remembered his despair that night when he had thought that his career as a physician from Hospital Earth was at an end.	He had worn no uniform then, not even the collar and cuff of the probationary physician, and he remembered his despair that night when he had thought that his career as a physician from Hospital Earth was at an end.	true	66.89	80.41	18.425632
1311_134176_000005_000000	Now he was returning by shuttle from Hospital Seattle to the port of Philadelphia again, completing the cycle that had been started many months before.	Now he was returning by shuttle from Hospital Seattle to the port of Philadelphia again, completing the cycle that had been started many months before.	true	81.23	90.73	17
1311_134176_000005_000001	But things were different now.	But things were different now.	true	91.31	93.01	21.733644
1311_134176_000005_000002	The scarlet cape of the Red Service of Surgery hung from his slender shoulders now, and the light of the station room caught the polished silver emblem on his collar.	The scarlet cape of the Red Service of Surgery hung from his slender shoulders now, and the light of the station room caught the polished silver emblem on his collar.	true	93.62	104.17	19.903042
1311_134176_000005_000003	It was a tiny bit of metal, but its significance was enormous. It announced to the world Dal Timgar's final and permanent acceptance as a physician; but more, it symbolized the far-reaching distances he had already traveled, and would travel again, in the service of Hospital Earth.	It was a tiny bit of metal, but its significance was enormous. It announced to the world Dal Timgar's final and permanent acceptance as a physician; but more, it symbolized the far reaching distances he had already traveled, and would travel again, in the service of Hospital Earth.	true	104.75	125.47	18.78565
1311_134176_000006_000000	It was the silver star of the Star Surgeon.	It was the silver star of the Star Surgeon.	true	126.17	129.49	18
1311_134176_000007_000000	The week just past had been both exciting and confusing.	The week just past had been both exciting and confusing.	true	130.97	134.92	17
1311_134176_000007_000001	The hospital ship had arrived five hours after Black Doctor Hugo Tanner had recovered from his anaesthesia, moving in on the _Lancet_ in frantic haste and starting the shipment of special surgical supplies, anaesthetics and maintenance equipment across in lifeboats almost before contact had been stabilized.	The hospital ship had arrived five hours after Black Doctor Hugo Tanner had recovered from his anaesthesia, moving in on the underscore Lancet underscore in frantic haste and starting the shipment of special surgical supplies, anaesthetics and maintenance equipment across in lifeboats almost before contact had been stabilized.	false	135.41	155.71	17
1311_134176_000007_000002	A large passenger boat hurtled away from the hospital ship's side, carrying a pair of Four-star surgeons, half a dozen Three-star Surgeons, two Radiologists, two Internists, a dozen nurses and another Four-star Black Doctor across to the _Lancet_; and when they arrived at the patrol ship's entrance lock, they discovered that their haste had been in vain.	A large passenger boat hurtled away from the hospital ship's side, carrying a pair of Four star surgeons, half a dozen Three star Surgeons, two Radiologists, two Internists, a dozen nurses and another Four star Black Doctor across to the underscore Lancet underscore; and when they arrived at the patrol ship's entrance lock, they discovered that their haste had been in vain.	false	156.32	179.29	17
1311_134176_000008_000000	It was like Grand Rounds in the general wards of Hospital Philadelphia, with the Four-star Surgeons in the lead as they tramped aboard the patrol ship.	It was like Grand Rounds in the general wards of Hospital Philadelphia, with the Four star Surgeons in the lead as they tramped aboard the patrol ship.	true	180.11	189.49	15
1311_134176_000008_000001	They found Black Doctor Tanner sitting quietly at his bedside reading a journal of pathology and taking notes.	They found Black Doctor Tanner sitting quietly at his bedside reading a journal of pathology and taking notes.	true	189.74	196.51	13
1311_134176_000008_000002	He glared up at them when they burst in the door without even knocking.	He glared up at them when they burst in the door without even knocking.	true	196.88	200.8	15
1311_134176_000009_000000	"But are you feeling well, sir?" the chief surgeon asked him for the third time.	"But are you feeling well, sir?" the chief surgeon asked him for the third time.	true	201.89	206.92	18
1311_134176_000010_000000	"Of course I'm feeling well.	"Of course I'm feeling well.	true	207.08	209.14	19.570557
1311_134176_000010_000001	Do you think I'd be sitting here if I weren't?" the Black Doctor growled.	Do you think I'd be sitting here if I weren't?" the Black Doctor growled.	true	209.15	213.46	13
1311_134176_000010_000002	"Dr. Timgar is my surgeon and the physician in charge of this case.	"dr Timgar is my surgeon and the physician in charge of this case.	false	213.62	217.66	13
1311_134176_000010_000003	Talk to him.	Talk to him.	true	217.73	218.955	18.395096
1311_134176_000010_000004	He can give you all the details of the matter."	He can give you all the details of the matter."	true	218.955	221.59	11
1311_134176_000011_000000	"You mean you permitted a probationary physician to perform this kind of surgery?"	"You mean you permitted a probationary physician to perform this kind of surgery?"	true	222.32	226.39	13
1311_134176_000011_000001	The Four-star Surgeon cried incredulously.	The Four star Surgeon cried incredulously.	true	226.46	229.15	13
1311_134176_000012_000000	"I did not!" the Black Doctor snapped.	"I did not!" the Black Doctor snapped.	true	229.61	233.05	21.091396
1311_134176_000012_000001	"He had to drag me kicking and screaming into the operating room.	"He had to drag me kicking and screaming into the operating room.	true	233.21	237.43	12
1311_134176_000012_000002	But fortunately for me, this particular probationary physician had the courage of his convictions, as well as wit enough to realize that I would not survive if he waited for you to gather your army together.	But fortunately for me, this particular probationary physician had the courage of his convictions, as well as wit enough to realize that I would not survive if he waited for you to gather your army together.	true	237.56	252.04	15
1311_134176_000012_000003	But I think you will find the surgery was handled with excellent skill.	But I think you will find the surgery was handled with excellent skill.	true	252.41	256.39	14
1311_134176_000012_000004	Again, I must refer you to Dr. Timgar for the details.	Again, I must refer you to dr Timgar for the details.	true	256.49	260.265	17
1311_134176_000012_000005	I was not paying attention to the technique of the surgery, I assure you."	I was not paying attention to the technique of the surgery, I assure you."	false	260.265	264.64	14
1311_134176_000013_000000	"But sir," the chief surgeon broke in, "how could there have been surgery of any sort here?	"But sir," the chief surgeon broke in, "how could there have been surgery of any sort here?	true	265.19	270.46	16
1311_134176_000013_000001	The dispatch that came to us listed the _Lancet_ as a plague ship--"	The dispatch that came to us listed the underscore Lancet underscore as a plague ship-"	false	270.62	274.29	17
1311_134176_000014_000000	"_Plague ship!_" the Black Doctor exploded.	"underscore Plague ship!underscore" the Black Doctor exploded.	false	274.29	277.59	18.6397
1311_134176_000014_000001	"Oh, yes.	"Oh, yes.	false	277.59	278.52	23.163427
1311_134176_000014_000002	Egad! I--hum!--imagine that the dispatcher must have gotten his signals mixed somehow.	Egad! I-hum!--imagine that the dispatcher must have gotten his signals mixed somehow.	false	278.52	284.35	12
1311_134176_000014_000003	Well, I suppose you want to examine me.	Well, I suppose you want to examine me.	true	285.17	287.91	11
1311_134176_000014_000004	Let's have it over with."	Let's have it over with."	true	287.91	289.6	12
1311_134176_000015_000000	The doctors examined him within an inch of his life.	The doctors examined him within an inch of his life.	true	290.48	294.16	18
1311_134176_000015_000001	They exhausted every means of physical, laboratory and radiological examination short of re-opening his chest and looking in, and at last the chief surgeon was forced reluctantly to admit that there was nothing left for him to do but provide post-operative follow-up care for the irascible old man.	They exhausted every means of physical, laboratory and radiological examination short of re-opening his chest and looking in, and at last the chief surgeon was forced reluctantly to admit that there was nothing left for him to do but provide post operative follow-up care for the irascible old man.	true	294.17	312.58	14
