64_76973_000001_000000	CHAPTER XIX	CHAPTER nineteen
64_76973_000002_000000	GRIT WINS THE BATTLE	GRIT WINS THE BATTLE
64_76973_000003_000000	The lad appeared to strike the ground head-on.	The lad appeared to strike the ground head on.
64_76973_000004_000000	"Are you hurt?" asked Big-foot, running to the boy and reaching out to assist him.	"Are you hurt?" asked Big foot, running to the boy and reaching out to assist him.
64_76973_000005_000000	"I guess not," answered Tad, rubbing the sand from his eyes and blinking vigorously.	"I guess not," answered Tad, rubbing the sand from his eyes and blinking vigorously.
64_76973_000006_000000	The skin had been scraped from his face in spots where the coarse sand had ground its way through.	The skin had been scraped from his face in spots where the coarse sand had ground its way through.
64_76973_000006_000001	His hair was filled with the dirt of the plain, and his clothes were torn.	His hair was filled with the dirt of the plain, and his clothes were torn.
64_76973_000008_000001	You can't ride that critter!"	You can't ride that critter!"
64_76973_000009_000000	"I'll ride him--if he kills me!" answered the boy, his jaws setting stubbornly.	"I'll ride him-if he kills me!" answered the boy, his jaws setting stubbornly.
64_76973_000010_000000	Tad hitched his belt tighter before making any move to approach the pony, which Stallings was now holding by main force.	Tad hitched his belt tighter before making any move to approach the pony, which Stallings was now holding by main force.
64_76973_000010_000001	While doing so, the lad watched the animal's buckings observantly.	While doing so, the lad watched the animal's buckings observantly.
64_76973_000012_000000	"Foot slipped out of the stirrup."	"Foot slipped out of the stirrup."
64_76973_000013_000000	"Think you can make it?"	"Think you can make it?"
64_76973_000014_000000	"I'll try it, if you have the time to spare."	"I'll try it, if you have the time to spare."
64_76973_000015_000000	"It takes time to break a bronch.	"It takes time to break a bronch.
64_76973_000015_000001	Don't you worry about that.	Don't you worry about that.
64_76973_000015_000002	I don't want you to be breaking your neck, however."	I don't want you to be breaking your neck, however."
64_76973_000016_000000	"My advice is that you keep off that animal," declared Professor Zepplin.	"My advice is that you keep off that animal," declared Professor Zepplin.
64_76973_000016_000001	"You cannot manage him; that is plain."	"You cannot manage him; that is plain."
64_76973_000017_000000	"Please do not say that, Professor.	"Please do not say that, Professor.
64_76973_000017_000001	I must ride him now.	I must ride him now.
64_76973_000017_000002	You wouldn't have me be a coward, would you?"	You wouldn't have me be a coward, would you?"
64_76973_000018_000000	Stallings, realizing the boy's position, nodded slightly to the Professor.	Stallings, realizing the boy's position, nodded slightly to the Professor.
64_76973_000019_000000	"Very well, if Mr. Stallings thinks it is safe," agreed Professor Zepplin reluctantly.	"Very well, if mr Stallings thinks it is safe," agreed Professor Zepplin reluctantly.
64_76973_000020_000000	Tad's face lighted up with a satisfied smile.	Tad's face lighted up with a satisfied smile.
64_76973_000021_000000	"Whoa, boy," he soothed, patting the animal gently on the neck.	"Whoa, boy," he soothed, patting the animal gently on the neck.
64_76973_000022_000001	Once more Tad petted him.	Once more Tad petted him.
64_76973_000023_000002	Don't know enough to know when he's well off.	Don't know enough to know when he's well off.
64_76973_000023_000003	Got your spurs on?"	Got your spurs on?"
64_76973_000024_000000	"Yes."	"Yes."
64_76973_000026_000000	Tad shook his head.	Tad shook his head.
64_76973_000028_000000	"Will you please coil up the stake rope and fasten it to the horn, Mr. Stallings?" asked Tad.	"Will you please coil up the stake rope and fasten it to the horn, mr Stallings?" asked Tad.
64_76973_000028_000001	"I don't want to get tangled up with that thing."	"I don't want to get tangled up with that thing."
64_76973_000029_000000	"Yes, if you are sure you can stick on him."	"Yes, if you are sure you can stick on him."
64_76973_000030_000000	"Leave that to me.	"Leave that to me.
64_76973_000030_000001	I know his tricks now."	I know his tricks now."
64_76973_000031_000000	Cautiously the rope was coiled and made fast to the saddle horn.	Cautiously the rope was coiled and made fast to the saddle horn.
64_76973_000032_000000	"I'm coming," said Tad in a quiet, tense voice.	"I'm coming," said Tad in a quiet, tense voice.
64_76973_000034_000000	The lad darted forward, running on his toes, his eyes fixed on the saddle.	The lad darted forward, running on his toes, his eyes fixed on the saddle.
64_76973_000035_000000	Tad gave no heed to the pony.	Tad gave no heed to the pony.
64_76973_000035_000001	It was that heavy bobbing saddle that he must safely make before the pony itself would enter into his considerations.	It was that heavy bobbing saddle that he must safely make before the pony itself would enter into his considerations.
64_76973_000036_000000	Lightly touching the saddle, he bounded into it, at the same time shoving both feet forward.	Lightly touching the saddle, he bounded into it, at the same time shoving both feet forward.
