7704_106965_000002_000000	TEDDY'S BUTTON	TEDDY'S BUTTON
7704_106965_000006_000000	CHAPTER I	CHAPTER one
7704_106965_000007_000000	An Antagonist	An Antagonist
7704_106965_000008_000000	He stood in the centre of a little crowd of village boys; his golden head was bare in the blazing sun, but the crop of curls seemed thick enough to protect him from its rays, and he was far too engrossed in his occupation to heed any discomfort from the heat.	He stood in the centre of a little crowd of village boys; his golden head was bare in the blazing sun, but the crop of curls seemed thick enough to protect him from its rays, and he was far too engrossed in his occupation to heed any discomfort from the heat.
7704_106965_000009_000001	They were dancing and flashing with excitement now, and his whole frame was quivering with enthusiasm; with head thrown back, and tongue, hand, and foot all in motion, he seemed to have his audience completely spell-bound, and they listened with open eyes and mouths to his oration.	They were dancing and flashing with excitement now, and his whole frame was quivering with enthusiasm; with head thrown back, and tongue, hand, and foot all in motion, he seemed to have his audience completely spell bound, and they listened with open eyes and mouths to his oration.
7704_106965_000010_000000	With one hand he was fingering a large brass button, which figured conspicuously in the centre of his small waistcoat, and this button was the subject of his theme.	With one hand he was fingering a large brass button, which figured conspicuously in the centre of his small waistcoat, and this button was the subject of his theme.
7704_106965_000011_000002	My father drew his sword--and no one could stand against him, no one!	My father drew his sword-and no one could stand against him, no one!
7704_106965_000011_000003	He cut and he slashed, and heads and arms and legs rolled off as quick as lightning, one after the other.	He cut and he slashed, and heads and arms and legs rolled off as quick as lightning, one after the other.
7704_106965_000011_000004	He got up to the colours, and with a shout he plunged his sword right through the enemy's body that had stolen them!	He got up to the colours, and with a shout he plunged his sword right through the enemy's body that had stolen them!
7704_106965_000011_000005	The enemy fell stone dead.	The enemy fell stone dead.
7704_106965_000011_000007	He was alone! The other soldiers had been beaten back.	He was alone! The other soldiers had been beaten back.
7704_106965_000011_000008	But was he in a funk?	But was he in a funk?
7704_106965_000011_000009	No; he gave a loud "Hurrah!" picked up his sword, and fought his way back, the enemy hard after him.	No; he gave a loud "Hurrah!" picked up his sword, and fought his way back, the enemy hard after him.
7704_106965_000011_000010	It was a race for life, and he ran backwards the whole way; he wasn't going to turn his back to the enemy.	It was a race for life, and he ran backwards the whole way; he wasn't going to turn his back to the enemy.
7704_106965_000011_000011	He pressed on, shouting "Hurrah!" till he got to his own side again, and then he reached his colonel.	He pressed on, shouting "Hurrah!" till he got to his own side again, and then he reached his colonel.
7704_106965_000013_000000	The little orator paused as he sank his voice to a tragic whisper, then raising it again, he added triumphantly, 'And thirty bullets and six swords had gone through my father's body!	The little orator paused as he sank his voice to a tragic whisper, then raising it again, he added triumphantly, 'And thirty bullets and six swords had gone through my father's body!
7704_106965_000013_000001	That was something like a soldier!'	That was something like a soldier!'
7704_106965_000014_000000	'Oh, I say!' murmured a small sceptic from the crowd, 'it was twenty bullets last time; make it fifty, Teddy!'	'Oh, I say!' murmured a small sceptic from the crowd, 'it was twenty bullets last time; make it fifty, Teddy!'
7704_106965_000015_000000	'And that's the story of my button,' pursued the boy, ignoring with scorn this last remark.	'And that's the story of my button,' pursued the boy, ignoring with scorn this last remark.
7704_106965_000016_000000	'And did your father have only one button to his coat?'	'And did your father have only one button to his coat?'
7704_106965_000017_000001	She was not dressed as an ordinary village child, but in a little rough serge sailor suit, with a large hat to match, set well back on a quantity of loose dark hair.	She was not dressed as an ordinary village child, but in a little rough serge sailor suit, with a large hat to match, set well back on a quantity of loose dark hair.
7704_106965_000017_000002	A rosy-cheeked square-set little figure she was, and her brown eyes, fringed with long black lashes, looked straight at Teddy with something of defiance and scorn in their glance.	A rosy cheeked square set little figure she was, and her brown eyes, fringed with long black lashes, looked straight at Teddy with something of defiance and scorn in their glance.
7704_106965_000020_000000	There was a round of applause at this, but the small maiden remained undaunted.	There was a round of applause at this, but the small maiden remained undaunted.
7704_106965_000021_000000	'Is that a true story you told?' she demanded, with severity in her tone.	'Is that a true story you told?' she demanded, with severity in her tone.
7704_106965_000022_000000	'Of course it's true,' was the indignant shout of all.	'Of course it's true,' was the indignant shout of all.
7704_106965_000023_000000	'Then I tell you, boy, I don't believe a word of it!' And with set determined lips she turned on her heel and walked away, having sown seeds of anger and resentment in more than one boyish breast.	'Then I tell you, boy, I don't believe a word of it!' And with set determined lips she turned on her heel and walked away, having sown seeds of anger and resentment in more than one boyish breast.
7704_106965_000024_000000	'Who is she?' asked Teddy as, tired and exhausted by his recital, he threw himself on the grass to rest.	'Who is she?' asked Teddy as, tired and exhausted by his recital, he threw himself on the grass to rest.
7704_106965_000024_000001	One of the bigger boys answered him.	One of the bigger boys answered him.
7704_106965_000025_000000	'I seed her come yesterday in a cab from the town to old Sol at the turnpike--she and her mother, I reckon.	'I seed her come yesterday in a cab from the town to old Sol at the turnpike-she and her mother, I reckon.
7704_106965_000025_000001	They had two carpet bags and a box and a poll parrot in a cage.	They had two carpet bags and a box and a poll parrot in a cage.
7704_106965_000028_000000	'She didn't believe me,' murmured Teddy, chewing a wisp of grass meditatively.	'She didn't believe me,' murmured Teddy, chewing a wisp of grass meditatively.
7704_106965_000029_000000	'Gals is no good, never!	'Gals is no good, never!
7704_106965_000030_000000	Teddy turned his face upwards to the speaker.	Teddy turned his face upwards to the speaker.
7704_106965_000030_000001	'No, I couldn't have fought her, Sam, if she'd been a boy.	'No, I couldn't have fought her, Sam, if she'd been a boy.
7704_106965_000030_000002	I've promised my mother I won't fight again till she gives me leave.	I've promised my mother I won't fight again till she gives me leave.
7704_106965_000030_000003	You see, I fought four boys in one week last time, and she says she won't have it.	You see, I fought four boys in one week last time, and she says she won't have it.
