7704_106965_000000_000000	TEDDY'S BUTTON ***	TEDDY'S BUTTON asterisk asterisk asterisk	false	1.65	3.57	26.695282
7704_106965_000001_000000	Produced by Joel Erickson, Michael Ciesielski, Mary Meehan and the Online Distributed Proofreading Team.	Produced by joel Erickson, Michael Ciesielski, Mary Meehan and the Online Distributed Proofreading Team.	false	3.57	15.57	23.88329
7704_106965_000002_000000	TEDDY'S BUTTON	TEDDY'S BUTTON	true	15.57	16.38	26.938305
7704_106965_000003_000000	By AMY LE FEUVRE	By AMY LE f e u v r e	false	16.38	17.28	16.303734
7704_106965_000004_000000	Author of 'Probable Sons,' 'Eric's Good News,' etc.	Author of 'Probable Sons,' 'Eric's Good News,' etc	false	17.28	17.7	13
7704_106965_000005_000000	1896	eighteen ninety six	false	17.7	17.88	14
7704_106965_000006_000000	CHAPTER I	CHAPTER one	true	17.88	18.91	28.488955
7704_106965_000007_000000	An Antagonist	An Antagonist	true	19.16	20.53	26.941391
7704_106965_000008_000000	He stood in the centre of a little crowd of village boys; his golden head was bare in the blazing sun, but the crop of curls seemed thick enough to protect him from its rays, and he was far too engrossed in his occupation to heed any discomfort from the heat.	He stood in the centre of a little crowd of village boys; his golden head was bare in the blazing sun, but the crop of curls seemed thick enough to protect him from its rays, and he was far too engrossed in his occupation to heed any discomfort from the heat.	true	22.64	36.37	24.025734
7704_106965_000009_000000	A slim delicate little lad, with a finely cut face, and blue eyes that by turns would sparkle with animation, and then settle into a dreamy wistfulness, with a deep far-away look in them.	A slim delicate little lad, with a finely cut face, and blue eyes that by turns would sparkle with animation, and then settle into a dreamy wistfulness, with a deep far away look in them.	false	36.98	47.38	26.463259
7704_106965_000009_000001	They were dancing and flashing with excitement now, and his whole frame was quivering with enthusiasm; with head thrown back, and tongue, hand, and foot all in motion, he seemed to have his audience completely spell-bound, and they listened with open eyes and mouths to his oration.	They were dancing and flashing with excitement now, and his whole frame was quivering with enthusiasm; with head thrown back, and tongue, hand, and foot all in motion, he seemed to have his audience completely spell bound, and they listened with open eyes and mouths to his oration.	true	47.96	63.49	23.55367
7704_106965_000010_000000	With one hand he was fingering a large brass button, which figured conspicuously in the centre of his small waistcoat, and this button was the subject of his theme.	With one hand he was fingering a large brass button, which figured conspicuously in the centre of his small waistcoat, and this button was the subject of his theme.	true	64.16	72.49	24.62576
7704_106965_000011_000000	'My father he rushed forward--"Come on, men; we'll save the old colours!" And they shouted "Hurrah!" as they made after him.	'My father he rushed forward-"Come on, men; we'll save the old colours!" And they shouted "Hurrah!" as they made after him.	false	73.46	80.02	23.475237
7704_106965_000011_000001	There were guns going, and shells flying, and swords flashing and hacking away, and the enemy poured on with fiery red faces and gnashing teeth!	There were guns going, and shells flying, and swords flashing and hacking away, and the enemy poured on with fiery red faces and gnashing teeth!	false	80.09	87.85	21.312433
7704_106965_000011_000002	My father drew his sword--and no one could stand against him, no one!	My father drew his sword-and no one could stand against him, no one!	true	87.92	91.84	23.946583
7704_106965_000011_000003	He cut and he slashed, and heads and arms and legs rolled off as quick as lightning, one after the other.	He cut and he slashed, and heads and arms and legs rolled off as quick as lightning, one after the other.	true	91.91	97	22.991951
7704_106965_000011_000004	He got up to the colours, and with a shout he plunged his sword right through the enemy's body that had stolen them!	He got up to the colours, and with a shout he plunged his sword right through the enemy's body that had stolen them!	true	97.07	102.1	27.07685
7704_106965_000011_000005	The enemy fell stone dead.	The enemy fell stone dead.	true	102.35	104.1	25.901274
7704_106965_000011_000006	My father seized the colours and looked round.	My father seized the colours and looked round.	false	104.1	106.54	25.040766
7704_106965_000011_000007	He was alone! The other soldiers had been beaten back.	He was alone! The other soldiers had been beaten back.	true	106.64	109.65	22.758532
7704_106965_000011_000008	But was he in a funk?	But was he in a funk?	true	109.65	111.015	23.861324
7704_106965_000011_000009	No; he gave a loud "Hurrah!" picked up his sword, and fought his way back, the enemy hard after him.	No; he gave a loud "Hurrah!" picked up his sword, and fought his way back, the enemy hard after him.	true	111.015	116.2	22.879364
7704_106965_000011_000010	It was a race for life, and he ran backwards the whole way; he wasn't going to turn his back to the enemy.	It was a race for life, and he ran backwards the whole way; he wasn't going to turn his back to the enemy.	true	116.27	121.54	25.069635
7704_106965_000011_000011	He pressed on, shouting "Hurrah!" till he got to his own side again, and then he reached his colonel.	He pressed on, shouting "Hurrah!" till he got to his own side again, and then he reached his colonel.	true	121.7	129.12	24.003225
7704_106965_000012_000000	'"Captain dead, sir I've got the colours!" He saluted as he said it, and then dropped dead himself at the colonel's feet, the blood gushing out of his heart, and over his clothes, and over this button!'	'"Captain dead, sir I've got the colours!" He saluted as he said it, and then dropped dead himself at the colonel's feet, the blood gushing out of his heart, and over his clothes, and over this button!'	false	129.12	140.23	26.202112
7704_106965_000013_000000	The little orator paused as he sank his voice to a tragic whisper, then raising it again, he added triumphantly, 'And thirty bullets and six swords had gone through my father's body!	The little orator paused as he sank his voice to a tragic whisper, then raising it again, he added triumphantly, 'And thirty bullets and six swords had gone through my father's body!	true	142.01	152.26	26.048538
7704_106965_000013_000001	That was something like a soldier!'	That was something like a soldier!'	true	152.69	154.6	23.042637
7704_106965_000014_000000	'Oh, I say!' murmured a small sceptic from the crowd, 'it was twenty bullets last time; make it fifty, Teddy!'	'Oh, I say!' murmured a small sceptic from the crowd, 'it was twenty bullets last time; make it fifty, Teddy!'	true	156.02	162.55	24.688232
7704_106965_000015_000000	'And that's the story of my button,' pursued the boy, ignoring with scorn this last remark.	'And that's the story of my button,' pursued the boy, ignoring with scorn this last remark.	true	163.79	168.85	24.455223
7704_106965_000016_000000	'And did your father have only one button to his coat?'	'And did your father have only one button to his coat?'	true	170.03	172.69	24.08882
7704_106965_000017_000000	The voice was a strange one, and the boys turned round to meet the curious gaze of a sturdy little damsel, who had, unnoticed, joined the group.	The voice was a strange one, and the boys turned round to meet the curious gaze of a sturdy little damsel, who had, unnoticed, joined the group.	false	173.81	181.66	24.431488
7704_106965_000017_000001	She was not dressed as an ordinary village child, but in a little rough serge sailor suit, with a large hat to match, set well back on a quantity of loose dark hair.	She was not dressed as an ordinary village child, but in a little rough serge sailor suit, with a large hat to match, set well back on a quantity of loose dark hair.	true	181.79	191.59	26.354092
7704_106965_000017_000002	A rosy-cheeked square-set little figure she was, and her brown eyes, fringed with long black lashes, looked straight at Teddy with something of defiance and scorn in their glance.	A rosy cheeked square set little figure she was, and her brown eyes, fringed with long black lashes, looked straight at Teddy with something of defiance and scorn in their glance.	true	192.29	202.48	25.81629
7704_106965_000018_000000	Though at first a little taken aback, Teddy rose to the occasion.	Though at first a little taken aback, Teddy rose to the occasion.	false	203.78	207.01	25.660927
7704_106965_000019_000000	'One button!' he said with emphasis; 'the coat was sent to mother with only one button left on; and if you--' here he turned upon his questioner with a little fierceness--'if you had been through such a bloody battle, and killed so many men, you would have burst and lost _all_ your buttons, and not had one left, like father!'	'One button!' he said with emphasis; 'the coat was sent to mother with only one button left on; and if you-' here he turned upon his questioner with a little fierceness-'if you had been through such a bloody battle, and killed so many men, you would have burst and lost underscore all underscore your buttons, and not had one left, like father!'	false	208.04	226.51	23.777128
7704_106965_000020_000000	There was a round of applause at this, but the small maiden remained undaunted.	There was a round of applause at this, but the small maiden remained undaunted.	true	227.66	231.67	24.325216
7704_106965_000021_000000	'Is that a true story you told?' she demanded, with severity in her tone.	'Is that a true story you told?' she demanded, with severity in her tone.	true	233.24	237.73	25.465313
7704_106965_000022_000000	'Of course it's true,' was the indignant shout of all.	'Of course it's true,' was the indignant shout of all.	true	238.22	241.33	27.194305
7704_106965_000023_000000	'Then I tell you, boy, I don't believe a word of it!' And with set determined lips she turned on her heel and walked away, having sown seeds of anger and resentment in more than one boyish breast.	'Then I tell you, boy, I don't believe a word of it!' And with set determined lips she turned on her heel and walked away, having sown seeds of anger and resentment in more than one boyish breast.	true	241.97	253.3	25.49652
7704_106965_000024_000000	'Who is she?' asked Teddy as, tired and exhausted by his recital, he threw himself on the grass to rest.	'Who is she?' asked Teddy as, tired and exhausted by his recital, he threw himself on the grass to rest.	true	253.7	259.63	24.146528
7704_106965_000024_000001	One of the bigger boys answered him.	One of the bigger boys answered him.	true	260.21	261.97	24.843437
7704_106965_000025_000000	'I seed her come yesterday in a cab from the town to old Sol at the turnpike--she and her mother, I reckon.	'I seed her come yesterday in a cab from the town to old Sol at the turnpike-she and her mother, I reckon.	true	262.85	269.05	27.095713
