7705_101578_000001_000000	CHAPTER XI.	CHAPTER eleven.
7705_101578_000002_000000	Thurston did not go on the horse roundup.	Thurston did not go on the horse roundup.
7705_101578_000003_000000	That sounded all right as far as it went, but unfortunately it did not go far.	That sounded all right as far as it went, but unfortunately it did not go far.
7705_101578_000003_000001	The boys winked at one another gravely behind his back and jerked their thumbs knowingly toward Milk River; by which pantomime they reminded one another--quite unnecessarily that Mona Stevens had come home.	The boys winked at one another gravely behind his back and jerked their thumbs knowingly toward Milk River; by which pantomime they reminded one another-quite unnecessarily that Mona Stevens had come home.
7705_101578_000003_000003	The boys, it would seem, realized that it is against human nature for a man to declare openly to his fellows his intention of laying last, desperate siege to the heart of a girl who has already refused him three times, and to ask her for the fourth time if she will reconsider her former decisions and marry him.	The boys, it would seem, realized that it is against human nature for a man to declare openly to his fellows his intention of laying last, desperate siege to the heart of a girl who has already refused him three times, and to ask her for the fourth time if she will reconsider her former decisions and marry him.
7705_101578_000004_000000	That is really what kept Thurston at the Lazy Eight.	That is really what kept Thurston at the Lazy Eight.
7705_101578_000004_000002	During the winter, when he did not see her, he could bring himself to think occasionally of other things; and it is a fact that the stories he wrote with no heroine at all hit the mark the straightest.	During the winter, when he did not see her, he could bring himself to think occasionally of other things; and it is a fact that the stories he wrote with no heroine at all hit the mark the straightest.
7705_101578_000005_000001	And since he was not a fool he realized the falling off and chafed against it and wondered why it was.	And since he was not a fool he realized the falling off and chafed against it and wondered why it was.
7705_101578_000006_000000	The wagons were out two weeks--which is quite long enough for a crisis to arise in the love affair of any man.	The wagons were out two weeks-which is quite long enough for a crisis to arise in the love affair of any man.
7705_101578_000006_000001	By the time the horse roundup was over, one Philip Thurston was in pessimistic mood and quite ready to follow the wagons, the farther the better.	By the time the horse roundup was over, one Philip Thurston was in pessimistic mood and quite ready to follow the wagons, the farther the better.
7705_101578_000006_000003	His thoughts still ran to blue-gray eyes and ripply hair, but he made no attempt to put them into a story.	His thoughts still ran to blue gray eyes and ripply hair, but he made no attempt to put them into a story.
7705_101578_000007_000000	He packed his trunk carefully with everything he would not need on the roundup, and his typewriter he put in the middle.	He packed his trunk carefully with everything he would not need on the roundup, and his typewriter he put in the middle.
7705_101578_000008_000000	He wrote to Reeve-Howard, the night before they were to start, and apologized gracefully for having neglected him during the past three weeks and told him he would certainly be home in another month.	He wrote to Reeve Howard, the night before they were to start, and apologized gracefully for having neglected him during the past three weeks and told him he would certainly be home in another month.
7705_101578_000008_000001	He said that he was "in danger of being satiated with the Western tone" and would be glad to shake the hand of civilized man once more.	He said that he was "in danger of being satiated with the Western tone" and would be glad to shake the hand of civilized man once more.
7705_101578_000008_000002	This was distinctly unfair, because he had no quarrel with the masculine portion of the West.	This was distinctly unfair, because he had no quarrel with the masculine portion of the West.
7705_101578_000010_000002	Yellow-throated meadow larks perched swaying in the top of gray sage bushes and sang to him that the world was good. Sober gray curlews circled over his head, their long, funny bills thrust out straight as if to point the way for their bodies to follow and cried, "Kor-r-eck, kor-r-eck!"--which means just what the meadow larks sang.	Yellow throated meadow larks perched swaying in the top of gray sage bushes and sang to him that the world was good. Sober gray curlews circled over his head, their long, funny bills thrust out straight as if to point the way for their bodies to follow and cried, "Kor r eck, kor r eck!"--which means just what the meadow larks sang.
7705_101578_000011_000001	The rattle of mess-wagons, driven by the camp cook and followed by the bed-wagon, was heard from all directions.	The rattle of mess wagons, driven by the camp cook and followed by the bed wagon, was heard from all directions.
7705_101578_000012_000000	Park came along, saw what he was doing and laughed.	Park came along, saw what he was doing and laughed.
7705_101578_000012_000002	"When yuh can stand on this little hill and count fifty or sixty outfits camped within two or three miles uh here, yuh might begin taking pictures."	"When yuh can stand on this little hill and count fifty or sixty outfits camped within two or three miles uh here, yuh might begin taking pictures."
7705_101578_000013_000000	"I think you're loading me,"	"I think you're loading me,"
7705_101578_000013_000001	Thurston retorted calmly, winding up the roll for another exposure.	Thurston retorted calmly, winding up the roll for another exposure.
7705_101578_000014_000000	"All right--suit yourself about it." Park walked off and left him peering into the view-finder.	"All right-suit yourself about it." Park walked off and left him peering into the view finder.
7705_101578_000015_000000	Still they came.	Still they came.
7705_101578_000015_000001	From Swift Current to the Cypress Hills the Canadian cattlemen sent their wagons to join the big meet.	From Swift Current to the Cypress Hills the Canadian cattlemen sent their wagons to join the big meet.
7705_101578_000016_000000	For a day and a night the cowboys made merry in town while their foremen consulted and the captains appointed by the Association mapped out the different routes.	For a day and a night the cowboys made merry in town while their foremen consulted and the captains appointed by the Association mapped out the different routes.
7705_101578_000016_000001	At times like these, foremen such as Park and Deacon Smith were shorn of their accustomed power, and worked under orders as strict as those they gave their men.	At times like these, foremen such as Park and Deacon Smith were shorn of their accustomed power, and worked under orders as strict as those they gave their men.
7705_101578_000019_000000	That meant day after day of "riding circle"--which is, being interpreted, riding out ten or twelve miles from camp, then turning and driving everything before them to a point near the center of the circle thus formed.	That meant day after day of "riding circle"--which is, being interpreted, riding out ten or twelve miles from camp, then turning and driving everything before them to a point near the center of the circle thus formed.
7705_101578_000019_000001	When they met the cattle were bunched, and all stock which belonged on that range was cut out, leaving only those which had crossed the river during the storms of winter.	When they met the cattle were bunched, and all stock which belonged on that range was cut out, leaving only those which had crossed the river during the storms of winter.
7705_101578_000019_000002	These were driven on to the next camping place and held, which meant constant day-herding and night-guarding work which cowboys hate more than anything else.	These were driven on to the next camping place and held, which meant constant day herding and night guarding work which cowboys hate more than anything else.
7705_101578_000020_000003	But not all.	But not all.
7705_101578_000020_000006	He is a sturdy, self-reliant little rascal, is the range-bred calf.	He is a sturdy, self reliant little rascal, is the range bred calf.
7705_101578_000021_000001	He would help take the herd home, he told Park, and then he intended to hit the trail for little, old New York.	He would help take the herd home, he told Park, and then he intended to hit the trail for little, old New York.
