4899_32639_000000_000000	This advice was very repugnant to me.	This advice was very repugnant to me.	false	0	2.49	27.897074
4899_32639_000000_000001	My time is pretty fully occupied with my books, my music and my drawing.	My time is pretty fully occupied with my books, my music and my drawing.	false	2.49	7.53	22.47539
4899_32639_000000_000002	And of all places in the world I hate a sick-room.	And of all places in the world I hate a sick room.	false	7.53	12.9	24.05739
4899_32639_000000_000003	But, on the whole, I will take a class in the Sunday-school.	But, on the whole, I will take a class in the Sunday school.	false	12.9	21.36	24.60184
4899_32639_000001_000000	Chapter 5	Chapter five	true	21.36	22.56	24.54778
4899_32639_000002_000000	V.	V.	false	22.56	23.97	-6
4899_32639_000003_000000	APRIL 6.	april sixth.	true	23.97	25.12	28.696878
4899_32639_000004_000000	I have taken it at last.	I have taken it at last.	true	25.88	27.88	27.47374
4899_32639_000004_000001	I would not take one be fore, because I knew I could not teach little children how to love God, unless I loved Him myself.	I would not take one be fore, because I knew I could not teach little children how to love God, unless I loved Him myself.	false	28.31	34.9	26.349333
4899_32639_000004_000002	My class is perfectly delightful.	My class is perfectly delightful.	true	35.48	37.69	30.024313
4899_32639_000004_000003	There are twelve dear little things in it, of all ages between eight and nine.	There are twelve dear little things in it, of all ages between eight and nine.	true	38.21	43.03	25.251394
4899_32639_000004_000004	Eleven are girls, and the one boy makes me more trouble than all of them put together.	Eleven are girls, and the one boy makes me more trouble than all of them put together.	false	43.37	48.34	29.816437
4899_32639_000004_000005	When I get them all about me, and their sweet innocent faces look up into mine, I am so happy that I can hardly help stopping every now and then to kiss them.	When I get them all about me, and their sweet innocent faces look up into mine, I am so happy that I can hardly help stopping every now and then to kiss them.	true	48.83	57.79	27.512222
4899_32639_000004_000006	They ask the very strangest questions I mean to spend a great deal of time in preparing the lesson, and in hunting up stories to illustrate it.	They ask the very strangest questions I mean to spend a great deal of time in preparing the lesson, and in hunting up stories to illustrate it.	true	58.25	66.84	23.830729
4899_32639_000004_000007	Oh, I am so glad I was ever born into this beautiful world, where there will always be dear little children to love!	Oh, I am so glad I was ever born into this beautiful world, where there will always be dear little children to love!	false	66.84	73.99	27.579752
4899_32639_000005_000000	APRIL 13.-Sunday has come again, and with it my darling little class! Dr. Cabot has preached delightfully all day, and I feel that I begin to understand his preaching better, and that it must do me good.	april thirteenth.-Sunday has come again, and with it my darling little class! dr Cabot has preached delightfully all day, and I feel that I begin to understand his preaching better, and that it must do me good.	true	74.75	88.69	27.362629
4899_32639_000005_000001	I long, I truly long to please God; I long to feel as the best Christians feel, and to live as they live.	I long, I truly long to please God; I long to feel as the best Christians feel, and to live as they live.	false	88.82	96.55	23.019012
4899_32639_000006_000000	APRIL 20.-Now that I have these twelve little ones to instruct, I am more than ever in earnest about setting them a good example through the week.	april twentieth.-Now that I have these twelve little ones to instruct, I am more than ever in earnest about setting them a good example through the week.	true	96.98	105.64	23.130888
4899_32639_000006_000001	It is true they do not, most of them, know how I spend my time, nor how I act.	It is true they do not, most of them, know how I spend my time, nor how I act.	true	106.07	111.31	24.720215
4899_32639_000006_000002	But I know, and whenever I am conscious of not practicing what I preach, I am bitterly ashamed and grieved.	But I know, and whenever I am conscious of not practicing what I preach, I am bitterly ashamed and grieved.	true	111.56	118.57	22.216164
4899_32639_000006_000003	How much work, badly done, I am now having to undo.	How much work, badly done, I am now having to undo.	true	118.88	122.62	22.749037
4899_32639_000006_000004	If I had begun in earnest to serve God when I was as young as these children are, how many wrong habits I should have avoided; habits that entangle me now, as in so many nets.	If I had begun in earnest to serve God when I was as young as these children are, how many wrong habits I should have avoided; habits that entangle me now, as in so many nets.	true	123.14	133.54	22.758677
4899_32639_000006_000005	I am trying to take each of these little gentle girls by the hand and to lead her to Christ.	I am trying to take each of these little gentle girls by the hand and to lead her to Christ.	false	134.15	139.3	23.83111
4899_32639_000006_000006	Poor Johnny Ross is not so docile as they are, and tries my patience to the last degree.	Poor Johnny Ross is not so docile as they are, and tries my patience to the last degree.	true	139.7	145.84	24.524067
4899_32639_000007_000000	APRIL 27.-This morning I had my little flock about me, and talked to them out of the very bottom of my heart about Jesus.	april twenty seventh.-This morning I had my little flock about me, and talked to them out of the very bottom of my heart about Jesus.	true	146.66	155.47	21.597261
4899_32639_000007_000001	They left their seats and got close to me in a circle, leaning on my lap and drinking in every word.	They left their seats and got close to me in a circle, leaning on my lap and drinking in every word.	true	156.17	161.62	22.330797
4899_32639_000007_000002	All of a sudden I was aware, as by a magnetic influence, that a great lumbering man in the next seat was looking at me out of two of the blackest eyes I ever saw, and evidently listening to what I was saying.	All of a sudden I was aware, as by a magnetic influence, that a great lumbering man in the next seat was looking at me out of two of the blackest eyes I ever saw, and evidently listening to what I was saying.	true	162.11	175.93	24.16805
4899_32639_000007_000003	I was disconcerted at first, then angry.	I was disconcerted at first, then angry.	true	176.48	179.53	29.428263
4899_32639_000007_000004	What impertinence.	What impertinence.	true	179.93	181.3	32.29721
4899_32639_000007_000005	What rudeness!	What rudeness!	true	181.67	182.98	24.78289
