4381_14897_000000_000000	[Illustration: MRS.	[Illustration: mrs	false	0	0.6	30.50033
4381_14897_000000_000001	H. HORSFALL'S GREAT DANE CH.	H. HORSFALL'S GREAT DANE c h.	false	0.6	4.02	22.572596
4381_14897_000000_000002	VIOLA OF REDGRAVE Photograph by Coe, Norwich]	VIOLA OF REDGRAVE Photograph by Coe, Norwich]	false	4.02	20.145	19.864674
4381_14897_000001_000000	CHAPTER VII	CHAPTER seven	false	20.145	22.83	22.76913
4381_14897_000002_000000	THE DALMATIAN	THE DALMATIAN	true	22.83	24.1	17
4381_14897_000003_000000	Before the Kennel Club found it necessary to insist upon a precise definition of each breed, the Dalmatian was known as the Coach Dog, a name appropriately derived from his fondness for following a carriage, for living in and about the stable, and for accompanying his master's horses at exercise.	Before the Kennel Club found it necessary to insist upon a precise definition of each breed, the Dalmatian was known as the Coach Dog, a name appropriately derived from his fondness for following a carriage, for living in and about the stable, and for accompanying his master's horses at exercise.	true	24.5	46.155	17
4381_14897_000003_000001	As an adjunct to the carriage he is peculiarly suitable, for in fine weather he will follow between the wheels for long distances without showing fatigue, keeping easy pace with the best horses.	As an adjunct to the carriage he is peculiarly suitable, for in fine weather he will follow between the wheels for long distances without showing fatigue, keeping easy pace with the best horses.	false	46.155	60.07	22
4381_14897_000003_000002	He appears almost to prefer equine to human companionship, and he is as fond of being among horses as the Collie is of being in the midst of sheep.	He appears almost to prefer equine to human companionship, and he is as fond of being among horses as the Collie is of being in the midst of sheep.	true	60.11	71.295	20.384209
4381_14897_000003_000003	Yet he is of friendly disposition, and it must be insisted that he is by no means so destitute of intelligence as he is often represented to be.	Yet he is of friendly disposition, and it must be insisted that he is by no means so destitute of intelligence as he is often represented to be.	true	71.295	82	20.446222
4381_14897_000003_000004	On the contrary, he is capable of being trained into remarkable cleverness, as circus proprietors have discovered.	On the contrary, he is capable of being trained into remarkable cleverness, as circus proprietors have discovered.	true	82.16	90.91	24.167225
4381_14897_000004_000000	The earliest authorities agree that this breed was first introduced from Dalmatia, and that he was brought into this country purely on account of his sporting proclivities.	The earliest authorities agree that this breed was first introduced from Dalmatia, and that he was brought into this country purely on account of his sporting proclivities.	true	91.13	102.4	18
4381_14897_000004_000001	Of late years, however, these dogs have so far degenerated as to be looked upon simply as companions, or as exhibition dogs, for only very occasionally can it be found that any pains have been taken to train them systematically for gun-work.	Of late years, however, these dogs have so far degenerated as to be looked upon simply as companions, or as exhibition dogs, for only very occasionally can it be found that any pains have been taken to train them systematically for gun work.	true	102.5	121.9	21.839586
4381_14897_000005_000000	The first of the variety which appeared in the show ring was Mr. James Fawdry's Captain, in 1873.	The first of the variety which appeared in the show ring was mr james Fawdry's Captain, in eighteen seventy three.	false	122.06	130.3	20
4381_14897_000005_000001	At that period they were looked upon as a novelty, and, though the generosity and influence of a few admirers ensured separate classes being provided for the breed at the leading shows, it did not necessitate the production of such perfect specimens as those which a few years afterwards won prizes.	At that period they were looked upon as a novelty, and, though the generosity and influence of a few admirers ensured separate classes being provided for the breed at the leading shows, it did not necessitate the production of such perfect specimens as those which a few years afterwards won prizes.	true	130.64	151.32	20
4381_14897_000005_000002	At the first they were more popular in the North of England than in any other part of Great Britain.	At the first they were more popular in the North of England than in any other part of Great Britain.	false	151.32	157.78	26.810068
4381_14897_000005_000003	It was at Kirkby Lonsdale that Dr. James's Spotted Dick was bred, and an early exploiter of the breed who made his dogs famous was Mr. Newby Wilson, of Lakeside, Windermere.	It was at Kirkby Lonsdale that dr James's Spotted Dick was bred, and an early exploiter of the breed who made his dogs famous was mr Newby Wilson, of Lakeside, Windermere.	false	158.15	172.48	21.262167
