4427_41933_000000_000000	The simpleton took her straight to the owner of the horse, who was enchanted with her.	The simpleton took her straight to the owner of the horse, who was enchanted with her.	false	0	3.48	19.042559
4427_41933_000001_000000	And the young man got back his father's vine and married the real golden maiden into the bargain.	And the young man got back his father's vine and married the real golden maiden into the bargain.	false	3.48	9.27	20.680489
4427_41933_000002_000000	[Contes Populaires Slaves.	[Contes Populaires Slaves.	false	9.27	10.23	9
4427_41933_000002_000001	Traduits par Louis Leger.	Traduits par Louis Leger.	false	10.23	11.49	17
4427_41933_000002_000002	Paris: Ernest Leroux, editeur.]	Paris: Ernest Leroux, editeur.]	false	11.49	12.765	22.958889
4427_41933_000003_000000	The Unlooked-for Prince	The Unlooked for Prince	false	12.765	20.1	22.88221
4427_41933_000004_000000	(Polish Story)	(Polish Story)	false	20.1	22.29	14.865123
4427_41933_000005_000000	A long time ago there lived a king and queen who had no children, although they both wished very much for a little son.	A long time ago there lived a king and queen who had no children, although they both wished very much for a little son.	true	22.29	29.77	24
4427_41933_000005_000001	They tried not to let each other see how unhappy they were, and pretended to take pleasure in hunting and hawking and all sorts of other sports; but at length the king could bear it no longer, and declared that he must go and visit the furthest corners of his kingdom, and that it would be many months before he should return to his capital.	They tried not to let each other see how unhappy they were, and pretended to take pleasure in hunting and hawking and all sorts of other sports; but at length the king could bear it no longer, and declared that he must go and visit the furthest corners of his kingdom, and that it would be many months before he should return to his capital.	true	30.53	50.62	20.5487
4427_41933_000006_000000	By that time he hoped he would have so many things to think about that he would have forgotten to trouble about the little son who never came.	By that time he hoped he would have so many things to think about that he would have forgotten to trouble about the little son who never came.	true	51.44	59.26	24
4427_41933_000007_000000	The country the king reigned over was very large, and full of high, stony mountains and sandy deserts, so that it was not at all easy to go from one place to another.	The country the king reigned over was very large, and full of high, stony mountains and sandy deserts, so that it was not at all easy to go from one place to another.	true	60.44	71.98	21.102793
4427_41933_000007_000001	One day the king had wandered out alone, meaning to go only a little distance, but everything looked so alike he could not make out the path by which he had come.	One day the king had wandered out alone, meaning to go only a little distance, but everything looked so alike he could not make out the path by which he had come.	true	72.53	82.51	22.411499
4427_41933_000007_000002	He walked on and on for hours, the sun beating hotly on his head, and his legs trembling under him, and he might have died of thirst if he had not suddenly stumbled on a little well, which looked as if it had been newly dug.	He walked on and on for hours, the sun beating hotly on his head, and his legs trembling under him, and he might have died of thirst if he had not suddenly stumbled on a little well, which looked as if it had been newly dug.	false	83.12	98.23	22.230188
4427_41933_000007_000003	On the surface floated a silver cup with a golden handle, but as it bobbed about whenever the king tried to seize it, he was too thirsty to wait any longer and knelt down and drank his fill.	On the surface floated a silver cup with a golden handle, but as it bobbed about whenever the king tried to seize it, he was too thirsty to wait any longer and knelt down and drank his fill.	true	98.75	110.89	22.45183
4427_41933_000008_000000	When he had finished he began to rise from his knees, but somehow his beard seemed to have stuck fast in the water, and with all his efforts he could not pull it out.	When he had finished he began to rise from his knees, but somehow his beard seemed to have stuck fast in the water, and with all his efforts he could not pull it out.	true	111.74	122.35	23.674658
4427_41933_000008_000001	After two or three jerks to his head, which only hurt him without doing any good, he called out angrily, 'Let go at once!	After two or three jerks to his head, which only hurt him without doing any good, he called out angrily, 'Let go at once!	true	122.87	130.965	23.968666
4427_41933_000008_000002	Who is holding me?'	Who is holding me?'	true	130.965	132.1	20.388262
4427_41933_000009_000000	'It is I, the King Kostiei,' said a voice from the well, and looking up through the water was a little man with green eyes and a big head.	'It is I, the King Kostiei,' said a voice from the well, and looking up through the water was a little man with green eyes and a big head.	false	132.68	141.67	21.538137
4427_41933_000009_000001	'You have drunk from my spring, and I shall not let you go until you promise to give me the most precious thing your palace contains, which was not there when you left it.'	'You have drunk from my spring, and I shall not let you go until you promise to give me the most precious thing your palace contains, which was not there when you left it.'	true	142.1	151.84	22
4427_41933_000010_000000	Now the only thing that the king much cared for in his palace was the queen herself, and as she was weeping bitterly on a pile of cushions in the great hall when he had ridden away, he knew that Kostiei's words could not apply to her.	Now the only thing that the king much cared for in his palace was the queen herself, and as she was weeping bitterly on a pile of cushions in the great hall when he had ridden away, he knew that Kostiei's words could not apply to her.	false	152.75	166.93	22.128778
4427_41933_000010_000001	So he cheerfully gave the promise asked for by the ugly little man, and in the twinkling of an eye, man, spring, and cup had disappeared, and the king was left kneeling on the dry sand, wondering if it was all a dream.	So he cheerfully gave the promise asked for by the ugly little man, and in the twinkling of an eye, man, spring, and cup had disappeared, and the king was left kneeling on the dry sand, wondering if it was all a dream.	false	168.08	183.72	23.09366
4427_41933_000010_000002	But as he felt much stronger and better he made up his mind that this strange adventure must really have happened, and he sprang on his horse and rode off with a light heart to look for his companions.	But as he felt much stronger and better he made up his mind that this strange adventure must really have happened, and he sprang on his horse and rode off with a light heart to look for his companions.	true	183.72	194.86	20
4427_41933_000011_000000	In a few weeks they began to set out on their return home, which they reached one hot day, eight months after they had all left.	In a few weeks they began to set out on their return home, which they reached one hot day, eight months after they had all left.	true	195.83	203.83	23.154602
