6904_262305_000000_000000	CHAPTER XL.	CHAPTER forty.	true	18.135	19.33	22.737146
6904_262305_000001_000000	MR.	mr	true	20.06	20.55	26.214346
6904_262305_000001_000001	KETCH'S EVENING VISIT.	KETCH'S EVENING VISIT.	true	20.55	22.12	28.97432
6904_262305_000002_000000	It were surely a breach of politeness on our part not to attend Mr. Ketch in his impromptu evening visit!	It were surely a breach of politeness on our part not to attend mr Ketch in his impromptu evening visit!	true	23.3	29.4	28.321653
6904_262305_000002_000001	He shuffled along at the very top of his speed, his mouth watering, while the delicious odour of tripe and onions appeared to be borne on the air to his olfactory nerves: so strong is the force of fancy.	He shuffled along at the very top of his speed, his mouth watering, while the delicious odour of tripe and onions appeared to be borne on the air to his olfactory nerves: so strong is the force of fancy.	true	29.4	40.72	24
6904_262305_000002_000002	Arrived at his destination, he found the shop closed.	Arrived at his destination, he found the shop closed.	true	40.94	44.23	23.7467
6904_262305_000002_000003	It was Mrs. Jenkins's custom to close at seven from October to April; and the shutters had now just been put up.	It was mrs Jenkins's custom to close at seven from October to April; and the shutters had now just been put up.	false	44.42	51.075	23.755648
6904_262305_000002_000004	Mr. Ketch seized the knocker on the shop-door--there was no other entrance to the house--and brought it down with a force that shook the first-floor sitting-room, and startled Mr. Harper, the lay clerk, almost out of his armchair, as he sat before the fire.	mr Ketch seized the knocker on the shop door-there was no other entrance to the house-and brought it down with a force that shook the first floor sitting room, and startled mr Harper, the lay clerk, almost out of his armchair, as he sat before the fire.	true	51.075	64.245	25.485842
6904_262305_000002_000005	Mrs. Jenkins's maid, a young person of seventeen, very much given to blacking her face, opened it.	mrs Jenkins's maid, a young person of seventeen, very much given to blacking her face, opened it.	false	64.245	70.03	26.148083
6904_262305_000003_000000	"Be I in time?" demanded Ketch, his voice shaking.	"Be I in time?" demanded Ketch, his voice shaking.	true	70.76	74.41	27.065811
6904_262305_000004_000000	"In time for what?" responded the girl.	"In time for what?" responded the girl.	true	74.93	77.56	24.314283
6904_262305_000005_000000	"Why, for supper," said Ketch, penetrating into the shop, which was lighted by a candle that stood on the counter, the one the girl had brought in her hand.	"Why, for supper," said Ketch, penetrating into the shop, which was lighted by a candle that stood on the counter, the one the girl had brought in her hand.	true	78.14	86.64	23.787798
6904_262305_000005_000001	"Is old Jenkins the bedesman come yet?"	"Is old Jenkins the bedesman come yet?"	false	86.64	89.59	21.886694
6904_262305_000006_000000	"Old Jenkins ain't here," said she.	"Old Jenkins ain't here," said she.	true	89.87	92.325	24.699757
6904_262305_000006_000001	"You had better go into the parlour, if you're come to supper."	"You had better go into the parlour, if you're come to supper."	true	92.325	95.41	24.330675
6904_262305_000007_000000	Ketch went down the shop, sniffing curiously.	Ketch went down the shop, sniffing curiously.	true	95.78	98.41	24.881956
6904_262305_000007_000001	Sharp as fancy is, he could not say that he was regaled with the scent of onions, but he supposed the saucepan lid might be on.	Sharp as fancy is, he could not say that he was regaled with the scent of onions, but he supposed the saucepan lid might be on.	true	98.69	105.94	22.910542
6904_262305_000007_000002	For, as was known to Mr. Ketch, and to other of the initiated in tripe mysteries, it was generally thought advisable, by good housewives, to give the tripe a boil up at home, lest it should have become cold in its transit from the vendor's. The girl threw open the door of the small parlour, and told him he might sit down if he liked; sh: did not overburden the gentleman with civility.	For, as was known to mr Ketch, and to other of the initiated in tripe mysteries, it was generally thought advisable, by good housewives, to give the tripe a boil up at home, lest it should have become cold in its transit from the vendor's. The girl threw open the door of the small parlour, and told him he might sit down if he liked; sh: did not overburden the gentleman with civility.	false	106.01	127.12	23.852436
6904_262305_000007_000003	"Missis'll be here soon," said she.	"Missis'll be here soon," said she.	true	127.28	130.005	19.731722
6904_262305_000008_000000	Ketch entered the parlour, and sat down.	Ketch entered the parlour, and sat down.	true	130.005	132.43	31.094969
6904_262305_000008_000001	There was a fire in the grate, but no light, and there were not, so far as Ketch could see, any preparations yet for the entertainment.	There was a fire in the grate, but no light, and there were not, so far as Ketch could see, any preparations yet for the entertainment.	true	132.62	139.24	28.982628
6904_262305_000008_000002	"They're going to have it downstairs in the kitchen," soliloquized he.	"They're going to have it downstairs in the kitchen," soliloquized he.	true	139.28	142.9	25.919838
6904_262305_000008_000003	"And that's a sight more comfortabler.	"And that's a sight more comfortabler.	true	143	144.85	27.007668
6904_262305_000008_000004	She's gone out to fetch it, I shouldn't wonder!" he continued, alluding to Mrs. Jenkins, and sniffing again strongly, but without result.	She's gone out to fetch it, I shouldn't wonder!" he continued, alluding to mrs Jenkins, and sniffing again strongly, but without result.	true	144.95	152.28	24.437347
6904_262305_000008_000005	"That's right! she won't let 'em serve her with short onions, she won't; she has a tongue of her own.	"That's right! she won't let 'em serve her with short onions, she won't; she has a tongue of her own.	true	152.28	157.81	22.365023
6904_262305_000008_000006	I wonder how much beer there'll be!"	I wonder how much beer there'll be!"	false	157.85	159.94	22.777937
6904_262305_000009_000000	He sat on pretty patiently, for him, about half an hour, and then took the liberty of replenishing the fire from a coal-box that stood there. Another quarter of an hour was passed much more impatiently, when Ketch began to grow uneasy and lose himself in all sorts of grave conjectures. Could she have arrived too late, and found the tripe all sold, and so had stopped out to supper herself somewhere?	He sat on pretty patiently, for him, about half an hour, and then took the liberty of replenishing the fire from a coal box that stood there. Another quarter of an hour was passed much more impatiently, when Ketch began to grow uneasy and lose himself in all sorts of grave conjectures. Could she have arrived too late, and found the tripe all sold, and so had stopped out to supper herself somewhere?	true	160.25	180.76	24.712936
6904_262305_000009_000001	Such a thing as a run on the delicacy had occurred more than once, to Ketch's certain knowledge, and tardy customers had been sent away disappointed, to wait in longing anticipations for the next tripe night.	Such a thing as a run on the delicacy had occurred more than once, to Ketch's certain knowledge, and tardy customers had been sent away disappointed, to wait in longing anticipations for the next tripe night.	true	180.92	191.8	23.19408
6904_262305_000009_000002	He went into a cold perspiration at the bare idea.	He went into a cold perspiration at the bare idea.	true	192.02	195.24	24.336039
6904_262305_000009_000003	And where was old Jenkins, all this time, that he had not come in?	And where was old Jenkins, all this time, that he had not come in?	true	195.24	198.52	22.06606
6904_262305_000009_000004	And where was Joe?	And where was Joe?	true	198.56	199.93	31.210255
6904_262305_000009_000005	A pretty thing to invite a gentleman out to an impromptu supper, and serve him in this way!	A pretty thing to invite a gentleman out to an impromptu supper, and serve him in this way!	true	200.15	204.73	21.319082
6904_262305_000009_000006	What could they mean by it?	What could they mean by it?	true	204.77	206.11	27.715536
6904_262305_000010_000000	He groped his way round the corner of the shop to where lay the kitchen stairs, whose position he pretty well knew, and called.	He groped his way round the corner of the shop to where lay the kitchen stairs, whose position he pretty well knew, and called.	true	206.42	212.26	24.856676
6904_262305_000010_000001	"Here, Sally, Betty--whatever your name is--ain't there nobody at home?"	"Here, Sally, Betty-whatever your name is-ain't there nobody at home?"	true	212.48	216.52	23.717358
6904_262305_000011_000000	The girl heard, and came forth, the same candle in hand.	The girl heard, and came forth, the same candle in hand.	true	217.25	220.18	22.567627
6904_262305_000011_000001	"Who be you calling to, I'd like to know?	"Who be you calling to, I'd like to know?	true	220.46	222.435	28.83415
6904_262305_000011_000002	My name's Lidyar, if you please."	My name's Lidyar, if you please."	true	222.435	224.04	21.375202
6904_262305_000012_000000	"Where's your missis?" responded Ketch, suffering the name to drop into abeyance.	"Where's your missis?" responded Ketch, suffering the name to drop into abeyance.	false	224.04	228.75	25.288572
6904_262305_000012_000001	"Is she gone out for the tripe?"	"Is she gone out for the tripe?"	false	228.75	230.41	31.928492
6904_262305_000013_000000	"Gone out for what tripe?" asked the girl.	"Gone out for what tripe?" asked the girl.	true	230.54	233.01	31.850176
6904_262305_000013_000001	"What be you talking of?"	"What be you talking of?"	true	233.01	234.55	33.499245
6904_262305_000014_000000	"The tripe for supper," said Ketch.	"The tripe for supper," said Ketch.	true	234.8	237.13	28.006948
