6904_262305_000000_000000	CHAPTER XL.	CHAPTER forty.
6904_262305_000001_000000	MR.	mr
6904_262305_000001_000001	KETCH'S EVENING VISIT.	KETCH'S EVENING VISIT.
6904_262305_000002_000000	It were surely a breach of politeness on our part not to attend Mr. Ketch in his impromptu evening visit!	It were surely a breach of politeness on our part not to attend mr Ketch in his impromptu evening visit!
6904_262305_000002_000001	He shuffled along at the very top of his speed, his mouth watering, while the delicious odour of tripe and onions appeared to be borne on the air to his olfactory nerves: so strong is the force of fancy.	He shuffled along at the very top of his speed, his mouth watering, while the delicious odour of tripe and onions appeared to be borne on the air to his olfactory nerves: so strong is the force of fancy.
6904_262305_000002_000002	Arrived at his destination, he found the shop closed.	Arrived at his destination, he found the shop closed.
6904_262305_000002_000004	Mr. Ketch seized the knocker on the shop-door--there was no other entrance to the house--and brought it down with a force that shook the first-floor sitting-room, and startled Mr. Harper, the lay clerk, almost out of his armchair, as he sat before the fire.	mr Ketch seized the knocker on the shop door-there was no other entrance to the house-and brought it down with a force that shook the first floor sitting room, and startled mr Harper, the lay clerk, almost out of his armchair, as he sat before the fire.
6904_262305_000003_000000	"Be I in time?" demanded Ketch, his voice shaking.	"Be I in time?" demanded Ketch, his voice shaking.
6904_262305_000004_000000	"In time for what?" responded the girl.	"In time for what?" responded the girl.
6904_262305_000005_000000	"Why, for supper," said Ketch, penetrating into the shop, which was lighted by a candle that stood on the counter, the one the girl had brought in her hand.	"Why, for supper," said Ketch, penetrating into the shop, which was lighted by a candle that stood on the counter, the one the girl had brought in her hand.
6904_262305_000006_000000	"Old Jenkins ain't here," said she.	"Old Jenkins ain't here," said she.
6904_262305_000006_000001	"You had better go into the parlour, if you're come to supper."	"You had better go into the parlour, if you're come to supper."
6904_262305_000007_000000	Ketch went down the shop, sniffing curiously.	Ketch went down the shop, sniffing curiously.
6904_262305_000007_000001	Sharp as fancy is, he could not say that he was regaled with the scent of onions, but he supposed the saucepan lid might be on.	Sharp as fancy is, he could not say that he was regaled with the scent of onions, but he supposed the saucepan lid might be on.
6904_262305_000008_000000	Ketch entered the parlour, and sat down.	Ketch entered the parlour, and sat down.
6904_262305_000008_000001	There was a fire in the grate, but no light, and there were not, so far as Ketch could see, any preparations yet for the entertainment.	There was a fire in the grate, but no light, and there were not, so far as Ketch could see, any preparations yet for the entertainment.
6904_262305_000008_000002	"They're going to have it downstairs in the kitchen," soliloquized he.	"They're going to have it downstairs in the kitchen," soliloquized he.
6904_262305_000008_000003	"And that's a sight more comfortabler.	"And that's a sight more comfortabler.
6904_262305_000008_000004	She's gone out to fetch it, I shouldn't wonder!" he continued, alluding to Mrs. Jenkins, and sniffing again strongly, but without result.	She's gone out to fetch it, I shouldn't wonder!" he continued, alluding to mrs Jenkins, and sniffing again strongly, but without result.
6904_262305_000008_000005	"That's right! she won't let 'em serve her with short onions, she won't; she has a tongue of her own.	"That's right! she won't let 'em serve her with short onions, she won't; she has a tongue of her own.
6904_262305_000009_000001	Such a thing as a run on the delicacy had occurred more than once, to Ketch's certain knowledge, and tardy customers had been sent away disappointed, to wait in longing anticipations for the next tripe night.	Such a thing as a run on the delicacy had occurred more than once, to Ketch's certain knowledge, and tardy customers had been sent away disappointed, to wait in longing anticipations for the next tripe night.
6904_262305_000009_000002	He went into a cold perspiration at the bare idea.	He went into a cold perspiration at the bare idea.
6904_262305_000009_000003	And where was old Jenkins, all this time, that he had not come in?	And where was old Jenkins, all this time, that he had not come in?
6904_262305_000009_000004	And where was Joe?	And where was Joe?
6904_262305_000009_000005	A pretty thing to invite a gentleman out to an impromptu supper, and serve him in this way!	A pretty thing to invite a gentleman out to an impromptu supper, and serve him in this way!
6904_262305_000009_000006	What could they mean by it?	What could they mean by it?
6904_262305_000010_000000	He groped his way round the corner of the shop to where lay the kitchen stairs, whose position he pretty well knew, and called.	He groped his way round the corner of the shop to where lay the kitchen stairs, whose position he pretty well knew, and called.
6904_262305_000010_000001	"Here, Sally, Betty--whatever your name is--ain't there nobody at home?"	"Here, Sally, Betty-whatever your name is-ain't there nobody at home?"
6904_262305_000011_000000	The girl heard, and came forth, the same candle in hand.	The girl heard, and came forth, the same candle in hand.
6904_262305_000011_000001	"Who be you calling to, I'd like to know?	"Who be you calling to, I'd like to know?
6904_262305_000011_000002	My name's Lidyar, if you please."	My name's Lidyar, if you please."
6904_262305_000013_000000	"Gone out for what tripe?" asked the girl.	"Gone out for what tripe?" asked the girl.
6904_262305_000013_000001	"What be you talking of?"	"What be you talking of?"
6904_262305_000014_000000	"The tripe for supper," said Ketch.	"The tripe for supper," said Ketch.
6904_262305_000015_000000	"There ain't no tripe for supper," replied she.	"There ain't no tripe for supper," replied she.
6904_262305_000016_000000	"There is tripe for supper," persisted Ketch.	"There is tripe for supper," persisted Ketch.
6904_262305_000016_000001	"And me and old Jenkins are going to have some of it.	"And me and old Jenkins are going to have some of it.
6904_262305_000016_000002	There's tripe and onions."	There's tripe and onions."
6904_262305_000017_000000	The girl shook her head.	The girl shook her head.
6904_262305_000017_000001	"I dun know nothing about it.	"I dun know nothing about it.
6904_262305_000017_000002	Missis is upstairs, fixing the mustard."	Missis is upstairs, fixing the mustard."
6904_262305_000018_000000	Oh come! this gave a promise of something.	Oh come! this gave a promise of something.
6904_262305_000018_000001	Old Ketch thought mustard the greatest condiment that tripe could be accompanied by, in conjunction with onions.	Old Ketch thought mustard the greatest condiment that tripe could be accompanied by, in conjunction with onions.
6904_262305_000018_000002	But she must have been a long time "fixing" the mustard; whatever that might mean.	But she must have been a long time "fixing" the mustard; whatever that might mean.
6904_262305_000018_000003	His spirits dropped again, and he grew rather exasperated.	His spirits dropped again, and he grew rather exasperated.
6904_262305_000018_000004	"Go up and ask your missis how long I be to wait?" he growled.	"Go up and ask your missis how long I be to wait?" he growled.
6904_262305_000019_000000	The girl, possibly feeling a little curiosity herself, came up with her candle.	The girl, possibly feeling a little curiosity herself, came up with her candle.
6904_262305_000019_000002	"He's gone to bed, and missis is putting him a plaster on his chest."	"He's gone to bed, and missis is putting him a plaster on his chest."
6904_262305_000020_000000	The words fell as ice on old Ketch.	The words fell as ice on old Ketch.
6904_262305_000020_000001	"A mustard-plaster?" shrieked he.	"A mustard plaster?" shrieked he.
6904_262305_000021_000000	"What else but a mustard-plaster!" she retorted.	"What else but a mustard plaster!" she retorted.
6904_262305_000021_000001	"Did you think it was a pitch?	"Did you think it was a pitch?
6904_262305_000021_000002	There's a fire lighted in his room, and she's making it there."	There's a fire lighted in his room, and she's making it there."
6904_262305_000022_000000	Nothing more certain.	Nothing more certain.
6904_262305_000022_000001	Poor Jenkins, who had coughed more than usual the last two days, perhaps from the wet weather, and whose chest in consequence was very painful, had been ordered to bed this night by his wife when tea was over.	Poor Jenkins, who had coughed more than usual the last two days, perhaps from the wet weather, and whose chest in consequence was very painful, had been ordered to bed this night by his wife when tea was over.
6904_262305_000022_000002	She had gone up herself, as soon as her shop was shut, to administer a mustard-plaster.	She had gone up herself, as soon as her shop was shut, to administer a mustard plaster.
6904_262305_000022_000003	Ketch was quite stunned with uncertainty.	Ketch was quite stunned with uncertainty.
6904_262305_000022_000004	A man in bed, with a plaster on his chest, was not likely to invite company to supper.	A man in bed, with a plaster on his chest, was not likely to invite company to supper.
6904_262305_000023_000000	Before he had seen his way out of the shock, or the girl had done staring at him, Mrs. Jenkins descended the stairs and joined them, having been attracted by the conversation.	Before he had seen his way out of the shock, or the girl had done staring at him, mrs Jenkins descended the stairs and joined them, having been attracted by the conversation.
6904_262305_000024_000000	"He says he's come to supper: tripe and onions," said the girl, unceremoniously introducing Mr. Ketch and the subject to her wondering mistress.	"He says he's come to supper: tripe and onions," said the girl, unceremoniously introducing mr Ketch and the subject to her wondering mistress.
6904_262305_000025_000000	Mrs. Jenkins, not much more famous for meekness in expressing her opinions than was Ketch, turned her gaze upon that gentleman.	mrs Jenkins, not much more famous for meekness in expressing her opinions than was Ketch, turned her gaze upon that gentleman.
6904_262305_000026_000000	"Why, I have come for supper, that's what I have come for," shrieked Ketch, trembling.	"Why, I have come for supper, that's what I have come for," shrieked Ketch, trembling.
6904_262305_000026_000001	"Jenkins invited me to supper; tripe and onions; and I'd like to know what it all means, and where the supper is."	"Jenkins invited me to supper; tripe and onions; and I'd like to know what it all means, and where the supper is."
6904_262305_000027_000000	"You are going into your dotage," said Mrs. Jenkins, with an amount of scorn so great that it exasperated Ketch as much as the words themselves.	"You are going into your dotage," said mrs Jenkins, with an amount of scorn so great that it exasperated Ketch as much as the words themselves.
6904_262305_000027_000001	"You'll be wanting a lunatic asylum next.	"You'll be wanting a lunatic asylum next.
6904_262305_000027_000002	Tripe and onions! If Jenkins was to hint at such a thing as a plate of tripe coming inside my house, I'd tripe him.	Tripe and onions! If Jenkins was to hint at such a thing as a plate of tripe coming inside my house, I'd tripe him.
6904_262305_000028_000000	"Is this the way to treat a man?" foamed Ketch, disappointment and hunger driving him almost into the state hinted at by Mrs. Jenkins.	"Is this the way to treat a man?" foamed Ketch, disappointment and hunger driving him almost into the state hinted at by mrs Jenkins.
6904_262305_000028_000001	"Joe Jenkins sends me down a note an hour ago, to come here to supper with his old father, and it was to be tripe and onions!	"Joe Jenkins sends me down a note an hour ago, to come here to supper with his old father, and it was to be tripe and onions!
6904_262305_000029_000000	"Here, Lydia, open the door and let him out," cried Mrs. Jenkins, waving her hand imperatively towards it.	"Here, Lydia, open the door and let him out," cried mrs Jenkins, waving her hand imperatively towards it.
6904_262305_000029_000001	"And what have you been at with your face again?" continued she, as the candle held by that damsel reflected its light.	"And what have you been at with your face again?" continued she, as the candle held by that damsel reflected its light.
6904_262305_000029_000002	"One can't see it for colly.	"One can't see it for colly.
6904_262305_000029_000003	If I do put you into that mask I have threatened, you won't like it, girl.	If I do put you into that mask I have threatened, you won't like it, girl.
6904_262305_000029_000004	Hold your tongue, old Ketch, or I'll call Mr. Harper down to you.	Hold your tongue, old Ketch, or I'll call mr Harper down to you.
6904_262305_000029_000005	Write a note!	Write a note!
6904_262305_000029_000006	What else?	What else?
