6505_231838_000000_000000	"A Mrs. Vrain, who writes from Bath."	"A mrs Vrain, who writes from Bath."	false	0	2.67	19.150415
6505_231838_000001_000000	"Can she identify the dead man?"	"Can she identify the dead man?"	false	2.67	4.98	23.96116
6505_231838_000002_000000	"She thinks she can, but, of course, she cannot be certain until she sees the body.	"She thinks she can, but, of course, she cannot be certain until she sees the body.	false	4.98	11.13	23.436539
6505_231838_000002_000001	Going by the description, however," added Link, "she is inclined to believe that Berwin was her husband."	Going by the description, however," added Link, "she is inclined to believe that Berwin was her husband."	false	11.13	18.45	20.202173
6505_231838_000003_000000	CHAPTER VI	CHAPTER six	true	18.45	19.51	27.702467
6505_231838_000004_000000	MRS. VRAIN'S STORY	mrs VRAIN'S STORY	false	20	21.7	25
6505_231838_000005_000000	Denzil was much pleased with the courtesy of the detective Link in permitting him to gain, at first hand, further details of this mysterious case.	Denzil was much pleased with the courtesy of the detective Link in permitting him to gain, at first hand, further details of this mysterious case.	true	23.15	30.79	19
6505_231838_000005_000001	With a natural curiosity, engendered by his short acquaintance with the unfortunate Berwin, he was most anxious to learn why the man had secluded himself from the world in Geneva Square; who were the enemies he hinted at as desirous of his death; and in what manner and for what reason he had met with so barbarous a fate at their hands.	With a natural curiosity, engendered by his short acquaintance with the unfortunate Berwin, he was most anxious to learn why the man had secluded himself from the world in Geneva Square; who were the enemies he hinted at as desirous of his death; and in what manner and for what reason he had met with so barbarous a fate at their hands.	true	31.25	49.39	17
6505_231838_000005_000002	It seemed likely that Mrs. Vrain, who asserted herself to be the wife of the deceased, would be able to answer these questions in full; therefore, he was punctual in keeping the appointment at the office of Link.	It seemed likely that mrs Vrain, who asserted herself to be the wife of the deceased, would be able to answer these questions in full; therefore, he was punctual in keeping the appointment at the office of Link.	true	49.88	61.3	22.950354
6505_231838_000006_000000	He was rather astonished to find that Mrs. Vrain had arrived, and was deep in conversation with the detective, while a third person, who had evidently accompanied her, sat near at hand, silent, but attentive to what was being discussed.	He was rather astonished to find that mrs Vrain had arrived, and was deep in conversation with the detective, while a third person, who had evidently accompanied her, sat near at hand, silent, but attentive to what was being discussed.	true	62.6	76	22.75301
6505_231838_000006_000001	As the dead man had been close on sixty years of age, and Mrs. Vrain claimed to be his wife, Denzil had quite expected to meet with an elderly woman.	As the dead man had been close on sixty years of age, and mrs Vrain claimed to be his wife, Denzil had quite expected to meet with an elderly woman.	true	76.61	85.03	21
6505_231838_000006_000002	Instead of doing so, however, he beheld a pretty young lady of not more than twenty-five, whose raiment of widow's weeds set off her beauty to the greatest advantage. She was a charming blonde, with golden hair and blue eyes, and a complexion of rose-leaf hue.	Instead of doing so, however, he beheld a pretty young lady of not more than twenty five, whose raiment of widow's weeds set off her beauty to the greatest advantage. She was a charming blonde, with golden hair and blue eyes, and a complexion of rose leaf hue.	false	85.25	101.01	21.716965
