7285_72200_000000_000000	CHAPTER FIFTEENTH.	CHAPTER FIFTEENTH.	true	24.885	26.26	15
7285_72200_000001_000000	"Revenge at first though sweet, Bitter erelong, back on itself recoils." --MILTON'S PARADISE LOST.	"Revenge at first though sweet, Bitter erelong, back on itself recoils." --MILTON'S PARADISE LOST.	true	27.62	37.78	19.460524
7285_72200_000002_000000	At the instant of discharging his revolver, Jackson felt a sharp stinging pain in his right arm, and it dropped useless at his side.	At the instant of discharging his revolver, Jackson felt a sharp stinging pain in his right arm, and it dropped useless at his side.	true	39.53	49.18	17
7285_72200_000002_000001	He hoped he had killed both Mr. Travilla and Elsie; but, an arrant coward and thus disabled, did not dare to remain a moment to learn with certainty the effect of his shot, but rushing along the veranda, threw himself over the railing, and sliding down a pillar, by the aid of the one hand, and with no little pain and difficulty, made off with all speed across the lawn.	He hoped he had killed both mr Travilla and Elsie; but, an arrant coward and thus disabled, did not dare to remain a moment to learn with certainty the effect of his shot, but rushing along the veranda, threw himself over the railing, and sliding down a pillar, by the aid of the one hand, and with no little pain and difficulty, made off with all speed across the lawn.	false	49.64	75.61	20
7285_72200_000003_000000	But he was bleeding at so fearful a rate that he found himself compelled to pause long enough to improvise a tourniquet by knotting his handkerchief above the wound, tying it as tightly as he could with the left hand aided by his teeth.	But he was bleeding at so fearful a rate that he found himself compelled to pause long enough to improvise a tourniquet by knotting his handkerchief above the wound, tying it as tightly as he could with the left hand aided by his teeth.	true	76.67	94.15	19.5766
7285_72200_000003_000001	He stooped and felt on the ground in the darkness and rain, for a stick, by means of which to tighten it still more; for the bleeding, though considerably checked, was by no means stanched.	He stooped and felt on the ground in the darkness and rain, for a stick, by means of which to tighten it still more; for the bleeding, though considerably checked, was by no means stanched.	true	94.61	106.96	20.35047
7285_72200_000003_000002	But sticks, stones, and every kind of litter, had long been banished thence; his fingers came in contact with nothing but the smooth, velvety turf, and with a muttered curse, he rose and fled again; for the flashing of lights, the loud ringing of a bell, peal after peal, and sounds of running feet and many voices in high excited tones, told him there was danger of a quick and hot pursuit.	But sticks, stones, and every kind of litter, had long been banished thence; his fingers came in contact with nothing but the smooth, velvety turf, and with a muttered curse, he rose and fled again; for the flashing of lights, the loud ringing of a bell, peal after peal, and sounds of running feet and many voices in high excited tones, told him there was danger of a quick and hot pursuit.	true	107.39	136.33	20
7285_72200_000004_000000	Clearing the lawn, he presently struck into a bridle-path that led to the woods.	Clearing the lawn, he presently struck into a bridle path that led to the woods.	false	136.67	142.09	19
7285_72200_000004_000001	Here he again paused to search for the much-needed stick, found one suited to his purpose, and by its aid succeeded in decreasing still more the drain upon his life current; yet could not stop the flow entirely.	Here he again paused to search for the much needed stick, found one suited to his purpose, and by its aid succeeded in decreasing still more the drain upon his life current; yet could not stop the flow entirely.	true	142.49	157.93	21
7285_72200_000005_000000	But sounds of pursuit began to be heard in the distance, and he hastened on again, panting with weakness, pain and affright.	But sounds of pursuit began to be heard in the distance, and he hastened on again, panting with weakness, pain and affright.	true	158.33	166.99	19.551271
7285_72200_000005_000001	Leaving the path, he plunged deeper into the woods, ran for some distance along the edge of a swamp, and leaping in up to his knees in mud and water, doubled on his track, then turned again, and penetrating farther and farther into the depths of the morass, finally climbed a tree, groaning with the pain the effort cost him, and concealed himself among the branches.	Leaving the path, he plunged deeper into the woods, ran for some distance along the edge of a swamp, and leaping in up to his knees in mud and water, doubled on his track, then turned again, and penetrating farther and farther into the depths of the morass, finally climbed a tree, groaning with the pain the effort cost him, and concealed himself among the branches.	true	167.3	191.98	21
