335_125941_000000_000000	97 The Scarecrow Plans an escape	ninety seven The Scarecrow Plans an escape	false	11.58	23.77	18.01635
335_125941_000001_000000	Tip slipped away from the girls and followed swiftly after the Soldier with the Green Whiskers.	Tip slipped away from the girls and followed swiftly after the Soldier with the Green Whiskers.	true	25.31	31.18	13
335_125941_000001_000001	The invading army entered the City more slowly, for they stopped to dig emeralds out of the walls and paving-stones with the points of their knitting-needles.	The invading army entered the City more slowly, for they stopped to dig emeralds out of the walls and paving stones with the points of their knitting needles.	true	31.73	39.64	15
335_125941_000001_000002	So the Soldier and the boy reached the palace before the news had spread that the City was conquered.	So the Soldier and the boy reached the palace before the news had spread that the City was conquered.	true	41.09	46.33	13
335_125941_000002_000000	The Scarecrow and Jack Pumpkinhead were still playing at quoits in the courtyard when the game was interrupted by the abrupt entrance of the Royal Army of Oz, who came flying in without his hat or gun, his clothes in sad disarray and his long beard floating a yard behind him as he ran.	The Scarecrow and Jack Pumpkinhead were still playing at quoits in the courtyard when the game was interrupted by the abrupt entrance of the Royal Army of Oz, who came flying in without his hat or gun, his clothes in sad disarray and his long beard floating a yard behind him as he ran.	false	46.97	65.16	17
335_125941_000003_000000	98	ninety eight	false	65.16	66.75	2
335_125941_000004_000000	"Tally one for me," said the Scarecrow, calmly "What's wrong, my man?" he added, addressing the Soldier.	"Tally one for me," said the Scarecrow, calmly "What's wrong, my man?" he added, addressing the Soldier.	true	66.75	71.98	20.222527
335_125941_000005_000000	"Oh! your Majesty--your Majesty!	"Oh! your Majesty-your Majesty!	true	72.65	74.595	17.7882
335_125941_000005_000001	The City is conquered!" gasped the Royal Army, who was all out of breath.	The City is conquered!" gasped the Royal Army, who was all out of breath.	true	74.595	79.21	23
335_125941_000006_000000	"This is quite sudden," said the Scarecrow.	"This is quite sudden," said the Scarecrow.	true	81.05	83.41	21.69414
335_125941_000006_000001	"But please go and bar all the doors and windows of the palace, while I show this Pumpkinhead how to throw a quoit."	"But please go and bar all the doors and windows of the palace, while I show this Pumpkinhead how to throw a quoit."	true	83.45	88.99	16
335_125941_000007_000000	The Soldier hastened to do this, while Tip, who had arrived at his heels, remained in the courtyard to look at the Scarecrow with wondering eyes.	The Soldier hastened to do this, while Tip, who had arrived at his heels, remained in the courtyard to look at the Scarecrow with wondering eyes.	true	90.98	99.97	17
335_125941_000008_000000	His Majesty continued to throw the quoits as coolly as if no danger threatened his throne, but the Pumpkinhead, having caught sight of Tip, ambled toward the boy as fast as his wooden legs would go.	His Majesty continued to throw the quoits as coolly as if no danger threatened his throne, but the Pumpkinhead, having caught sight of Tip, ambled toward the boy as fast as his wooden legs would go.	true	101.3	113.83	16
335_125941_000009_000000	"Good afternoon, noble parent!" he cried, delightedly.	"Good afternoon, noble parent!" he cried, delightedly.	true	114.83	117.58	27.019775
335_125941_000009_000001	"I'm glad to see you are here.	"I'm glad to see you are here.	true	118.34	120.07	20.720736
335_125941_000009_000002	That terrible Saw-Horse ran away with me."	That terrible Saw Horse ran away with me."	true	120.23	122.56	22.18812
335_125941_000010_000000	"I suspected it," said Tip.	"I suspected it," said Tip.	true	123.65	125.88	23.184065
335_125941_000010_000001	"Did you get hurt?	"Did you get hurt?	true	125.88	126.825	28.845247
335_125941_000010_000002	Are you cracked at all?"	Are you cracked at all?"	true	126.825	127.96	26
335_125941_000011_000000	"No, I arrived safely," answered Jack, "and his Majesty has been very kind indeed to me.	"No, I arrived safely," answered Jack, "and his Majesty has been very kind indeed to me.	true	128.36	134.56	22.99027
335_125941_000012_000000	At this moment the Soldier with the Green Whiskers returned, and the Scarecrow asked:	At this moment the Soldier with the Green Whiskers returned, and the Scarecrow asked:	true	135.83	139.53	16
335_125941_000013_000000	99	ninety nine	false	139.53	140.1	0
335_125941_000014_000000	"By the way, who has conquered me?"	"By the way, who has conquered me?"	true	140.1	141.79	22
335_125941_000015_000000	"A regiment of girls, gathered from the four corners of the Land of Oz," replied the Soldier, still pale with fear.	"A regiment of girls, gathered from the four corners of the Land of Oz," replied the Soldier, still pale with fear.	false	143.42	150.01	21.77813
335_125941_000016_000000	"But where was my Standing Army at the time?" inquired his Majesty, looking at the Soldier, gravely.	"But where was my Standing Army at the time?" inquired his Majesty, looking at the Soldier, gravely.	true	152.12	157.66	19
