3546_9321_000000_000000	Chapter III	Chapter three	true	13.44	14.35	18.165115
3546_9321_000001_000000	Until he reached the age of twelve, Georgie's education was a domestic process; tutors came to the house; and those citizens who yearned for his taking down often said: "Just wait till he has to go to public school; then he'll get it!" But at twelve Georgie was sent to a private school in the town, and there came from this small and dependent institution no report, or even rumour, of Georgie's getting anything that he was thought to deserve; therefore the yearning still persisted, though growing gaunt with feeding upon itself.	Until he reached the age of twelve, Georgie's education was a domestic process; tutors came to the house; and those citizens who yearned for his taking down often said: "Just wait till he has to go to public school; then he'll get it!" But at twelve Georgie was sent to a private school in the town, and there came from this small and dependent institution no report, or even rumour, of Georgie's getting anything that he was thought to deserve; therefore the yearning still persisted, though growing gaunt with feeding upon itself.	true	16.1	46.33	18
3546_9321_000001_000001	For, although Georgie's pomposities and impudence in the little school were often almost unbearable, the teachers were fascinated by him.	For, although Georgie's pomposities and impudence in the little school were often almost unbearable, the teachers were fascinated by him.	true	46.97	54.46	15
3546_9321_000001_000002	They did not like him--he was too arrogant for that--but he kept them in such a state of emotion that they thought more about him than they did about all of the other ten pupils.	They did not like him-he was too arrogant for that-but he kept them in such a state of emotion that they thought more about him than they did about all of the other ten pupils.	false	54.53	63.07	17
3546_9321_000001_000003	The emotion he kept them in was usually one resulting from injured self-respect, but sometimes it was dazzled admiration.	The emotion he kept them in was usually one resulting from injured self respect, but sometimes it was dazzled admiration.	true	63.26	70.09	14
3546_9321_000001_000004	So far as their conscientious observation went, he "studied" his lessons sparingly; but sometimes, in class, he flashed an admirable answer, with a comprehension not often shown by the pupils they taught; and he passed his examinations easily.	So far as their conscientious observation went, he "studied" his lessons sparingly; but sometimes, in class, he flashed an admirable answer, with a comprehension not often shown by the pupils they taught; and he passed his examinations easily.	true	70.52	84.72	14
3546_9321_000001_000005	In all, without discernible effort, he acquired at this school some rudiments of a liberal education and learned nothing whatever about himself.	In all, without discernible effort, he acquired at this school some rudiments of a liberal education and learned nothing whatever about himself.	false	84.72	93.16	17.880116
3546_9321_000002_000000	The yearners were still yearning when Georgie, at sixteen, was sent away to a great "Prep School." "Now," they said brightly, "he'll get it! He'll find himself among boys just as important in their home towns as he is, and they'll knock the stuffing out of him when he puts on his airs with them!	The yearners were still yearning when Georgie, at sixteen, was sent away to a great "Prep School." "Now," they said brightly, "he'll get it! He'll find himself among boys just as important in their home towns as he is, and they'll knock the stuffing out of him when he puts on his airs with them!	true	94.31	109.14	16
3546_9321_000002_000001	Oh, but that would be worth something to see!"	Oh, but that would be worth something to see!"	true	109.14	111.4	18
3546_9321_000002_000002	They were mistaken, it appeared, for when Georgie returned, a few months later, he still seemed to have the same stuffing.	They were mistaken, it appeared, for when Georgie returned, a few months later, he still seemed to have the same stuffing.	true	112.31	118.06	15
3546_9321_000002_000003	He had been deported by the authorities, the offense being stated as "insolence and profanity"; in fact, he had given the principal of the school instructions almost identical with those formerly objected to by the Reverend Malloch Smith.	He had been deported by the authorities, the offense being stated as "insolence and profanity"; in fact, he had given the principal of the school instructions almost identical with those formerly objected to by the Reverend Malloch Smith.	true	118.4	132.165	19.960123
3546_9321_000003_000000	But he had not got his come-upance, and those who counted upon it were embittered by his appearance upon the down-town streets driving a dog-cart at criminal speed, making pedestrians retreat from the crossings, and behaving generally as if he "owned the earth." A disgusted hardware dealer of middle age, one of those who hungered for Georgie's downfall, was thus driven back upon the sidewalk to avoid being run over, and so far forgot himself as to make use of the pet street insult of the year: "Got 'ny sense!	But he had not got his come upance, and those who counted upon it were embittered by his appearance upon the down town streets driving a dog cart at criminal speed, making pedestrians retreat from the crossings, and behaving generally as if he "owned the earth." A disgusted hardware dealer of middle age, one of those who hungered for Georgie's downfall, was thus driven back upon the sidewalk to avoid being run over, and so far forgot himself as to make use of the pet street insult of the year: "Got 'n y sense!	false	132.165	160.56	15
3546_9321_000003_000001	See here, bub, does your mother know you're out?"	See here, bub, does your mother know you're out?"	true	160.56	162.64	22
