8575_290350_000000_000000	20.	twenty.
8575_290350_000000_000001	But not by their Motion, but periodical Appearances.	But not by their Motion, but periodical Appearances.
8575_290350_000002_000001	No two Parts of Duration can be certainly known to be equal.	No two Parts of Duration can be certainly known to be equal.
8575_290350_000003_000002	These yet, by their presumed and apparent equality, serve as well to reckon time by (though not to measure the parts of duration exactly) as if they could be proved to be exactly equal.	These yet, by their presumed and apparent equality, serve as well to reckon time by (though not to measure the parts of duration exactly) as if they could be proved to be exactly equal.
8575_290350_000004_000001	Time not the Measure of Motion	Time not the Measure of Motion
8575_290350_000006_000000	23.	twenty three.
8575_290350_000007_000000	24.	twenty four.
8575_290350_000007_000001	Our Measure of Time applicable to Duration before Time.	Our Measure of Time applicable to Duration before Time.
8575_290350_000009_000000	25.	twenty five.
8575_290350_000011_000000	26.	twenty six.
8575_290350_000013_000000	27.	twenty seven.
8575_290350_000013_000001	Eternity.	Eternity.
8575_290350_000015_000000	28.	twenty eight.
8575_290350_000017_000000	29.	twenty nine.
8575_290350_000019_000000	30.	thirty.
8575_290350_000021_000000	31.	thirty one.
