5570_73848_000000_000000	'What is it?' he cried, hastily stooping close.	'What is it?' he cried, hastily stooping close.	false	0	2.55	29.272923
5570_73848_000001_000000	'Why,' said the other, laughing and turning away, 'I think the moon must have bewitched me too.'	'Why,' said the other, laughing and turning away, 'I think the moon must have bewitched me too.'	false	2.55	9.6	22.848738
5570_73848_000002_000000	CHAPTER TEN	CHAPTER TEN	false	9.6	11.475	-20
5570_73848_000003_000000	Lawford listened awhile before opening his door.	Lawford listened awhile before opening his door.	true	11.475	14.77	19
5570_73848_000003_000001	He heard voices in the dining-room.	He heard voices in the dining room.	true	14.96	17.2	22.87183
5570_73848_000003_000002	A light shone faintly between the blinds of his bedroom.	A light shone faintly between the blinds of his bedroom.	true	17.45	20.8	24.778196
5570_73848_000003_000003	He very gently let himself in, and unheard, unseen, mounted the stairs.	He very gently let himself in, and unheard, unseen, mounted the stairs.	true	21.08	27.07	26.581388
5570_73848_000003_000004	He sat down in front of the fire, tired out and bitterly cold in spite of his long walk home.	He sat down in front of the fire, tired out and bitterly cold in spite of his long walk home.	true	27.65	34	25.661062
5570_73848_000003_000005	But his mind was wearier even than his body.	But his mind was wearier even than his body.	true	34.37	37.6	20.719166
5570_73848_000003_000006	He tried in vain to catch up the thread of his thoughts.	He tried in vain to catch up the thread of his thoughts.	true	37.97	41.17	23.006235
5570_73848_000003_000007	He only knew for certain that so far as his first hope and motives had gone his errand had proved entirely futile.	He only knew for certain that so far as his first hope and motives had gone his errand had proved entirely futile.	true	41.51	48.85	24.728876
5570_73848_000003_000008	'How could I possibly fall asleep with that fellow talking there?' he had said to himself angrily; yet knew in his heart that their talk had driven every other idea out of his mind.	'How could I possibly fall asleep with that fellow talking there?' he had said to himself angrily; yet knew in his heart that their talk had driven every other idea out of his mind.	true	49.67	60.4	25.322067
5570_73848_000003_000009	He had not yet even glanced into the glass.	He had not yet even glanced into the glass.	true	60.83	63.4	22.682962
5570_73848_000003_000010	His every thought was vainly wandering round and round the one curious hint that had drifted in, but which he had not yet been able to put into words.	His every thought was vainly wandering round and round the one curious hint that had drifted in, but which he had not yet been able to put into words.	true	63.77	72.73	22.707516
5570_73848_000004_000000	Supposing, though, that he had really fallen into a deep sleep, with none to watch or spy--what then?	Supposing, though, that he had really fallen into a deep sleep, with none to watch or spy-what then?	true	73.7	80.98	23.688335
