7867_275218_000000_000000	"But--but--stop a moment, dear Sir Helix; the see-sawers don't think that," argued the Tree.	"But-but-stop a moment, dear Sir Helix; the see sawers don't think that," argued the Tree.	false	0	4.77	24.04735
7867_275218_000001_000000	"They're all light-minded together, and don't think," sneered the Snail.	"They're all light minded together, and don't think," sneered the Snail.	false	4.77	8.1	21.204866
7867_275218_000001_000001	"Up in the sky one minute, down in the dust the next.	"Up in the sky one minute, down in the dust the next.	false	8.1	11.79	20
7867_275218_000001_000002	Never you mind that.	Never you mind that.	false	11.79	13.29	20.389431
7867_275218_000001_000003	Everybody can't play at high jinks with comfort, luckily for the rest of the world.	Everybody can't play at high jinks with comfort, luckily for the rest of the world.	false	13.29	18.36	28.244555
7867_275218_000001_000004	Sit fast, do your duty, and have faith.	Sit fast, do your duty, and have faith.	false	18.36	19.8	16
7867_275218_000001_000005	While they are going flightily up and down, your steady balance is the saving of both."	While they are going flightily up and down, your steady balance is the saving of both."	false	19.8	24.06	24.99507
7867_275218_000002_000000	THE STORY OF A STONE	THE STORY OF A STONE	true	24.06	25.93	27.001375
7867_275218_000003_000000	By David Starr Jordan	By David Starr Jordan	true	26.03	28.06	25.875431
7867_275218_000004_000000	Once on a time, a great many years ago, so many years that if your father should give you a dollar for every year you could buy up the whole town you live in and have enough left to pay the National Debt; in those old days when the great Northwest consisted only of a few hills, ragged and barren, and full of copper and quartz; in the days when the Northern Ocean washed the crest of Mount Washington and wrote its name upon the Pictured Rocks, and the tide of the Pacific swept over Plymouth Rock and surged up against Bunker Hill; when the Gulf of Mexico rolled its warm and shallow waters as far north as Escanaba and Eau Claire; in fact, an immensely long time ago--there lived somewhere in Oconto County, Wisconsin, a little jelly-fish.	Once on a time, a great many years ago, so many years that if your father should give you a dollar for every year you could buy up the whole town you live in and have enough left to pay the National Debt; in those old days when the great Northwest consisted only of a few hills, ragged and barren, and full of copper and quartz; in the days when the Northern Ocean washed the crest of Mount Washington and wrote its name upon the Pictured Rocks, and the tide of the Pacific swept over Plymouth Rock and surged up against Bunker Hill; when the Gulf of Mexico rolled its warm and shallow waters as far north as Escanaba and Eau Claire; in fact, an immensely long time ago-there lived somewhere in Oconto county wisconsin, a little jelly fish.	false	28.91	82.05	19
7867_275218_000004_000001	It was a curious creature, about the shape of half an apple, and the size of a cat's thimble, and it floated around in the water and ate little things and opened and shut its umbrella, pretty much as jelly-fishes do in the ocean now.	It was a curious creature, about the shape of half an apple, and the size of a cat's thimble, and it floated around in the water and ate little things and opened and shut its umbrella, pretty much as jelly fishes do in the ocean now.	true	82.05	96.22	19
7867_275218_000005_000000	It had a great many little feelers that hung down all around like so many mites of snakes, and so it was named Medusa, after that lady in the old times who wore snakes instead of hair, and who felt so badly because she couldn't do them up.	It had a great many little feelers that hung down all around like so many mites of snakes, and so it was named Medusa, after that lady in the old times who wore snakes instead of hair, and who felt so badly because she couldn't do them up.	true	96.38	113.23	17
7867_275218_000005_000001	Well, our little Medusa floated around and opened and shut her umbrella for a long time--a month, or a year, perhaps--we don't know how long.	Well, our little Medusa floated around and opened and shut her umbrella for a long time-a month, or a year, perhaps-we don't know how long.	true	113.54	123.19	17
7867_275218_000005_000002	Then, one morning, down among the sea-weeds, she laid a whole lot of tiny eggs, transparent as crab-apple jelly and much smaller than a dew-drop on the end of a pine-leaf.	Then, one morning, down among the sea weeds, she laid a whole lot of tiny eggs, transparent as crab apple jelly and much smaller than a dew drop on the end of a pine leaf.	true	123.53	136.54	22.157043
7867_275218_000005_000003	Now she leaves the scene, and our story henceforth concerns only one of these eggs.	Now she leaves the scene, and our story henceforth concerns only one of these eggs.	true	136.7	143.355	23
7867_275218_000006_000000	Well, one day, the sun shone down into the water--the same sun that shines through your window now--and a little fellow whom we will call Favosites, because that was his name, woke up inside of the egg and came out into the great world.	Well, one day, the sun shone down into the water-the same sun that shines through your window now-and a little fellow whom we will call Favosites, because that was his name, woke up inside of the egg and came out into the great world.	false	143.355	160.53	22.987165
7867_275218_000006_000001	He was only a wee bit of floating jelly, shaped like a cartridge pointed at both ends.	He was only a wee bit of floating jelly, shaped like a cartridge pointed at both ends.	false	160.53	166.45	23.960783
7867_275218_000006_000002	He had at his sides an immense number of little paddles that went flapping, flapping all the time, keeping him constantly in motion, whether the little fellow wanted to go or not.	He had at his sides an immense number of little paddles that went flapping, flapping all the time, keeping him constantly in motion, whether the little fellow wanted to go or not.	true	166.7	178.51	18
7867_275218_000006_000003	So he kept scudding along in the water, dodging from right to left, to avoid the ungainly creatures that wanted to eat him.	So he kept scudding along in the water, dodging from right to left, to avoid the ungainly creatures that wanted to eat him.	true	178.58	186.34	16
7867_275218_000006_000004	There were crabs and clams, of a fashion that neither you nor I will ever see alive. There were huge animals with great eyes, savage jaws and long feelers, that sat in the end of a long, round shell and glowered at him, and smaller ones of the same kind that looked like lobsters in a dinner-horn.	There were crabs and clams, of a fashion that neither you nor I will ever see alive. There were huge animals with great eyes, savage jaws and long feelers, that sat in the end of a long, round shell and glowered at him, and smaller ones of the same kind that looked like lobsters in a dinner horn.	false	186.41	206.865	18
7867_275218_000007_000000	But none of these got the little fellow, else I should not have any story to tell.	But none of these got the little fellow, else I should not have any story to tell.	true	206.865	212.41	27.654211
7867_275218_000008_000000	At last, having paddled about long enough, he thought of settling in life.	At last, having paddled about long enough, he thought of settling in life.	true	212.48	217.68	20.987524
7867_275218_000008_000001	So he looked around until he found a flat bit of shell that just suited him, when he sat down upon it, and grew fast, like old Holger Danske, in the Danish myth.	So he looked around until he found a flat bit of shell that just suited him, when he sat down upon it, and grew fast, like old Holger Danske, in the Danish myth.	true	217.68	228.25	21.85345
7867_275218_000008_000002	Only, unlike Holger, he didn't go to sleep, but proceeded to make himself at home.	Only, unlike Holger, he didn't go to sleep, but proceeded to make himself at home.	true	228.53	233.925	20.207972
7867_275218_000008_000003	So he made an opening in his upper side, and rigged for himself a mouth and a stomach, and put a whole row of feelers out, and began catching little worms and floating eggs and bits of jelly and bits of lime,--everything he could get,--and cramming them into his little stomach.	So he made an opening in his upper side, and rigged for himself a mouth and a stomach, and put a whole row of feelers out, and began catching little worms and floating eggs and bits of jelly and bits of lime,--everything he could get,--and cramming them into his little stomach.	true	233.925	253.275	21.09725
7867_275218_000009_000000	He had a great many curious ways, but the funniest of all was what he did with the bits of lime.	He had a great many curious ways, but the funniest of all was what he did with the bits of lime.	false	253.275	259.995	21
