1649_5776_000000_000003	Those who had much property, feared to risk its loss by embracing a doubtful struggle.	Those who had much property, feared to risk its loss by embracing a doubtful struggle.
1649_5776_000000_000005	This was the best apology of any that had been offered; natural affection was the pleader; and though blinded to its true interest, such weakness had an amiable source, and so was pardoned.	This was the best apology of any that had been offered; natural affection was the pleader; and though blinded to its true interest, such weakness had an amiable source, and so was pardoned.
1649_5776_000000_000007	"When Sir William Wallace is entering full sail, you will send your hirelings to tow him in! but if a plank could save him now, you would not throw it to him!	"When Sir William Wallace is entering full sail, you will send your hirelings to tow him in! but if a plank could save him now, you would not throw it to him!
1649_5776_000001_000001	He was trying his eloquence among the clan at Lennox, when Ker arriving, stamped his persuasions with truth; and above five hundred men arranged themselves under their lord's standard.	He was trying his eloquence among the clan at Lennox, when Ker arriving, stamped his persuasions with truth; and above five hundred men arranged themselves under their lord's standard.
1649_5776_000001_000002	Maxwell gladly explained himself to Wallace's lieutenant; and summoning his little reserve, they marched with flying pennons through the town of Dumbarton.	Maxwell gladly explained himself to Wallace's lieutenant; and summoning his little reserve, they marched with flying pennons through the town of Dumbarton.
1649_5776_000001_000003	At sight of so much larger a power than they expected would venture to appear in arms, and sanctioned by the example of the Earl of Lennox (whose name held a great influence in those parts), several, who before had held back, from doubting their own judgment, now came forward; and nearly eight hundred well-appointed men marched into the fortress.	At sight of so much larger a power than they expected would venture to appear in arms, and sanctioned by the example of the Earl of Lennox (whose name held a great influence in those parts), several, who before had held back, from doubting their own judgment, now came forward; and nearly eight hundred well appointed men marched into the fortress.
1649_5776_000002_000000	So large a reinforcement was gratefully received by Wallace; and he welcomed Maxwell with a cordiality which inspired that young knight with an affection equal to his zeal.	So large a reinforcement was gratefully received by Wallace; and he welcomed Maxwell with a cordiality which inspired that young knight with an affection equal to his zeal.
1649_5776_000003_000000	A council being held respecting the disposal of the new troops, it was decided that the Lennox men must remain with their earl in garrison; while those brought by Maxwell, and under his command, should follow Wallace in the prosecution of his conquests along with his own especial people.	A council being held respecting the disposal of the new troops, it was decided that the Lennox men must remain with their earl in garrison; while those brought by Maxwell, and under his command, should follow Wallace in the prosecution of his conquests along with his own especial people.
1649_5776_000004_000000	These preliminaries being arranged, the remainder of the day was dedicated to more mature deliberations--to the unfolding of the plan of warfare which Wallace had conceived.	These preliminaries being arranged, the remainder of the day was dedicated to more mature deliberations-to the unfolding of the plan of warfare which Wallace had conceived.
1649_5776_000005_000000	Mar had seen the power of his arms; Murray had already drunk the experience of a veteran from his genius; hence they were not surprised on hearing that which filled strangers with amazement.	Mar had seen the power of his arms; Murray had already drunk the experience of a veteran from his genius; hence they were not surprised on hearing that which filled strangers with amazement.
1649_5776_000007_000000	Maxwell, though equally astonished, was not so rapt.	Maxwell, though equally astonished, was not so rapt.
1649_5776_000007_000001	"You have made arms the study of your life?" inquired he.	"You have made arms the study of your life?" inquired he.
1649_5776_000008_000001	"But when Scotland lost her freedom, as the sword was not drawn in her defense, I looked not where it lay.	"But when Scotland lost her freedom, as the sword was not drawn in her defense, I looked not where it lay.
1649_5776_000008_000002	I then studied the arts of peace; that is over; and now the passion of my soul revives.	I then studied the arts of peace; that is over; and now the passion of my soul revives.
1649_5776_000008_000003	When the mind is bent on one object only, all becomes clear that leads to it; zeal, in such cases, is almost genius."	When the mind is bent on one object only, all becomes clear that leads to it; zeal, in such cases, is almost genius."
1649_5776_000009_000000	Soon after these observations, it was admitted that Wallace might attend Lord mar and his family on the morrow to the Isle of Bute.	Soon after these observations, it was admitted that Wallace might attend Lord mar and his family on the morrow to the Isle of Bute.
