8825_292252_000000_000000	"Enough!" cried Hawkins, and left him.	"Enough!" cried Hawkins, and left him.	false	0	3.345	21.563837
8825_292252_000001_000000	To Hawkins himself are we indebted for the incident, and after relating it Hawkins adds:	To Hawkins himself are we indebted for the incident, and after relating it Hawkins adds:	false	3.345	5.67	23.42564
8825_292252_000002_000000	"And thus did this idiot in the affairs of the world trifle with his fortunes!"	"And thus did this idiot in the affairs of the world trifle with his fortunes!"	false	5.67	6.93	100
8825_292252_000003_000000	Let him who wishes preach a sermon on this story.	Let him who wishes preach a sermon on this story.	false	6.93	8.13	16
8825_292252_000003_000001	But there you have it! "A brother in Ireland who needs help----"	But there you have it! "A brother in Ireland who needs help----"	false	8.13	10.23	23.71569
8825_292252_000004_000000	The brother in London, the brother in America, the brother in Ireland who needs help!	The brother in London, the brother in America, the brother in Ireland who needs help!	false	10.23	13.95	24.333239
8825_292252_000004_000001	All men were his brothers, and those who needed help were first in his mind.	All men were his brothers, and those who needed help were first in his mind.	false	13.95	19.56	22.375286
8825_292252_000005_000000	Dear little Doctor Goldsmith, you were not a hustler, but when I get to the Spirit World, I'll surely hunt you up!	Dear little Doctor Goldsmith, you were not a hustler, but when I get to the Spirit World, I'll surely hunt you up!	false	19.56	25.74	18.132027
8825_292252_000006_000000	WILLIAM SHAKESPEARE	WILLIAM SHAKESPEARE	false	25.74	30.09	18.417816
8825_292252_000007_000000	It is a melancholy of mine own, compounded of many simples, extracted from many objects, and indeed the sundry contemplation of my travels, in which my often rumination wraps me in a most humorous sadness.	It is a melancholy of mine own, compounded of many simples, extracted from many objects, and indeed the sundry contemplation of my travels, in which my often rumination wraps me in a most humorous sadness.	true	30.09	43.74	20
8825_292252_000008_000000	--_As You Like It_	--underscore As You Like It underscore	false	43.74	46.95	21.991554
8825_292252_000009_000000	[Illustration: WILLIAM SHAKESPEARE]	[Illustration: WILLIAM SHAKESPEARE]	false	46.95	49.36	18.609217
8825_292252_000010_000000	I have on several occasions been to the Shakespeare country, approaching it from different directions, but each time I am set down at Leamington.	I have on several occasions been to the Shakespeare country, approaching it from different directions, but each time I am set down at Leamington.	true	51.47	60.16	22.258196
8825_292252_000010_000001	Perhaps this is by some Act of Parliament--I really do not know; anyway, I have ceased to kick against the pricks and now meekly accept my fate.	Perhaps this is by some Act of Parliament-I really do not know; anyway, I have ceased to kick against the pricks and now meekly accept my fate.	true	60.89	69.67	26.820522
8825_292252_000011_000000	Leamington seems largely under subjection to that triumvirate of despots--the Butler, the Coachman and the Gardener.	Leamington seems largely under subjection to that triumvirate of despots-the Butler, the Coachman and the Gardener.	true	70.82	78.31	24.561268
8825_292252_000011_000001	You hear the jingle of keys, the flick of the whip and the rattle of the lawnmower; and a cold, secret fear takes possession of you--a sort of half-frenzied impulse to flee, before smug modernity takes you captive and whisks you off to play tiddledywinks or to dance the racquet.	You hear the jingle of keys, the flick of the whip and the rattle of the lawnmower; and a cold, secret fear takes possession of you-a sort of half frenzied impulse to flee, before smug modernity takes you captive and whisks you off to play tiddledywinks or to dance the racquet.	true	78.83	95.17	23.038038
8825_292252_000012_000000	But the tram is at the door--the outside fare is a penny, inside it's two--and we are soon safe, for we have reached the point where the Leam and the Avon meet.	But the tram is at the door-the outside fare is a penny, inside it's two-and we are soon safe, for we have reached the point where the Leam and the Avon meet.	false	96.23	106.15	23.368553
8825_292252_000013_000000	Warwick is worth our while.	Warwick is worth our while.	true	107.15	108.85	25.439632
