1903_132499_000015_000000	CHAPTER VII	CHAPTER seven
1903_132499_000016_000000	The same day, about seven o'clock in the evening, Raskolnikov was on his way to his mother's and sister's lodging--the lodging in Bakaleyev's house which Razumihin had found for them.	The same day, about seven o'clock in the evening, Raskolnikov was on his way to his mother's and sister's lodging-the lodging in Bakaleyev's house which Razumihin had found for them.
1903_132499_000016_000001	The stairs went up from the street.	The stairs went up from the street.
1903_132499_000016_000002	Raskolnikov walked with lagging steps, as though still hesitating whether to go or not.	Raskolnikov walked with lagging steps, as though still hesitating whether to go or not.
1903_132499_000016_000003	But nothing would have turned him back: his decision was taken.	But nothing would have turned him back: his decision was taken.
1903_132499_000017_000000	"Besides, it doesn't matter, they still know nothing," he thought, "and they are used to thinking of me as eccentric."	"Besides, it doesn't matter, they still know nothing," he thought, "and they are used to thinking of me as eccentric."
1903_132499_000018_000000	He was appallingly dressed: his clothes torn and dirty, soaked with a night's rain.	He was appallingly dressed: his clothes torn and dirty, soaked with a night's rain.
1903_132499_000018_000001	His face was almost distorted from fatigue, exposure, the inward conflict that had lasted for twenty-four hours.	His face was almost distorted from fatigue, exposure, the inward conflict that had lasted for twenty four hours.
1903_132499_000018_000002	He had spent all the previous night alone, God knows where.	He had spent all the previous night alone, God knows where.
1903_132499_000019_000000	He knocked at the door which was opened by his mother.	He knocked at the door which was opened by his mother.
1903_132499_000019_000002	Even the servant happened to be out.	Even the servant happened to be out.
1903_132499_000019_000003	At first Pulcheria Alexandrovna was speechless with joy and surprise; then she took him by the hand and drew him into the room.	At first Pulcheria Alexandrovna was speechless with joy and surprise; then she took him by the hand and drew him into the room.
1903_132499_000020_000000	"Here you are!" she began, faltering with joy.	"Here you are!" she began, faltering with joy.
1903_132499_000020_000001	"Don't be angry with me, Rodya, for welcoming you so foolishly with tears: I am laughing not crying.	"Don't be angry with me, Rodya, for welcoming you so foolishly with tears: I am laughing not crying.
1903_132499_000020_000002	Did you think I was crying?	Did you think I was crying?
1903_132499_000020_000003	No, I am delighted, but I've got into such a stupid habit of shedding tears.	No, I am delighted, but I've got into such a stupid habit of shedding tears.
1903_132499_000020_000004	I've been like that ever since your father's death.	I've been like that ever since your father's death.
1903_132499_000020_000005	I cry for anything.	I cry for anything.
1903_132499_000020_000006	Sit down, dear boy, you must be tired; I see you are.	Sit down, dear boy, you must be tired; I see you are.
1903_132499_000020_000007	Ah, how muddy you are."	Ah, how muddy you are."
1903_132499_000022_000000	"No, no," Pulcheria Alexandrovna hurriedly interrupted, "you thought I was going to cross-question you in the womanish way I used to; don't be anxious, I understand, I understand it all: now I've learned the ways here and truly I see for myself that they are better.	"No, no," Pulcheria Alexandrovna hurriedly interrupted, "you thought I was going to cross question you in the womanish way I used to; don't be anxious, I understand, I understand it all: now I've learned the ways here and truly I see for myself that they are better.
1903_132499_000022_000001	I've made up my mind once for all: how could I understand your plans and expect you to give an account of them?	I've made up my mind once for all: how could I understand your plans and expect you to give an account of them?
1903_132499_000022_000003	But, my goodness!	But, my goodness!
1903_132499_000022_000004	why am I running to and fro as though I were crazy...?	why am I running to and fro as though I were crazy...?
1903_132499_000022_000005	I am reading your article in the magazine for the third time, Rodya.	I am reading your article in the magazine for the third time, Rodya.
1903_132499_000022_000006	Dmitri Prokofitch brought it to me.	Dmitri Prokofitch brought it to me.
1903_132499_000022_000007	Directly I saw it I cried out to myself: 'There, foolish one,' I thought, 'that's what he is busy about; that's the solution of the mystery!	Directly I saw it I cried out to myself: 'There, foolish one,' I thought, 'that's what he is busy about; that's the solution of the mystery!
1903_132499_000022_000008	Learned people are always like that.	Learned people are always like that.
1903_132499_000022_000009	He may have some new ideas in his head just now; he is thinking them over and I worry him and upset him.' I read it, my dear, and of course there was a great deal I did not understand; but that's only natural--how should I?"	He may have some new ideas in his head just now; he is thinking them over and I worry him and upset him.' I read it, my dear, and of course there was a great deal I did not understand; but that's only natural-how should I?"
1903_132499_000024_000000	Raskolnikov took the magazine and glanced at his article.	Raskolnikov took the magazine and glanced at his article.
1903_132499_000024_000002	It lasted only a moment.	It lasted only a moment.
1903_132499_000024_000003	After reading a few lines he frowned and his heart throbbed with anguish.	After reading a few lines he frowned and his heart throbbed with anguish.
1903_132499_000024_000004	He recalled all the inward conflict of the preceding months.	He recalled all the inward conflict of the preceding months.
1903_132499_000024_000005	He flung the article on the table with disgust and anger.	He flung the article on the table with disgust and anger.
1903_132499_000025_000000	"But, however foolish I may be, Rodya, I can see for myself that you will very soon be one of the leading--if not the leading man--in the world of Russian thought.	"But, however foolish I may be, Rodya, I can see for myself that you will very soon be one of the leading-if not the leading man-in the world of Russian thought.
1903_132499_000025_000001	And they dared to think you were mad!	And they dared to think you were mad!
1903_132499_000025_000002	You don't know, but they really thought that.	You don't know, but they really thought that.
1903_132499_000025_000003	Ah, the despicable creatures, how could they understand genius!	Ah, the despicable creatures, how could they understand genius!
1903_132499_000025_000005	Your father sent twice to magazines--the first time poems (I've got the manuscript and will show you) and the second time a whole novel (I begged him to let me copy it out) and how we prayed that they should be taken--they weren't!	Your father sent twice to magazines-the first time poems (I've got the manuscript and will show you) and the second time a whole novel (I begged him to let me copy it out) and how we prayed that they should be taken-they weren't!
1903_132499_000025_000007	But now I see again how foolish I was, for you can attain any position you like by your intellect and talent.	But now I see again how foolish I was, for you can attain any position you like by your intellect and talent.
1903_132499_000025_000008	No doubt you don't care about that for the present and you are occupied with much more important matters...."	No doubt you don't care about that for the present and you are occupied with much more important matters...."
1903_132499_000026_000000	"Dounia's not at home, mother?"	"Dounia's not at home, mother?"
1903_132499_000027_000000	"No, Rodya.	"No, Rodya.
1903_132499_000027_000002	Dmitri Prokofitch comes to see me, it's so good of him, and he always talks about you.	Dmitri Prokofitch comes to see me, it's so good of him, and he always talks about you.
1903_132499_000027_000003	He loves you and respects you, my dear.	He loves you and respects you, my dear.
1903_132499_000027_000005	I am not complaining.	I am not complaining.
