4438_48525_000000_000000	XV	fifteen
4438_48525_000001_000000	Early in their engagement Wemyss had expounded his theory to Lucy that there should be the most perfect frankness between lovers, while as for husband and wife there oughtn't to be a corner anywhere about either of them, mind, body, or soul, which couldn't be revealed to the other one.	Early in their engagement Wemyss had expounded his theory to Lucy that there should be the most perfect frankness between lovers, while as for husband and wife there oughtn't to be a corner anywhere about either of them, mind, body, or soul, which couldn't be revealed to the other one.
4438_48525_000002_000000	'You can talk about everything to your Everard,' he assured her.	'You can talk about everything to your Everard,' he assured her.
4438_48525_000002_000001	'Tell him your innermost thoughts, whatever they may be.	'Tell him your innermost thoughts, whatever they may be.
4438_48525_000002_000002	You need no more be ashamed of telling him than of thinking them by yourself.	You need no more be ashamed of telling him than of thinking them by yourself.
4438_48525_000002_000006	That, little Love, is real marriage.	That, little Love, is real marriage.
4438_48525_000002_000007	What do you think of it?'	What do you think of it?'
4438_48525_000003_000000	Lucy thought so highly of it that she had no words with which to express her admiration, and fell to kissing him instead.	Lucy thought so highly of it that she had no words with which to express her admiration, and fell to kissing him instead.
4438_48525_000003_000003	Her mind was a chalice filled only with love, and so clear and bright was the love that even at the bottom, when she stirred it up to look, there wasn't a trace of sediment.	Her mind was a chalice filled only with love, and so clear and bright was the love that even at the bottom, when she stirred it up to look, there wasn't a trace of sediment.
4438_48525_000004_000000	But marriage--or was it sleeplessness?--completely changed this, and there were perfect crowds of thoughts in her mind that she was thoroughly ashamed of.	But marriage-or was it sleeplessness?--completely changed this, and there were perfect crowds of thoughts in her mind that she was thoroughly ashamed of.
4438_48525_000005_000000	Wemyss pricked up his ears, thinking it was something interesting to do with sex, and waited with an amused, inquisitive smile.	Wemyss pricked up his ears, thinking it was something interesting to do with sex, and waited with an amused, inquisitive smile.
4438_48525_000005_000001	But Lucy in such matters was content to follow him, aware of her want of experience and of the abundance of his, and the thought that was worrying her only had to do with a waiter.	But Lucy in such matters was content to follow him, aware of her want of experience and of the abundance of his, and the thought that was worrying her only had to do with a waiter.
4438_48525_000005_000002	A waiter, if you please.	A waiter, if you please.
4438_48525_000006_000000	Wemyss's smile died away.	Wemyss's smile died away.
4438_48525_000006_000001	He had had occasion to reprimand this waiter at lunch for gross negligence, and here was Lucy alleging he had done so without any reason that she could see, and anyhow roughly.	He had had occasion to reprimand this waiter at lunch for gross negligence, and here was Lucy alleging he had done so without any reason that she could see, and anyhow roughly.
4438_48525_000006_000002	Would he remove the feeling of discomfort she had at being forced to think her own heart's beloved, the kindest and gentlest of men, hadn't been kind and gentle but unjust, by explaining?	Would he remove the feeling of discomfort she had at being forced to think her own heart's beloved, the kindest and gentlest of men, hadn't been kind and gentle but unjust, by explaining?
4438_48525_000007_000000	Well, that was at the very beginning.	Well, that was at the very beginning.
4438_48525_000007_000001	She soon learned that a doubt in her mind was better kept there.	She soon learned that a doubt in her mind was better kept there.
4438_48525_000007_000002	If she brought it out to air it and dispel it by talking it over with him, all that happened was that he was hurt, and when he was hurt she instantly became perfectly miserable. Seeing, then, that this happened about small things, how impossible it was to talk with him of big things; of, especially, her immense doubt in regard to The Willows.	If she brought it out to air it and dispel it by talking it over with him, all that happened was that he was hurt, and when he was hurt she instantly became perfectly miserable. Seeing, then, that this happened about small things, how impossible it was to talk with him of big things; of, especially, her immense doubt in regard to The Willows.
4438_48525_000007_000003	For a long while she was sure he was bearing her feeling in mind, since it couldn't have changed since Christmas, and that when she arrived there she would find that he had had everything altered and all traces of Vera's life there removed.	For a long while she was sure he was bearing her feeling in mind, since it couldn't have changed since Christmas, and that when she arrived there she would find that he had had everything altered and all traces of Vera's life there removed.
4438_48525_000007_000004	Then, when he began to talk about The Willows, she found that such an idea as alterations hadn't entered his head.	Then, when he began to talk about The Willows, she found that such an idea as alterations hadn't entered his head.
4438_48525_000007_000005	She was to sleep in the very room that had been his and Vera's, in the very bed.	She was to sleep in the very room that had been his and Vera's, in the very bed.
4438_48525_000007_000006	And positively, so far was it from true that she could tell him every thought and talk everything over with him, when she discovered this she wasn't able to say more than that hesitating remark on the chateau terrace at Amboise about supposing he was going to change his bedroom.	And positively, so far was it from true that she could tell him every thought and talk everything over with him, when she discovered this she wasn't able to say more than that hesitating remark on the chateau terrace at Amboise about supposing he was going to change his bedroom.
4438_48525_000008_000001	What a comfort if, even if he had thought her too silly and morbid to be laughed at, he had indulged her and consented to alter those rooms.	What a comfort if, even if he had thought her too silly and morbid to be laughed at, he had indulged her and consented to alter those rooms.
4438_48525_000008_000003	There seemed to be no moment when it was in a condition of becoming, and she might have slipped in a suggestion or laid a wish before him; his plans were sprung upon her full fledged, and they were unalterable.	There seemed to be no moment when it was in a condition of becoming, and she might have slipped in a suggestion or laid a wish before him; his plans were sprung upon her full fledged, and they were unalterable.
4438_48525_000008_000004	Sometimes he said, 'Would you like----?' and if she didn't like, and answered truthfully, as she answered at first before she learned not to, there was trouble.	Sometimes he said, 'Would you like----?' and if she didn't like, and answered truthfully, as she answered at first before she learned not to, there was trouble.
4438_48525_000008_000005	Silent trouble.	Silent trouble.
4438_48525_000009_000000	Of course as far as the minor wishes and preferences of every day went it was all quite easy, once she had grasped the right answer to the question, 'Would you like?' She instantly did like.	Of course as far as the minor wishes and preferences of every day went it was all quite easy, once she had grasped the right answer to the question, 'Would you like?' She instantly did like.
4438_48525_000010_000000	How difficult it was sometimes.	How difficult it was sometimes.
4438_48525_000010_000001	When he said to her, 'You'll like the view from your sitting-room at The Willows,' she naturally wanted to cry out that she wouldn't, and ask him how he could suppose she would like what was to her a view for ever associated with death?	When he said to her, 'You'll like the view from your sitting room at The Willows,' she naturally wanted to cry out that she wouldn't, and ask him how he could suppose she would like what was to her a view for ever associated with death?
