5622_44586_000000_000000	[Footnote 5: Money.]	[Footnote five: Money.]	false	10.2	23.475	22.312576
5622_44586_000001_000000	CHAPTER XII	CHAPTER twelve	true	23.475	24.555	24.324463
5622_44586_000002_000000	THE VOICE	THE VOICE	true	24.555	25.42	25
5622_44586_000003_000000	Oh, there is something in that voice that reaches The innermost recesses of my spirit!	Oh, there is something in that voice that reaches The innermost recesses of my spirit!	true	27.35	32.38	18
5622_44586_000004_000000	--LONGFELLOW, _Christus_.	--LONGFELLOW, underscore Christus underscore.	false	32.48	38.07	17.771963
5622_44586_000005_000000	The dramatic critic of The London _Times_ once declared that acting is nine-tenths voice work.	The dramatic critic of The London underscore Times underscore once declared that acting is nine tenths voice work.	false	38.07	44.29	22
5622_44586_000005_000001	Leaving the message aside, the same may justly be said of public speaking.	Leaving the message aside, the same may justly be said of public speaking.	true	44.63	49.66	23.105639
5622_44586_000005_000002	A rich, correctly-used voice is the greatest physical factor of persuasiveness and power, often over-topping the effects of reason.	A rich, correctly used voice is the greatest physical factor of persuasiveness and power, often over topping the effects of reason.	true	49.97	59.02	23.470718
5622_44586_000006_000000	But a good voice, well handled, is not only an effective possession for the professional speaker, it is a mark of personal culture as well, and even a distinct commercial asset.	But a good voice, well handled, is not only an effective possession for the professional speaker, it is a mark of personal culture as well, and even a distinct commercial asset.	false	59.51	71.35	23.142113
5622_44586_000006_000001	Gladstone, himself the possessor of a deep, musical voice, has said: "Ninety men in every hundred in the crowded professions will probably never rise above mediocrity because the training of the voice is entirely neglected and considered of no importance." These are words worth pondering.	Gladstone, himself the possessor of a deep, musical voice, has said: "Ninety men in every hundred in the crowded professions will probably never rise above mediocrity because the training of the voice is entirely neglected and considered of no importance." These are words worth pondering.	false	71.57	90.97	20.873478
5622_44586_000007_000000	There are three fundamental requisites for a good voice:	There are three fundamental requisites for a good voice:	true	91.43	94.89	18
5622_44586_000008_000000	_1.	underscore one.	false	94.89	95.91	19.606731
5622_44586_000008_000001	Ease_	Ease underscore	false	95.91	97.2	25.713457
5622_44586_000009_000000	Signor Bonci of the Metropolitan Opera Company says that the secret of good voice is relaxation; and this is true, for relaxation is the basis of ease.	Signor Bonci of the Metropolitan Opera Company says that the secret of good voice is relaxation; and this is true, for relaxation is the basis of ease.	false	97.2	107.91	19.716143
5622_44586_000009_000001	The air waves that produce voice result in a different kind of tone when striking against relaxed muscles than when striking constricted muscles.	The air waves that produce voice result in a different kind of tone when striking against relaxed muscles than when striking constricted muscles.	true	107.91	116.08	16
5622_44586_000009_000002	Try this for yourself.	Try this for yourself.	true	116.18	117.73	20.899118
5622_44586_000009_000003	Contract the muscles of your face and throat as you do in hate, and flame out "I hate you!" Now relax as you do when thinking gentle, tender thoughts, and say, "I love you." How different the voice sounds.	Contract the muscles of your face and throat as you do in hate, and flame out "I hate you!" Now relax as you do when thinking gentle, tender thoughts, and say, "I love you." How different the voice sounds.	false	117.89	132.73	21.549532
5622_44586_000010_000000	In practising voice exercises, and in speaking, never force your tones. Ease must be your watchword.	In practising voice exercises, and in speaking, never force your tones. Ease must be your watchword.	true	133.34	140.5	22.955948
5622_44586_000010_000001	The voice is a delicate instrument, and you must not handle it with hammer and tongs.	The voice is a delicate instrument, and you must not handle it with hammer and tongs.	true	140.99	146.14	19
5622_44586_000010_000002	Don't _make_ your voice go--_let_ it go.	Don't underscore make underscore your voice go-underscore let underscore it go.	false	146.75	149.92	25.24817
5622_44586_000010_000003	Don't work.	Don't work.	true	150.2	151.455	24.786913
5622_44586_000010_000004	Let the yoke of speech be easy and its burden light.	Let the yoke of speech be easy and its burden light.	true	151.455	154.78	23.741007
5622_44586_000011_000000	Your throat should be free from strain during speech, therefore it is necessary to avoid muscular contraction.	Your throat should be free from strain during speech, therefore it is necessary to avoid muscular contraction.	false	154.91	161.47	19
5622_44586_000011_000001	The throat must act as a sort of chimney or funnel for the voice, hence any unnatural constriction will not only harm its tones but injure its health.	The throat must act as a sort of chimney or funnel for the voice, hence any unnatural constriction will not only harm its tones but injure its health.	false	161.78	172.03	22.301825
5622_44586_000012_000000	Nervousness and mental strain are common sources of mouth and throat constriction, so make the battle for poise and self-confidence for which we pleaded in the opening chapter.	Nervousness and mental strain are common sources of mouth and throat constriction, so make the battle for poise and self confidence for which we pleaded in the opening chapter.	true	172.46	183.19	21.40268
5622_44586_000013_000000	But _how_ can I relax?	But underscore how underscore can I relax?	false	183.95	185.25	23
5622_44586_000013_000001	you ask.	you ask.	true	185.25	186.06	23.936647
5622_44586_000013_000002	By simply _willing_ to relax.	By simply underscore willing underscore to relax.	false	186.06	188.32	17
5622_44586_000013_000003	Hold your arm out straight from your shoulder.	Hold your arm out straight from your shoulder.	true	188.75	191.35	23
5622_44586_000013_000004	Now--withdraw all power and let it fall.	Now-withdraw all power and let it fall.	true	191.54	195.19	24.040237
5622_44586_000013_000005	Practise relaxation of the muscles of the throat by letting your neck and head fall forward.	Practise relaxation of the muscles of the throat by letting your neck and head fall forward.	true	195.62	201.07	21
5622_44586_000013_000006	Roll the upper part of your body around, with the waist line acting as a pivot.	Roll the upper part of your body around, with the waist line acting as a pivot.	true	201.53	206.71	21.543594
5622_44586_000013_000007	Let your head fall and roll around as you shift the torso to different positions.	Let your head fall and roll around as you shift the torso to different positions.	true	207.02	212.47	20.470236
5622_44586_000013_000008	Do not force your head around--simply relax your neck and let gravity pull it around as your body moves.	Do not force your head around-simply relax your neck and let gravity pull it around as your body moves.	true	212.96	218.95	18
5622_44586_000014_000000	Again, let your head fall forward on your breast; raise your head, letting your jaw hang.	Again, let your head fall forward on your breast; raise your head, letting your jaw hang.	true	219.83	226.27	21.66009
5622_44586_000014_000001	Relax until your jaw feels heavy, as though it were a weight hung to your face.	Relax until your jaw feels heavy, as though it were a weight hung to your face.	true	226.4	232.06	20.940313
5622_44586_000014_000002	Remember, you must relax the jaw to obtain command of it.	Remember, you must relax the jaw to obtain command of it.	true	232.58	236.265	22
5622_44586_000014_000003	It must be free and flexible for the moulding of tone, and to let the tone pass out unobstructed.	It must be free and flexible for the moulding of tone, and to let the tone pass out unobstructed.	true	236.265	242.83	22.37724
5622_44586_000015_000000	The lips also must be made flexible, to aid in the moulding of clear and beautiful tones.	The lips also must be made flexible, to aid in the moulding of clear and beautiful tones.	true	243.11	248.925	24
