3274_167022_000000_000000	"Well, then what?" Harrington asked.	"Well, then what?" Harrington asked.	true	46.56	49.21	24.394379
3274_167022_000001_000000	Von Schlichten dropped ash from his cigarette into the tray that served all three of them.	Von Schlichten dropped ash from his cigarette into the tray that served all three of them.	true	49.61	53.74	22.872242
3274_167022_000002_000000	"Nothing much," he replied.	"Nothing much," he replied.	true	53.99	56.91	23.018446
3274_167022_000002_000001	"Keeluk bugged out as soon as he saw my car let down.	"Keeluk bugged out as soon as he saw my car let down.	false	56.91	60.55	24.10841
3274_167022_000002_000002	We picked up a few of his ragtag-and-bobtail, and they're being questioned now, but I doubt if they'll tell us anything we don't know already.	We picked up a few of his ragtag and bobtail, and they're being questioned now, but I doubt if they'll tell us anything we don't know already.	true	60.71	68.71	27.0855
3274_167022_000002_000003	The dog had been kept in a lean-to back of the house; it had been removed, probably as soon as Keeluk called in his goon-gang.	The dog had been kept in a lean to back of the house; it had been removed, probably as soon as Keeluk called in his goon gang.	true	68.96	75.97	27.35603
3274_167022_000002_000004	At least one of the rabbits had been kept on the premises, too, some time ago.	At least one of the rabbits had been kept on the premises, too, some time ago.	true	75.98	80.29	23.70401
3274_167022_000002_000005	No trace of the goat."	No trace of the goat."	true	80.39	82.03	25.276411
3274_167022_000003_000000	He watched Blount move one of his pieces and nodded approvingly.	He watched Blount move one of his pieces and nodded approvingly.	true	82.25	85.66	23.64269
3274_167022_000003_000001	"The riot's been put down," he continued, "but we're keeping two companies of Kragans in the city, and about a dozen airjeeps patrolling the section from Eightieth down to Sixty-fourth, and from the waterfront back to Eighth Avenue.	"The riot's been put down," he continued, "but we're keeping two companies of Kragans in the city, and about a dozen airjeeps patrolling the section from Eightieth down to Sixty fourth, and from the waterfront back to Eighth Avenue.	false	86.06	98.95	29.523586
3274_167022_000003_000002	There is also the equivalent of a regiment of King Jaikark's infantry--spearmen, crossbowmen, and a few riflemen--and two of those outsize cavalry companies of his, helping hold the lid down.	There is also the equivalent of a regiment of King Jaikark's infantry-spearmen, crossbowmen, and a few riflemen-and two of those outsize cavalry companies of his, helping hold the lid down.	true	99.08	110.44	24.103205
3274_167022_000003_000003	They're making mass arrests, indiscriminately.	They're making mass arrests, indiscriminately.	true	110.45	113.47	23.939283
3274_167022_000003_000004	More slaves for Jaikark's court favorite, of course."	More slaves for Jaikark's court favorite, of course."	true	113.48	116.77	25.99054
3274_167022_000004_000000	"Or else Gurgurk wants them to use for patronage," Blount added.	"Or else Gurgurk wants them to use for patronage," Blount added.	true	116.99	120.34	27.673723
3274_167022_000004_000001	"He's been building quite a political organization, lately.	"He's been building quite a political organization, lately.	true	120.35	123.19	22.192993
3274_167022_000004_000002	Getting ready to shove Jaikark off the throne, I'd say."	Getting ready to shove Jaikark off the throne, I'd say."	true	123.38	126.07	24.184862
3274_167022_000005_000000	Harrington pushed one of his pieces out along a radial line toward the rim.	Harrington pushed one of his pieces out along a radial line toward the rim.	true	126.56	130.09	20
3274_167022_000005_000001	Blount promptly took a pawn, which, under Ulleran rules, entitled him to a second move.	Blount promptly took a pawn, which, under Ulleran rules, entitled him to a second move.	false	130.52	135.975	25.493242
3274_167022_000005_000002	He shifted another piece, a sort of combination knight and bishop, to threaten the piece Harrington had moved.	He shifted another piece, a sort of combination knight and bishop, to threaten the piece Harrington had moved.	true	135.975	141.76	22.739817
3274_167022_000006_000000	"Oh, Gurgurk wouldn't dare try anything like that," the Governor-General said.	"Oh, Gurgurk wouldn't dare try anything like that," the Governor General said.	true	141.86	145.71	25.303225
3274_167022_000006_000001	"He knows we wouldn't let him get away with it. We have too much of an investment in King Jaikark."	"He knows we wouldn't let him get away with it. We have too much of an investment in King Jaikark."	true	145.71	150.16	23.160809
3274_167022_000007_000000	"Then why's Gurgurk been supporting this damned Rakkeed?" Blount wanted to know, hastily interposing a piece.	"Then why's Gurgurk been supporting this damned Rakkeed?" Blount wanted to know, hastily interposing a piece.	true	151.07	157.06	25.589888
