3274_167022_000000_000000	"Well, then what?" Harrington asked.	"Well, then what?" Harrington asked.
3274_167022_000001_000000	Von Schlichten dropped ash from his cigarette into the tray that served all three of them.	Von Schlichten dropped ash from his cigarette into the tray that served all three of them.
3274_167022_000002_000000	"Nothing much," he replied.	"Nothing much," he replied.
3274_167022_000002_000002	We picked up a few of his ragtag-and-bobtail, and they're being questioned now, but I doubt if they'll tell us anything we don't know already.	We picked up a few of his ragtag and bobtail, and they're being questioned now, but I doubt if they'll tell us anything we don't know already.
3274_167022_000002_000003	The dog had been kept in a lean-to back of the house; it had been removed, probably as soon as Keeluk called in his goon-gang.	The dog had been kept in a lean to back of the house; it had been removed, probably as soon as Keeluk called in his goon gang.
3274_167022_000002_000004	At least one of the rabbits had been kept on the premises, too, some time ago.	At least one of the rabbits had been kept on the premises, too, some time ago.
3274_167022_000002_000005	No trace of the goat."	No trace of the goat."
3274_167022_000003_000000	He watched Blount move one of his pieces and nodded approvingly.	He watched Blount move one of his pieces and nodded approvingly.
3274_167022_000003_000002	There is also the equivalent of a regiment of King Jaikark's infantry--spearmen, crossbowmen, and a few riflemen--and two of those outsize cavalry companies of his, helping hold the lid down.	There is also the equivalent of a regiment of King Jaikark's infantry-spearmen, crossbowmen, and a few riflemen-and two of those outsize cavalry companies of his, helping hold the lid down.
3274_167022_000003_000003	They're making mass arrests, indiscriminately.	They're making mass arrests, indiscriminately.
3274_167022_000003_000004	More slaves for Jaikark's court favorite, of course."	More slaves for Jaikark's court favorite, of course."
3274_167022_000004_000000	"Or else Gurgurk wants them to use for patronage," Blount added.	"Or else Gurgurk wants them to use for patronage," Blount added.
3274_167022_000004_000001	"He's been building quite a political organization, lately.	"He's been building quite a political organization, lately.
3274_167022_000004_000002	Getting ready to shove Jaikark off the throne, I'd say."	Getting ready to shove Jaikark off the throne, I'd say."
3274_167022_000005_000000	Harrington pushed one of his pieces out along a radial line toward the rim.	Harrington pushed one of his pieces out along a radial line toward the rim.
3274_167022_000005_000002	He shifted another piece, a sort of combination knight and bishop, to threaten the piece Harrington had moved.	He shifted another piece, a sort of combination knight and bishop, to threaten the piece Harrington had moved.
3274_167022_000006_000000	"Oh, Gurgurk wouldn't dare try anything like that," the Governor-General said.	"Oh, Gurgurk wouldn't dare try anything like that," the Governor General said.
3274_167022_000006_000001	"He knows we wouldn't let him get away with it. We have too much of an investment in King Jaikark."	"He knows we wouldn't let him get away with it. We have too much of an investment in King Jaikark."
3274_167022_000007_000000	"Then why's Gurgurk been supporting this damned Rakkeed?" Blount wanted to know, hastily interposing a piece.	"Then why's Gurgurk been supporting this damned Rakkeed?" Blount wanted to know, hastily interposing a piece.
3274_167022_000007_000001	"Gurgurk can follow one of two lines of policy.	"Gurgurk can follow one of two lines of policy.
3274_167022_000007_000002	He can undertake to heave Jaikark off the throne and seize power, or he has to support Jaikark on the throne. We're subsidizing Jaikark.	He can undertake to heave Jaikark off the throne and seize power, or he has to support Jaikark on the throne. We're subsidizing Jaikark.
3274_167022_000007_000003	Rakkeed has been preaching this crusade against the Terrans, and against Jaikark, whom we control.	Rakkeed has been preaching this crusade against the Terrans, and against Jaikark, whom we control.
3274_167022_000007_000004	Gurgurk has been subsidizing Rakkeed...."	Gurgurk has been subsidizing Rakkeed...."
3274_167022_000008_000000	"You haven't any proof of that," Harrington protested.	"You haven't any proof of that," Harrington protested.
3274_167022_000009_000000	"My Intelligence Section has," von Schlichten put in.	"My Intelligence Section has," von Schlichten put in.
3274_167022_000009_000001	"We can give sums of money, and dates, and the names of the intermediaries through whom they were paid to Rakkeed.	"We can give sums of money, and dates, and the names of the intermediaries through whom they were paid to Rakkeed.
3274_167022_000009_000002	Eric is absolutely correct in making that statement."	Eric is absolutely correct in making that statement."
3274_167022_000010_000001	That will put him in the position of the friend of the Company, and most of his dupes will be rounded up and sold as slaves, and King Gurgurk'll pocket the proceeds.	That will put him in the position of the friend of the Company, and most of his dupes will be rounded up and sold as slaves, and King Gurgurk'll pocket the proceeds.
3274_167022_000010_000002	The only question is, will Rakkeed let himself be used that way?	The only question is, will Rakkeed let himself be used that way?
3274_167022_000010_000003	I think Rakkeed's bigger than Gurgurk ever can be.	I think Rakkeed's bigger than Gurgurk ever can be.
3274_167022_000010_000004	And more of a threat to the Company.	And more of a threat to the Company.
3274_167022_000010_000005	Everywhere we turn, Rakkeed's at the bottom of whatever happens to be wrong.	Everywhere we turn, Rakkeed's at the bottom of whatever happens to be wrong.
3274_167022_000010_000006	This business, for instance; Keeluk's one of Rakkeed's followers."	This business, for instance; Keeluk's one of Rakkeed's followers."
3274_167022_000011_000000	"Eric, you have Rakkeed on the brain!" Harrington exclaimed impatiently, then moved the threatened piece counterclockwise on the circle where he had placed it.	"Eric, you have Rakkeed on the brain!" Harrington exclaimed impatiently, then moved the threatened piece counterclockwise on the circle where he had placed it.
3274_167022_000011_000001	"He's just a barbarian caravan-driver."	"He's just a barbarian caravan driver."
3274_167022_000012_000000	Eric Blount moved the piece that had taken Harrington's pawn.	Eric Blount moved the piece that had taken Harrington's pawn.
3274_167022_000013_000000	"Your king's in danger," he warned.	"Your king's in danger," he warned.
3274_167022_000013_000001	"And Hitler was just a paper-hanger."	"And Hitler was just a paper hanger."
3274_167022_000014_000000	"Rakkeed has no following, except among the rabble." Harrington puffed furiously at his pipe, trying to figure the best protection for his king.	"Rakkeed has no following, except among the rabble." Harrington puffed furiously at his pipe, trying to figure the best protection for his king.
3274_167022_000015_000001	"Here in Konkrook, he's always entertained by one or another of the big ship-owning nobles. They probably deprecate his table-manners, but they just love his politics.	"Here in Konkrook, he's always entertained by one or another of the big ship owning nobles. They probably deprecate his table manners, but they just love his politics.
3274_167022_000016_000000	"The last time Rakkeed was in Konkrook, he was the guest of the Keegarkan Ambassador," von Schlichten stated.	"The last time Rakkeed was in Konkrook, he was the guest of the Keegarkan Ambassador," von Schlichten stated.
3274_167022_000016_000001	"Intelligence got that from a spy we'd planted among the embassy servants."	"Intelligence got that from a spy we'd planted among the embassy servants."
3274_167022_000017_000000	"You sure this spy wasn't just romancing?" Harrington asked.	"You sure this spy wasn't just romancing?" Harrington asked.
3274_167022_000017_000001	"You get so confounded many wild stories about Rakkeed.	"You get so confounded many wild stories about Rakkeed.
3274_167022_000018_000000	"No mystery to that," von Schlichten said.	"No mystery to that," von Schlichten said.
3274_167022_000018_000001	"He travels on our ships, in disguise, coolie-class, on the geek-deck."	"He travels on our ships, in disguise, coolie class, on the geek deck."
3274_167022_000019_000001	"One of the lower-deck loading ports could be left unlocked, by carelessness, and he could blunder overboard at about five thousand feet." He watched Harrington make a deceptively pointless-looking move.	"One of the lower deck loading ports could be left unlocked, by carelessness, and he could blunder overboard at about five thousand feet." He watched Harrington make a deceptively pointless looking move.
3274_167022_000019_000002	"Sid, this damn dog business worries me."	"Sid, this damn dog business worries me."
3274_167022_000020_000000	"Worries me, too.	"Worries me, too.
3274_167022_000020_000001	I'm fond of that mutt, and God only knows what sort of stuff he's been getting to eat.	I'm fond of that mutt, and God only knows what sort of stuff he's been getting to eat.
3274_167022_000020_000002	And I hate to think of why those geeks stole him, too."	And I hate to think of why those geeks stole him, too."
3274_167022_000022_000000	"A Mr. Keeluk, a clergyman," von Schlichten quoted.	"A mr Keeluk, a clergyman," von Schlichten quoted.
3274_167022_000022_000001	He chain-lit another cigarette and stubbed out the old one.	He chain lit another cigarette and stubbed out the old one.
3274_167022_000022_000002	"Maybe the Rev.	"Maybe the Rev.
3274_167022_000022_000003	Keeluk wanted Stalin for sacramental purposes."	Keeluk wanted Stalin for sacramental purposes."
3274_167022_000023_000001	"Ritual killing?" he asked.	"Ritual killing?" he asked.
3274_167022_000023_000002	"Or sympathetic magic?"	"Or sympathetic magic?"
3274_167022_000024_000000	Von Schlichten shrugged.	Von Schlichten shrugged.
3274_167022_000024_000001	"Take your choice.	"Take your choice.
3274_167022_000024_000002	Maybe Rakkeed wanted the dog, to kill before a congregation of his followers, killing us by proxy, or in effigy.	Maybe Rakkeed wanted the dog, to kill before a congregation of his followers, killing us by proxy, or in effigy.
3274_167022_000025_000000	That wasn't the first time he'd made that wish.	That wasn't the first time he'd made that wish.
3274_167022_000025_000002	At the same time, the average Ulleran probably had complexes and neuroses that would have had Freud talking to himself, and they certainly indulged in practices that would have even stood Krafft-Ebing's hair on end.	At the same time, the average Ulleran probably had complexes and neuroses that would have had Freud talking to himself, and they certainly indulged in practices that would have even stood Krafft Ebing's hair on end.
3274_167022_000026_000001	"It doesn't take any Ulleran psychologist to know that about eighty percent of them hate us poisonously."	"It doesn't take any Ulleran psychologist to know that about eighty percent of them hate us poisonously."
3274_167022_000027_000000	"Oh, rubbish!" Harrington blew the exclamation out around his pipe-stem with a gush of smoke.	"Oh, rubbish!" Harrington blew the exclamation out around his pipe stem with a gush of smoke.
3274_167022_000027_000001	"A few fanatics hate us, and a few merchants who lost money when we replaced this primitive barter economy of theirs, but nine-tenths of them have benefited enormously from us, and continue to benefit...."	"A few fanatics hate us, and a few merchants who lost money when we replaced this primitive barter economy of theirs, but nine tenths of them have benefited enormously from us, and continue to benefit...."
3274_167022_000028_000000	"And hate us more deeply with each new benefit," Blount added.	"And hate us more deeply with each new benefit," Blount added.
3274_167022_000028_000001	"They resent everything we've done for them."	"They resent everything we've done for them."
3274_167022_000029_000000	"Yes, this spaceport proposition of King Orgzild of Keegark looks like it, now doesn't it?" Harrington retorted.	"Yes, this spaceport proposition of King Orgzild of Keegark looks like it, now doesn't it?" Harrington retorted.
3274_167022_000029_000001	"He hates and resents us so much that he's offered us a spaceport at his city...."	"He hates and resents us so much that he's offered us a spaceport at his city...."
3274_167022_000030_000000	"What's it going to cost him?" Blount asked.	"What's it going to cost him?" Blount asked.
3274_167022_000030_000001	"He furnishes the land--sequestered from the estate of some noble he executed for treason--and the labor--all forced.	"He furnishes the land-sequestered from the estate of some noble he executed for treason-and the labor-all forced.
3274_167022_000030_000002	We furnish the structural steel, the machine-equipment, the engineering.	We furnish the structural steel, the machine equipment, the engineering.
3274_167022_000031_000000	He made a move.	He made a move.
3274_167022_000031_000001	Instantly, Harrington slashed out from the middle of the board with one of his heavy-duty, all-purpose pieces and took a piece, then moved again.	Instantly, Harrington slashed out from the middle of the board with one of his heavy duty, all purpose pieces and took a piece, then moved again.
3274_167022_000032_000000	"Now look whose king's threatened!" he crowed.	"Now look whose king's threatened!" he crowed.
3274_167022_000033_000000	"Yes, I see." Blount brought a piece clockwise around the board and took the threatening piece, then moved again.	"Yes, I see." Blount brought a piece clockwise around the board and took the threatening piece, then moved again.
3274_167022_000033_000001	"I hope you see whose king's threatened, now."	"I hope you see whose king's threatened, now."
3274_167022_000034_000000	Harrington swore, reached out to move a piece, and then jerked his hand back as though the piece were radioactive.	Harrington swore, reached out to move a piece, and then jerked his hand back as though the piece were radioactive.
3274_167022_000034_000001	For a while, he sat puffing his pipe and staring at the board.	For a while, he sat puffing his pipe and staring at the board.
3274_167022_000036_000000	"Where's he getting the plutonium?" von Schlichten asked.	"Where's he getting the plutonium?" von Schlichten asked.
3274_167022_000037_000000	"Where can he get it?" Harrington replied.	"Where can he get it?" Harrington replied.
3274_167022_000038_000000	"That's a hell of a lot of plutonium," Blount said.	"That's a hell of a lot of plutonium," Blount said.
3274_167022_000038_000001	"I wonder if he mightn't have some idea of what else plutonium can be used for, beside generating power."	"I wonder if he mightn't have some idea of what else plutonium can be used for, beside generating power."
3274_167022_000039_000000	"Oh, God, I hope not!" Harrington exclaimed.	"Oh, God, I hope not!" Harrington exclaimed.
3274_167022_000039_000001	"You're going to get me started seeing burglars under the bed, next...."	"You're going to get me started seeing burglars under the bed, next...."
3274_167022_000040_000000	"Maybe there are burglars," Blount said, pointing with his cigarette-holder to Harrington's threatened king.	"Maybe there are burglars," Blount said, pointing with his cigarette holder to Harrington's threatened king.
3274_167022_000040_000001	"Can't you do something about that, Sid?" Then he turned to von Schlichten.	"Can't you do something about that, Sid?" Then he turned to von Schlichten.
3274_167022_000040_000002	"Before we get off the subject, how about those letters the Rev.	"Before we get off the subject, how about those letters the Rev.
3274_167022_000040_000003	Keeluk gave to the Quinton girl?"	Keeluk gave to the Quinton girl?"
3274_167022_000041_000000	"All addressed to Skilkans known to be Rakkeed disciples and rabidly anti-Terran," von Schlichten replied.	"All addressed to Skilkans known to be Rakkeed disciples and rabidly anti Terran," von Schlichten replied.
3274_167022_000041_000001	"We radioed the list to Skilk; Colonel Cheng-Li, our intelligence man there, teleprinted us back a lot of material on them that looks like the Newgate Calendar.	"We radioed the list to Skilk; Colonel Cheng Li, our intelligence man there, teleprinted us back a lot of material on them that looks like the Newgate Calendar.
3274_167022_000041_000002	We turned the letters themselves over to Doc Petrie, the Ulleran philology sharp, who is a pretty fair cryptanalyst.	We turned the letters themselves over to Doc Petrie, the Ulleran philology sharp, who is a pretty fair cryptanalyst.
3274_167022_000041_000003	He couldn't find any indications of cipher, but there was a lot of gossip about Keeluk's friends and parishioners which might have arbitrary code-meanings.	He couldn't find any indications of cipher, but there was a lot of gossip about Keeluk's friends and parishioners which might have arbitrary code meanings.
3274_167022_000042_000000	Harrington had gotten his king temporarily out of danger, losing a piece doing it.	Harrington had gotten his king temporarily out of danger, losing a piece doing it.
3274_167022_000043_000000	"Think she'll listen to you?" he asked.	"Think she'll listen to you?" he asked.
3274_167022_000043_000001	"These Extraterrestrials' Rights Association people are a lot of blasted fanatics, themselves. We're a gang of bloody-handed, flint-hearted, imperialistic sons of bitches in their book, and anything we say's sure to be a Hitler-sized lie."	"These Extraterrestrials' Rights Association people are a lot of blasted fanatics, themselves. We're a gang of bloody handed, flint hearted, imperialistic sons of bitches in their book, and anything we say's sure to be a Hitler sized lie."
3274_167022_000044_000000	"Oh, they're not as bad as all that.	"Oh, they're not as bad as all that.
3274_167022_000044_000001	I never met the girl before today, but old Mohammed Ferriera's a decent bloke.	I never met the girl before today, but old Mohammed Ferriera's a decent bloke.
3274_167022_000044_000003	For one thing, they put an end to the peonage system on Yggdrasill, and I know what conditions were like, there, before they did."	For one thing, they put an end to the peonage system on Yggdrasill, and I know what conditions were like, there, before they did."
3274_167022_000045_000000	A calculating look came into Harrington's eye.	A calculating look came into Harrington's eye.
3274_167022_000045_000001	He puffed slowly at his pipe and slid a piece from the center toward the sector of the board nearest him.	He puffed slowly at his pipe and slid a piece from the center toward the sector of the board nearest him.
3274_167022_000045_000002	Blount whistled softly and made a quick re-arrangement.	Blount whistled softly and made a quick re arrangement.
3274_167022_000046_000000	"Carlos, did you say she told you she was going to Skilk, in the near future?" Harrington asked.	"Carlos, did you say she told you she was going to Skilk, in the near future?" Harrington asked.
3274_167022_000046_000002	Why don't you invite her to make the trip with you?	Why don't you invite her to make the trip with you?
3274_167022_000046_000003	You can be quite attractive to young ladies, when you try, and she'll be grateful for that rescue this afternoon, which is always a good foundation.	You can be quite attractive to young ladies, when you try, and she'll be grateful for that rescue this afternoon, which is always a good foundation.
3274_167022_000046_000004	Maybe you can plant a couple of ideas where they'll do the most good.	Maybe you can plant a couple of ideas where they'll do the most good.
3274_167022_000046_000006	You know and I know and we all know that there are a lot of things up there at the polar mines that would look like hell to anybody who didn't understand local conditions...."	You know and I know and we all know that there are a lot of things up there at the polar mines that would look like hell to anybody who didn't understand local conditions...."
3274_167022_000047_000001	"I won't guarantee anything, of course...."	"I won't guarantee anything, of course...."
3274_167022_000048_000002	He flipped a switch and spoke into the box.	He flipped a switch and spoke into the box.
3274_167022_000049_000000	"Governor," a voice replied out of it, "there's a geek procession just landed from a water-barge in front, and is coming up the roadway to Company House.	"Governor," a voice replied out of it, "there's a geek procession just landed from a water barge in front, and is coming up the roadway to Company House.
3274_167022_000049_000001	A platoon of Jaikark's Household Guards, with rifles; the Spear of State; a royal litter; about thirty geek nobles, on foot; a gift-litter; another platoon of riflemen, if you say the last syllable quick enough."	A platoon of Jaikark's Household Guards, with rifles; the Spear of State; a royal litter; about thirty geek nobles, on foot; a gift litter; another platoon of riflemen, if you say the last syllable quick enough."
3274_167022_000050_000000	"That'll be Gurgurk, coming to tell us how unhappy his Sodden and Inebriated Geekship is about that fracas on Seventy-second Street," Harrington said.	"That'll be Gurgurk, coming to tell us how unhappy his Sodden and Inebriated Geekship is about that fracas on Seventy second Street," Harrington said.
3274_167022_000050_000003	Take them to the Reception Hall, and hold them there till I signal from the Audience Hall, and then herd them in."	Take them to the Reception Hall, and hold them there till I signal from the Audience Hall, and then herd them in."
3274_167022_000051_000000	He came back and made a move.	He came back and made a move.
3274_167022_000051_000001	Immediately, Blount took one of his pieces, moved again, took another, and made the third move to which he was entitled.	Immediately, Blount took one of his pieces, moved again, took another, and made the third move to which he was entitled.
3274_167022_000052_000000	"I'll mate you in four moves," he predicted.	"I'll mate you in four moves," he predicted.
3274_167022_000052_000001	"Want to play it out, before we go down?"	"Want to play it out, before we go down?"
3274_167022_000053_000000	"Sure; what's time to a geek?	"Sure; what's time to a geek?
3274_167022_000053_000002	Good Lord!	Good Lord!
