3330_170956_000000_000000	Yes, said Glaucon.	Yes, said Glaucon.	false	9.3	25.395	20.14369
3330_170956_000001_000000	BOOK IV.	BOOK i v.	false	25.395	28.215	19.75406
3330_170956_000002_000000	Here Adeimantus interposed a question: How would you answer, Socrates, said he, if a person were to say that you are making these people miserable, and that they are the cause of their own unhappiness; the city in fact belongs to them, but they are none the better for it; whereas other men acquire lands, and build large and handsome houses, and have everything handsome about them, offering sacrifices to the gods on their own account, and practising hospitality; moreover, as you were saying just now, they have gold and silver, and all that is usual among the favourites of fortune; but our poor citizens are no better than mercenaries who are quartered in the city and are always mounting guard?	Here Adeimantus interposed a question: How would you answer, Socrates, said he, if a person were to say that you are making these people miserable, and that they are the cause of their own unhappiness; the city in fact belongs to them, but they are none the better for it; whereas other men acquire lands, and build large and handsome houses, and have everything handsome about them, offering sacrifices to the gods on their own account, and practising hospitality; moreover, as you were saying just now, they have gold and silver, and all that is usual among the favourites of fortune; but our poor citizens are no better than mercenaries who are quartered in the city and are always mounting guard?	true	28.215	75.31	20.19638
3330_170956_000003_000000	Yes, I said; and you may add that they are only fed, and not paid in addition to their food, like other men; and therefore they cannot, if they would, take a journey of pleasure; they have no money to spend on a mistress or any other luxurious fancy, which, as the world goes, is thought to be happiness; and many other accusations of the same nature might be added.	Yes, I said; and you may add that they are only fed, and not paid in addition to their food, like other men; and therefore they cannot, if they would, take a journey of pleasure; they have no money to spend on a mistress or any other luxurious fancy, which, as the world goes, is thought to be happiness; and many other accusations of the same nature might be added.	true	75.95	101.8	20.632189
3330_170956_000004_000000	But, said he, let us suppose all this to be included in the charge.	But, said he, let us suppose all this to be included in the charge.	false	102.47	107.71	21.496597
3330_170956_000005_000000	You mean to ask, I said, what will be our answer?	You mean to ask, I said, what will be our answer?	true	108.41	111.91	22.260162
3330_170956_000006_000000	Yes.	Yes.	true	112.58	113.44	21.279963
3330_170956_000007_000000	If we proceed along the old path, my belief, I said, is that we shall find the answer.	If we proceed along the old path, my belief, I said, is that we shall find the answer.	true	113.84	120.73	19.060163
3330_170956_000007_000001	And our answer will be that, even as they are, our guardians may very likely be the happiest of men; but that our aim in founding the State was not the disproportionate happiness of any one class, but the greatest happiness of the whole; we thought that in a State which is ordered with a view to the good of the whole we should be most likely to find justice, and in the ill-ordered State injustice: and, having found them, we might then decide which of the two is the happier.	And our answer will be that, even as they are, our guardians may very likely be the happiest of men; but that our aim in founding the State was not the disproportionate happiness of any one class, but the greatest happiness of the whole; we thought that in a State which is ordered with a view to the good of the whole we should be most likely to find justice, and in the ill ordered State injustice: and, having found them, we might then decide which of the two is the happier.	true	120.83	156.76	20.829311
3330_170956_000007_000002	At present, I take it, we are fashioning the happy State, not piecemeal, or with a view of making a few happy citizens, but as a whole; and by-and-by we will proceed to view the opposite kind of State. Suppose that we were painting a statue, and some one came up to us and said, Why do you not put the most beautiful colours on the most beautiful parts of the body--the eyes ought to be purple, but you have made them black--to him we might fairly answer, Sir, you would not surely have us beautify the eyes to such a degree that they are no longer eyes; consider rather whether, by giving this and the other features their due proportion, we make the whole beautiful.	At present, I take it, we are fashioning the happy State, not piecemeal, or with a view of making a few happy citizens, but as a whole; and by and by we will proceed to view the opposite kind of State. Suppose that we were painting a statue, and some one came up to us and said, Why do you not put the most beautiful colours on the most beautiful parts of the body-the eyes ought to be purple, but you have made them black-to him we might fairly answer, Sir, you would not surely have us beautify the eyes to such a degree that they are no longer eyes; consider rather whether, by giving this and the other features their due proportion, we make the whole beautiful.	false	157.34	204.28	20.55911
3330_170956_000007_000003	And so I say to you, do not compel us to assign to the guardians a sort of happiness which will make them anything but guardians; for we too can clothe our husbandmen in royal apparel, and set crowns of gold on their heads, and bid them till the ground as much as they like, and no more.	And so I say to you, do not compel us to assign to the guardians a sort of happiness which will make them anything but guardians; for we too can clothe our husbandmen in royal apparel, and set crowns of gold on their heads, and bid them till the ground as much as they like, and no more.	true	204.56	224.14	19.814322
