7139_88748_000001_000000	CHAPTER VII	CHAPTER seven
7139_88748_000002_000000	Young Robin's father, the Sheriff, suffered very sadly from the loss of his son and his goods, and Robin's aunt came to Nottingham and wept bitterly over the loss of the little boy she loved dearly. For David, the old servant in whose charge Robin had been placed when he was going home, had done what too many weak people do, tried to hide one fault by committing another.	Young Robin's father, the Sheriff, suffered very sadly from the loss of his son and his goods, and Robin's aunt came to Nottingham and wept bitterly over the loss of the little boy she loved dearly. For David, the old servant in whose charge Robin had been placed when he was going home, had done what too many weak people do, tried to hide one fault by committing another.
7139_88748_000003_000000	Robin was given into his charge to protect and take safely home to his father, and when the attack was made by the outlaw's men, instead of doing anything to protect the little fellow and save him from being injured by Robin Hood's people, he thought only of himself.	Robin was given into his charge to protect and take safely home to his father, and when the attack was made by the outlaw's men, instead of doing anything to protect the little fellow and save him from being injured by Robin Hood's people, he thought only of himself.
7139_88748_000003_000001	He threw his charge into the first bushes he came to, and galloped away, hardly stopping till he reached Nottingham town.	He threw his charge into the first bushes he came to, and galloped away, hardly stopping till he reached Nottingham town.
7139_88748_000005_000000	And then months passed and a year had gone by, and people looked solemn and said that it seemed as if the Sheriff would never hold up his head again.	And then months passed and a year had gone by, and people looked solemn and said that it seemed as if the Sheriff would never hold up his head again.
7139_88748_000005_000001	But they thought that he should have gathered together a number of fighting men and gone and punished Robin Hood and his outlaws for carrying off that valuable set of loads of cloth.	But they thought that he should have gathered together a number of fighting men and gone and punished Robin Hood and his outlaws for carrying off that valuable set of loads of cloth.
7139_88748_000006_000000	But Robin's father cared nothing for the cloth or the mules; he could only think of the bright happy little fellow whom he loved so well, and whom he wept for in secret at night when there was no one near to see.	But Robin's father cared nothing for the cloth or the mules; he could only think of the bright happy little fellow whom he loved so well, and whom he wept for in secret at night when there was no one near to see.
7139_88748_000007_000000	Robin's aunt when she came and tried to comfort him used to shake her head and wipe her eyes.	Robin's aunt when she came and tried to comfort him used to shake her head and wipe her eyes.
7139_88748_000009_000000	For one day a man came to the Sheriff's house and wanted him.	For one day a man came to the Sheriff's house and wanted him.
7139_88748_000009_000001	But the Sheriff would not see him, for he took no interest in anything now, and told his servant that the man must send word what his business was.	But the Sheriff would not see him, for he took no interest in anything now, and told his servant that the man must send word what his business was.
7139_88748_000010_000000	The servant went out, and came back directly.	The servant went out, and came back directly.
7139_88748_000011_000000	"He says, sir, that he was taken prisoner by Robin Hood's men a week ago, and that he has just come from the camp under the greenwood tree, and has brought you news, master."	"He says, sir, that he was taken prisoner by Robin Hood's men a week ago, and that he has just come from the camp under the greenwood tree, and has brought you news, master."
7139_88748_000013_000000	It was no beaten and wounded ruffian, but a hale and hearty fellow, who looked bright and happy, and before he could speak and tell his news the Sheriff began to question him.	It was no beaten and wounded ruffian, but a hale and hearty fellow, who looked bright and happy, and before he could speak and tell his news the Sheriff began to question him.
7139_88748_000014_000000	"You have come from the outlaws' camp?" he said with his voice trembling.	"You have come from the outlaws' camp?" he said with his voice trembling.
7139_88748_000015_000000	"Yes, Master Sheriff."	"Yes, Master Sheriff."
