7139_88748_000000_000000	Robin nodded his head, but he never saw the swineherd again.	Robin nodded his head, but he never saw the swineherd again.	false	1.65	16.11	21.76945
7139_88748_000001_000000	CHAPTER VII	CHAPTER seven	true	16.11	17.11	29.291275
7139_88748_000002_000000	Young Robin's father, the Sheriff, suffered very sadly from the loss of his son and his goods, and Robin's aunt came to Nottingham and wept bitterly over the loss of the little boy she loved dearly. For David, the old servant in whose charge Robin had been placed when he was going home, had done what too many weak people do, tried to hide one fault by committing another.	Young Robin's father, the Sheriff, suffered very sadly from the loss of his son and his goods, and Robin's aunt came to Nottingham and wept bitterly over the loss of the little boy she loved dearly. For David, the old servant in whose charge Robin had been placed when he was going home, had done what too many weak people do, tried to hide one fault by committing another.	true	18.71	41.53	22.255417
7139_88748_000003_000000	Robin was given into his charge to protect and take safely home to his father, and when the attack was made by the outlaw's men, instead of doing anything to protect the little fellow and save him from being injured by Robin Hood's people, he thought only of himself.	Robin was given into his charge to protect and take safely home to his father, and when the attack was made by the outlaw's men, instead of doing anything to protect the little fellow and save him from being injured by Robin Hood's people, he thought only of himself.	true	42.98	58.06	22.582882
7139_88748_000003_000001	He threw his charge into the first bushes he came to, and galloped away, hardly stopping till he reached Nottingham town.	He threw his charge into the first bushes he came to, and galloped away, hardly stopping till he reached Nottingham town.	true	58.4	65.29	21.902908
7139_88748_000004_000000	There the first question the Sheriff asked was, not what had become of the pack mules and the consignment of cloth, but where was Robin, and the false servant said that he had fought hard to save him in the fight, but fought in vain, and that the poor boy was dead.	There the first question the Sheriff asked was, not what had become of the pack mules and the consignment of cloth, but where was Robin, and the false servant said that he had fought hard to save him in the fight, but fought in vain, and that the poor boy was dead.	false	66.56	82.06	23.432148
7139_88748_000005_000000	And then months passed and a year had gone by, and people looked solemn and said that it seemed as if the Sheriff would never hold up his head again.	And then months passed and a year had gone by, and people looked solemn and said that it seemed as if the Sheriff would never hold up his head again.	true	82.64	90.52	24.005287
7139_88748_000005_000001	But they thought that he should have gathered together a number of fighting men and gone and punished Robin Hood and his outlaws for carrying off that valuable set of loads of cloth.	But they thought that he should have gathered together a number of fighting men and gone and punished Robin Hood and his outlaws for carrying off that valuable set of loads of cloth.	true	91.16	101.89	23.561289
7139_88748_000006_000000	But Robin's father cared nothing for the cloth or the mules; he could only think of the bright happy little fellow whom he loved so well, and whom he wept for in secret at night when there was no one near to see.	But Robin's father cared nothing for the cloth or the mules; he could only think of the bright happy little fellow whom he loved so well, and whom he wept for in secret at night when there was no one near to see.	true	102.32	114.49	21.41514
7139_88748_000007_000000	Robin's aunt when she came and tried to comfort him used to shake her head and wipe her eyes.	Robin's aunt when she came and tried to comfort him used to shake her head and wipe her eyes.	true	115.52	120.67	22.747492
7139_88748_000007_000001	She said little, only thought a great deal, and she came over again and again to try and comfort her dead sister's husband; but it made no difference, for the Sheriff was a sadly altered man.	She said little, only thought a great deal, and she came over again and again to try and comfort her dead sister's husband; but it made no difference, for the Sheriff was a sadly altered man.	false	121.13	133.03	22.285313
7139_88748_000008_000000	Then all at once there was a change, and it was at a time when Robin's aunt was over to Nottingham.	Then all at once there was a change, and it was at a time when Robin's aunt was over to Nottingham.	false	134.03	140.49	20.593554
7139_88748_000009_000000	For one day a man came to the Sheriff's house and wanted him.	For one day a man came to the Sheriff's house and wanted him.	true	140.49	143.98	20.924608
7139_88748_000009_000001	But the Sheriff would not see him, for he took no interest in anything now, and told his servant that the man must send word what his business was.	But the Sheriff would not see him, for he took no interest in anything now, and told his servant that the man must send word what his business was.	true	144.26	153.28	22.513912
7139_88748_000010_000000	The servant went out, and came back directly.	The servant went out, and came back directly.	true	154.01	156.85	25.92204
7139_88748_000011_000000	"He says, sir, that he was taken prisoner by Robin Hood's men a week ago, and that he has just come from the camp under the greenwood tree, and has brought you news, master."	"He says, sir, that he was taken prisoner by Robin Hood's men a week ago, and that he has just come from the camp under the greenwood tree, and has brought you news, master."	true	157.91	166.84	20.697067
7139_88748_000012_000000	The Sheriff started up, trembling, and told his servant to bring the strange man in.	The Sheriff started up, trembling, and told his servant to bring the strange man in.	true	167.48	171.91	17.5222
7139_88748_000013_000000	It was no beaten and wounded ruffian, but a hale and hearty fellow, who looked bright and happy, and before he could speak and tell his news the Sheriff began to question him.	It was no beaten and wounded ruffian, but a hale and hearty fellow, who looked bright and happy, and before he could speak and tell his news the Sheriff began to question him.	true	172.94	183.34	21.352787
7139_88748_000014_000000	"You have come from the outlaws' camp?" he said with his voice trembling.	"You have come from the outlaws' camp?" he said with his voice trembling.	true	184.22	190.15	21.759098
7139_88748_000015_000000	"Yes, Master Sheriff."	"Yes, Master Sheriff."	true	190.67	192.13	20.967321
7139_88748_000016_000000	"They took you prisoner, and beat and robbed you?"	"They took you prisoner, and beat and robbed you?"	false	192.89	195.97	20.873764
7139_88748_000017_000000	"Oh! no, Master Sheriff; they took me before Robin Hood, and he asked me what I was doing there, and whether I was not afraid to cross his forest, and I up and told him plainly that I wasn't. Then he said how was that when I must have heard what a terrible robber he was."	"Oh! no, Master Sheriff; they took me before Robin Hood, and he asked me what I was doing there, and whether I was not afraid to cross his forest, and I up and told him plainly that I wasn't. Then he said how was that when I must have heard what a terrible robber he was."	true	196.79	214	20.997787
7139_88748_000018_000000	"Yes, yes," cried the Sheriff, "and what did you say."	"Yes, yes," cried the Sheriff, "and what did you say."	true	214.55	219.64	22.346676
7139_88748_000019_000000	"I said that I had lived about these parts all my life and I never heard that he did a poor man any harm.	"I said that I had lived about these parts all my life and I never heard that he did a poor man any harm.	false	220.28	226.3	20.281286
7139_88748_000019_000001	Then he laughed, and all his people laughed too, and he said I was a merry fellow.	Then he laughed, and all his people laughed too, and he said I was a merry fellow.	true	227.06	232.03	22.97726
7139_88748_000019_000002	'Give him plenty to eat and drink,' he said, 'for two or three days, and then send him on his way.' Yes, Master Sheriff, that he did, and a fine jolly time I had.	'Give him plenty to eat and drink,' he said, 'for two or three days, and then send him on his way.' Yes, Master Sheriff, that he did, and a fine jolly time I had.	true	232.25	242.32	21.376764
7139_88748_000019_000003	Why, I almost felt as if I should like to stay altogether."	Why, I almost felt as if I should like to stay altogether."	true	242.51	246.4	25.049442
7139_88748_000020_000000	And all this time the Sheriff was watching the man very keenly, and suddenly he caught him by the arm.	And all this time the Sheriff was watching the man very keenly, and suddenly he caught him by the arm.	false	247.4	253.47	20.177307
