7704_106974_000000_000000	CHAPTER X	CHAPTER ten	false	0.18	19.515	26.492828
7704_106974_000001_000000	Found	Found	true	19.515	20.53	24.160975
7704_106974_000002_000000	It was winter time, and Teddy was back at school, full of health and spirits, yet, through all his boyish mirth, the loss of his button was never forgotten.	It was winter time, and Teddy was back at school, full of health and spirits, yet, through all his boyish mirth, the loss of his button was never forgotten.	true	22.46	30.4	24.594183
7704_106974_000002_000001	Daily he prayed for it to be found, and his hope and faith in God never failed him.	Daily he prayed for it to be found, and his hope and faith in God never failed him.	true	30.98	34.9	24.02716
7704_106974_000003_000000	'Perhaps God will send it to me for a Christmas surprise.	'Perhaps God will send it to me for a Christmas surprise.	true	35.63	38.44	23.364208
7704_106974_000003_000001	Perhaps I shall find it in my stocking on Christmas morning,' he used to say to his mother; and she told him to pray on.	Perhaps I shall find it in my stocking on Christmas morning,' he used to say to his mother; and she told him to pray on.	true	38.54	44.59	21.85942
7704_106974_000004_000000	He had come in from school one cold day in the beginning of December, and was watching with keen interest the roasting of an apple suspended from a string in front of the fire, when there was a sharp knock at the door, and the footman from the Hall appeared.	He had come in from school one cold day in the beginning of December, and was watching with keen interest the roasting of an apple suspended from a string in front of the fire, when there was a sharp knock at the door, and the footman from the Hall appeared.	false	45.53	58.03	22.925486
7704_106974_000005_000000	'The master wants you to let the youngster come up with me now and speak to him.'	'The master wants you to let the youngster come up with me now and speak to him.'	true	58.82	62.8	26.303291
7704_106974_000006_000000	'What about?' questioned Mrs. John, rather alarmed at this summons, and wondering if Teddy had been up to mischief.	'What about?' questioned mrs john, rather alarmed at this summons, and wondering if Teddy had been up to mischief.	true	63.56	69.55	22.274185
7704_106974_000007_000000	'He won't keep him long.' Then, as excited Teddy began pulling on his great-coat, he whispered something into his mother's ear, which had the effect of completely reassuring her, and bringing a pleased smile about her lips.	'He won't keep him long.' Then, as excited Teddy began pulling on his great coat, he whispered something into his mother's ear, which had the effect of completely reassuring her, and bringing a pleased smile about her lips.	true	70.16	81.94	25.318617
7704_106974_000007_000001	Teddy was delighted to go up to the Hall, and he trotted along by the side of the tall young footman, keeping up a brisk conversation as he went.	Teddy was delighted to go up to the Hall, and he trotted along by the side of the tall young footman, keeping up a brisk conversation as he went.	false	82.37	89.65	23.88467
7704_106974_000008_000000	'I shall never be a footman,' he was asserting; 'I couldn't keep my legs so stiff.	'I shall never be a footman,' he was asserting; 'I couldn't keep my legs so stiff.	true	90.44	94.54	21.972176
7704_106974_000008_000001	You're always like the soldiers when they stand at Attention.	You're always like the soldiers when they stand at Attention.	true	94.58	97.21	23.901836
7704_106974_000008_000002	Don't you never kick your legs out in the kitchen, or have you got stiff knees?'	Don't you never kick your legs out in the kitchen, or have you got stiff knees?'	true	97.31	100.93	22.922152
7704_106974_000009_000000	'I can kick out as much as I like,' responded the young man, in rather an offended tone.	'I can kick out as much as I like,' responded the young man, in rather an offended tone.	false	101.84	106.48	24.987528
7704_106974_000010_000000	'Don't you think it's nicer to be a soldier?	'Don't you think it's nicer to be a soldier?	true	107	108.825	23.322218
7704_106974_000010_000001	Wouldn't you like to be one?'	Wouldn't you like to be one?'	true	108.825	110.08	26.503717
7704_106974_000011_000000	'No; their grub is something shocking, and they live like cattle!'	'No; their grub is something shocking, and they live like cattle!'	true	110.69	113.95	27.145752
7704_106974_000012_000000	Teddy would not allow this, and the discussion began to get somewhat heated, when their arrival at the house put an end to it.	Teddy would not allow this, and the discussion began to get somewhat heated, when their arrival at the house put an end to it.	false	114.95	120.25	22.78774
7704_106974_000013_000000	'I say, just tell me, is the colonel angry?' asked Teddy, as looking into the large, brightly lighted hall, he suddenly felt his diminutive size.	'I say, just tell me, is the colonel angry?' asked Teddy, as looking into the large, brightly lighted hall, he suddenly felt his diminutive size.	true	121.97	130.51	23.04876
7704_106974_000014_000000	'Not he.	'Not he.	true	131.54	132.48	24.522614
7704_106974_000014_000001	Wipe your feet, and take your cap off.'	Wipe your feet, and take your cap off.'	true	132.48	134.41	29.903996
7704_106974_000015_000000	Teddy stepped in upon the soft rugs almost on tiptoe, and the colonel himself came out into the hall to meet him.	Teddy stepped in upon the soft rugs almost on tiptoe, and the colonel himself came out into the hall to meet him.	true	135.26	141.25	25.653948
7704_106974_000015_000001	'Come in, my little man, and don't be frightened.'	'Come in, my little man, and don't be frightened.'	true	141.65	143.92	23.16597
7704_106974_000016_000000	Teddy held his head erect as he followed the colonel into a bright, cheery room, where a group of ladies and gentlemen were round the fire enjoying their cup of five o'clock tea.	Teddy held his head erect as he followed the colonel into a bright, cheery room, where a group of ladies and gentlemen were round the fire enjoying their cup of five o'clock tea.	true	144.92	153.43	24.65437
7704_106974_000017_000000	Mrs. Graham came forward and gave him a kindly greeting.	mrs Graham came forward and gave him a kindly greeting.	true	154.37	157.33	25.35845
7704_106974_000018_000000	'This is our would-be soldier,' said Colonel Graham--'the "button-boy," as I hear he is called.	'This is our would be soldier,' said Colonel Graham-'the "button boy," as I hear he is called.	true	159.11	164.05	23.258549
7704_106974_000018_000001	Some of you remember his story told in our schoolroom to the regiment passing through in the summer, and we weren't surprised to hear of his narrow escape from death from trying to regain his button.	Some of you remember his story told in our schoolroom to the regiment passing through in the summer, and we weren't surprised to hear of his narrow escape from death from trying to regain his button.	true	164.09	172.92	23.820314
7704_106974_000018_000002	But perhaps you've forgotten all about it, youngster?	But perhaps you've forgotten all about it, youngster?	false	172.92	175.81	21.014942
7704_106974_000018_000003	A button isn't worth much sorrow after the first pang of its loss is over.'	A button isn't worth much sorrow after the first pang of its loss is over.'	true	175.97	179.86	20.515535
7704_106974_000019_000000	Teddy's face was a picture: the blood rushed up to his forehead, his eyes flashed, and with clenched hands he said boldly, 'Do you think I could ever forget my father's button, sir?	Teddy's face was a picture: the blood rushed up to his forehead, his eyes flashed, and with clenched hands he said boldly, 'Do you think I could ever forget my father's button, sir?	false	180.98	191.08	23.217089
7704_106974_000019_000001	I'd rather have it back than anything else in the world!	I'd rather have it back than anything else in the world!	true	191.24	193.695	21.45632
7704_106974_000019_000002	And I'm going to get it back, too!'	And I'm going to get it back, too!'	false	193.695	196.92	25.332785
7704_106974_000020_000000	'But it's at the bottom of the river, isn't it?'	'But it's at the bottom of the river, isn't it?'	true	196.92	199	24.596136
7704_106974_000021_000000	'I don't know where it is, but God does, and I ask Him every day to send it back to me.	'I don't know where it is, but God does, and I ask Him every day to send it back to me.	true	199.88	204.405	22
7704_106974_000021_000001	I'm quite sure He will, and I think it will be this Christmas.'	I'm quite sure He will, and I think it will be this Christmas.'	true	204.405	207.57	26.46481
7704_106974_000022_000000	The ladies exchanged glances.	The ladies exchanged glances.	false	207.57	210.4	24.235167
7704_106974_000023_000000	'"Fact is stranger than fiction," certainly,' said the colonel.	'"Fact is stranger than fiction," certainly,' said the colonel.	true	211.22	214.6	23.45836
7704_106974_000023_000001	'Now, my boy, come here.'	'Now, my boy, come here.'	true	214.82	216.25	24.22426
7704_106974_000024_000000	He was standing on the hearthrug with his back to the fire, and putting his hand into his pocket he drew out a small box and placed it in the child's hand.	He was standing on the hearthrug with his back to the fire, and putting his hand into his pocket he drew out a small box and placed it in the child's hand.	true	216.86	224.17	25.777521
7704_106974_000025_000000	'Open it, and tell me if you recognise the contents.'	'Open it, and tell me if you recognise the contents.'	true	225.14	227.95	26.220251
7704_106974_000026_000000	Teddy lifted the lid, and then a gasp, and a cry of ecstasy broke from him.	Teddy lifted the lid, and then a gasp, and a cry of ecstasy broke from him.	false	228.95	233.17	27.006897
7704_106974_000027_000000	'Oh, my button, my own button!	'Oh, my button, my own button!	true	233.51	235.635	24.804913
7704_106974_000027_000001	Oh, sir!'	Oh, sir!'	true	235.635	236.68	23.965418
7704_106974_000028_000000	And here the tears welled up in the blue eyes, and, utterly regardless of the place he was in, he flung himself down on the hearthrug and buried his head, face foremost, in his arms.	And here the tears welled up in the blue eyes, and, utterly regardless of the place he was in, he flung himself down on the hearthrug and buried his head, face foremost, in his arms.	true	237.23	246.25	22.86111
7704_106974_000028_000001	He lay there so still for a moment that Mrs. Graham bent forward to touch him, fearing that the excitement might be too much for him, but he was only trying to hide his emotion from those looking on.	He lay there so still for a moment that mrs Graham bent forward to touch him, fearing that the excitement might be too much for him, but he was only trying to hide his emotion from those looking on.	true	246.38	255.7	24.445929
7704_106974_000028_000002	In another minute he rose to his feet, and with a face perfectly radiant he turned to, the colonel, 'It's lovely, sir, it's lovely!'	In another minute he rose to his feet, and with a face perfectly radiant he turned to, the colonel, 'It's lovely, sir, it's lovely!'	true	256.16	263.56	25.253572
7704_106974_000029_000000	The colonel had had it set in a little gold framework with blue ribbon attached, making it look as much like a medal as possible, and Mrs. Graham now came forward and pinned it to his coat.	The colonel had had it set in a little gold framework with blue ribbon attached, making it look as much like a medal as possible, and mrs Graham now came forward and pinned it to his coat.	false	264.47	273.85	26.106667
7704_106974_000030_000000	'Now, my boy, I don't think you will ever guess how it came into our possession.	'Now, my boy, I don't think you will ever guess how it came into our possession.	true	274.43	278.62	25.01903
7704_106974_000030_000001	The other day I brought home a few fish, and in preparing one of these for table our cook discovered your button inside it--I wonder the fish had not come to an untimely end before from such an indigestible meal!	The other day I brought home a few fish, and in preparing one of these for table our cook discovered your button inside it-I wonder the fish had not come to an untimely end before from such an indigestible meal!	true	279.08	290.17	24.947817
7704_106974_000030_000002	She told us of it, not recognising what a valuable treasure she had brought to light, and directly we saw it, we knew it was the redoubtable button that has been the means of causing such interest in our neighbourhood.'	She told us of it, not recognising what a valuable treasure she had brought to light, and directly we saw it, we knew it was the redoubtable button that has been the means of causing such interest in our neighbourhood.'	true	290.51	300.88	25.632854
