5448_19209_000000_000001	At the physician's orders, a camp bed had been prepared beside the sofa.	At the physician's orders, a camp bed had been prepared beside the sofa.
5448_19209_000000_000003	She set herself to telling her beads in her own chamber.	She set herself to telling her beads in her own chamber.
5448_19209_000001_000000	The trunk had not suffered any internal injury; a bullet, deadened by the pocket-book, had turned aside and made the tour of his ribs with a hideous laceration, which was of no great depth, and consequently, not dangerous.	The trunk had not suffered any internal injury; a bullet, deadened by the pocket book, had turned aside and made the tour of his ribs with a hideous laceration, which was of no great depth, and consequently, not dangerous.
5448_19209_000001_000001	The long, underground journey had completed the dislocation of the broken collar-bone, and the disorder there was serious.	The long, underground journey had completed the dislocation of the broken collar bone, and the disorder there was serious.
5448_19209_000001_000002	The arms had been slashed with sabre cuts.	The arms had been slashed with sabre cuts.
5448_19209_000001_000003	Not a single scar disfigured his face; but his head was fairly covered with cuts; what would be the result of these wounds on the head?	Not a single scar disfigured his face; but his head was fairly covered with cuts; what would be the result of these wounds on the head?
5448_19209_000001_000004	Would they stop short at the hairy cuticle, or would they attack the brain?	Would they stop short at the hairy cuticle, or would they attack the brain?
5448_19209_000001_000005	As yet, this could not be decided.	As yet, this could not be decided.
5448_19209_000001_000006	A grave symptom was that they had caused a swoon, and that people do not always recover from such swoons.	A grave symptom was that they had caused a swoon, and that people do not always recover from such swoons.
5448_19209_000001_000007	Moreover, the wounded man had been exhausted by hemorrhage.	Moreover, the wounded man had been exhausted by hemorrhage.
5448_19209_000001_000008	From the waist down, the barricade had protected the lower part of the body from injury.	From the waist down, the barricade had protected the lower part of the body from injury.
5448_19209_000002_000001	As lint was lacking, the doctor, for the time being, arrested the bleeding with layers of wadding.	As lint was lacking, the doctor, for the time being, arrested the bleeding with layers of wadding.
5448_19209_000002_000002	Beside the bed, three candles burned on a table where the case of surgical instruments lay spread out.	Beside the bed, three candles burned on a table where the case of surgical instruments lay spread out.
5448_19209_000002_000003	The doctor bathed Marius' face and hair with cold water.	The doctor bathed Marius' face and hair with cold water.
5448_19209_000002_000004	A full pail was reddened in an instant.	A full pail was reddened in an instant.
5448_19209_000002_000005	The porter, candle in hand, lighted them.	The porter, candle in hand, lighted them.
5448_19209_000003_000000	The doctor seemed to be pondering sadly.	The doctor seemed to be pondering sadly.
5448_19209_000003_000001	From time to time, he made a negative sign with his head, as though replying to some question which he had inwardly addressed to himself.	From time to time, he made a negative sign with his head, as though replying to some question which he had inwardly addressed to himself.
5448_19209_000004_000000	A bad sign for the sick man are these mysterious dialogues of the doctor with himself.	A bad sign for the sick man are these mysterious dialogues of the doctor with himself.
5448_19209_000005_000000	At the moment when the doctor was wiping Marius' face, and lightly touching his still closed eyes with his finger, a door opened at the end of the drawing-room, and a long, pallid figure made its appearance.	At the moment when the doctor was wiping Marius' face, and lightly touching his still closed eyes with his finger, a door opened at the end of the drawing room, and a long, pallid figure made its appearance.
5448_19209_000006_000000	This was the grandfather.	This was the grandfather.
5448_19209_000007_000001	He had not been able to sleep on the previous night, and he had been in a fever all day long.	He had not been able to sleep on the previous night, and he had been in a fever all day long.
5448_19209_000007_000002	In the evening, he had gone to bed very early, recommending that everything in the house should be well barred, and he had fallen into a doze through sheer fatigue.	In the evening, he had gone to bed very early, recommending that everything in the house should be well barred, and he had fallen into a doze through sheer fatigue.
5448_19209_000008_000001	Surprised at the rift of light which he saw under his door, he had risen from his bed, and had groped his way thither.	Surprised at the rift of light which he saw under his door, he had risen from his bed, and had groped his way thither.
5448_19209_000009_000000	He stood astonished on the threshold, one hand on the handle of the half-open door, with his head bent a little forward and quivering, his body wrapped in a white dressing-gown, which was straight and as destitute of folds as a winding-sheet; and he had the air of a phantom who is gazing into a tomb.	He stood astonished on the threshold, one hand on the handle of the half open door, with his head bent a little forward and quivering, his body wrapped in a white dressing gown, which was straight and as destitute of folds as a winding sheet; and he had the air of a phantom who is gazing into a tomb.
5448_19209_000010_000000	He saw the bed, and on the mattress that young man, bleeding, white with a waxen whiteness, with closed eyes and gaping mouth, and pallid lips, stripped to the waist, slashed all over with crimson wounds, motionless and brilliantly lighted up.	He saw the bed, and on the mattress that young man, bleeding, white with a waxen whiteness, with closed eyes and gaping mouth, and pallid lips, stripped to the waist, slashed all over with crimson wounds, motionless and brilliantly lighted up.
5448_19209_000013_000000	"Sir," said Basque, "Monsieur has just been brought back.	"Sir," said Basque, "Monsieur has just been brought back.
5448_19209_000015_000000	Then a sort of sepulchral transformation straightened up this centenarian as erect as a young man.	Then a sort of sepulchral transformation straightened up this centenarian as erect as a young man.
5448_19209_000016_000000	"Sir," said he, "you are the doctor.	"Sir," said he, "you are the doctor.
5448_19209_000016_000001	Begin by telling me one thing.	Begin by telling me one thing.
5448_19209_000019_000007	You blood-drinker!	You blood drinker!
5448_19209_000019_000009	Misery of my life, he is dead!"	Misery of my life, he is dead!"
5448_19209_000024_000006	Killed!	Killed!
5448_19209_000024_000008	A barricade!	A barricade!
5448_19209_000024_000010	Doctor, you live in this quarter, I believe?	Doctor, you live in this quarter, I believe?
5448_19209_000024_000011	Oh!	Oh!
5448_19209_000024_000013	I am going to tell you.	I am going to tell you.
5448_19209_000024_000022	His mother is dead.	His mother is dead.
5448_19209_000024_000026	He could not manage to pronounce his Ds.	He could not manage to pronounce his d's.
5448_19209_000025_000000	He approached Marius, who still lay livid and motionless, and to whom the physician had returned, and began once more to wring his hands.	He approached Marius, who still lay livid and motionless, and to whom the physician had returned, and began once more to wring his hands.
5448_19209_000025_000001	The old man's pallid lips moved as though mechanically, and permitted the passage of words that were barely audible, like breaths in the death agony:	The old man's pallid lips moved as though mechanically, and permitted the passage of words that were barely audible, like breaths in the death agony:
5448_19209_000028_000000	Little by little, as it is always indispensable that internal eruptions should come to the light, the sequence of words returned, but the grandfather appeared no longer to have the strength to utter them, his voice was so weak, and extinct, that it seemed to come from the other side of an abyss:	Little by little, as it is always indispensable that internal eruptions should come to the light, the sequence of words returned, but the grandfather appeared no longer to have the strength to utter them, his voice was so weak, and extinct, that it seemed to come from the other side of an abyss:
5448_19209_000029_000017	Just think of it!	Just think of it!
5448_19209_000029_000018	At twenty!	At twenty!
5448_19209_000029_000028	Come, he's dead, completely dead.	Come, he's dead, completely dead.
