5655_46268_000001_000000	CHAPTER IV.	CHAPTER four.
5655_46268_000002_000000	A FIRE AND A PLAN.	A FIRE AND A PLAN.
5655_46268_000003_000000	Some people said that old Johann Heinrich never slept, for no matter what hour of the night one passed his lonely little house, a lamp was always burning.	Some people said that old Johann Heinrich never slept, for no matter what hour of the night one passed his lonely little house, a lamp was always burning.
5655_46268_000003_000002	He had been a professor in a large university until he grew too old to keep his position.	He had been a professor in a large university until he grew too old to keep his position.
5655_46268_000003_000003	Why he should have chosen Lloydsborough Valley as the place to settle for the remainder of his life, no one could tell.	Why he should have chosen Lloydsborough Valley as the place to settle for the remainder of his life, no one could tell.
5655_46268_000004_000001	They did not know that he had written two big books about the birds and insects he loved so well, or that he could tell them facts more wonderful than fairy tales about these little wild creatures of the woodland.	They did not know that he had written two big books about the birds and insects he loved so well, or that he could tell them facts more wonderful than fairy tales about these little wild creatures of the woodland.
5655_46268_000005_000000	To-night he had read later than usual, and his fire was nearly out.	To night he had read later than usual, and his fire was nearly out.
5655_46268_000005_000001	He was too poor to keep a servant, so when he found that the coal-hod was empty he had to go out to the kitchen to fill it himself.	He was too poor to keep a servant, so when he found that the coal hod was empty he had to go out to the kitchen to fill it himself.
5655_46268_000005_000002	That is why he saw something that happened soon after midnight, while everybody else in the valley was sound asleep.	That is why he saw something that happened soon after midnight, while everybody else in the valley was sound asleep.
5655_46268_000006_000000	Over in the cabin by the spring-house where the boys had left the tramp and Jonesy, a puff of smoke went curling around the roof.	Over in the cabin by the spring house where the boys had left the tramp and Jonesy, a puff of smoke went curling around the roof.
5655_46268_000006_000001	Then a tongue of flame shot up through the cedars, and another and another until the sky was red with an angry glare.	Then a tongue of flame shot up through the cedars, and another and another until the sky was red with an angry glare.
5655_46268_000006_000002	It lighted up the eastern window-panes of the servants' cottage, but the inmates, tired from the unusual serving of the evening before, slept on.	It lighted up the eastern window panes of the servants' cottage, but the inmates, tired from the unusual serving of the evening before, slept on.
5655_46268_000006_000003	It shone full across the window of Virginia's room, but she was dreaming of being chased by bears, and only turned uneasily in her sleep.	It shone full across the window of Virginia's room, but she was dreaming of being chased by bears, and only turned uneasily in her sleep.
5655_46268_000007_000000	The old professor, on his way to the kitchen, noticed that it seemed strangely light outside.	The old professor, on his way to the kitchen, noticed that it seemed strangely light outside.
5655_46268_000007_000001	He shuffled to the door and looked out.	He shuffled to the door and looked out.
5655_46268_000008_000001	"Somebody vill shust in his bed be burnt, if old Johann does not haste make!"	"Somebody vill shust in his bed be burnt, if old Johann does not haste make!"
5655_46268_000009_000000	Not waiting to close the door behind him, or even to catch up something to protect his old bald head from the intense cold of the winter night, he ran out across the garden.	Not waiting to close the door behind him, or even to catch up something to protect his old bald head from the intense cold of the winter night, he ran out across the garden.
5655_46268_000009_000001	His shuffling feet, in their flapping old carpet slippers, forgot their rheumatism, and his shoulders dropped the weight of their seventy years.	His shuffling feet, in their flapping old carpet slippers, forgot their rheumatism, and his shoulders dropped the weight of their seventy years.
5655_46268_000009_000002	He ran like a boy across the meadow, through the gap in the fence, and down the hill to the cabin by the spring.	He ran like a boy across the meadow, through the gap in the fence, and down the hill to the cabin by the spring.
5655_46268_000010_000001	The fire was curling around the front door and bursting through the windows with fierce cracklings.	The fire was curling around the front door and bursting through the windows with fierce cracklings.
5655_46268_000010_000002	Dashing frantically around to the back door, he threw himself against it, shouting to know if any one was within.	Dashing frantically around to the back door, he threw himself against it, shouting to know if any one was within.
5655_46268_000010_000003	A blinding rush of smoke was his only answer as he backed away from the overpowering heat, but something fell across the door-sill in a limp little heap.	A blinding rush of smoke was his only answer as he backed away from the overpowering heat, but something fell across the door sill in a limp little heap.
5655_46268_000010_000004	It was Jonesy.	It was Jonesy.
5655_46268_000011_000000	Dragging the child to a safe distance from the burning building, he ran back, fearing that some one else might be in danger, but this time the flames met him at the door, and it was impossible to go in.	Dragging the child to a safe distance from the burning building, he ran back, fearing that some one else might be in danger, but this time the flames met him at the door, and it was impossible to go in.
5655_46268_000012_000000	While the professor was bending over Jonesy, trying to bring him back to consciousness, Miss Allison came running down the path.	While the professor was bending over Jonesy, trying to bring him back to consciousness, Miss Allison came running down the path.
5655_46268_000012_000001	She had an eiderdown quilt wrapped around her over her dressing-gown.	She had an eiderdown quilt wrapped around her over her dressing gown.
5655_46268_000013_000001	"Is the child badly burned?	"Is the child badly burned?
5655_46268_000013_000002	Is any one else hurt?	Is any one else hurt?
5655_46268_000013_000003	Is the tramp in the cabin?"	Is the tramp in the cabin?"
5655_46268_000014_000001	The old professor shook his head, but did not look up.	The old professor shook his head, but did not look up.
5655_46268_000014_000002	He was bending over Jonesy, trying to restore him to consciousness.	He was bending over Jonesy, trying to restore him to consciousness.
5655_46268_000015_000000	It was not much, only a horrible recollection of being awakened by a feeling that he was choking in the thick smoke that filled the room; of hearing the boss swear at him to be quick and follow him or he would be burned to death.	It was not much, only a horrible recollection of being awakened by a feeling that he was choking in the thick smoke that filled the room; of hearing the boss swear at him to be quick and follow him or he would be burned to death.
5655_46268_000015_000001	Then there had been an awful moment of groping through the blinding, choking smoke, trying to find a way out.	Then there had been an awful moment of groping through the blinding, choking smoke, trying to find a way out.
5655_46268_000015_000002	The man sprang to a window and made his escape, but as the outside air rushed in through the opening he left, it seemed to fan the smoke instantly into flame.	The man sprang to a window and made his escape, but as the outside air rushed in through the opening he left, it seemed to fan the smoke instantly into flame.
5655_46268_000016_000000	Jonesy had struck out at the wall of fire with his helpless little hands, and then, half-crazed by the scorching pain, dropped to the floor and crawled in the opposite direction, just as the professor burst open the door.	Jonesy had struck out at the wall of fire with his helpless little hands, and then, half crazed by the scorching pain, dropped to the floor and crawled in the opposite direction, just as the professor burst open the door.
5655_46268_000017_000000	The sight of the poor little blistered face brought the tears to Miss Allison's eyes, and she called two of the coloured men, directing them to carry Jonesy to the house, and then go at once for a doctor.	The sight of the poor little blistered face brought the tears to Miss Allison's eyes, and she called two of the coloured men, directing them to carry Jonesy to the house, and then go at once for a doctor.
5655_46268_000017_000002	He said that he knew how to prepare the cooling bandages that were needed, and that he would sit up all night to apply them.	He said that he knew how to prepare the cooling bandages that were needed, and that he would sit up all night to apply them.
5655_46268_000017_000003	He could not sleep anyhow, he said, after such great excitement.	He could not sleep anyhow, he said, after such great excitement.
5655_46268_000018_000000	"But I feel responsible for him," urged Miss Allison.	"But I feel responsible for him," urged Miss Allison.
5655_46268_000018_000001	"Since it happened on our place, and my little nephews brought him here, it seems to me that we ought to have the care of him."	"Since it happened on our place, and my little nephews brought him here, it seems to me that we ought to have the care of him."
5655_46268_000021_000000	There was no opposing the old man's masterful way.	There was no opposing the old man's masterful way.
5655_46268_000022_000003	He found some tracks presently, and followed them over the meadow in the starlight, across the road, and down the railroad track several rods.	He found some tracks presently, and followed them over the meadow in the starlight, across the road, and down the railroad track several rods.
5655_46268_000022_000004	There they suddenly disappeared.	There they suddenly disappeared.
5655_46268_000022_000005	The tramp had evidently walked on the rail some distance.	The tramp had evidently walked on the rail some distance.
5655_46268_000023_000001	"We nearly froze to death that night," he said, when questioned about it afterward, "and the boss piled on an awful big lot of wood just before he went to bed."	"We nearly froze to death that night," he said, when questioned about it afterward, "and the boss piled on an awful big lot of wood just before he went to bed."
5655_46268_000024_000000	"Then what made him take to his heels so fast if he didn't?" some one asked.	"Then what made him take to his heels so fast if he didn't?" some one asked.
5655_46268_000025_000000	"I don't know," answered Jonesy.	"I don't know," answered Jonesy.
5655_46268_000025_000001	"He said that luck was always against him, and maybe he thought nobody would believe him if he did say that he didn't do it."	"He said that luck was always against him, and maybe he thought nobody would believe him if he did say that he didn't do it."
5655_46268_000026_000001	He was a noted criminal who had escaped from a Northern penitentiary some two months before, and had been arrested by the Louisville police.	He was a noted criminal who had escaped from a Northern penitentiary some two months before, and had been arrested by the Louisville police.
5655_46268_000026_000002	There was no mistaking him.	There was no mistaking him.
5655_46268_000026_000003	That big, ugly scar branded him on cheek and forehead like another Cain.	That big, ugly scar branded him on cheek and forehead like another Cain.
5655_46268_000027_000000	"And to think that that terrible man was harboured on my place!" exclaimed Mrs. MacIntyre when she heard of it.	"And to think that that terrible man was harboured on my place!" exclaimed mrs MacIntyre when she heard of it.
5655_46268_000027_000002	Sat beside him and talked with him!	Sat beside him and talked with him!
5655_46268_000027_000008	It is probably the only thing that can save him from growing up to be a criminal like the man who brought him here.	It is probably the only thing that can save him from growing up to be a criminal like the man who brought him here.
5655_46268_000027_000009	I shall see what can be done about it, as soon as possible."	I shall see what can be done about it, as soon as possible."
5655_46268_000028_000000	"A child of the slums!" Malcolm and Keith repeated the expression afterward, with only a vague idea of its meaning.	"A child of the slums!" Malcolm and Keith repeated the expression afterward, with only a vague idea of its meaning.
5655_46268_000028_000001	It seemed to set poor Jonesy apart from themselves as something unclean,--something that their happy, well-filled lives must not be allowed to touch.	It seemed to set poor Jonesy apart from themselves as something unclean,--something that their happy, well filled lives must not be allowed to touch.
5655_46268_000029_000000	Maybe if Jonesy had been an attractive child, with a sensitive mouth, and big, appealing eyes, he might have found his way more easily into people's hearts.	Maybe if Jonesy had been an attractive child, with a sensitive mouth, and big, appealing eyes, he might have found his way more easily into people's hearts.
5655_46268_000029_000001	But he was a lean, snub-nosed little fellow, with a freckled face and neglected hair.	But he was a lean, snub nosed little fellow, with a freckled face and neglected hair.
5655_46268_000029_000002	No one would ever find his cheek a tempting one to kiss, and no one would be moved, by any feeling save pity, to stoop and put affectionate arms around Jonesy.	No one would ever find his cheek a tempting one to kiss, and no one would be moved, by any feeling save pity, to stoop and put affectionate arms around Jonesy.
5655_46268_000029_000003	He was only a common little street gamin, as unlovely as he was unloved.	He was only a common little street gamin, as unlovely as he was unloved.
5655_46268_000030_000000	"What a blessing that there are such places as orphan asylums for children of that class," said Mrs. Maclntyre, after one of her visits to him.	"What a blessing that there are such places as orphan asylums for children of that class," said mrs Maclntyre, after one of her visits to him.
5655_46268_000030_000001	"I must make arrangements for him to be put into one as soon as he is able to be moved."	"I must make arrangements for him to be put into one as soon as he is able to be moved."
5655_46268_000031_000000	"I think he will be very loath to leave the old professor," answered Miss Allison.	"I think he will be very loath to leave the old professor," answered Miss Allison.
5655_46268_000031_000001	"He has been so good to the child, amusing him by the hour with his microscopes and collections of insects, telling him those delightful old German folk-lore tales, and putting him to sleep every night to the music of his violin.	"He has been so good to the child, amusing him by the hour with his microscopes and collections of insects, telling him those delightful old German folk lore tales, and putting him to sleep every night to the music of his violin.
5655_46268_000031_000002	What a child-lover he is, and what a delightful old man in every way!	What a child lover he is, and what a delightful old man in every way!
5655_46268_000031_000003	I am glad we have discovered him."	I am glad we have discovered him."
5655_46268_000032_000000	"Yes," said Mrs. Maclntyre; "and when this little tramp is sent away, I want the children to go there often.	"Yes," said mrs Maclntyre; "and when this little tramp is sent away, I want the children to go there often.
5655_46268_000032_000001	I asked him if he could not teach them this spring, at least make a beginning with them in natural history, and he appeared much pleased.	I asked him if he could not teach them this spring, at least make a beginning with them in natural history, and he appeared much pleased.
5655_46268_000032_000002	He is as poor as a church mouse, and would be very glad of the money."	He is as poor as a church mouse, and would be very glad of the money."
5655_46268_000034_000000	Mrs. MacIntyre hesitated.	mrs MacIntyre hesitated.
5655_46268_000034_000001	"I do not believe their mother would like it," she answered.	"I do not believe their mother would like it," she answered.
5655_46268_000034_000005	I questioned him very closely this morning.	I questioned him very closely this morning.
5655_46268_000034_000006	He comes from the worst of the Chicago slums.	He comes from the worst of the Chicago slums.
5655_46268_000034_000007	He slept in the cellar of one of its poorest tenement houses, and lived in the gutters.	He slept in the cellar of one of its poorest tenement houses, and lived in the gutters.
5655_46268_000034_000008	He has a brother only a little older, who is a bootblack.	He has a brother only a little older, who is a bootblack.
5655_46268_000034_000009	On days when shines were plentiful they had something to eat, otherwise they starved or begged."	On days when shines were plentiful they had something to eat, otherwise they starved or begged."
5655_46268_000035_000000	"Poor little lamb," murmured Miss Allison.	"Poor little lamb," murmured Miss Allison.
5655_46268_000036_000003	They walked all the way from Chicago to Lloydsborough, Jones told me, excepting three days' journey they made in a wagon.	They walked all the way from Chicago to Lloydsborough, Jones told me, excepting three days' journey they made in a wagon.
5655_46268_000036_000004	They have been two months on the road, and showed the bear in the country places they passed through. They avoided the large towns."	They have been two months on the road, and showed the bear in the country places they passed through. They avoided the large towns."
5655_46268_000038_000001	I doubt if he ever heard the word.	I doubt if he ever heard the word.
