5190_87766_000013_000000	INTRODUCTORY	INTRODUCTORY
5190_87766_000015_000000	There come to the writer literally thousands of letters every year, asking him questions, some of them of the strangest.	There come to the writer literally thousands of letters every year, asking him questions, some of them of the strangest.
5190_87766_000015_000001	A man is dying of cancer, and do I think it can be cured by a fast?	A man is dying of cancer, and do I think it can be cured by a fast?
5190_87766_000015_000002	A man is unable to make his wife happy, and can I tell him what is the matter with women?	A man is unable to make his wife happy, and can I tell him what is the matter with women?
5190_87766_000015_000003	A man has invested his savings in mining stock, and can I tell him what to do about it?	A man has invested his savings in mining stock, and can I tell him what to do about it?
5190_87766_000015_000004	A man works in a sweatshop, and has only a little time for self-improvement, and will I tell him what books he ought to read?	A man works in a sweatshop, and has only a little time for self improvement, and will I tell him what books he ought to read?
5190_87766_000015_000005	Many such questions every day make one aware of a vast mass of people, earnest, hungry for happiness, and groping as if in a fog.	Many such questions every day make one aware of a vast mass of people, earnest, hungry for happiness, and groping as if in a fog.
5190_87766_000015_000006	The things they most need to know they are not taught in the schools, nor in the newspapers they read, nor in the church they attend.	The things they most need to know they are not taught in the schools, nor in the newspapers they read, nor in the church they attend.
5190_87766_000015_000007	Of these agencies, the first is not entirely competent, the second is not entirely honest, and the third is not entirely up to date.	Of these agencies, the first is not entirely competent, the second is not entirely honest, and the third is not entirely up to date.
5190_87766_000016_000000	For the present book the following claims may be made.	For the present book the following claims may be made.
5190_87766_000016_000002	Third, it is an honest book; its writer will not pretend to know what he only guesses, and where it is necessary to guess, he will say so frankly.	Third, it is an honest book; its writer will not pretend to know what he only guesses, and where it is necessary to guess, he will say so frankly.
5190_87766_000016_000003	Finally, it is a kind book; it is not written for its author's glory, nor for his enrichment, but to tell you things that may be useful to you in the brief span of your life.	Finally, it is a kind book; it is not written for its author's glory, nor for his enrichment, but to tell you things that may be useful to you in the brief span of your life.
5190_87766_000016_000005	A large order, as the boys phrase it!	A large order, as the boys phrase it!
5190_87766_000017_000000	There are several ways for such a book to begin.	There are several ways for such a book to begin.
5190_87766_000017_000001	It might begin with the child, because we all begin that way; it might begin with love, because that precedes the child; it might begin with the care of the body, explaining that sound physical health is the basis of all right living, and even of right thinking; it might begin as most philosophies do, by defining life, discussing its origin and fundamental nature.	It might begin with the child, because we all begin that way; it might begin with love, because that precedes the child; it might begin with the care of the body, explaining that sound physical health is the basis of all right living, and even of right thinking; it might begin as most philosophies do, by defining life, discussing its origin and fundamental nature.
5190_87766_000018_000000	The trouble with this last plan is that there are a lot of people who have their ideas on life made up in tabloid form; they have creeds and catechisms which they know by heart, and if you suggest to them anything different, they give you a startled look and get out of your way.	The trouble with this last plan is that there are a lot of people who have their ideas on life made up in tabloid form; they have creeds and catechisms which they know by heart, and if you suggest to them anything different, they give you a startled look and get out of your way.
5190_87766_000018_000001	And then there is another, and in our modern world a still larger class, who say, "Oh, shucks!	And then there is another, and in our modern world a still larger class, who say, "Oh, shucks!
5190_87766_000018_000002	I don't go in for religion and that kind of thing." You offer them something that looks like a sermon, and they turn to the baseball page.	I don't go in for religion and that kind of thing." You offer them something that looks like a sermon, and they turn to the baseball page.
5190_87766_000019_000001	There will be, among others, the great American tired business man.	There will be, among others, the great American tired business man.
5190_87766_000019_000002	He wrestles with problems and cares all day, and when he sits down to read in the evening, he says: "Make it short and snappy." There is the wife of the tired business man, the American perfect lady.	He wrestles with problems and cares all day, and when he sits down to read in the evening, he says: "Make it short and snappy." There is the wife of the tired business man, the American perfect lady.
5190_87766_000020_000000	Yet, I wonder; is there a single one among all these tired people, or even among the cynical people, who has not had some moment of awe when the thought came stabbing into his mind like a knife: "What a strange thing this life is!	Yet, I wonder; is there a single one among all these tired people, or even among the cynical people, who has not had some moment of awe when the thought came stabbing into his mind like a knife: "What a strange thing this life is!
5190_87766_000020_000001	What am I anyhow?	What am I anyhow?
5190_87766_000020_000002	Where do I come from, and what is going to become of me?	Where do I come from, and what is going to become of me?
5190_87766_000020_000004	It is not only in the class-room and the schools that the minds of men are grappling with the fundamental problems; in fact, it was not from the schools that the new religions and the great moral impulses of humanity took their origin.	It is not only in the class room and the schools that the minds of men are grappling with the fundamental problems; in fact, it was not from the schools that the new religions and the great moral impulses of humanity took their origin.
5190_87766_000020_000005	It was from lonely shepherds sitting on the hillsides, and from fishermen casting their nets, and from carpenters and tailors and shoemakers at their benches.	It was from lonely shepherds sitting on the hillsides, and from fishermen casting their nets, and from carpenters and tailors and shoemakers at their benches.
5190_87766_000021_000000	Stop and think a bit, and you will realize it does make a difference what you believe about life, how it comes to be, where it is going, and what is your place in it.	Stop and think a bit, and you will realize it does make a difference what you believe about life, how it comes to be, where it is going, and what is your place in it.
5190_87766_000021_000001	Is there a heaven with a God, who watches you day and night, and knows every thought you think, and will some day take you to eternal bliss if you obey his laws?	Is there a heaven with a God, who watches you day and night, and knows every thought you think, and will some day take you to eternal bliss if you obey his laws?
5190_87766_000021_000002	If you really believe that, you will try to find out about his laws, and you will be comparatively little concerned about the success or failure of your business.	If you really believe that, you will try to find out about his laws, and you will be comparatively little concerned about the success or failure of your business.
5190_87766_000022_000000	No matter how busy you may be, no matter how tired you may be, it will pay you to get such things straight: to know a little of what the wise men of the past have thought about them, and more especially what science with its new tools of knowledge may have discovered.	No matter how busy you may be, no matter how tired you may be, it will pay you to get such things straight: to know a little of what the wise men of the past have thought about them, and more especially what science with its new tools of knowledge may have discovered.
5190_87766_000023_000002	Then, being dissatisfied, he went to the unrecognized teachers, the enthusiasts and the "cranks" of a hundred schools.	Then, being dissatisfied, he went to the unrecognized teachers, the enthusiasts and the "cranks" of a hundred schools.
5190_87766_000023_000003	Finally, he thought for himself; he was even willing to try experiments upon himself.	Finally, he thought for himself; he was even willing to try experiments upon himself.
5190_87766_000023_000004	As a result, he has not found what he claims is ultimate or final truth; but he has what he might describe as a rough working draft, a practical outline, good for everyday purposes.	As a result, he has not found what he claims is ultimate or final truth; but he has what he might describe as a rough working draft, a practical outline, good for everyday purposes.
5190_87766_000023_000005	He is going to have confidence enough in you, the reader, to give you the hardest part first; that is, to begin with the great fundamental questions.	He is going to have confidence enough in you, the reader, to give you the hardest part first; that is, to begin with the great fundamental questions.
5190_87766_000023_000006	What is life, and how does it come to be?	What is life, and how does it come to be?
5190_87766_000023_000007	What does it mean, and what have we to do with it? Are we its masters or its slaves?	What does it mean, and what have we to do with it? Are we its masters or its slaves?
5190_87766_000023_000008	What does it owe us, and what do we owe to it?	What does it owe us, and what do we owe to it?
5190_87766_000023_000009	Why is it so hard, and do we have to stand its hardness?	Why is it so hard, and do we have to stand its hardness?
5190_87766_000023_000010	And can we really know about all these matters, or will we be only guessing? Can we trust ourselves to think about them, or shall we be safer if we believe what we are told?	And can we really know about all these matters, or will we be only guessing? Can we trust ourselves to think about them, or shall we be safer if we believe what we are told?
5190_87766_000023_000011	Shall we be punished if we think wrong, and how shall we be punished?	Shall we be punished if we think wrong, and how shall we be punished?
