5190_87766_000000_000000	THE BOOK OF LIFE ***	THE BOOK OF LIFE asterisk asterisk asterisk	false	2.16	3.48	23.205286
5190_87766_000001_000000	Produced by Chuck Greif and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images available at The Internet Archive)	Produced by Chuck Greif and the Online Distributed Proofreading Team at h t t p colon slash slash w w w dot p g d p dot net (This file was produced from images available at The Internet Archive)	false	3.48	6.03	19.144468
5190_87766_000002_000000	The Book _of_ Life	The Book underscore of underscore Life	false	6.03	7.32	9
5190_87766_000003_000000	UPTON SINCLAIR	UPTON SINCLAIR	false	7.32	7.785	10
5190_87766_000004_000000	THE BOOK OF LIFE	THE BOOK OF LIFE	false	7.785	8.49	10
5190_87766_000005_000000	_The_ Book of Life	underscore The underscore Book of Life	false	8.49	9.75	28.345266
5190_87766_000006_000000	_By_ UPTON SINCLAIR	underscore By underscore UPTON SINCLAIR	false	9.75	10.8	11
5190_87766_000007_000000	VOLUME ONE: MIND AND BODY	VOLUME ONE: MIND AND BODY	false	10.8	12.42	23.632893
5190_87766_000008_000000	VOLUME TWO: LOVE AND SOCIETY	VOLUME TWO: LOVE AND SOCIETY	false	12.42	14.04	25.837395
5190_87766_000009_000000	UPTON SINCLAIR PASADENA, CALIFORNIA	UPTON SINCLAIR PASADENA, CALIFORNIA	false	14.04	15.3	22
5190_87766_000010_000000	WHOLESALE DISTRIBUTORS _THE PAINE BOOK COMPANY_ CHICAGO	WHOLESALE DISTRIBUTORS underscore THE PAINE BOOK COMPANY underscore CHICAGO	false	15.3	17.04	25.592958
5190_87766_000011_000000	COPYRIGHT, 1921, 1922 BY UPTON SINCLAIR _All Rights Reserved._	COPYRIGHT, nineteen twenty one, nineteen twenty two BY UPTON SINCLAIR underscore All Rights Reserved.underscore	false	17.04	19.98	23.974995
5190_87766_000012_000000	_To_ Kate Crane Gartz in acknowledgment of her unceasing efforts for a better world, and her fidelity to those who struggle to achieve it.	underscore To underscore Kate Crane Gartz in acknowledgment of her unceasing efforts for a better world, and her fidelity to those who struggle to achieve it.	false	19.98	20.76	-5
5190_87766_000013_000000	INTRODUCTORY	INTRODUCTORY	true	20.76	22.03	22.69949
5190_87766_000014_000000	The writer of this book has been in this world some forty-two years. That may not seem long to some, but it is long enough to have made many painful mistakes, and to have learned much from them.	The writer of this book has been in this world some forty two years. That may not seem long to some, but it is long enough to have made many painful mistakes, and to have learned much from them.	false	22.94	35.38	22.721338
5190_87766_000014_000001	Looking about him, he sees others making these same mistakes, suffering for lack of that same knowledge which he has so painfully acquired.	Looking about him, he sees others making these same mistakes, suffering for lack of that same knowledge which he has so painfully acquired.	false	35.96	45.43	20.127384
5190_87766_000014_000002	This being the case, it seems a friendly act to offer his knowledge, minus the blunders and the pain.	This being the case, it seems a friendly act to offer his knowledge, minus the blunders and the pain.	false	45.8	52.78	22.746134
5190_87766_000015_000000	There come to the writer literally thousands of letters every year, asking him questions, some of them of the strangest.	There come to the writer literally thousands of letters every year, asking him questions, some of them of the strangest.	true	54.26	61.81	20.229269
5190_87766_000015_000001	A man is dying of cancer, and do I think it can be cured by a fast?	A man is dying of cancer, and do I think it can be cured by a fast?	true	62	66.67	21.641937
5190_87766_000015_000002	A man is unable to make his wife happy, and can I tell him what is the matter with women?	A man is unable to make his wife happy, and can I tell him what is the matter with women?	true	67.13	72.94	22
5190_87766_000015_000003	A man has invested his savings in mining stock, and can I tell him what to do about it?	A man has invested his savings in mining stock, and can I tell him what to do about it?	true	74.03	80.86	20.409021
5190_87766_000015_000004	A man works in a sweatshop, and has only a little time for self-improvement, and will I tell him what books he ought to read?	A man works in a sweatshop, and has only a little time for self improvement, and will I tell him what books he ought to read?	true	81.71	90.13	23.812542
5190_87766_000015_000005	Many such questions every day make one aware of a vast mass of people, earnest, hungry for happiness, and groping as if in a fog.	Many such questions every day make one aware of a vast mass of people, earnest, hungry for happiness, and groping as if in a fog.	true	90.89	101.62	21.756224
5190_87766_000015_000006	The things they most need to know they are not taught in the schools, nor in the newspapers they read, nor in the church they attend.	The things they most need to know they are not taught in the schools, nor in the newspapers they read, nor in the church they attend.	true	102.14	110.68	23.067636
5190_87766_000015_000007	Of these agencies, the first is not entirely competent, the second is not entirely honest, and the third is not entirely up to date.	Of these agencies, the first is not entirely competent, the second is not entirely honest, and the third is not entirely up to date.	true	111.26	123.945	21.157938
5190_87766_000015_000008	Nor is there anywhere a book in which the effort has been made to give to everyday human beings the everyday information they need for the successful living of their lives.	Nor is there anywhere a book in which the effort has been made to give to everyday human beings the everyday information they need for the successful living of their lives.	false	123.945	135.07	22
5190_87766_000016_000000	For the present book the following claims may be made.	For the present book the following claims may be made.	true	136.37	139.84	21.531681
5190_87766_000016_000001	First, it is a modern book; its writer watches hour by hour the new achievements of the human mind, he reaches out for information about them, he seeks to adjust his own thoughts to them and to test them in his own living. Second, it is, or tries hard to be, a wise book; its writer is not among those too-ardent young radicals who leap to the conclusion that because many old things are stupid and tiresome, therefore everything that is old is to be spurned with contempt, and everything that proclaims itself new is to be taken at its own valuation.	First, it is a modern book; its writer watches hour by hour the new achievements of the human mind, he reaches out for information about them, he seeks to adjust his own thoughts to them and to test them in his own living. Second, it is, or tries hard to be, a wise book; its writer is not among those too ardent young radicals who leap to the conclusion that because many old things are stupid and tiresome, therefore everything that is old is to be spurned with contempt, and everything that proclaims itself new is to be taken at its own valuation.	true	140.39	181.03	21.374598
5190_87766_000016_000002	Third, it is an honest book; its writer will not pretend to know what he only guesses, and where it is necessary to guess, he will say so frankly.	Third, it is an honest book; its writer will not pretend to know what he only guesses, and where it is necessary to guess, he will say so frankly.	true	182.48	193.36	20.462769
5190_87766_000016_000003	Finally, it is a kind book; it is not written for its author's glory, nor for his enrichment, but to tell you things that may be useful to you in the brief span of your life.	Finally, it is a kind book; it is not written for its author's glory, nor for his enrichment, but to tell you things that may be useful to you in the brief span of your life.	true	194.24	207.37	22.263826
