6782_61316_000000_000000	Ancient Babylonia was for over four thousand years the garden of Western Asia.	Ancient Babylonia was for over four thousand years the garden of Western Asia.	true	23.43	27.88	21
6782_61316_000000_000001	In the days of Hezekiah and Isaiah, when it had come under the sway of the younger civilization of Assyria on the north, it was "a land of corn and wine, a land of bread and vineyards, a land of oil olive and of honey[28]".	In the days of Hezekiah and isaiah, when it had come under the sway of the younger civilization of Assyria on the north, it was "a land of corn and wine, a land of bread and vineyards, a land of oil olive and of honey[twenty eight]".	false	28.25	41.07	21.061356
6782_61316_000000_000002	Herodotus found it still flourishing and extremely fertile.	Herodotus found it still flourishing and extremely fertile.	true	41.07	44.17	21
6782_61316_000000_000003	"This territory", he wrote, "is of all that we know the best by far for producing grain; it is so good that it returns as much as two hundredfold for the average, and, when it bears at its best, it produces three hundredfold.	"This territory", he wrote, "is of all that we know the best by far for producing grain; it is so good that it returns as much as two hundredfold for the average, and, when it bears at its best, it produces three hundredfold.	true	44.33	57.46	24.490952
6782_61316_000000_000004	The blades of the wheat and barley there grow to be full four fingers broad; and from millet and sesame seed, how large a tree grows, I know myself, but shall not record, being well aware that even what has already been said relating to the crops produced has been enough to cause disbelief in those who have not visited Babylonia[29]." To-day great tracts of undulating moorland, which aforetime yielded two and three crops a year, are in summer partly barren wastes and partly jungle and reedy swamp. Bedouins camp beside sandy heaps which were once populous and thriving cities, and here and there the shrunken remnants of a people once great and influential eke out precarious livings under the oppression of Turkish tax-gatherers who are scarcely less considerate than the plundering nomads of the desert.	The blades of the wheat and barley there grow to be full four fingers broad; and from millet and sesame seed, how large a tree grows, I know myself, but shall not record, being well aware that even what has already been said relating to the crops produced has been enough to cause disbelief in those who have not visited Babylonia[twenty nine]." To day great tracts of undulating moorland, which aforetime yielded two and three crops a year, are in summer partly barren wastes and partly jungle and reedy swamp. Bedouins camp beside sandy heaps which were once populous and thriving cities, and here and there the shrunken remnants of a people once great and influential eke out precarious livings under the oppression of Turkish tax gatherers who are scarcely less considerate than the plundering nomads of the desert.	false	57.89	104.11	25
6782_61316_000001_000000	This historic country is bounded on the east by Persia and on the west by the Arabian desert.	This historic country is bounded on the east by Persia and on the west by the Arabian desert.	true	104.6	110.53	23
6782_61316_000001_000001	In shape somewhat resembling a fish, it lies between the two great rivers, the Tigris and the Euphrates, 100 miles wide at its broadest part, and narrowing to 35 miles towards the "tail" in the latitude of Baghdad; the "head" converges to a point above Basra, where the rivers meet and form the Shatt-el-Arab, which pours into the Persian Gulf after meeting the Karun and drawing away the main volume of that double-mouthed river.	In shape somewhat resembling a fish, it lies between the two great rivers, the Tigris and the Euphrates, one hundred miles wide at its broadest part, and narrowing to thirty five miles towards the "tail" in the latitude of Baghdad; the "head" converges to a point above Basra, where the rivers meet and form the Shatt el Arab, which pours into the Persian Gulf after meeting the Karun and drawing away the main volume of that double mouthed river.	false	110.57	137.26	25.445015
6782_61316_000001_000002	The distance from Baghdad to Basra is about 300 miles, and the area traversed by the Shatt-el-Arab is slowly extending at the rate of a mile every thirty years or so, as a result of the steady accumulation of silt and mud carried down by the Tigris and Euphrates.	The distance from Baghdad to Basra is about three hundred miles, and the area traversed by the Shatt el Arab is slowly extending at the rate of a mile every thirty years or so, as a result of the steady accumulation of silt and mud carried down by the Tigris and Euphrates.	false	137.75	153.1	19
6782_61316_000001_000003	When Sumeria was beginning to flourish, these two rivers had separate outlets, and Eridu, the seat of the cult of the sea god Ea, which now lies 125 miles inland, was a seaport at the head of the Persian Gulf.	When Sumeria was beginning to flourish, these two rivers had separate outlets, and Eridu, the seat of the cult of the sea god Ea, which now lies one hundred twenty five miles inland, was a seaport at the head of the Persian Gulf.	false	153.59	167.11	26
6782_61316_000001_000004	A day's journey separated the river mouths when Alexander the Great broke the power of the Persian Empire.	A day's journey separated the river mouths when Alexander the Great broke the power of the Persian Empire.	true	167.33	173.14	28
6782_61316_000002_000000	In the days of Babylonia's prosperity the Euphrates was hailed as "the soul of the land" and the Tigris as "the bestower of blessings". Skilful engineers had solved the problem of water distribution by irrigating sun-parched areas and preventing the excessive flooding of those districts which are now rendered impassable swamps when the rivers overflow.	In the days of Babylonia's prosperity the Euphrates was hailed as "the soul of the land" and the Tigris as "the bestower of blessings". Skilful engineers had solved the problem of water distribution by irrigating sun parched areas and preventing the excessive flooding of those districts which are now rendered impassable swamps when the rivers overflow.	true	173.84	194.26	22
6782_61316_000002_000001	A network of canals was constructed throughout the country, which restricted the destructive tendencies of the Tigris and Euphrates and developed to a high degree their potentialities as fertilizing agencies.	A network of canals was constructed throughout the country, which restricted the destructive tendencies of the Tigris and Euphrates and developed to a high degree their potentialities as fertilizing agencies.	true	194.48	205.78	22
6782_61316_000002_000002	The greatest of these canals appear to have been anciently river beds.	The greatest of these canals appear to have been anciently river beds.	true	205.88	209.89	28
6782_61316_000002_000003	One, which is called Shatt en Nil to the north, and Shatt el Kar to the south, curved eastward from Babylon, and sweeping past Nippur, flowed like the letter S towards Larsa and then rejoined the river.	One, which is called Shatt en Nil to the north, and Shatt el Kar to the south, curved eastward from Babylon, and sweeping past Nippur, flowed like the letter S towards Larsa and then rejoined the river.	false	210.29	222.85	24.889135
6782_61316_000002_000004	It is believed to mark the course followed in the early Sumerian period by the Euphrates river, which has moved steadily westward many miles beyond the sites of ancient cities that were erected on its banks.	It is believed to mark the course followed in the early Sumerian period by the Euphrates river, which has moved steadily westward many miles beyond the sites of ancient cities that were erected on its banks.	true	223.04	234.37	23
