4363_11049_000008_000000	CHAPTER XXX.	CHAPTER thirty.
4363_11049_000008_000001	WAITING ON DESTINY	WAITING ON DESTINY
4363_11049_000009_000000	Throughout the day Marian kept her room.	Throughout the day Marian kept her room.
4363_11049_000009_000003	At times she lay in silent anguish; frequently her tears broke forth, and she sobbed until weariness overcame her.	At times she lay in silent anguish; frequently her tears broke forth, and she sobbed until weariness overcame her.
4363_11049_000010_000000	At five her mother brought tea.	At five her mother brought tea.
4363_11049_000012_000000	'To bed?	'To bed?
4363_11049_000012_000001	But I am going out in an hour or two.'	But I am going out in an hour or two.'
4363_11049_000013_000000	'Oh, you can't, dear!	'Oh, you can't, dear!
4363_11049_000013_000001	It's so bitterly cold.	It's so bitterly cold.
4363_11049_000013_000002	It wouldn't be good for you.'	It wouldn't be good for you.'
4363_11049_000014_000000	'I have to go out, mother, so we won't speak of it.'	'I have to go out, mother, so we won't speak of it.'
4363_11049_000015_000001	Mrs Yule sat down, and watched the girl raise the cup to her mouth with trembling hand.	Mrs Yule sat down, and watched the girl raise the cup to her mouth with trembling hand.
4363_11049_000016_000000	'This won't make any difference to you--in the end, my darling,' the mother ventured to say at length, alluding for the first time to the effect of the catastrophe on Marian's immediate prospects.	'This won't make any difference to you-in the end, my darling,' the mother ventured to say at length, alluding for the first time to the effect of the catastrophe on Marian's immediate prospects.
4363_11049_000017_000000	'Of course not,' was the reply, in a tone of self-persuasion.	'Of course not,' was the reply, in a tone of self persuasion.
4363_11049_000020_000000	'You feel much better now, don't you?'	'You feel much better now, don't you?'
4363_11049_000021_000000	'Much.	'Much.
4363_11049_000021_000001	I am quite well again.'	I am quite well again.'
4363_11049_000022_000000	At seven, Marian went out.	At seven, Marian went out.
4363_11049_000022_000001	Finding herself weaker than she had thought, she stopped an empty cab that presently passed her, and so drove to the Milvains' lodgings.	Finding herself weaker than she had thought, she stopped an empty cab that presently passed her, and so drove to the Milvains' lodgings.
4363_11049_000023_000000	Jasper was at home, and working.	Jasper was at home, and working.
4363_11049_000024_000000	'Your father has been behaving brutally,' he said, holding her hands and gazing anxiously at her.	'Your father has been behaving brutally,' he said, holding her hands and gazing anxiously at her.
4363_11049_000025_000000	'There is something far worse than that, Jasper.'	'There is something far worse than that, Jasper.'
4363_11049_000027_000001	Jasper gave a whistle of consternation, and looked vacantly from the paper to Marian's countenance.	Jasper gave a whistle of consternation, and looked vacantly from the paper to Marian's countenance.
4363_11049_000028_000000	'How the deuce comes this about?' he exclaimed.	'How the deuce comes this about?' he exclaimed.
4363_11049_000029_000000	'Perhaps he was.	'Perhaps he was.
4363_11049_000030_000000	'You are the only one affected?'	'You are the only one affected?'
4363_11049_000031_000000	'So father says.	'So father says.
4363_11049_000032_000001	Sit down, Marian.	Sit down, Marian.
4363_11049_000032_000002	When did the letter come?'	When did the letter come?'
4363_11049_000034_000000	'And you have been fretting over it all day.	'And you have been fretting over it all day.
