3927_6556_000000_000000	Night camp R. 2.	Night camp r two.	false	71.205	79.35	21.4066
3927_6556_000000_000001	[37] Height 9700.	[thirty seven] Height nine thousand seven hundred.	false	79.35	82.35	18.445515
3927_6556_000000_000002	T. -18.5 deg., Minimum -25.6 deg..	T. minus eighteen point five d e g., Minimum minus twenty five point six d e g..	false	82.35	91.245	21.960886
3927_6556_000000_000003	Came along well this afternoon for three hours, then a rather dreary finish for the last 1 1/2.	Came along well this afternoon for three hours, then a rather dreary finish for the last one and a half.	true	91.245	97.24	19.167257
3927_6556_000000_000004	Weather very curious, snow clouds, looking very dense and spoiling the light, pass overhead from the S., dropping very minute crystals; between showers the sun shows and the wind goes to the S.W.	Weather very curious, snow clouds, looking very dense and spoiling the light, pass overhead from the s, dropping very minute crystals; between showers the sun shows and the wind goes to the s w	false	97.91	111.96	20.241793
3927_6556_000000_000005	The fine crystals absolutely spoil the surface; we had heavy dragging during the last hour in spite of the light load and a full sail.	The fine crystals absolutely spoil the surface; we had heavy dragging during the last hour in spite of the light load and a full sail.	false	111.96	120.1	19
3927_6556_000000_000006	Our old tracks are drifted up, deep in places, and toothed sastrugi have formed over them.	Our old tracks are drifted up, deep in places, and toothed sastrugi have formed over them.	true	120.38	126.435	21.433153
3927_6556_000000_000007	It looks as though this sandy snow was drifted about like sand from place to place.	It looks as though this sandy snow was drifted about like sand from place to place.	true	126.435	131.05	17
3927_6556_000000_000008	How account for the present state of our three day old tracks and the month old ones of the Norwegians?	How account for the present state of our three day old tracks and the month old ones of the Norwegians?	true	131.84	136.84	16
3927_6556_000001_000000	It is warmer and pleasanter marching with the wind, but I'm not sure we don't feel the cold more when we stop and camp than we did on the outward march.	It is warmer and pleasanter marching with the wind, but I'm not sure we don't feel the cold more when we stop and camp than we did on the outward march.	true	137.93	146.29	18
3927_6556_000001_000001	We pick up our cairns easily, and ought to do so right through, I think; but, of course, one will be a bit anxious till the Three Degree Depot is reached.	We pick up our cairns easily, and ought to do so right through, I think; but, of course, one will be a bit anxious till the Three Degree Depot is reached.	false	146.81	165.45	20.98334
3927_6556_000001_000002	[38] I'm afraid the return journey is going to be dreadfully tiring and monotonous.	[thirty eight] I'm afraid the return journey is going to be dreadfully tiring and monotonous.	false	165.45	171.45	20.00957
3927_6556_000002_000000	_Saturday, January 20._--Lunch camp, 9810.	underscore saturday january twentieth.underscore--Lunch camp, nine thousand eight hundred ten.	false	171.45	178.51	18.501287
3927_6556_000002_000001	We have come along very well this morning, although the surface was terrible bad--9.3 miles in 5 hours 20 m.	We have come along very well this morning, although the surface was terrible bad minus nine point three miles in five hours twenty meters.	false	179.3	188.1	18.801117
3927_6556_000002_000002	This has brought us to our Southern Depot, and we pick up 4 days' food.	This has brought us to our Southern Depot, and we pick up four days' food.	true	188.1	191.98	20
3927_6556_000002_000003	We carry on 7 days from to-night with 55 miles to go to the Half Degree Depot made on January 10.	We carry on seven days from to night with fifty five miles to go to the Half Degree Depot made on january tenth.	true	192.62	199.15	18
3927_6556_000002_000004	The same sort of weather and a little more wind, sail drawing well.	The same sort of weather and a little more wind, sail drawing well.	true	199.58	203.92	17.571766
3927_6556_000003_000000	Night Camp R. 3.	Night Camp r three.	true	205.37	207.105	24.921474
3927_6556_000003_000001	9860.	nine thousand eight hundred sixty.	false	207.105	209.4	21
3927_6556_000003_000002	Temp. -18 deg..	Temp. minus eighteen d e g..	false	209.4	212.37	22.132078
3927_6556_000003_000003	It was blowing quite hard and drifting when we started our afternoon march.	It was blowing quite hard and drifting when we started our afternoon march.	true	212.37	216.09	13
3927_6556_000003_000004	At first with full sail we went along at a great rate; then we got on to an extraordinary surface, the drifting snow lying in heaps; it clung to the ski, which could only be pushed forward with an effort.	At first with full sail we went along at a great rate; then we got on to an extraordinary surface, the drifting snow lying in heaps; it clung to the ski, which could only be pushed forward with an effort.	true	216.09	227.83	21.008091
3927_6556_000003_000005	The pulling was really awful, but we went steadily on and camped a short way beyond our cairn of the 14th.	The pulling was really awful, but we went steadily on and camped a short way beyond our cairn of the fourteenth.	true	228.2	234.25	22.297997
3927_6556_000003_000006	I'm afraid we are in for a bad pull again to-morrow, luckily the wind holds.	I'm afraid we are in for a bad pull again to morrow, luckily the wind holds.	false	234.47	238.87	19.876165
3927_6556_000003_000007	I shall be very glad when Bowers gets his ski; I'm afraid he must find these long marches very trying with short legs, but he is an undefeated little sportsman.	I shall be very glad when Bowers gets his ski; I'm afraid he must find these long marches very trying with short legs, but he is an undefeated little sportsman.	true	239.48	248.53	18.853626
3927_6556_000003_000008	I think Oates is feeling the cold and fatigue more than most of us.	I think Oates is feeling the cold and fatigue more than most of us.	false	249.14	252.82	18
3927_6556_000003_000009	It is blowing pretty hard to-night, but with a good march we have earned one good hoosh and are very comfortable in the tent.	It is blowing pretty hard to night, but with a good march we have earned one good hoosh and are very comfortable in the tent.	false	253.4	259.6	17
3927_6556_000003_000010	It is everything now to keep up a good marching pace; I trust we shall be able to do so and catch the ship.	It is everything now to keep up a good marching pace; I trust we shall be able to do so and catch the ship.	true	259.91	266.8	20.799086
3927_6556_000003_000011	Total march, 18 1/2 miles.	Total march, eighteen and a half miles.	true	266.96	269.55	25.627274
3927_6556_000004_000000	_Sunday, January_ 21.--R. 4.	underscore Sunday, January underscore twenty one.--R. four.	false	269.55	274.75	22.138985
3927_6556_000004_000001	10,010.	ten thousand ten.	true	275.06	276.18	22
3927_6556_000004_000002	Temp, blizzard, -18 deg. to -11 deg., to -14 deg.	Temp, blizzard, minus eighteen d e g. to minus eleven d e g., to minus fourteen d e g.	false	276.18	283.47	20.439419
3927_6556_000004_000003	now.	now.	true	283.47	284.14	20.756622
3927_6556_000004_000004	Awoke to a stiff blizzard; air very thick with snow and sun very dim.	Awoke to a stiff blizzard; air very thick with snow and sun very dim.	true	285.11	289.74	18
3927_6556_000004_000005	We decided not to march owing to likelihood of losing track; expected at least a day of lay up, but whilst at lunch there was a sudden clearance and wind dropped to light breeze.	We decided not to march owing to likelihood of losing track; expected at least a day of lay up, but whilst at lunch there was a sudden clearance and wind dropped to light breeze.	false	289.74	300.82	21.394003
