3927_6556_000000_000006	Our old tracks are drifted up, deep in places, and toothed sastrugi have formed over them.	Our old tracks are drifted up, deep in places, and toothed sastrugi have formed over them.
3927_6556_000002_000002	This has brought us to our Southern Depot, and we pick up 4 days' food.	This has brought us to our Southern Depot, and we pick up four days' food.
3927_6556_000003_000000	Night Camp R. 3.	Night Camp r three.
3927_6556_000003_000004	At first with full sail we went along at a great rate; then we got on to an extraordinary surface, the drifting snow lying in heaps; it clung to the ski, which could only be pushed forward with an effort.	At first with full sail we went along at a great rate; then we got on to an extraordinary surface, the drifting snow lying in heaps; it clung to the ski, which could only be pushed forward with an effort.
3927_6556_000003_000005	The pulling was really awful, but we went steadily on and camped a short way beyond our cairn of the 14th.	The pulling was really awful, but we went steadily on and camped a short way beyond our cairn of the fourteenth.
3927_6556_000003_000010	It is everything now to keep up a good marching pace; I trust we shall be able to do so and catch the ship.	It is everything now to keep up a good marching pace; I trust we shall be able to do so and catch the ship.
3927_6556_000003_000011	Total march, 18 1/2 miles.	Total march, eighteen and a half miles.
3927_6556_000004_000001	10,010.	ten thousand ten.
3927_6556_000004_000003	now.	now.
3927_6556_000007_000001	We are just about on the 89th parallel.	We are just about on the eighty ninth parallel.
3927_6556_000007_000002	To-night Bowers got a rating sight.	To night Bowers got a rating sight.
3927_6556_000007_000006	I thought we were climbing to-day, but the barometer gives no change.	I thought we were climbing to day, but the barometer gives no change.
3927_6556_000008_000002	Little wind and heavy marching at start.	Little wind and heavy marching at start.
3927_6556_000008_000004	The old tracks show so remarkably well that we can follow them without much difficulty--a great piece of luck.	The old tracks show so remarkably well that we can follow them without much difficulty-a great piece of luck.
3927_6556_000009_000002	Bowers hung on to the sledge, Evans and Oates had to lengthen out.	Bowers hung on to the sledge, Evans and Oates had to lengthen out.
3927_6556_000009_000005	Got the tent up with some difficulty, and now pretty cosy after good hoosh.	Got the tent up with some difficulty, and now pretty cosy after good hoosh.
3927_6556_000010_000003	Oates gets cold feet.	Oates gets cold feet.
3927_6556_000010_000006	The weather seems to be breaking up.	The weather seems to be breaking up.
3927_6556_000010_000007	Pray God we have something of a track to follow to the Three Degree Depot--once we pick that up we ought to be right.	Pray God we have something of a track to follow to the Three Degree Depot-once we pick that up we ought to be right.
3927_6556_000011_000002	Things beginning to look a little serious.	Things beginning to look a little serious.
3927_6556_000011_000006	Bowers guided the sledge alone for the first hour, then both Oates and he remained alongside it; they had a fearful time trying to make the pace between the soft patches.	Bowers guided the sledge alone for the first hour, then both Oates and he remained alongside it; they had a fearful time trying to make the pace between the soft patches.
3927_6556_000011_000011	I don't like the look of it.	I don't like the look of it.
3927_6556_000011_000012	Is the weather breaking up?	Is the weather breaking up?
3927_6556_000011_000013	If so, God help us, with the tremendous summit journey and scant food.	If so, God help us, with the tremendous summit journey and scant food.
3927_6556_000012_000012	Needless to say I shall sleep much better with our provision bag full again.	Needless to say I shall sleep much better with our provision bag full again.
3927_6556_000012_000014	The tracks seem as good as ever so far, sometimes for 30 or 40 yards we lose them under drifts, but then they reappear quite clearly raised above the surface.	The tracks seem as good as ever so far, sometimes for thirty or forty yards we lose them under drifts, but then they reappear quite clearly raised above the surface.
3927_6556_000012_000015	If the light is good there is not the least difficulty in following.	If the light is good there is not the least difficulty in following.
3927_6556_000013_000004	There was a good stiff breeze and plenty of drift, but the tracks held.	There was a good stiff breeze and plenty of drift, but the tracks held.
3927_6556_000013_000006	But beyond the camp we found the tracks completely wiped out.	But beyond the camp we found the tracks completely wiped out.
3927_6556_000013_000011	I hope to goodness we can follow it to-morrow.	I hope to goodness we can follow it to morrow.
3927_6556_000014_000004	Barometer low?	Barometer low?
3927_6556_000014_000006	The forenoon march was over the belt of storm-tossed sastrugi; it looked like a rough sea.	The forenoon march was over the belt of storm tossed sastrugi; it looked like a rough sea.
3927_6556_000014_000007	Wilson and I pulled in front on ski, the remainder on foot.	Wilson and I pulled in front on ski, the remainder on foot.
3927_6556_000014_000008	It was very tricky work following the track, which pretty constantly disappeared, and in fact only showed itself by faint signs anywhere--a foot or two of raised sledge-track, a dozen yards of the trail of the sledge-meter wheel, or a spatter of hard snow-flicks where feet had trodden.	It was very tricky work following the track, which pretty constantly disappeared, and in fact only showed itself by faint signs anywhere-a foot or two of raised sledge track, a dozen yards of the trail of the sledge meter wheel, or a spatter of hard snow flicks where feet had trodden.
3927_6556_000014_000012	However, by hook or crook, we managed to stick on the old track.	However, by hook or crook, we managed to stick on the old track.
