242_122626_000003_000000	CHAPTER I	CHAPTER one
242_122626_000004_000000	There was no possibility of taking a walk that day.	There was no possibility of taking a walk that day.
242_122626_000009_000000	A breakfast-room adjoined the drawing-room, I slipped in there.	A breakfast room adjoined the drawing room, I slipped in there.
242_122626_000009_000002	I mounted into the window- seat: gathering up my feet, I sat cross-legged, like a Turk; and, having drawn the red moreen curtain nearly close, I was shrined in double retirement.	I mounted into the window seat: gathering up my feet, I sat cross legged, like a Turk; and, having drawn the red moreen curtain nearly close, I was shrined in double retirement.
242_122626_000010_000001	At intervals, while turning over the leaves of my book, I studied the aspect of that winter afternoon.	At intervals, while turning over the leaves of my book, I studied the aspect of that winter afternoon.
242_122626_000019_000000	With Bewick on my knee, I was then happy: happy at least in my way.	With Bewick on my knee, I was then happy: happy at least in my way.
242_122626_000019_000001	I feared nothing but interruption, and that came too soon.	I feared nothing but interruption, and that came too soon.
242_122626_000020_000001	Madam Mope!" cried the voice of John Reed; then he paused: he found the room apparently empty.	Madam Mope!" cried the voice of john Reed; then he paused: he found the room apparently empty.
242_122626_000021_000002	Georgy! (calling to his sisters) Joan is not here: tell mama she is run out into the rain--bad animal!"	Georgy! (calling to his sisters) Joan is not here: tell mama she is run out into the rain-bad animal!"
242_122626_000025_000000	"What do you want?" I asked, with awkward diffidence.	"What do you want?" I asked, with awkward diffidence.
242_122626_000026_000000	"Say, 'What do you want, Master Reed?'" was the answer.	"Say, 'What do you want, Master Reed?'" was the answer.
242_122626_000027_000000	John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.	john Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.
242_122626_000028_000000	John had not much affection for his mother and sisters, and an antipathy to me.	john had not much affection for his mother and sisters, and an antipathy to me.
242_122626_000029_000001	I wonder if he read that notion in my face; for, all at once, without speaking, he struck suddenly and strongly.	I wonder if he read that notion in my face; for, all at once, without speaking, he struck suddenly and strongly.
242_122626_000034_000000	"Show the book."	"Show the book."
242_122626_000035_000000	I returned to the window and fetched it thence.	I returned to the window and fetched it thence.
242_122626_000038_000001	"You are like a murderer--you are like a slave-driver--you are like the Roman emperors!"	"You are like a murderer-you are like a slave driver-you are like the Roman emperors!"
242_122626_000040_000000	"What! what!" he cried.	"What! what!" he cried.
242_122626_000040_000004	but first--"	but first-"
242_122626_000041_000000	He ran headlong at me: I felt him grasp my hair and my shoulder: he had closed with a desperate thing.	He ran headlong at me: I felt him grasp my hair and my shoulder: he had closed with a desperate thing.
242_122626_000045_000000	"Take her away to the red-room, and lock her in there." Four hands were immediately laid upon me, and I was borne upstairs.	"Take her away to the red room, and lock her in there." Four hands were immediately laid upon me, and I was borne upstairs.
