3703_71531_000000_000000	CHAPTER XV	CHAPTER fifteen	false	0.15	5.895	18.833963
3703_71531_000001_000000	The swiftness of the process by which the glowing little Miss Lawless, at whom people had found themselves involuntarily looking so often, changed from a rose of a girl into something strangely like a small waxen image which walked, called forth frequent startled comment.	The swiftness of the process by which the glowing little Miss Lawless, at whom people had found themselves involuntarily looking so often, changed from a rose of a girl into something strangely like a small waxen image which walked, called forth frequent startled comment.	false	5.895	28.66	18
3703_71531_000001_000001	She was glanced at even oftener than ever.	She was glanced at even oftener than ever.	false	28.76	31.47	19
3703_71531_000002_000000	"Is she going into galloping consumption?	"Is she going into galloping consumption?	false	31.47	34.39	19
3703_71531_000002_000001	Her little chin has grown quite pointed and her eyes are actually frightening," was an early observation.	Her little chin has grown quite pointed and her eyes are actually frightening," was an early observation.	true	34.43	40.99	21
3703_71531_000002_000002	But girls who are going into galloping consumption cough and look hectic and are weaker day by day and she had no cough, nor was she hectic and, though it was known that Dr. Redcliff saw her frequently, she insisted that she was not ill and begged the Duchess to let her go on with her work.	But girls who are going into galloping consumption cough and look hectic and are weaker day by day and she had no cough, nor was she hectic and, though it was known that dr Redcliff saw her frequently, she insisted that she was not ill and begged the Duchess to let her go on with her work.	true	41.21	59.58	22
3703_71531_000003_000000	"But the _done-for_ woe in her face is inexplicable--in a girl who has had no love affairs and has not even known any one who could have flirted with her and ridden away.	"But the underscore done for underscore woe in her face is inexplicable-in a girl who has had no love affairs and has not even known any one who could have flirted with her and ridden away.	false	59.58	69.64	16
3703_71531_000003_000001	The little thing's _done for_.	The little thing's underscore done for underscore.	false	69.77	71.94	20.140472
3703_71531_000003_000002	It cries out aloud.	It cries out aloud.	true	71.94	73.62	22
3703_71531_000003_000003	I can't bear to look at her," one woman protested.	I can't bear to look at her," one woman protested.	true	73.62	77.29	19
3703_71531_000004_000000	"I shall send her away if she does not improve," the Duchess said.	"I shall send her away if she does not improve," the Duchess said.	true	77.6	81.525	18.499739
3703_71531_000004_000001	"She shall go to some remote place in the Highlands and she shall not be allowed to remember that there is a war in the world.	"She shall go to some remote place in the Highlands and she shall not be allowed to remember that there is a war in the world.	false	81.525	88.59	17
3703_71531_000004_000002	If I can manage to send her old nurse Dowie with her she will stand guard over her like an old shepherd."	If I can manage to send her old nurse Dowie with her she will stand guard over her like an old shepherd."	true	88.59	94.99	19
3703_71531_000005_000000	She also had been struck by the look which had been spoken of as "done-for." Girls did not look like that for any common reason.	She also had been struck by the look which had been spoken of as "done for." Girls did not look like that for any common reason.	false	95.09	102.82	22.079153
3703_71531_000005_000001	She asked herself questions and with great care sat on foot a gradual and delicate cross-examination of Robin herself.	She asked herself questions and with great care sat on foot a gradual and delicate cross examination of Robin herself.	true	102.95	112.24	22.185112
3703_71531_000005_000002	But she discovered no reason common or uncommon for the thing she recognised each time she looked at her.	But she discovered no reason common or uncommon for the thing she recognised each time she looked at her.	true	112.52	119.44	20
3703_71531_000005_000003	It was inevitable that she should talk to Lord Coombe but she met in him a sort of barrier.	It was inevitable that she should talk to Lord Coombe but she met in him a sort of barrier.	true	119.57	125.5	19
3703_71531_000005_000004	She could not avoid seeing that he was preoccupied.	She could not avoid seeing that he was preoccupied.	true	125.57	128.86	21.9866
3703_71531_000005_000005	She remotely felt that he was turning over in his mind something which precluded the possibility of his giving attention to other questions.	She remotely felt that he was turning over in his mind something which precluded the possibility of his giving attention to other questions.	true	129.41	138.1	19
3703_71531_000006_000000	"I almost feel as if your interest in her had lapsed," she said at last.	"I almost feel as if your interest in her had lapsed," she said at last.	true	138.38	143.29	20
3703_71531_000007_000000	"No.	"no	true	143.45	144.18	23.17984
3703_71531_000007_000001	It has taken a--an entirely new form," was his answer.	It has taken a-an entirely new form," was his answer.	false	144.18	148.93	19.844173
3703_71531_000008_000000	It was when his glance encountered hers after he said this that each regarded the other with a slow growing anxiousness.	It was when his glance encountered hers after he said this that each regarded the other with a slow growing anxiousness.	false	149.15	157.27	17
3703_71531_000008_000001	Something came to life in each pair of eyes and it was something disturbed and reluctant. The Duchess spoke first.	Something came to life in each pair of eyes and it was something disturbed and reluctant. The Duchess spoke first.	true	157.28	164.92	22.27645
3703_71531_000009_000000	"She has had no companions," she said painfully.	"She has had no companions," she said painfully.	true	165.23	168.81	20
3703_71531_000009_000001	"The War put an end to what I thought I might do for her.	"The War put an end to what I thought I might do for her.	true	168.81	172.27	21
3703_71531_000009_000002	There has been _nobody_."	There has been underscore nobody underscore."	false	172.28	174.54	20.688969
3703_71531_000010_000000	"At present it is a curious fact that in one sense we know very little of each other's lives," he answered.	"At present it is a curious fact that in one sense we know very little of each other's lives," he answered.	false	174.54	181.575	20
3703_71531_000010_000001	"The old leisurely habit of observing details no longer exists.	"The old leisurely habit of observing details no longer exists.	true	181.575	186.64	20
3703_71531_000010_000002	As Redcliff said in speaking of her--and girls generally--all the gates are thrown wide open."	As Redcliff said in speaking of her-and girls generally-all the gates are thrown wide open."	true	186.8	193.21	22.269804
3703_71531_000011_000000	The Duchess was very silent for a space before she made her reply.	The Duchess was very silent for a space before she made her reply.	false	193.49	197.56	19
3703_71531_000012_000000	"Yes."	"Yes."	true	197.78	198.73	19.947676
3703_71531_000013_000000	"You do not know her mother?"	"You do not know her mother?"	true	199.28	201.16	19
3703_71531_000014_000000	"No."	"no"	true	201.29	202	17.84039
3703_71531_000015_000000	"Two weeks ago she gave me something to reflect on.	"Two weeks ago she gave me something to reflect on.	true	202.19	205.38	20
3703_71531_000015_000001	Her feeling for her daughter is that of a pretty cat-like woman for something enragingly younger than herself.	Her feeling for her daughter is that of a pretty cat like woman for something enragingly younger than herself.	true	205.38	212.295	20.870035
3703_71531_000015_000002	She always resented her.	She always resented her.	true	212.295	214.18	17.702116
3703_71531_000015_000003	She was infuriated by your interest in her.	She was infuriated by your interest in her.	true	214.46	217.42	18
