5154_6174_000000_000000	VI.	VI.	false	21.27	21.705	-20
5154_6174_000001_000000	Meantime the wise woman was busy as she always was; and her business now was with the child of the shepherd and shepherdess, away in the north.	Meantime the wise woman was busy as she always was; and her business now was with the child of the shepherd and shepherdess, away in the north.	true	21.705	30.04	19.15146
5154_6174_000001_000001	Her name was Agnes.	Her name was Agnes.	true	30.17	32.2	23.274408
5154_6174_000002_000000	Her father and mother were poor, and could not give her many things. Rosamond would have utterly despised the rude, simple playthings she had.	Her father and mother were poor, and could not give her many things. Rosamond would have utterly despised the rude, simple playthings she had.	true	32.9	41.83	20.462431
5154_6174_000002_000001	Yet in one respect they were of more value far than hers: the king bought Rosamond's with his money; Agnes's father made hers with his hands.	Yet in one respect they were of more value far than hers: the king bought Rosamond's with his money; Agnes's father made hers with his hands.	false	42.47	52.51	21.87615
5154_6174_000003_000000	And while Agnes had but few things--not seeing many things about her, and not even knowing that there were many things anywhere, she did not wish for many things, and was therefore neither covetous nor avaricious.	And while Agnes had but few things-not seeing many things about her, and not even knowing that there were many things anywhere, she did not wish for many things, and was therefore neither covetous nor avaricious.	false	53.09	68.17	21.717043
5154_6174_000004_000000	She played with the toys her father made her, and thought them the most wonderful things in the world--windmills, and little crooks, and water-wheels, and sometimes lambs made all of wool, and dolls made out of the leg-bones of sheep, which her mother dressed for her; and of such playthings she was never tired.	She played with the toys her father made her, and thought them the most wonderful things in the world-windmills, and little crooks, and water wheels, and sometimes lambs made all of wool, and dolls made out of the leg bones of sheep, which her mother dressed for her; and of such playthings she was never tired.	true	69.26	86.53	19.748417
5154_6174_000004_000001	Sometimes, however, she preferred playing with stones, which were plentiful, and flowers, which were few, or the brooks that ran down the hill, of which, although they were many, she could only play with one at a time, and that, indeed, troubled her a little--or live lambs that were not all wool, or the sheep-dogs, which were very friendly with her, and the best of playfellows, as she thought, for she had no human ones to compare them with.	Sometimes, however, she preferred playing with stones, which were plentiful, and flowers, which were few, or the brooks that ran down the hill, of which, although they were many, she could only play with one at a time, and that, indeed, troubled her a little-or live lambs that were not all wool, or the sheep dogs, which were very friendly with her, and the best of playfellows, as she thought, for she had no human ones to compare them with.	false	86.9	112.75	23.27963
5154_6174_000004_000002	Neither was she greedy after nice things, but content, as well she might be, with the homely food provided for her.	Neither was she greedy after nice things, but content, as well she might be, with the homely food provided for her.	true	113.66	120.34	19.765919
5154_6174_000004_000003	Nor was she by nature particularly self-willed or disobedient; she generally did what her father and mother wished, and believed what they told her.	Nor was she by nature particularly self willed or disobedient; she generally did what her father and mother wished, and believed what they told her.	true	120.77	129.615	19.799479
5154_6174_000004_000004	But by degrees they had spoiled her; and this was the way: they were so proud of her that they always repeated every thing she said, and told every thing she did, even when she was present; and so full of admiration of their child were they, that they wondered and laughed at and praised things in her which in another child would never have struck them as the least remarkable, and some things even which would in another have disgusted them altogether.	But by degrees they had spoiled her; and this was the way: they were so proud of her that they always repeated every thing she said, and told every thing she did, even when she was present; and so full of admiration of their child were they, that they wondered and laughed at and praised things in her which in another child would never have struck them as the least remarkable, and some things even which would in another have disgusted them altogether.	false	129.615	163.51	21.418001
5154_6174_000004_000005	Impertinent and rude things done by THEIR child they thought SO clever! laughing at them as something quite marvellous; her commonplace speeches were said over again as if they had been the finest poetry; and the pretty ways which every moderately good child has were extolled as if the result of her excellent taste, and the choice of her judgment and will.	Impertinent and rude things done by THEIR child they thought SO clever! laughing at them as something quite marvellous; her commonplace speeches were said over again as if they had been the finest poetry; and the pretty ways which every moderately good child has were extolled as if the result of her excellent taste, and the choice of her judgment and will.	true	163.73	186.97	21.457176
5154_6174_000004_000006	They would even say sometimes that she ought not to hear her own praises for fear it should make her vain, and then whisper them behind their hands, but so loud that she could not fail to hear every word.	They would even say sometimes that she ought not to hear her own praises for fear it should make her vain, and then whisper them behind their hands, but so loud that she could not fail to hear every word.	true	187.97	200.2	20.155266
5154_6174_000004_000007	The consequence was that she soon came to believe--so soon, that she could not recall the time when she did not believe, as the most absolute fact in the universe, that she was SOMEBODY; that is, she became most immoderately conceited.	The consequence was that she soon came to believe-so soon, that she could not recall the time when she did not believe, as the most absolute fact in the universe, that she was SOMEBODY; that is, she became most immoderately conceited.	true	200.48	217.36	20.15217
5154_6174_000005_000000	Now as the least atom of conceit is a thing to be ashamed of, you may fancy what she was like with such a quantity of it inside her!	Now as the least atom of conceit is a thing to be ashamed of, you may fancy what she was like with such a quantity of it inside her!	true	219.11	227.47	21.727188
