3994_156757_000000_000000	CHAPTER XXIX	CHAPTER twenty nine	false	0	29.47	20.604734
3994_156757_000001_000000	GREAT SMALLPOX EPIDEMIC--ST.	GREAT SMALLPOX EPIDEMIC-st	false	29.57	31.98	30.005835
3994_156757_000001_000001	MARY'S HALL--THANKSGIVING DAY IN CALIFORNIA--ANOTHER BROTHER-IN-LAW.	MARY'S HALL-THANKSGIVING DAY IN CALIFORNIA-ANOTHER BROTHER IN LAW.	true	31.98	37.27	21.79601
3994_156757_000002_000000	"Mrs. Brunner has become too childish to have the responsibility of young girls," had been frequently remarked before Elitha's visit; and after her departure, the same friends expressed regret that she had not taken us away with her.	"mrs Brunner has become too childish to have the responsibility of young girls," had been frequently remarked before Elitha's visit; and after her departure, the same friends expressed regret that she had not taken us away with her.	true	39.05	51.73	23
3994_156757_000003_000000	These whispered comments, which did not improve our situation, suddenly ceased, for the smallpox made its appearance in Sonoma, and helpers were needed to care for the afflicted.	These whispered comments, which did not improve our situation, suddenly ceased, for the smallpox made its appearance in Sonoma, and helpers were needed to care for the afflicted.	true	51.83	62.56	23.479427
3994_156757_000003_000001	Grandma had had the disease in infancy and could go among the patients without fear.	Grandma had had the disease in infancy and could go among the patients without fear.	true	64.73	69.22	18.060783
3994_156757_000003_000002	In fact, she had such confidence in her method of treating it, that she would not have Georgia and me vaccinated while the epidemic prevailed, insisting that if we should take the disease she could nurse us through it without disfigurement, and we would thenceforth be immune.	In fact, she had such confidence in her method of treating it, that she would not have Georgia and me vaccinated while the epidemic prevailed, insisting that if we should take the disease she could nurse us through it without disfigurement, and we would thenceforth be immune.	true	69.8	84.73	23.406096
3994_156757_000003_000003	She did not expose us during what she termed the "catching-stage," but after that had passed, she called us to share her work and become familiar with its details, and taught us how to brew the teas, make the ointments, and apply them.	She did not expose us during what she termed the "catching stage," but after that had passed, she called us to share her work and become familiar with its details, and taught us how to brew the teas, make the ointments, and apply them.	true	85.34	98.44	24.84934
3994_156757_000004_000000	I do not remember a death among her patients, and only two who were badly disfigured.	I do not remember a death among her patients, and only two who were badly disfigured.	true	98.6	103.78	24.454533
3994_156757_000004_000001	One was our pretty Miss Sallie Lewis, who had the dread disease in confluent form.	One was our pretty Miss Sallie Lewis, who had the dread disease in confluent form.	true	104.78	110.65	19.877766
3994_156757_000004_000002	Grandma was called hurriedly in the night, because the afflicted girl, in delirium, had loosened the straps which held her upon her bed, and while her attendant was out of the room had rushed from the house into the rain, and was not found until after she had become thoroughly drenched.	Grandma was called hurriedly in the night, because the afflicted girl, in delirium, had loosened the straps which held her upon her bed, and while her attendant was out of the room had rushed from the house into the rain, and was not found until after she had become thoroughly drenched.	true	111.8	127.03	22.81151
3994_156757_000004_000003	Grandma had never before treated such serious conditions, yet strove heroically, and helped to restore Miss Sallie to health, but could not keep the cruel imprints from her face.	Grandma had never before treated such serious conditions, yet strove heroically, and helped to restore Miss Sallie to health, but could not keep the cruel imprints from her face.	false	127.94	138.67	23.175049
3994_156757_000005_000000	The other was our arch-enemy, Castle, who seemed so near death that one night as grandma was peering into the darkness for signal lights from the homes of the sick, she exclaimed impulsively, "Hark, children! there goes the Catholic bell.	The other was our arch enemy, Castle, who seemed so near death that one night as grandma was peering into the darkness for signal lights from the homes of the sick, she exclaimed impulsively, "Hark, children! there goes the Catholic bell.	true	139.16	152.59	24.838406
3994_156757_000005_000001	Count its strokes.	Count its strokes.	true	152.66	154.005	30.5159
3994_156757_000005_000002	Castle is a Catholic, and was very low when I saw him to-day." Together we slowly counted the knells until she stopped us, saying, "It's for somebody else; Castle is not so old."	Castle is a Catholic, and was very low when I saw him to day." Together we slowly counted the knells until she stopped us, saying, "It's for somebody else; Castle is not so old."	false	154.005	165.61	21.818695
3994_156757_000006_000000	She was right.	She was right.	true	166.43	167.5	29.579323
3994_156757_000006_000001	Later he came to us to recuperate, and was the most exacting and profane man we ever waited on.	Later he came to us to recuperate, and was the most exacting and profane man we ever waited on.	true	168.11	174.37	20.94754
3994_156757_000006_000002	He conceived a special grudge against Georgia, whom he had caught slyly laughing when she first observed the change in his appearance.	He conceived a special grudge against Georgia, whom he had caught slyly laughing when she first observed the change in his appearance.	true	174.65	182.65	21.673845
3994_156757_000006_000003	Yet months previous, he had laid the foundation for her mirth.	Yet months previous, he had laid the foundation for her mirth.	true	183.23	187.17	22.214249
3994_156757_000007_000000	[Illustration: MRS.	[Illustration: mrs	false	187.17	187.23	-20
3994_156757_000007_000001	BRUNNER, GEORGIA AND ELIZA DONNER]	BRUNNER, GEORGIA AND ELIZA DONNER]	false	187.23	187.44	-20
3994_156757_000008_000000	[Illustration: S.O.	[Illustration: s o	false	187.44	187.56	-20
3994_156757_000008_000001	HOUGHTON, Member of Col.	HOUGHTON, Member of col	false	187.56	187.74	-20
3994_156757_000008_000002	J.D. Stevenson's First Regiment of N.Y.	j d Stevenson's First Regiment of n y	false	187.74	188.07	-20
3994_156757_000008_000003	Volunteers]	Volunteers]	false	188.07	188.1	-10
3994_156757_000009_000000	[Illustration: ELIZA P. DONNER]	[Illustration: ELIZA p DONNER]	false	188.1	188.28	-20
3994_156757_000010_000000	He was then a handsome, rugged fellow, and particularly proud of the shape of his nose.	He was then a handsome, rugged fellow, and particularly proud of the shape of his nose.	true	188.28	194.59	24.217726
3994_156757_000010_000001	Frequently had he twitted my sensitive sister about her little nose, and had once made her very angry in the presence of others, by offering to tell her a story, then continuing: "God and the devil take turns in shaping noses.	Frequently had he twitted my sensitive sister about her little nose, and had once made her very angry in the presence of others, by offering to tell her a story, then continuing: "God and the devil take turns in shaping noses.	false	195.77	209.35	21.464191
3994_156757_000010_000002	Now, look at mine, large and finely shaped.	Now, look at mine, large and finely shaped.	true	209.36	212.115	20.67873
3994_156757_000010_000003	This is God's work; but when yours was growing, it was the devil's turn, and he shaped that little dab on your face and called it a nose."	This is God's work; but when yours was growing, it was the devil's turn, and he shaped that little dab on your face and called it a nose."	false	212.115	219.22	22.581076
3994_156757_000011_000000	Georgia fled, and cried in anger over this indignity, declaring that she hated Castle and would not be sorry if something should happen to spoil his fine nose.	Georgia fled, and cried in anger over this indignity, declaring that she hated Castle and would not be sorry if something should happen to spoil his fine nose.	true	219.92	229.87	20.126053
3994_156757_000011_000001	So when he came to us from the sick-room, soured and crestfallen because disease had deeply pitted and seamed that feature which had formerly been his pride, she laughingly whispered, "Well, I don't care, my nose could never look like his, even if I had the smallpox, for there is not so much of it to spoil."	So when he came to us from the sick room, soured and crestfallen because disease had deeply pitted and seamed that feature which had formerly been his pride, she laughingly whispered, "Well, I don't care, my nose could never look like his, even if I had the smallpox, for there is not so much of it to spoil."	true	230.09	247.72	23.318884
3994_156757_000012_000000	Our dislike of the man became intense; and later, when we discovered that he was to be bartender at grandpa's bar, and board at our house, we held an indignation meeting in the back yard.	Our dislike of the man became intense; and later, when we discovered that he was to be bartender at grandpa's bar, and board at our house, we held an indignation meeting in the back yard.	false	248.03	261.03	18.511309
3994_156757_000012_000001	This was more satisfaction to Georgia than to me, for she had the pleasure of declaring that if grandma took that man to board, she would be a Schweitzer child no longer, she would stop speaking German, make her clothes like American children's; and that she knew her friend Mrs. Bergwald would give her a home, if grandma should send her away.	This was more satisfaction to Georgia than to me, for she had the pleasure of declaring that if grandma took that man to board, she would be a Schweitzer child no longer, she would stop speaking German, make her clothes like American children's; and that she knew her friend mrs Bergwald would give her a home, if grandma should send her away.	false	261.03	279.64	17
3994_156757_000013_000000	Here the meeting was suddenly interrupted by the discovery that grandma was standing behind us.	Here the meeting was suddenly interrupted by the discovery that grandma was standing behind us.	true	281.45	286.63	13
3994_156757_000013_000001	We did not know how long she had been there nor how much she had overheard, nor which she meant to strike with the switch she had in her hand.	We did not know how long she had been there nor how much she had overheard, nor which she meant to strike with the switch she had in her hand.	true	286.94	294.58	17
3994_156757_000013_000002	However, we were sitting close together and my left arm felt the sting, and it aroused in me the spirit of rebellion.	However, we were sitting close together and my left arm felt the sting, and it aroused in me the spirit of rebellion.	true	294.77	301.24	18
3994_156757_000013_000003	I felt that I had outgrown such correction, nor had I deserved it; and I told her that she should never, never strike me again.	I felt that I had outgrown such correction, nor had I deserved it; and I told her that she should never, never strike me again.	true	301.76	309.09	16
3994_156757_000013_000004	Then I walked to the house alone.	Then I walked to the house alone.	false	309.09	311.41	20.12225
