6300_39661_000002_000000	Chapter XLVII.	Chapter forty seven.
6300_39661_000004_000000	But the minister had had, as we have said, an alarming attack of gout, and the tide of flattery was mounting towards the throne.	But the minister had had, as we have said, an alarming attack of gout, and the tide of flattery was mounting towards the throne.
6300_39661_000004_000001	Courtiers have a marvelous instinct in scenting the turn of events; courtiers possess a supreme kind of science; they are diplomatists in throwing light upon the unraveling of complicated intrigues, captains in divining the issue of battles, and physicians in curing the sick.	Courtiers have a marvelous instinct in scenting the turn of events; courtiers possess a supreme kind of science; they are diplomatists in throwing light upon the unraveling of complicated intrigues, captains in divining the issue of battles, and physicians in curing the sick.
6300_39661_000004_000002	Louis XIV., to whom his mother had taught this axiom, together with many others, understood at once that the cardinal must be very ill.	Louis the fourteenth., to whom his mother had taught this axiom, together with many others, understood at once that the cardinal must be very ill.
6300_39661_000005_000001	The young king then was, as we have seen, a prey to a double excitement; and he said to himself as he looked in a glass, "O king!--king by name, and not in fact;--phantom, vain phantom art thou!--inert statue, which has no other power than that of provoking salutations from courtiers, when wilt thou be able to raise thy velvet arm, or clench thy silken hand?	The young king then was, as we have seen, a prey to a double excitement; and he said to himself as he looked in a glass, "O king!--king by name, and not in fact;--phantom, vain phantom art thou!--inert statue, which has no other power than that of provoking salutations from courtiers, when wilt thou be able to raise thy velvet arm, or clench thy silken hand?
6300_39661_000005_000002	when wilt thou be able to open, for any purpose but to sigh, or smile, lips condemned to the motionless stupidity of the marbles in thy gallery?"	when wilt thou be able to open, for any purpose but to sigh, or smile, lips condemned to the motionless stupidity of the marbles in thy gallery?"
6300_39661_000006_000000	Then, passing his hand over his brow, and feeling the want of air, he approached a window, and looking down, saw below some horsemen talking together, and groups of timid observers.	Then, passing his hand over his brow, and feeling the want of air, he approached a window, and looking down, saw below some horsemen talking together, and groups of timid observers.
6300_39661_000006_000001	These horsemen were a fraction of the watch: the groups were busy portions of the people, to whom a king is always a curious thing, the same as a rhinoceros, a crocodile, or a serpent.	These horsemen were a fraction of the watch: the groups were busy portions of the people, to whom a king is always a curious thing, the same as a rhinoceros, a crocodile, or a serpent.
6300_39661_000006_000002	He struck his brow with his open hand, crying,--"King of France! what a title!	He struck his brow with his open hand, crying,--"King of France! what a title!
6300_39661_000006_000003	People of France! what a heap of creatures!	People of France! what a heap of creatures!
6300_39661_000006_000004	I have just returned to my Louvre; my horses, just unharnessed, are still smoking, and I have created interest enough to induce scarcely twenty persons to look at me as I passed.	I have just returned to my Louvre; my horses, just unharnessed, are still smoking, and I have created interest enough to induce scarcely twenty persons to look at me as I passed.
6300_39661_000006_000005	Twenty! what do I say?	Twenty! what do I say?
6300_39661_000006_000006	no; there were not twenty anxious to see the king of France.	no; there were not twenty anxious to see the king of France.
6300_39661_000006_000008	Why, my good God! have not I, the king, the right to ask of you all that?"	Why, my good God! have not I, the king, the right to ask of you all that?"
6300_39661_000007_000000	"Because," said a voice, replying to his, and which sounded from the other side of the door of the cabinet, "because at the Palais Royal lies all the gold,--that is to say, all the power of him who desires to reign."	"Because," said a voice, replying to his, and which sounded from the other side of the door of the cabinet, "because at the Palais Royal lies all the gold,--that is to say, all the power of him who desires to reign."
6300_39661_000008_000001	The voice which had pronounced these words was that of Anne of Austria.	The voice which had pronounced these words was that of Anne of Austria.
6300_39661_000008_000002	The king started, and advanced towards her. "I hope," said he, "your majesty has paid no attention to the vain declamations which the solitude and disgust familiar to kings suggest to the happiest dispositions?"	The king started, and advanced towards her. "I hope," said he, "your majesty has paid no attention to the vain declamations which the solitude and disgust familiar to kings suggest to the happiest dispositions?"
6300_39661_000009_000000	"I only paid attention to one thing, my son, and that was, that you were complaining."	"I only paid attention to one thing, my son, and that was, that you were complaining."
6300_39661_000010_000000	"Who!	"Who!
6300_39661_000010_000001	I?	I?
6300_39661_000010_000002	Not at all," said Louis XIV.; "no, in truth, you err, madame."	Not at all," said Louis the fourteenth.; "no, in truth, you err, madame."
6300_39661_000011_000000	"What were you doing, then?"	"What were you doing, then?"
6300_39661_000012_000000	"I thought I was under the ferule of my professor, and developing a subject of amplification."	"I thought I was under the ferule of my professor, and developing a subject of amplification."
6300_39661_000013_000000	"My son," replied Anne of Austria, shaking her head, "you are wrong not to trust my word; you are wrong not to grant me your confidence.	"My son," replied Anne of Austria, shaking her head, "you are wrong not to trust my word; you are wrong not to grant me your confidence.
6300_39661_000013_000001	A day will come, and perhaps quickly, wherein you will have occasion to remember that axiom:--'Gold is universal power; and they alone are kings who are all-powerful.'"	A day will come, and perhaps quickly, wherein you will have occasion to remember that axiom:--'Gold is universal power; and they alone are kings who are all powerful.'"
6300_39661_000014_000000	"Your intention," continued the king, "was not, however, to cast blame upon the rich men of this age, was it?"	"Your intention," continued the king, "was not, however, to cast blame upon the rich men of this age, was it?"
6300_39661_000015_000001	That is what I mean to say by the words for which you reproach me."	That is what I mean to say by the words for which you reproach me."
6300_39661_000017_000000	"Besides," continued Anne of Austria, "the Lord never gives the goods of this world but for a season; the Lord--as correctives to honor and riches--the Lord has placed sufferings, sickness, and death; and no one," added she, with a melancholy smile, which proved she made the application of the funeral precept to herself, "no man can take his wealth or greatness with him to the grave.	"Besides," continued Anne of Austria, "the Lord never gives the goods of this world but for a season; the Lord-as correctives to honor and riches-the Lord has placed sufferings, sickness, and death; and no one," added she, with a melancholy smile, which proved she made the application of the funeral precept to herself, "no man can take his wealth or greatness with him to the grave.
6300_39661_000017_000001	It results, therefore, that the young gather the abundant harvest prepared for them by the old."	It results, therefore, that the young gather the abundant harvest prepared for them by the old."
6300_39661_000018_000000	Louis listened with increased attention to the words which Anne of Austria, no doubt, pronounced with a view to console him.	Louis listened with increased attention to the words which Anne of Austria, no doubt, pronounced with a view to console him.
6300_39661_000018_000001	"Madame," said he, looking earnestly at his mother, "one would almost say in truth that you had something else to announce to me."	"Madame," said he, looking earnestly at his mother, "one would almost say in truth that you had something else to announce to me."
6300_39661_000019_000000	"I have absolutely nothing, my son; only you cannot have failed to remark that his eminence the cardinal is very ill."	"I have absolutely nothing, my son; only you cannot have failed to remark that his eminence the cardinal is very ill."
6300_39661_000020_000000	Louis looked at his mother, expecting some emotion in her voice, some sorrow in her countenance.	Louis looked at his mother, expecting some emotion in her voice, some sorrow in her countenance.
6300_39661_000020_000001	The face of Anne of Austria appeared a little changed, but that was from sufferings of quite a personal character. Perhaps the alteration was caused by the cancer which had begun to consume her breast.	The face of Anne of Austria appeared a little changed, but that was from sufferings of quite a personal character. Perhaps the alteration was caused by the cancer which had begun to consume her breast.
6300_39661_000021_000001	Is not that your opinion as well as mine, my son?" said the queen.	Is not that your opinion as well as mine, my son?" said the queen.
6300_39661_000022_000000	"Yes, madame; yes, certainly, it would be a great loss for the kingdom," said Louis, coloring; "but the peril does not seem to me to be so great; besides, the cardinal is still young." The king had scarcely ceased speaking when an usher lifted the tapestry, and stood with a paper in his hand, waiting for the king to speak to him.	"Yes, madame; yes, certainly, it would be a great loss for the kingdom," said Louis, coloring; "but the peril does not seem to me to be so great; besides, the cardinal is still young." The king had scarcely ceased speaking when an usher lifted the tapestry, and stood with a paper in his hand, waiting for the king to speak to him.
6300_39661_000023_000000	"What have you there?" asked the king.	"What have you there?" asked the king.
6300_39661_000025_000000	"Give it to me," said the king; and he took the paper.	"Give it to me," said the king; and he took the paper.
6300_39661_000025_000001	But at the moment he was about to open it, there was a great noise in the gallery, the ante-chamber, and the court.	But at the moment he was about to open it, there was a great noise in the gallery, the ante chamber, and the court.
6300_39661_000026_000001	"How could I say there was but one king in France!	"How could I say there was but one king in France!
6300_39661_000026_000002	I was mistaken, there are two."	I was mistaken, there are two."
6300_39661_000027_000000	As he spoke or thought thus, the door opened, and the superintendent of finances, Fouquet, appeared before his nominal master.	As he spoke or thought thus, the door opened, and the superintendent of finances, Fouquet, appeared before his nominal master.
6300_39661_000027_000002	In addition to all this, a loud murmur was heard along his passage, which did not die away till some time after he had passed. It was this murmur which Louis XIV. regretted so deeply not hearing as he passed, and dying away behind him.	In addition to all this, a loud murmur was heard along his passage, which did not die away till some time after he had passed. It was this murmur which Louis the fourteenth. regretted so deeply not hearing as he passed, and dying away behind him.
6300_39661_000028_000000	"He is not precisely a king, as you fancy," said Anne of Austria to her son; "he is only a man who is much too rich--that is all."	"He is not precisely a king, as you fancy," said Anne of Austria to her son; "he is only a man who is much too rich-that is all."
6300_39661_000029_000001	He nodded, therefore, familiarly to Fouquet, whilst he continued to unfold the paper given to him by the usher.	He nodded, therefore, familiarly to Fouquet, whilst he continued to unfold the paper given to him by the usher.
6300_39661_000029_000003	Louis had opened the paper, and yet he did not read it.	Louis had opened the paper, and yet he did not read it.
6300_39661_000031_000001	I was at my country-house of Vaux when the news reached me; and the affair seemed so pressing that I left at once."	I was at my country house of Vaux when the news reached me; and the affair seemed so pressing that I left at once."
6300_39661_000032_000000	"You left Vaux this evening, monsieur?"	"You left Vaux this evening, monsieur?"
6300_39661_000033_000000	"An hour and a half ago, yes, your majesty," said Fouquet, consulting a watch, richly ornamented with diamonds.	"An hour and a half ago, yes, your majesty," said Fouquet, consulting a watch, richly ornamented with diamonds.
6300_39661_000034_000000	"An hour and a half!" said the king, still able to restrain his anger, but not to conceal his astonishment.	"An hour and a half!" said the king, still able to restrain his anger, but not to conceal his astonishment.
6300_39661_000035_000001	Your majesty doubts my word, and you have reason to do so; but I have really come in that time, though it is wonderful!	Your majesty doubts my word, and you have reason to do so; but I have really come in that time, though it is wonderful!
6300_39661_000035_000002	I received from England three pairs of very fast horses, as I had been assured.	I received from England three pairs of very fast horses, as I had been assured.
6300_39661_000035_000003	They were placed at distances of four leagues apart, and I tried them this evening.	They were placed at distances of four leagues apart, and I tried them this evening.
6300_39661_000035_000004	They really brought me from Vaux to the Louvre in an hour and a half, so your majesty sees I have not been cheated." The queen-mother smiled with something like secret envy.	They really brought me from Vaux to the Louvre in an hour and a half, so your majesty sees I have not been cheated." The queen mother smiled with something like secret envy.
6300_39661_000035_000005	But Fouquet caught her thought.	But Fouquet caught her thought.
6300_39661_000035_000006	"Thus, madame," he promptly said, "such horses are made for kings, not for subjects; for kings ought never to yield to any one in anything."	"Thus, madame," he promptly said, "such horses are made for kings, not for subjects; for kings ought never to yield to any one in anything."
6300_39661_000036_000000	The king looked up.	The king looked up.
6300_39661_000038_000000	"Truly not, madame; therefore the horses only await the orders of his majesty to enter the royal stables; and if I allowed myself to try them, it was only for fear of offering to the king anything that was not positively wonderful."	"Truly not, madame; therefore the horses only await the orders of his majesty to enter the royal stables; and if I allowed myself to try them, it was only for fear of offering to the king anything that was not positively wonderful."
6300_39661_000039_000000	The king became quite red.	The king became quite red.
6300_39661_000040_000000	"You know, Monsieur Fouquet," said the queen, "that at the court of France it is not the custom for a subject to offer anything to his king."	"You know, Monsieur Fouquet," said the queen, "that at the court of France it is not the custom for a subject to offer anything to his king."
6300_39661_000041_000000	Louis started.	Louis started.
6300_39661_000042_000001	It was not so much a present that I permitted myself to offer, as the tribute I paid."	It was not so much a present that I permitted myself to offer, as the tribute I paid."
6300_39661_000043_000000	"Thank you, Monsieur Fouquet," said the king politely, "and I am gratified by your intention, for I love good horses; but you know I am not very rich; you, who are my superintendent of finances, know it better than any one else.	"Thank you, Monsieur Fouquet," said the king politely, "and I am gratified by your intention, for I love good horses; but you know I am not very rich; you, who are my superintendent of finances, know it better than any one else.
6300_39661_000043_000001	I am not able, then, however willing I may be, to purchase such a valuable set of horses."	I am not able, then, however willing I may be, to purchase such a valuable set of horses."
6300_39661_000044_000000	Fouquet darted a haughty glance at the queen-mother, who appeared to triumph at the false position in which the minister had placed himself, and replied:--	Fouquet darted a haughty glance at the queen mother, who appeared to triumph at the false position in which the minister had placed himself, and replied:--
6300_39661_000045_000002	Under the mild heat of this luxury of kings springs the luxury of individuals, a source of riches for the people.	Under the mild heat of this luxury of kings springs the luxury of individuals, a source of riches for the people.
6300_39661_000045_000004	But the king is silent, and consequently I am condemned."	But the king is silent, and consequently I am condemned."
6300_39661_000046_000000	During this speech, Louis was, unconsciously, folding and unfolding Mazarin's paper, upon which he had not cast his eyes.	During this speech, Louis was, unconsciously, folding and unfolding Mazarin's paper, upon which he had not cast his eyes.
6300_39661_000046_000001	At length he glanced upon it, and uttered a faint cry at reading the first line.	At length he glanced upon it, and uttered a faint cry at reading the first line.
6300_39661_000047_000000	"What is the matter, my son?" asked the queen, anxiously, and going towards the king.	"What is the matter, my son?" asked the queen, anxiously, and going towards the king.
6300_39661_000048_000000	"From the cardinal," replied the king, continuing to read; "yes, yes, it is really from him."	"From the cardinal," replied the king, continuing to read; "yes, yes, it is really from him."
6300_39661_000049_000000	"Is he worse, then?"	"Is he worse, then?"
6300_39661_000052_000000	"Oh! a regularly drawn up deed of gift," said she.	"Oh! a regularly drawn up deed of gift," said she.
6300_39661_000053_000000	"A gift?" repeated Fouquet.	"A gift?" repeated Fouquet.
6300_39661_000054_000000	"Yes," said the king, replying pointedly to the superintendent of finances, "yes, at the point of death, monsieur le cardinal makes me a donation of all his wealth."	"Yes," said the king, replying pointedly to the superintendent of finances, "yes, at the point of death, monsieur le cardinal makes me a donation of all his wealth."
6300_39661_000055_000000	"Forty millions," cried the queen.	"Forty millions," cried the queen.
6300_39661_000055_000002	this is very noble on the part of his eminence, and will silence all malicious rumors; forty millions scraped together slowly, coming back all in one heap to the treasury!	this is very noble on the part of his eminence, and will silence all malicious rumors; forty millions scraped together slowly, coming back all in one heap to the treasury!
6300_39661_000055_000003	It is the act of a faithful subject and a good Christian." And having once more cast her eyes over the act, she restored it to Louis XIV., whom the announcement of the sum greatly agitated.	It is the act of a faithful subject and a good Christian." And having once more cast her eyes over the act, she restored it to Louis the fourteenth., whom the announcement of the sum greatly agitated.
6300_39661_000055_000005	The king looked at him, and held the paper out to him, in turn.	The king looked at him, and held the paper out to him, in turn.
6300_39661_000056_000000	"You must reply to it, my son," said Anne of Austria; "you must reply to it, and immediately."	"You must reply to it, my son," said Anne of Austria; "you must reply to it, and immediately."
6300_39661_000057_000000	"But how, madame?"	"But how, madame?"
6300_39661_000058_000000	"By a visit to the cardinal."	"By a visit to the cardinal."
6300_39661_000059_000000	"Why, it is but an hour since I left his eminence," said the king.	"Why, it is but an hour since I left his eminence," said the king.
6300_39661_000060_000000	"Write, then, sire."	"Write, then, sire."
6300_39661_000061_000000	"Write!" said the young king, with evident repugnance.	"Write!" said the young king, with evident repugnance.
6300_39661_000063_000000	"That the present is worth the trouble?	"That the present is worth the trouble?
6300_39661_000064_000000	"Accept, then, and thank him," insisted Anne of Austria.	"Accept, then, and thank him," insisted Anne of Austria.
6300_39661_000066_000000	"Does your majesty wish to know my opinion?"	"Does your majesty wish to know my opinion?"
6300_39661_000067_000000	"Yes."	"Yes."
6300_39661_000068_000000	"Thank him, sire--"	"Thank him, sire-"
6300_39661_000069_000000	"Ah!" said the queen.	"Ah!" said the queen.
6300_39661_000070_000000	"But do not accept," continued Fouquet.	"But do not accept," continued Fouquet.
6300_39661_000071_000000	"And why not?" asked the queen.	"And why not?" asked the queen.
6300_39661_000073_000000	The king remained silent between these two contrary opinions.	The king remained silent between these two contrary opinions.
6300_39661_000074_000000	"But forty millions!" said Anne of Austria, in the same tone as that in which, at a later period, poor Marie Antoinette replied, "You will tell me as much!"	"But forty millions!" said Anne of Austria, in the same tone as that in which, at a later period, poor Marie Antoinette replied, "You will tell me as much!"
6300_39661_000077_000000	"It is precisely, madame, because these forty millions would be a fortune that I will say to the king, 'Sire, if it be not decent for a king to accept from a subject six horses, worth twenty thousand livres, it would be disgraceful for him to owe a fortune to another subject, more or less scrupulous in the choice of the materials which contributed to the building up of that fortune.'"	"It is precisely, madame, because these forty millions would be a fortune that I will say to the king, 'Sire, if it be not decent for a king to accept from a subject six horses, worth twenty thousand livres, it would be disgraceful for him to owe a fortune to another subject, more or less scrupulous in the choice of the materials which contributed to the building up of that fortune.'"
6300_39661_000078_000000	"It ill becomes you, monsieur, to give your king a lesson," said Anne of Austria; "better procure for him forty millions to replace those you make him lose."	"It ill becomes you, monsieur, to give your king a lesson," said Anne of Austria; "better procure for him forty millions to replace those you make him lose."
6300_39661_000079_000000	"The king shall have them whenever he wishes," said the superintendent of finances, bowing.	"The king shall have them whenever he wishes," said the superintendent of finances, bowing.
6300_39661_000080_000000	"Yes, by oppressing the people," said the queen.	"Yes, by oppressing the people," said the queen.
6300_39661_000081_000000	"And were they not oppressed, madame," replied Fouquet, "when they were made to sweat the forty millions given by this deed?	"And were they not oppressed, madame," replied Fouquet, "when they were made to sweat the forty millions given by this deed?
6300_39661_000081_000001	Furthermore, his majesty has asked my opinion, I have given it; if his majesty ask my concurrence, it will be the same."	Furthermore, his majesty has asked my opinion, I have given it; if his majesty ask my concurrence, it will be the same."
6300_39661_000082_000000	"Nonsense! accept, my son, accept," said Anne of Austria.	"Nonsense! accept, my son, accept," said Anne of Austria.
6300_39661_000082_000001	"You are above reports and interpretations."	"You are above reports and interpretations."
6300_39661_000083_000000	"Refuse, sire," said Fouquet.	"Refuse, sire," said Fouquet.
6300_39661_000083_000001	"As long as a king lives, he has no other measure but his conscience,--no other judge than his own desires; but when dead, he has posterity, which applauds or accuses."	"As long as a king lives, he has no other measure but his conscience,--no other judge than his own desires; but when dead, he has posterity, which applauds or accuses."
6300_39661_000084_000000	"Thank you, mother," replied Louis, bowing respectfully to the queen. "Thank you Monsieur, Fouquet," said he, dismissing the superintendent civilly.	"Thank you, mother," replied Louis, bowing respectfully to the queen. "Thank you Monsieur, Fouquet," said he, dismissing the superintendent civilly.
6300_39661_000085_000000	"Do you accept?" asked Anne of Austria, once more.	"Do you accept?" asked Anne of Austria, once more.
6300_39661_000086_000000	"I shall consider of it," replied he, looking at Fouquet.	"I shall consider of it," replied he, looking at Fouquet.
