5092_28465_000000_000000	Chapter VIII	Chapter eight	false	0.78	20.2	24.663607
5092_28465_000001_000000	Exploration of the Stickeen Glaciers	Exploration of the Stickeen Glaciers	true	20.48	22.78	22.428013
5092_28465_000002_000000	Next day I planned an excursion to the so-called Dirt Glacier, the most interesting to Indians and steamer men of all the Stickeen glaciers from its mysterious floods.	Next day I planned an excursion to the so-called Dirt Glacier, the most interesting to Indians and steamer men of all the Stickeen glaciers from its mysterious floods.	true	23.72	33.85	23.947866
5092_28465_000002_000001	I left the steamer Gertrude for the glacier delta an hour or two before sunset.	I left the steamer Gertrude for the glacier delta an hour or two before sunset.	false	34.28	38.77	23.730045
5092_28465_000002_000002	The captain kindly loaned me his canoe and two of his Indian deck hands, who seemed much puzzled to know what the rare service required of them might mean, and on leaving bade a merry adieu to their companions.	The captain kindly loaned me his canoe and two of his Indian deck hands, who seemed much puzzled to know what the rare service required of them might mean, and on leaving bade a merry adieu to their companions.	true	39.2	50.98	23.46417
5092_28465_000002_000003	We camped on the west side of the river opposite the front of the glacier, in a spacious valley surrounded by snowy mountains.	We camped on the west side of the river opposite the front of the glacier, in a spacious valley surrounded by snowy mountains.	false	51.56	58.6	20.53402
5092_28465_000002_000004	Thirteen small glaciers were in sight and four waterfalls.	Thirteen small glaciers were in sight and four waterfalls.	true	58.94	62.62	21.50724
5092_28465_000002_000005	It was a fine, serene evening, and the highest peaks were wearing turbans of flossy, gossamer cloud-stuff.	It was a fine, serene evening, and the highest peaks were wearing turbans of flossy, gossamer cloud stuff.	true	62.99	69.25	18.92016
5092_28465_000002_000006	I had my supper before leaving the steamer, so I had only to make a campfire, spread my blanket, and lie down.	I had my supper before leaving the steamer, so I had only to make a campfire, spread my blanket, and lie down.	true	69.41	75.64	25.06684
5092_28465_000002_000007	The Indians had their own bedding and lay beside their own fire.	The Indians had their own bedding and lay beside their own fire.	true	75.92	79.84	18.736858
5092_28465_000003_000000	The Dirt Glacier is noted among the river men as being subject to violent flood outbursts once or twice a year, usually in the late summer.	The Dirt Glacier is noted among the river men as being subject to violent flood outbursts once or twice a year, usually in the late summer.	true	80	87.94	21.133165
5092_28465_000003_000001	The delta of this glacier stream is three or four miles wide where it fronts the river, and the many rough channels with which it is guttered and the uprooted trees and huge boulders that roughen its surface manifest the power of the floods that swept them to their places; but under ordinary conditions the glacier discharges its drainage water into the river through only four or five of the delta-channels.	The delta of this glacier stream is three or four miles wide where it fronts the river, and the many rough channels with which it is guttered and the uprooted trees and huge boulders that roughen its surface manifest the power of the floods that swept them to their places; but under ordinary conditions the glacier discharges its drainage water into the river through only four or five of the delta channels.	false	88.13	112.66	22.636501
5092_28465_000004_000000	Our camp was made on the south or lower side of the delta, below all the draining streams, so that I would not have to ford any of them on my way to the glacier.	Our camp was made on the south or lower side of the delta, below all the draining streams, so that I would not have to ford any of them on my way to the glacier.	true	113.57	122.5	21.3423
5092_28465_000004_000001	The Indians chose a sand-pit to sleep in; I chose a level spot back of a drift log.	The Indians chose a sand pit to sleep in; I chose a level spot back of a drift log.	false	122.87	128.55	22.227598
5092_28465_000004_000002	I had but little to say to my companions as they could speak no English, nor I much Thlinkit or Chinook.	I had but little to say to my companions as they could speak no English, nor I much Thlinkit or Chinook.	true	128.55	135.37	22.248865
5092_28465_000004_000003	In a few minutes after landing they retired to their pit and were soon asleep and asnore.	In a few minutes after landing they retired to their pit and were soon asleep and asnore.	false	135.92	141.66	22.326067
5092_28465_000004_000004	I lingered by the fire until after ten o'clock, for the night sky was clear, and the great white mountains in the starlight seemed nearer than by day and to be looking down like guardians of the valley, while the waterfalls, and the torrents escaping from beneath the big glacier, roared in a broad, low monotone, sounding as if close at hand, though, as it proved next day, the nearest was three miles away.	I lingered by the fire until after ten o'clock, for the night sky was clear, and the great white mountains in the starlight seemed nearer than by day and to be looking down like guardians of the valley, while the waterfalls, and the torrents escaping from beneath the big glacier, roared in a broad, low monotone, sounding as if close at hand, though, as it proved next day, the nearest was three miles away.	true	141.66	166.21	21.157011
5092_28465_000004_000005	After wrapping myself in my blankets, I still gazed into the marvelous sky and made out to sleep only about two hours.	After wrapping myself in my blankets, I still gazed into the marvelous sky and made out to sleep only about two hours.	true	166.73	174.22	23
5092_28465_000004_000006	Then, without waking the noisy sleepers, I arose, ate a piece of bread, and set out in my shirt-sleeves, determined to make the most of the time at my disposal.	Then, without waking the noisy sleepers, I arose, ate a piece of bread, and set out in my shirt sleeves, determined to make the most of the time at my disposal.	true	174.68	184.99	22.199678
5092_28465_000004_000007	The captain was to pick us up about noon at a woodpile about a mile from here; but if in the mean time the steamer should run aground and he should need his canoe, a three whistle signal would be given.	The captain was to pick us up about noon at a woodpile about a mile from here; but if in the mean time the steamer should run aground and he should need his canoe, a three whistle signal would be given.	true	185.24	196.57	22.550709
5092_28465_000005_000000	Following a dry channel for about a mile, I came suddenly upon the main outlet of the glacier, which in the imperfect light seemed as large as the river, about one hundred and fifty feet wide, and perhaps three or four feet deep.	Following a dry channel for about a mile, I came suddenly upon the main outlet of the glacier, which in the imperfect light seemed as large as the river, about one hundred and fifty feet wide, and perhaps three or four feet deep.	true	197	210.735	19.70599
5092_28465_000005_000001	A little farther up it was only about fifty feet wide and rushing on with impetuous roaring force in its rocky channel, sweeping forward sand, gravel, cobblestones, and boulders, the bump and rumble sounds of the largest of these rolling stones being readily heard in the midst of the roaring.	A little farther up it was only about fifty feet wide and rushing on with impetuous roaring force in its rocky channel, sweeping forward sand, gravel, cobblestones, and boulders, the bump and rumble sounds of the largest of these rolling stones being readily heard in the midst of the roaring.	true	210.735	228.28	19.532415
5092_28465_000005_000002	It was too swift and rough to ford, and no bridge tree could be found, for the great floods had cleared everything out of their way.	It was too swift and rough to ford, and no bridge tree could be found, for the great floods had cleared everything out of their way.	true	228.59	236.92	21.425222
5092_28465_000005_000003	I was therefore compelled to keep on up the right bank, however difficult the way. Where a strip of bare boulders lined the margin, the walking was easy, but where the current swept close along the ragged edge of the forest, progress was difficult and slow on account of snow-crinkled and interlaced thickets of alder and willow, reinforced with fallen trees and thorny devil's-club (Echinopanax horridum), making a jungle all but impenetrable.	I was therefore compelled to keep on up the right bank, however difficult the way. Where a strip of bare boulders lined the margin, the walking was easy, but where the current swept close along the ragged edge of the forest, progress was difficult and slow on account of snow crinkled and interlaced thickets of alder and willow, reinforced with fallen trees and thorny devil's club (Echinopanax horridum), making a jungle all but impenetrable.	false	237.41	266.59	22.317074
5092_28465_000005_000004	The mile of this extravagantly difficult growth through which I struggled, inch by inch, will not soon be forgotten. At length arriving within a few hundred yards of the glacier, full of panax barbs, I found that both the glacier and its unfordable stream were pressing hard against a shelving cliff, dangerously steep, leaving no margin, and compelling me to scramble along its face before I could get on to the glacier.	The mile of this extravagantly difficult growth through which I struggled, inch by inch, will not soon be forgotten. At length arriving within a few hundred yards of the glacier, full of panax barbs, I found that both the glacier and its unfordable stream were pressing hard against a shelving cliff, dangerously steep, leaving no margin, and compelling me to scramble along its face before I could get on to the glacier.	true	267.05	292.96	20.498209
5092_28465_000005_000005	But by sunrise all these cliff, jungle, and torrent troubles were overcome and I gladly found myself free on the magnificent ice-river.	But by sunrise all these cliff, jungle, and torrent troubles were overcome and I gladly found myself free on the magnificent ice river.	false	293.33	302.47	21.399096
5092_28465_000006_000000	The curving, out-bulging front of the glacier is about two miles wide, two hundred feet high, and its surface for a mile or so above the front is strewn with moraine detritus, giving it a strangely dirty, dusky look, hence its name, the "Dirt Glacier," this detritus-laden portion being all that is seen in passing up the river.	The curving, out bulging front of the glacier is about two miles wide, two hundred feet high, and its surface for a mile or so above the front is strewn with moraine detritus, giving it a strangely dirty, dusky look, hence its name, the "Dirt Glacier," this detritus laden portion being all that is seen in passing up the river.	false	302.99	323.8	22.367132
5092_28465_000006_000001	A mile or two beyond the moraine-covered part I was surprised to find alpine plants growing on the ice, fresh and green, some of them in full flower.	A mile or two beyond the moraine covered part one was surprised to find alpine plants growing on the ice, fresh and green, some of them in full flower.	false	324.41	333.28	20.880573
5092_28465_000006_000002	These curious glacier gardens, the first I had seen, were evidently planted by snow avalanches from the high walls. They were well watered, of course, by the melting surface of the ice and fairly well nourished by humus still attached to the roots, and in some places formed beds of considerable thickness.	These curious glacier gardens, the first I had seen, were evidently planted by snow avalanches from the high walls. They were well watered, of course, by the melting surface of the ice and fairly well nourished by humus still attached to the roots, and in some places formed beds of considerable thickness.	false	333.74	352.48	19.854216
