5583_38026_000000_000000	"Oh, I'm going out into the world to try and get a place," said the lad.	"Oh, I'm going out into the world to try and get a place," said the lad.
5583_38026_000001_000000	"Will you come and serve me?" said the man.	"Will you come and serve me?" said the man.
5583_38026_000002_000000	"Oh, yes; just as soon you as any one else," said the lad.	"Oh, yes; just as soon you as any one else," said the lad.
5583_38026_000003_000000	"Well, you'll have a good place with me," said the man; "for you'll only have to keep me company, and do nothing at all else beside."	"Well, you'll have a good place with me," said the man; "for you'll only have to keep me company, and do nothing at all else beside."
5583_38026_000004_000000	So the lad stopped with him, and lived on the fat of the land, both in meat and drink, and had little or nothing to do; but he never saw a living soul in that man's house.	So the lad stopped with him, and lived on the fat of the land, both in meat and drink, and had little or nothing to do; but he never saw a living soul in that man's house.
5583_38026_000005_000000	So one day the man said:	So one day the man said:
5583_38026_000006_000000	"Now, I'm going off for eight days, and that time you'll have to spend here all alone; but you must not go into any one of these four rooms here.	"Now, I'm going off for eight days, and that time you'll have to spend here all alone; but you must not go into any one of these four rooms here.
5583_38026_000006_000001	If you do, I'll take your life when I come back."	If you do, I'll take your life when I come back."
5583_38026_000007_000001	But when the man had been gone three or four days, the lad couldn't bear it any longer, but went into the first room, and when he got inside he looked round, but he saw nothing but a shelf over the door where a bramble-bush rod lay.	But when the man had been gone three or four days, the lad couldn't bear it any longer, but went into the first room, and when he got inside he looked round, but he saw nothing but a shelf over the door where a bramble bush rod lay.
5583_38026_000008_000000	Well, indeed! thought the lad; a pretty thing to forbid my seeing this.	Well, indeed! thought the lad; a pretty thing to forbid my seeing this.
5583_38026_000009_000000	So when the eight days were out, the man came home, and the first thing he said was:	So when the eight days were out, the man came home, and the first thing he said was:
5583_38026_000014_000001	And when it was over, they were as good friends as ever.	And when it was over, they were as good friends as ever.
5583_38026_000015_000000	Some time after the man set off again, and said he should be away fourteen days; but before he went he forbade the lad to go into any of the rooms he had not been in before; as for that he had been in, he might go into that, and welcome.	Some time after the man set off again, and said he should be away fourteen days; but before he went he forbade the lad to go into any of the rooms he had not been in before; as for that he had been in, he might go into that, and welcome.
5583_38026_000015_000002	In this room, too, he saw nothing but a shelf over the door, and a big stone, and a pitcher of water on it.	In this room, too, he saw nothing but a shelf over the door, and a big stone, and a pitcher of water on it.
5583_38026_000015_000003	Well, after all, there's not much to be afraid of my seeing here, thought the lad.	Well, after all, there's not much to be afraid of my seeing here, thought the lad.
5583_38026_000016_000000	But when the man came back, he asked if he had been into any of the rooms.	But when the man came back, he asked if he had been into any of the rooms.
5583_38026_000016_000001	No, the lad hadn't done anything of the kind.	No, the lad hadn't done anything of the kind.
5583_38026_000019_000000	But the lad begged and prayed for himself again, and so this time too he got off with stripes; though he got as many as his skin would carry.	But the lad begged and prayed for himself again, and so this time too he got off with stripes; though he got as many as his skin would carry.
5583_38026_000019_000001	But when he got sound and well again, he led just as easy a life as ever, and he and the man were just as good friends.	But when he got sound and well again, he led just as easy a life as ever, and he and the man were just as good friends.
5583_38026_000020_000000	So a while after the man was to take another journey, and now he said he should be away three weeks, and he forbade the lad anew to go into the third room, for if he went in there he might just make up his mind at once to lose his life.	So a while after the man was to take another journey, and now he said he should be away three weeks, and he forbade the lad anew to go into the third room, for if he went in there he might just make up his mind at once to lose his life.
5583_38026_000020_000001	Then after fourteen days the lad couldn't bear it, but crept into the room, but he saw nothing at all in there but a trap door on the floor; and when he lifted it up and looked down, there stood a great copper cauldron which bubbled up and boiled away down there; but he saw no fire under it.	Then after fourteen days the lad couldn't bear it, but crept into the room, but he saw nothing at all in there but a trap door on the floor; and when he lifted it up and looked down, there stood a great copper cauldron which bubbled up and boiled away down there; but he saw no fire under it.
5583_38026_000021_000000	"Well, I should just like to know if it's hot," thought the lad, and struck his finger down into the broth, and when he pulled it out again, lo! it was gilded all over.	"Well, I should just like to know if it's hot," thought the lad, and struck his finger down into the broth, and when he pulled it out again, lo! it was gilded all over.
5583_38026_000021_000001	So the lad scraped and scrubbed it, but the gilding wouldn't go off, so he bound a piece of rag round it; and when the man came back, and asked what was the matter with his finger, the lad said he'd given it such a bad cut.	So the lad scraped and scrubbed it, but the gilding wouldn't go off, so he bound a piece of rag round it; and when the man came back, and asked what was the matter with his finger, the lad said he'd given it such a bad cut.
5583_38026_000021_000002	But the man tore off the rag, and then he soon saw what was the matter with the finger. First he wanted to kill the lad outright, but when he wept, and begged, he only gave him such a thrashing that he had to keep his bed three days.	But the man tore off the rag, and then he soon saw what was the matter with the finger. First he wanted to kill the lad outright, but when he wept, and begged, he only gave him such a thrashing that he had to keep his bed three days.
5583_38026_000021_000003	After that the man took down a pot from the wall, and rubbed him over with some stuff out of it, and so the lad was as sound and fresh as ever.	After that the man took down a pot from the wall, and rubbed him over with some stuff out of it, and so the lad was as sound and fresh as ever.
5583_38026_000023_000000	Well, the lad stood out for two or three weeks, but then he couldn't hold out any longer; he must and would go into that room, and so in he stole.	Well, the lad stood out for two or three weeks, but then he couldn't hold out any longer; he must and would go into that room, and so in he stole.
5583_38026_000023_000001	There stood a great black horse tied up in a stall by himself, with a manger of red-hot coals at his head and a truss of hay at his tail.	There stood a great black horse tied up in a stall by himself, with a manger of red hot coals at his head and a truss of hay at his tail.
5583_38026_000023_000002	Then the lad thought this all wrong, so he changed them about, and put the hay at his head.	Then the lad thought this all wrong, so he changed them about, and put the hay at his head.
5583_38026_000024_000000	"Since you are so good at heart as to let me have some food, I'll set you free, that I will.	"Since you are so good at heart as to let me have some food, I'll set you free, that I will.
5583_38026_000025_000000	So the lad did all that; but it was a heavy load for him to carry them all down at once.	So the lad did all that; but it was a heavy load for him to carry them all down at once.
5583_38026_000026_000001	"If I do," thought the lad, "I shall look an awful fright;" but for all that, he did as he was told.	"If I do," thought the lad, "I shall look an awful fright;" but for all that, he did as he was told.
5583_38026_000026_000002	So when he had taken his bath, he became so handsome and sleek, and as red and white as milk and blood, and much stronger than he had been before.	So when he had taken his bath, he became so handsome and sleek, and as red and white as milk and blood, and much stronger than he had been before.
5583_38026_000028_000000	"Yes," said the lad.	"Yes," said the lad.
5583_38026_000030_000000	Oh yes! he could do that, and as for the sword, he brandished it like a feather.	Oh yes! he could do that, and as for the sword, he brandished it like a feather.
5583_38026_000033_000000	"Yes; there are ever so many coming after us, at least a score," said the lad.	"Yes; there are ever so many coming after us, at least a score," said the lad.
5583_38026_000037_000000	So the lad did that, and all at once a close, thick bramblewood grew up behind them.	So the lad did that, and all at once a close, thick bramblewood grew up behind them.
5583_38026_000039_000000	"Yes, ever so many," said the lad, "as many as would fill a large church."	"Yes, ever so many," said the lad, "as many as would fill a large church."
5583_38026_000044_000000	So the lad did that; but in spite of all the pains he took, he still spilt one drop on the horse's flank.	So the lad did that; but in spite of all the pains he took, he still spilt one drop on the horse's flank.
5583_38026_000044_000001	So it became a great deep lake; and because of that one drop, the horse found himself far out in it, but still he swam safe to land.	So it became a great deep lake; and because of that one drop, the horse found himself far out in it, but still he swam safe to land.
5583_38026_000047_000001	Then make yourself a wig of fir-moss, and go up to the king's palace, which lies close here, and ask for a place. Whenever you need me, only come here and shake the bridle, and I'll come to you."	Then make yourself a wig of fir moss, and go up to the king's palace, which lies close here, and ask for a place. Whenever you need me, only come here and shake the bridle, and I'll come to you."
