5583_38026_000000_000000	"Oh, I'm going out into the world to try and get a place," said the lad.	"Oh, I'm going out into the world to try and get a place," said the lad.	true	53.01	57.34	20.599592
5583_38026_000001_000000	"Will you come and serve me?" said the man.	"Will you come and serve me?" said the man.	true	57.74	60.31	22.704172
5583_38026_000002_000000	"Oh, yes; just as soon you as any one else," said the lad.	"Oh, yes; just as soon you as any one else," said the lad.	true	61.01	65.02	21.35827
5583_38026_000003_000000	"Well, you'll have a good place with me," said the man; "for you'll only have to keep me company, and do nothing at all else beside."	"Well, you'll have a good place with me," said the man; "for you'll only have to keep me company, and do nothing at all else beside."	true	65.45	73.21	21.043781
5583_38026_000004_000000	So the lad stopped with him, and lived on the fat of the land, both in meat and drink, and had little or nothing to do; but he never saw a living soul in that man's house.	So the lad stopped with him, and lived on the fat of the land, both in meat and drink, and had little or nothing to do; but he never saw a living soul in that man's house.	true	73.73	84.22	21.594236
5583_38026_000005_000000	So one day the man said:	So one day the man said:	true	84.74	86.65	20.062233
5583_38026_000006_000000	"Now, I'm going off for eight days, and that time you'll have to spend here all alone; but you must not go into any one of these four rooms here.	"Now, I'm going off for eight days, and that time you'll have to spend here all alone; but you must not go into any one of these four rooms here.	true	86.75	95.92	21.550201
5583_38026_000006_000001	If you do, I'll take your life when I come back."	If you do, I'll take your life when I come back."	true	96.17	99.55	24.702847
5583_38026_000007_000000	"No," said the lad, he'd be sure not to do that.	"No," said the lad, he'd be sure not to do that.	true	100.04	103.6	19.819153
5583_38026_000007_000001	But when the man had been gone three or four days, the lad couldn't bear it any longer, but went into the first room, and when he got inside he looked round, but he saw nothing but a shelf over the door where a bramble-bush rod lay.	But when the man had been gone three or four days, the lad couldn't bear it any longer, but went into the first room, and when he got inside he looked round, but he saw nothing but a shelf over the door where a bramble bush rod lay.	true	104.33	117.76	21.989733
5583_38026_000008_000000	Well, indeed! thought the lad; a pretty thing to forbid my seeing this.	Well, indeed! thought the lad; a pretty thing to forbid my seeing this.	true	118.22	123.1	21.05743
5583_38026_000009_000000	So when the eight days were out, the man came home, and the first thing he said was:	So when the eight days were out, the man came home, and the first thing he said was:	true	123.8	128.77	22.776672
5583_38026_000010_000000	"You haven't been into any of these rooms, of course."	"You haven't been into any of these rooms, of course."	true	129.08	131.82	19
5583_38026_000011_000000	"No, no; that I haven't," said the lad.	"No, no; that I haven't," said the lad.	false	131.82	135.31	18.123549
5583_38026_000012_000000	"I'll soon see that," said the man, and went at once into the room where the lad had been.	"I'll soon see that," said the man, and went at once into the room where the lad had been.	true	135.89	141.49	19.869196
5583_38026_000013_000000	"Nay, but you have been in here," said he; "and now you shall lose your life."	"Nay, but you have been in here," said he; "and now you shall lose your life."	true	142.04	147.27	18.29415
5583_38026_000014_000000	Then the lad begged and prayed so hard that he got off with his life, but the man gave him a good thrashing.	Then the lad begged and prayed so hard that he got off with his life, but the man gave him a good thrashing.	false	147.27	154.51	22.871626
5583_38026_000014_000001	And when it was over, they were as good friends as ever.	And when it was over, they were as good friends as ever.	true	154.85	158.17	20.973417
5583_38026_000015_000000	Some time after the man set off again, and said he should be away fourteen days; but before he went he forbade the lad to go into any of the rooms he had not been in before; as for that he had been in, he might go into that, and welcome.	Some time after the man set off again, and said he should be away fourteen days; but before he went he forbade the lad to go into any of the rooms he had not been in before; as for that he had been in, he might go into that, and welcome.	true	158.51	173.02	20.627127
