8498_287357_000011_000000	CHAPTER III--A STRANGE STORY	CHAPTER three-A STRANGE STORY
8498_287357_000012_000000	"Well, Mr. Jenks," began Tom, when he had descended to the garden, and greeted the man who had acted so strangely on Earthquake Island, "this is rather an odd time for a visit."	"Well, mr Jenks," began Tom, when he had descended to the garden, and greeted the man who had acted so strangely on Earthquake Island, "this is rather an odd time for a visit."
8498_287357_000013_000000	"I realize that, Tom Swift," was the answer, and the lad noticed that the man spoke much more calmly than he had that evening at the jewelry shop.	"I realize that, Tom Swift," was the answer, and the lad noticed that the man spoke much more calmly than he had that evening at the jewelry shop.
8498_287357_000013_000001	"I realize that, but I have to be cautious in my movements."	"I realize that, but I have to be cautious in my movements."
8498_287357_000014_000000	"Why?"	"Why?"
8498_287357_000015_000000	"Because there are enemies on my track.	"Because there are enemies on my track.
8498_287357_000015_000001	If they thought I was seeking aid to discover the secret of Phantom Mountain, my life might pay the forfeit."	If they thought I was seeking aid to discover the secret of Phantom Mountain, my life might pay the forfeit."
8498_287357_000016_000000	"Are you in earnest, Mr. Jenks?"	"Are you in earnest, mr Jenks?"
8498_287357_000018_000000	"Oh, I don't mind being awakened," answered Tom, good-naturedly, "but I will be frank with you, Mr. Jenks.	"Oh, I don't mind being awakened," answered Tom, good naturedly, "but I will be frank with you, mr Jenks.
8498_287357_000018_000001	I hardly can believe what you have stated to me several times--that you know how diamonds can be made."	I hardly can believe what you have stated to me several times-that you know how diamonds can be made."
8498_287357_000019_000000	"I can prove it to you," was the quiet answer.	"I can prove it to you," was the quiet answer.
8498_287357_000020_000000	"Yes, I know.	"Yes, I know.
8498_287357_000020_000002	But they have all been failures."	But they have all been failures."
8498_287357_000021_000000	"All except this process--the process used at Phantom Mountain," insisted the queer man.	"All except this process-the process used at Phantom Mountain," insisted the queer man.
8498_287357_000021_000001	"Do you want to hear my story?"	"Do you want to hear my story?"
8498_287357_000022_000000	"I have no objections."	"I have no objections."
8498_287357_000023_000000	"Then let me warn you," went on Mr. Jenks, "that if you do hear it, you will be so fascinated by it that I am sure you will want to cast your lot in with mine, and aid me to get my rights, and solve the mystery. And I also want to warn you that if you do, there is a certain amount of danger connected with it."	"Then let me warn you," went on mr Jenks, "that if you do hear it, you will be so fascinated by it that I am sure you will want to cast your lot in with mine, and aid me to get my rights, and solve the mystery. And I also want to warn you that if you do, there is a certain amount of danger connected with it."
8498_287357_000024_000000	"I'm used to danger," answered Tom, quietly.	"I'm used to danger," answered Tom, quietly.
8498_287357_000024_000001	"Let me hear your story. But first explain how you came to come here, and why you acted so strangely at the jewelry store."	"Let me hear your story. But first explain how you came to come here, and why you acted so strangely at the jewelry store."
8498_287357_000025_000000	"Willingly.	"Willingly.
8498_287357_000025_000001	I tried to attract your attention at the store, because I saw that you were going to buy a diamond, and I didn't want you to."	I tried to attract your attention at the store, because I saw that you were going to buy a diamond, and I didn't want you to."
8498_287357_000026_000000	"Why not?"	"Why not?"
8498_287357_000027_000000	"Because I want to present you with a beautiful stone, that will answer your purpose as well or better, than any one you could buy.	"Because I want to present you with a beautiful stone, that will answer your purpose as well or better, than any one you could buy.
8498_287357_000027_000001	That will prove my story better than any amount of words or argument.	That will prove my story better than any amount of words or argument.
8498_287357_000027_000002	But I could not attract your attention without also attracting that of the jeweler. He became suspicious, gave chase, and I thought it best to vanish.	But I could not attract your attention without also attracting that of the jeweler. He became suspicious, gave chase, and I thought it best to vanish.
8498_287357_000027_000003	I hope no one was made to suffer for what may have been my imprudence."	I hope no one was made to suffer for what may have been my imprudence."
8498_287357_000028_000000	"No, the lad whom Mr. Track caught was let go.	"No, the lad whom mr Track caught was let go.
8498_287357_000028_000001	But how did you happen to come to Shopton?"	But how did you happen to come to Shopton?"
8498_287357_000029_000000	"To see you.	"To see you.
8498_287357_000029_000001	I got your address from the owner of the yacht Resolute.	I got your address from the owner of the yacht Resolute.
8498_287357_000029_000002	I knew that if there was one person who could aid me to recover my rights, it would be you, Tom Swift.	I knew that if there was one person who could aid me to recover my rights, it would be you, Tom Swift.
8498_287357_000029_000003	Will you help me?	Will you help me?
8498_287357_000029_000004	Will you come with me to discover the secret of Phantom Mountain?	Will you come with me to discover the secret of Phantom Mountain?
8498_287357_000029_000005	If we go, it will have to be in an airship, for in no other way, I think, can we come upon the place, as it is closely guarded.	If we go, it will have to be in an airship, for in no other way, I think, can we come upon the place, as it is closely guarded.
8498_287357_000029_000006	Will you come?	Will you come?
8498_287357_000029_000007	I will pay you well."	I will pay you well."
8498_287357_000030_000000	"Perhaps I had better hear your story," said the young inventor.	"Perhaps I had better hear your story," said the young inventor.
8498_287357_000030_000001	"But first let me suggest that we move farther away from the house.	"But first let me suggest that we move farther away from the house.
8498_287357_000030_000002	My father, or Mr. Jackson, or the housekeeper, may hear us talking, and it may disturb them.	My father, or mr Jackson, or the housekeeper, may hear us talking, and it may disturb them.
8498_287357_000030_000003	Come with me to my private shop," and Tom led the way to a small building where he did experimental work.	Come with me to my private shop," and Tom led the way to a small building where he did experimental work.
8498_287357_000030_000004	He unlocked the door with a key he carried, turned on the lights, which were run by a storage battery, and motioned Mr. Jenks to a seat.	He unlocked the door with a key he carried, turned on the lights, which were run by a storage battery, and motioned mr Jenks to a seat.
8498_287357_000031_000000	"Now I'll hear your story," said Tom.	"Now I'll hear your story," said Tom.
8498_287357_000032_000000	"I'll make it as short as possible," went on the queer man.	"I'll make it as short as possible," went on the queer man.
8498_287357_000032_000001	"To begin with, it is now several years ago since a poorly dressed stranger applied to me one night for money enough to get a meal and a bed to sleep in.	"To begin with, it is now several years ago since a poorly dressed stranger applied to me one night for money enough to get a meal and a bed to sleep in.
8498_287357_000032_000002	I was living in New York City at the time, and this was midnight, as I was returning home from my club.	I was living in New York City at the time, and this was midnight, as I was returning home from my club.
8498_287357_000033_000000	"I was touched by the man's appearance, and gave him some money.	"I was touched by the man's appearance, and gave him some money.
8498_287357_000033_000001	He asked for my card, saying he would repay me some day.	He asked for my card, saying he would repay me some day.
8498_287357_000033_000002	I gave it to him, little thinking I would hear from the man again.	I gave it to him, little thinking I would hear from the man again.
8498_287357_000033_000003	But I did.	But I did.
8498_287357_000033_000004	He called at my apartments about a week later, saying he had secured work as an expert setter of diamonds, and wanted to repay me.	He called at my apartments about a week later, saying he had secured work as an expert setter of diamonds, and wanted to repay me.
8498_287357_000033_000005	I did not want to take his money, but the fact that such a sorry looking specimen of manhood as he had been when I aided him, was an expert handler of gems interested me.	I did not want to take his money, but the fact that such a sorry looking specimen of manhood as he had been when I aided him, was an expert handler of gems interested me.
8498_287357_000033_000006	I talked with the man, and he made a curious statement.	I talked with the man, and he made a curious statement.
8498_287357_000034_000000	"This man, who gave his name as Enos Folwell, said he knew a place where diamonds could be made, partly in a scientific manner, and partly by the forces of nature.	"This man, who gave his name as Enos Folwell, said he knew a place where diamonds could be made, partly in a scientific manner, and partly by the forces of nature.
8498_287357_000034_000001	I laughed at him, but he told me so many details that I began to believe him.	I laughed at him, but he told me so many details that I began to believe him.
8498_287357_000034_000002	He said he and some other friends of his, who were diamond cutters, had a plant in the midst of the Rocky Mountains, where they had succeeded in making several small, but very perfect diamonds.	He said he and some other friends of his, who were diamond cutters, had a plant in the midst of the Rocky Mountains, where they had succeeded in making several small, but very perfect diamonds.
8498_287357_000034_000003	They had come to the end of their rope, though, so to speak, because they could not afford to buy the materials needed.	They had come to the end of their rope, though, so to speak, because they could not afford to buy the materials needed.
8498_287357_000034_000005	They had all agreed to go out into civilization, and work for enough funds to enable them to go on with their diamond making.	They had all agreed to go out into civilization, and work for enough funds to enable them to go on with their diamond making.
8498_287357_000035_000000	"I hardly knew whether to believe the man or not, but he offered proof. He had several small, but very perfect diamonds with him, and he gave them to me, to have tested in any way I desired.	"I hardly knew whether to believe the man or not, but he offered proof. He had several small, but very perfect diamonds with him, and he gave them to me, to have tested in any way I desired.
8498_287357_000036_000000	"I promised to look into the matter, and, as I was quite wealthy, as, in fact I am now, and if I found that the stones he gave me were real, I said I might invest some money in the plant."	"I promised to look into the matter, and, as I was quite wealthy, as, in fact I am now, and if I found that the stones he gave me were real, I said I might invest some money in the plant."
8498_287357_000038_000000	"They were--stones of the first water, though small.	"They were-stones of the first water, though small.
8498_287357_000038_000001	An expert gem merchant, to whom I took them, said he had never seen any diamonds like them, and he wanted to know where I got them.	An expert gem merchant, to whom I took them, said he had never seen any diamonds like them, and he wanted to know where I got them.
8498_287357_000038_000002	Of course I did not tell him.	Of course I did not tell him.
8498_287357_000039_000000	"To make a long story short, I saw Folwell again, told him to communicate with his companions, and to tell them that I would agree to supply the cash needed, if I could share in the diamond making.	"To make a long story short, I saw Folwell again, told him to communicate with his companions, and to tell them that I would agree to supply the cash needed, if I could share in the diamond making.
8498_287357_000039_000001	To this they agreed, and, after some weeks spent in preparation, a party of us set out for Phantom Mountain."	To this they agreed, and, after some weeks spent in preparation, a party of us set out for Phantom Mountain."
8498_287357_000040_000000	"Phantom Mountain?" interrupted Tom.	"Phantom Mountain?" interrupted Tom.
8498_287357_000040_000001	"Where is it?"	"Where is it?"
8498_287357_000041_000000	"I don't know, exactly--it's somewhere in the Rockies, but the exact location is a mystery.	"I don't know, exactly-it's somewhere in the Rockies, but the exact location is a mystery.
8498_287357_000041_000001	That is why I need your help.	That is why I need your help.
8498_287357_000041_000002	You will soon understand the reason.	You will soon understand the reason.
8498_287357_000041_000003	Well, as I said, myself, Folwell and the others, who were not exactly prepossessing sort of men, started west.	Well, as I said, myself, Folwell and the others, who were not exactly prepossessing sort of men, started west.
8498_287357_000041_000004	When we got to a small town, called Indian Ridge, near Leadville, Colorado, the men insisted that I must now proceed in secret, and consent to be blindfolded, as they were not yet ready to reveal the secret of the place where they made the diamonds.	When we got to a small town, called Indian Ridge, near Leadville, Colorado, the men insisted that I must now proceed in secret, and consent to be blindfolded, as they were not yet ready to reveal the secret of the place where they made the diamonds.
8498_287357_000042_000000	"I did not want to agree to this, but they insisted, and I gave in, foolishly perhaps.	"I did not want to agree to this, but they insisted, and I gave in, foolishly perhaps.
8498_287357_000042_000002	After traveling for some distance I was led, still blindfolded, up a steep trail.	After traveling for some distance I was led, still blindfolded, up a steep trail.
8498_287357_000043_000000	"When the bandage was taken off my eyes I saw that I was in a large cave.	"When the bandage was taken off my eyes I saw that I was in a large cave.
8498_287357_000043_000001	The men were with me, and they apologized for the necessity that caused them to blindfold me.	The men were with me, and they apologized for the necessity that caused them to blindfold me.
8498_287357_000043_000003	I had to agree.	I had to agree.
8498_287357_000044_000000	"Next they demanded that I give them a large sum, which I had promised when they showed me, conclusively, that they could make diamonds.	"Next they demanded that I give them a large sum, which I had promised when they showed me, conclusively, that they could make diamonds.
8498_287357_000044_000001	I refused to do this until I had seen some of the precious stones, and they agreed that this was fair, but said I would have to wait a few days.	I refused to do this until I had seen some of the precious stones, and they agreed that this was fair, but said I would have to wait a few days.
8498_287357_000045_000000	"Well, I waited, and, all that while, I was virtually a prisoner in the cave.	"Well, I waited, and, all that while, I was virtually a prisoner in the cave.
8498_287357_000046_000000	"At last one night, during a terrific thunder storm, the leader of the diamond makers--Folwell--announced that I could now see the stones made. The men had been preparing their chemicals for some days previous.	"At last one night, during a terrific thunder storm, the leader of the diamond makers-Folwell-announced that I could now see the stones made. The men had been preparing their chemicals for some days previous.
8498_287357_000046_000001	I was taken into a small chamber of the cave, and there saw quite a complicated apparatus.	I was taken into a small chamber of the cave, and there saw quite a complicated apparatus.
8498_287357_000046_000002	Part of it was a great steel box, with a lever on it.	Part of it was a great steel box, with a lever on it.
8498_287357_000047_000000	"We will let you make some diamonds for yourself," Folwell said to me, and he directed me to pull the lever of the box, at a certain signal. The signal came, just as a terrific crash of thunder shook the very mountain inside of which we were.	"We will let you make some diamonds for yourself," Folwell said to me, and he directed me to pull the lever of the box, at a certain signal. The signal came, just as a terrific crash of thunder shook the very mountain inside of which we were.
8498_287357_000049_000000	Mr. Jenks held out one hand.	mr Jenks held out one hand.
8498_287357_000049_000001	In the palm glittered a large stone--ostensibly a diamond.	In the palm glittered a large stone-ostensibly a diamond.
8498_287357_000049_000002	In the rays of the moon it showed all the colors of the rainbow--a beautiful gem.	In the rays of the moon it showed all the colors of the rainbow-a beautiful gem.
8498_287357_000049_000003	"That is one of the stones I made--or rather that I supposed I had made," went on Mr. Jenks.	"That is one of the stones I made-or rather that I supposed I had made," went on mr Jenks.
8498_287357_000049_000004	"It is one of several I have, but they have not all been cut and polished as has this one.	"It is one of several I have, but they have not all been cut and polished as has this one.
8498_287357_000050_000000	"Naturally I was much impressed by what I saw, and, after I had made certain tests which convinced me that the stones in the steel box were diamonds, I paid over the money as I had promised.	"Naturally I was much impressed by what I saw, and, after I had made certain tests which convinced me that the stones in the steel box were diamonds, I paid over the money as I had promised.
8498_287357_000050_000001	That was my undoing."	That was my undoing."
8498_287357_000051_000000	"How?"	"How?"
8498_287357_000052_000000	"As soon as the men got the cash, they had no further use for me.	"As soon as the men got the cash, they had no further use for me.
8498_287357_000052_000001	The next I remember is eating a rude meal, while we discussed the future of making diamonds.	The next I remember is eating a rude meal, while we discussed the future of making diamonds.
8498_287357_000052_000002	I knew nothing more until I found myself back in the small hotel at Indian Ridge, whence I had gone some time previous, with the men, to the cave in the mountain."	I knew nothing more until I found myself back in the small hotel at Indian Ridge, whence I had gone some time previous, with the men, to the cave in the mountain."
8498_287357_000053_000000	"What happened?" asked Tom, much surprised by the unexpected outcome of the affair.	"What happened?" asked Tom, much surprised by the unexpected outcome of the affair.
8498_287357_000054_000000	"I had been tricked, that was all!	"I had been tricked, that was all!
8498_287357_000054_000001	As soon as the men had my money they had no further use for me.	As soon as the men had my money they had no further use for me.
8498_287357_000054_000002	They did not want me to learn the secret of their diamond making, and they drugged me, carried me away from the cave, and left me in the hotel."	They did not want me to learn the secret of their diamond making, and they drugged me, carried me away from the cave, and left me in the hotel."
8498_287357_000055_000000	"Didn't you try to find the cave again?"	"Didn't you try to find the cave again?"
8498_287357_000056_000000	"I did, but without avail.	"I did, but without avail.
8498_287357_000056_000001	I spent some time in the Rockies, but no one could tell where Phantom Mountain was; in fact, few had heard of it, and I was nearly lost searching for it.	I spent some time in the Rockies, but no one could tell where Phantom Mountain was; in fact, few had heard of it, and I was nearly lost searching for it.
8498_287357_000057_000000	"I came back East, determined to get even.	"I came back East, determined to get even.
8498_287357_000057_000002	Probably the stones are worth nearly as much as the money I invested, but I was cheated, for I was promised an equal share in the profits.	Probably the stones are worth nearly as much as the money I invested, but I was cheated, for I was promised an equal share in the profits.
8498_287357_000057_000003	These were denied me, and I was tricked.	These were denied me, and I was tricked.
8498_287357_000057_000004	I determined to be revenged, or at least to discover the secret of making diamonds.	I determined to be revenged, or at least to discover the secret of making diamonds.
8498_287357_000057_000005	It is my right."	It is my right."
8498_287357_000058_000000	"I agree with you," spoke Tom.	"I agree with you," spoke Tom.
8498_287357_000059_000000	"But, up to the time I met you on Earthquake Island, I could form no plan for discovering Phantom Mountain, and learning the secret of the diamond makers," went on Mr. Jenks.	"But, up to the time I met you on Earthquake Island, I could form no plan for discovering Phantom Mountain, and learning the secret of the diamond makers," went on mr Jenks.
8498_287357_000059_000002	But I knew I needed an airship in which to fly over the mountains, and pick out the location of the cave where the diamonds are made."	But I knew I needed an airship in which to fly over the mountains, and pick out the location of the cave where the diamonds are made."
8498_287357_000060_000000	"But how can you locate it, if you were blindfolded when you were taken there, Mr. Jenks?"	"But how can you locate it, if you were blindfolded when you were taken there, mr Jenks?"
8498_287357_000061_000000	"I forgot to tell you that, on our journey into the mountains, and just before I was carried into the cave, I managed to raise one corner of the bandage.	"I forgot to tell you that, on our journey into the mountains, and just before I was carried into the cave, I managed to raise one corner of the bandage.
8498_287357_000061_000001	I caught a glimpse of a very peculiarly shaped cliff--it is like a great head, standing out in bold relief against the moonlight, when I saw it.	I caught a glimpse of a very peculiarly shaped cliff-it is like a great head, standing out in bold relief against the moonlight, when I saw it.
8498_287357_000061_000003	It may be the landmark by which we can locate Phantom Mountain."	It may be the landmark by which we can locate Phantom Mountain."
8498_287357_000062_000000	"Perhaps," admitted the young inventor.	"Perhaps," admitted the young inventor.
8498_287357_000063_000000	"What I want to know is this," went on Mr. Jenks.	"What I want to know is this," went on mr Jenks.
8498_287357_000063_000001	"Will you go with me on this quest--go in your airship to discover the secret of the diamond makers?	"Will you go with me on this quest-go in your airship to discover the secret of the diamond makers?
8498_287357_000063_000002	If you will, I will share with you whatever diamonds we can discover, or make; besides paying all expenses.	If you will, I will share with you whatever diamonds we can discover, or make; besides paying all expenses.
8498_287357_000063_000003	Will you go, Tom Swift?"	Will you go, Tom Swift?"
8498_287357_000064_000000	The young inventor did not know what to answer.	The young inventor did not know what to answer.
8498_287357_000064_000001	How far was Mr. Jenks to be trusted?	How far was mr Jenks to be trusted?
8498_287357_000064_000002	Were the stones he had real diamonds?	Were the stones he had real diamonds?
8498_287357_000064_000003	Was his story, fantastical as it sounded--true?	Was his story, fantastical as it sounded-true?
8498_287357_000064_000004	Would it be safe for Tom to go?	Would it be safe for Tom to go?
8498_287357_000065_000000	The lad asked himself these questions.	The lad asked himself these questions.
8498_287357_000065_000001	Mr. Jenks saw his hesitation.	mr Jenks saw his hesitation.
8498_287357_000066_000000	"Here," said the strange man, "I will prove what I say.	"Here," said the strange man, "I will prove what I say.
8498_287357_000066_000002	I intended it for you, anyhow, for what you did for me on Earthquake Island.	I intended it for you, anyhow, for what you did for me on Earthquake Island.
8498_287357_000066_000003	Take it, and--and give it to the person for whom you were about to purchase a diamond to-night.	Take it, and-and give it to the person for whom you were about to purchase a diamond to night.
8498_287357_000066_000004	But, first of all, take it to a gem expert, and get his opinion.	But, first of all, take it to a gem expert, and get his opinion.
