1914_121446_000000_000000	"Sir," said Planchet, "I am in all things at your service."	"Sir," said Planchet, "I am in all things at your service."	false	0	4.05	18.727262
1914_121446_000001_000000	"That fellow is no fool," said Aramis, as he got on his horse.	"That fellow is no fool," said Aramis, as he got on his horse.	false	4.05	8.52	15
1914_121446_000002_000000	"How should he be?" replied Athos, whilst mounting also, "seeing he was used so long to brush your hats."	"How should he be?" replied Athos, whilst mounting also, "seeing he was used so long to brush your hats."	false	8.52	17.16	18.922092
1914_121446_000003_000000	76.	seventy six.	true	17.16	18.24	16
1914_121446_000003_000001	The Ambassadors.	The Ambassadors.	true	18.24	19.48	18.443949
1914_121446_000004_000000	The two friends rode rapidly down the declivity of the Faubourg, but on arriving at the bottom were surprised to find that the streets of Paris had become rivers, and the open places lakes; after the great rains which fell in January the Seine had overflowed its banks and the river inundated half the capital.	The two friends rode rapidly down the declivity of the Faubourg, but on arriving at the bottom were surprised to find that the streets of Paris had become rivers, and the open places lakes; after the great rains which fell in January the Seine had overflowed its banks and the river inundated half the capital.	true	20	38.77	16
1914_121446_000004_000001	The two gentlemen were obliged, therefore, to get off their horses and take a boat; and in that strange manner they approached the Louvre.	The two gentlemen were obliged, therefore, to get off their horses and take a boat; and in that strange manner they approached the Louvre.	true	38.84	47.5	17
1914_121446_000005_000000	Night had closed in, and Paris, seen thus, by the light of lanterns flickering on the pools of water, crowded with ferry-boats of every kind, including those that glittered with the armed patrols, with the watchword, passing from post to post--Paris presented such an aspect as to strongly seize the senses of Aramis, a man most susceptible to warlike impressions.	Night had closed in, and Paris, seen thus, by the light of lanterns flickering on the pools of water, crowded with ferry boats of every kind, including those that glittered with the armed patrols, with the watchword, passing from post to post-Paris presented such an aspect as to strongly seize the senses of Aramis, a man most susceptible to warlike impressions.	false	47.75	72.07	16
1914_121446_000006_000000	They reached the queen's apartments, but were compelled to stop in the ante-chamber, since her majesty was at that moment giving audience to gentlemen bringing her news from England.	They reached the queen's apartments, but were compelled to stop in the ante chamber, since her majesty was at that moment giving audience to gentlemen bringing her news from England.	true	72.47	81.97	13
1914_121446_000007_000000	"We, too," said Athos, to the footman who had given him that answer, "not only bring news from England, but have just come from there."	"We, too," said Athos, to the footman who had given him that answer, "not only bring news from England, but have just come from there."	true	82.1	89.26	17
1914_121446_000008_000000	"What?	"What?	true	89.36	89.88	23.670204
1914_121446_000008_000001	then, are your names, gentlemen?"	then, are your names, gentlemen?"	false	89.88	91.93	10
1914_121446_000009_000000	"The Comte de la Fere and the Chevalier d'Herblay," said Aramis.	"The Comte de la Fere and the Chevalier d'Herblay," said Aramis.	true	92.12	96.03	16
1914_121446_000010_000000	"Ah! in that case, gentlemen," said the footman, on hearing the names which the queen had so often pronounced with hope, "in that case it is another thing, and I think her majesty will pardon me for not keeping you here a moment.	"Ah! in that case, gentlemen," said the footman, on hearing the names which the queen had so often pronounced with hope, "in that case it is another thing, and I think her majesty will pardon me for not keeping you here a moment.	false	96.03	108.06	15
1914_121446_000010_000001	Please follow me," and he went on before, followed by Athos and Aramis.	Please follow me," and he went on before, followed by Athos and Aramis.	true	108.06	112.24	16
1914_121446_000011_000000	On arriving at the door of the room where the queen was receiving he made a sign for them to wait and opening the door:	On arriving at the door of the room where the queen was receiving he made a sign for them to wait and opening the door:	true	112.34	118.59	15
1914_121446_000012_000000	"Madame," he said, "I hope your majesty will forgive me for disobeying your orders, when you learn that the gentlemen I have come to announce are the Comte de la Fere and the Chevalier d'Herblay."	"Madame," he said, "I hope your majesty will forgive me for disobeying your orders, when you learn that the gentlemen I have come to announce are the Comte de la Fere and the Chevalier d'Herblay."	false	118.59	130	17.317884
1914_121446_000013_000000	On hearing those two names the queen uttered a cry of joy, which the two gentlemen heard.	On hearing those two names the queen uttered a cry of joy, which the two gentlemen heard.	true	130.01	135.435	15
1914_121446_000014_000000	"Poor queen!" murmured Athos.	"Poor queen!" murmured Athos.	true	135.435	137.5	18.455635
