5029_80197_000000_000000	"We can't bury the man without first shooting the cat," said one of the troopers.	"We can't bury the man without first shooting the cat," said one of the troopers.	false	0	5.4	6
5029_80197_000001_000000	"Then we'll let him lie," said the sergeant in command.	"Then we'll let him lie," said the sergeant in command.	false	5.4	7.71	4
5029_80197_000001_000001	"We can stop here on our way back from the Fort, and maybe by that time the cat'll listen to reason.	"We can stop here on our way back from the Fort, and maybe by that time the cat'll listen to reason.	false	7.71	12.93	11
5029_80197_000001_000002	I'd as soon shoot my best friend as shoot the poor beast now."	I'd as soon shoot my best friend as shoot the poor beast now."	false	12.93	17.34	8
5029_80197_000002_000000	And the troop passed on, leaving Tom alone in the wilderness with his silent friend.	And the troop passed on, leaving Tom alone in the wilderness with his silent friend.	false	17.34	20.52	1
5029_80197_000003_000000	WILLIAM LIVINGSTON ALDEN.	WILLIAM LIVINGSTON ALDEN.	false	20.52	20.52	
5029_80197_000004_000000	THE QUEEN'S CAT	THE QUEEN'S CAT	false	20.52	24.12	4
5029_80197_000005_000000	Once there was a great and powerful King who was as good as gold and as brave as a lion, but he had one weakness, which was a horror of cats.	Once there was a great and powerful King who was as good as gold and as brave as a lion, but he had one weakness, which was a horror of cats.	true	24.12	33.55	12
5029_80197_000005_000001	If he saw one through an open window he shuddered so that his medals jangled together and his crown fell off; if any one mentioned a cat at the table he instantly spilled his soup all down the front of his ermine; and if by any chance a cat happened to stroll into the audience chamber, he immediately jumped on to his throne, gathering his robes around him and shrieking at the top of his lungs.	If he saw one through an open window he shuddered so that his medals jangled together and his crown fell off; if any one mentioned a cat at the table he instantly spilled his soup all down the front of his ermine; and if by any chance a cat happened to stroll into the audience chamber, he immediately jumped on to his throne, gathering his robes around him and shrieking at the top of his lungs.	true	33.86	57.25	17
5029_80197_000006_000000	Now this King was a bachelor and his people didn't like it; so being desirous of pleasing them, he looked around among the neighbouring royal families and hit upon a very sweet and beautiful princess, whom he asked in marriage without any delay, for he was a man of action.	Now this King was a bachelor and his people didn't like it; so being desirous of pleasing them, he looked around among the neighbouring royal families and hit upon a very sweet and beautiful princess, whom he asked in marriage without any delay, for he was a man of action.	true	57.92	74.59	10
5029_80197_000007_000000	Her parents giving their hearty consent, the pair were married at her father's palace; and after the festivities were over, the King sped home to see to the preparation of his wife's apartments.	Her parents giving their hearty consent, the pair were married at her father's palace; and after the festivities were over, the King sped home to see to the preparation of his wife's apartments.	true	75.56	86.56	12
5029_80197_000007_000001	In due time she arrived, bringing with her a cat.	In due time she arrived, bringing with her a cat.	true	87.02	91	10
5029_80197_000007_000002	When he saw her mounting the steps with the animal under her arm, the King, who was at the door to meet her, uttering a horrid yell, fell in a swoon and had to be revived with spirits of ammonia.	When he saw her mounting the steps with the animal under her arm, the King, who was at the door to meet her, uttering a horrid yell, fell in a swoon and had to be revived with spirits of ammonia.	true	91.58	104.2	13
5029_80197_000007_000003	The courtiers hastened to inform the Queen of her husband's failing, and when he came to, he found her in tears.	The courtiers hastened to inform the Queen of her husband's failing, and when he came to, he found her in tears.	true	104.57	111.85	9
5029_80197_000008_000000	"I cannot exist without a cat!" she wept.	"I cannot exist without a cat!" she wept.	true	112.91	116.53	20
5029_80197_000009_000000	"And I, my love," replied the King, "cannot exist with one!"	"And I, my love," replied the King, "cannot exist with one!"	true	116.9	121.12	15
5029_80197_000010_000000	"You must learn to bear it!" said she.	"You must learn to bear it!" said she.	true	121.85	124.96	15
5029_80197_000011_000000	"You must learn to live without it!" said he.	"You must learn to live without it!" said he.	true	125.27	128.53	15
5029_80197_000012_000000	"But life would not be worth living without a cat!" she wailed.	"But life would not be worth living without a cat!" she wailed.	true	129.02	133.18	16
5029_80197_000013_000000	"Well, well, my love, we will see what we can do," sighed the King.	"Well, well, my love, we will see what we can do," sighed the King.	true	133.82	138.49	11
5029_80197_000014_000000	"Suppose," he went on, "you kept it in the round tower over there.	"Suppose," he went on, "you kept it in the round tower over there.	true	139.01	143.68	15
5029_80197_000014_000001	Then you could go to see it."	Then you could go to see it."	true	143.78	145.6	17
5029_80197_000015_000000	"Shut up my cat that has been used to running around in the open air?" cried the Queen.	"Shut up my cat that has been used to running around in the open air?" cried the Queen.	true	146.3	151.57	17
5029_80197_000015_000001	"Never!"	"Never!"	true	151.7	152.56	16.601252
5029_80197_000016_000000	"Suppose," suggested the King again, "we made an enclosure for it of wire netting."	"Suppose," suggested the King again, "we made an enclosure for it of wire netting."	true	153.14	158.65	13
5029_80197_000017_000000	"My dear," cried the Queen, "a good strong cat like mine could climb out in a minute."	"My dear," cried the Queen, "a good strong cat like mine could climb out in a minute."	true	159.14	164.62	18
