1913_143521_000000_000000	PREPARER'S NOTE--UNICODE EDITION	PREPARER'S NOTE-UNICODE EDITION	false	0	5.01	20.976496
1913_143521_000001_000000	A number of fragments of Greek and other text, omitted from the original posting, have been restored in this Unicode text. Sketches, however, have not yet been restored.	A number of fragments of Greek and other text, omitted from the original posting, have been restored in this Unicode text. Sketches, however, have not yet been restored.	false	5.01	17.73	23.71685
1913_143521_000002_000000	SHE	SHE	false	17.73	21.96	20.974304
1913_143521_000003_000000	INTRODUCTION	INTRODUCTION	true	21.96	22.81	25.464844
1913_143521_000004_000000	In giving to the world the record of what, looked at as an adventure only, is I suppose one of the most wonderful and mysterious experiences ever undergone by mortal men, I feel it incumbent on me to explain what my exact connection with it is.	In giving to the world the record of what, looked at as an adventure only, is I suppose one of the most wonderful and mysterious experiences ever undergone by mortal men, I feel it incumbent on me to explain what my exact connection with it is.	true	25.19	40.36	22.674475
1913_143521_000004_000001	And so I may as well say at once that I am not the narrator but only the editor of this extraordinary history, and then go on to tell how it found its way into my hands.	And so I may as well say at once that I am not the narrator but only the editor of this extraordinary history, and then go on to tell how it found its way into my hands.	true	41.15	52	20.607395
1913_143521_000005_000000	Some years ago I, the editor, was stopping with a friend, "_vir doctissimus et amicus neus_," at a certain University, which for the purposes of this history we will call Cambridge, and was one day much struck with the appearance of two persons whom I saw going arm-in-arm down the street.	Some years ago I, the editor, was stopping with a friend, "underscore vir doctissimus et amicus neus underscore," at a certain University, which for the purposes of this history we will call Cambridge, and was one day much struck with the appearance of two persons whom I saw going arm in arm down the street.	false	53.18	72.7	22.387852
1913_143521_000005_000001	One of these gentlemen was I think, without exception, the handsomest young fellow I have ever seen.	One of these gentlemen was I think, without exception, the handsomest young fellow I have ever seen.	true	73.01	78.82	22.065474
1913_143521_000005_000002	He was very tall, very broad, and had a look of power and a grace of bearing that seemed as native to him as it is to a wild stag.	He was very tall, very broad, and had a look of power and a grace of bearing that seemed as native to him as it is to a wild stag.	true	79.16	88.57	24.607828
1913_143521_000005_000003	In addition his face was almost without flaw--a good face as well as a beautiful one, and when he lifted his hat, which he did just then to a passing lady, I saw that his head was covered with little golden curls growing close to the scalp.	In addition his face was almost without flaw-a good face as well as a beautiful one, and when he lifted his hat, which he did just then to a passing lady, I saw that his head was covered with little golden curls growing close to the scalp.	true	89.06	103.51	20.88672
1913_143521_000006_000000	"Good gracious!" I said to my friend, with whom I was walking, "why, that fellow looks like a statue of Apollo come to life.	"Good gracious!" I said to my friend, with whom I was walking, "why, that fellow looks like a statue of Apollo come to life.	true	104.21	111.06	23.684536
1913_143521_000006_000001	What a splendid man he is!"	What a splendid man he is!"	false	111.06	112.78	21.82226
1913_143521_000007_000000	"Yes," he answered, "he is the handsomest man in the University, and one of the nicest too.	"Yes," he answered, "he is the handsomest man in the University, and one of the nicest too.	false	113.42	118.48	20.248943
1913_143521_000007_000001	They call him 'the Greek god'; but look at the other one, he's Vincey's (that's the god's name) guardian, and supposed to be full of every kind of information.	They call him 'the Greek god'; but look at the other one, he's Vincey's (that's the god's name) guardian, and supposed to be full of every kind of information.	true	118.91	130.06	22.039022
1913_143521_000007_000002	They call him 'Charon.'" I looked, and found the older man quite as interesting in his way as the glorified specimen of humanity at his side.	They call him 'Charon.'" I looked, and found the older man quite as interesting in his way as the glorified specimen of humanity at his side.	true	130.61	139.66	22.442148
