1913_143521_000003_000000	INTRODUCTION	INTRODUCTION
1913_143521_000004_000000	In giving to the world the record of what, looked at as an adventure only, is I suppose one of the most wonderful and mysterious experiences ever undergone by mortal men, I feel it incumbent on me to explain what my exact connection with it is.	In giving to the world the record of what, looked at as an adventure only, is I suppose one of the most wonderful and mysterious experiences ever undergone by mortal men, I feel it incumbent on me to explain what my exact connection with it is.
1913_143521_000004_000001	And so I may as well say at once that I am not the narrator but only the editor of this extraordinary history, and then go on to tell how it found its way into my hands.	And so I may as well say at once that I am not the narrator but only the editor of this extraordinary history, and then go on to tell how it found its way into my hands.
1913_143521_000005_000001	One of these gentlemen was I think, without exception, the handsomest young fellow I have ever seen.	One of these gentlemen was I think, without exception, the handsomest young fellow I have ever seen.
1913_143521_000005_000002	He was very tall, very broad, and had a look of power and a grace of bearing that seemed as native to him as it is to a wild stag.	He was very tall, very broad, and had a look of power and a grace of bearing that seemed as native to him as it is to a wild stag.
1913_143521_000005_000003	In addition his face was almost without flaw--a good face as well as a beautiful one, and when he lifted his hat, which he did just then to a passing lady, I saw that his head was covered with little golden curls growing close to the scalp.	In addition his face was almost without flaw-a good face as well as a beautiful one, and when he lifted his hat, which he did just then to a passing lady, I saw that his head was covered with little golden curls growing close to the scalp.
1913_143521_000006_000000	"Good gracious!" I said to my friend, with whom I was walking, "why, that fellow looks like a statue of Apollo come to life.	"Good gracious!" I said to my friend, with whom I was walking, "why, that fellow looks like a statue of Apollo come to life.
1913_143521_000007_000001	They call him 'the Greek god'; but look at the other one, he's Vincey's (that's the god's name) guardian, and supposed to be full of every kind of information.	They call him 'the Greek god'; but look at the other one, he's Vincey's (that's the god's name) guardian, and supposed to be full of every kind of information.
1913_143521_000007_000002	They call him 'Charon.'" I looked, and found the older man quite as interesting in his way as the glorified specimen of humanity at his side.	They call him 'Charon.'" I looked, and found the older man quite as interesting in his way as the glorified specimen of humanity at his side.
1913_143521_000007_000003	He appeared to be about forty years of age, and was I think as ugly as his companion was handsome.	He appeared to be about forty years of age, and was I think as ugly as his companion was handsome.
1913_143521_000007_000004	To begin with, he was shortish, rather bow-legged, very deep chested, and with unusually long arms.	To begin with, he was shortish, rather bow legged, very deep chested, and with unusually long arms.
1913_143521_000007_000005	He had dark hair and small eyes, and the hair grew right down on his forehead, and his whiskers grew right up to his hair, so that there was uncommonly little of his countenance to be seen. Altogether he reminded me forcibly of a gorilla, and yet there was something very pleasing and genial about the man's eye.	He had dark hair and small eyes, and the hair grew right down on his forehead, and his whiskers grew right up to his hair, so that there was uncommonly little of his countenance to be seen. Altogether he reminded me forcibly of a gorilla, and yet there was something very pleasing and genial about the man's eye.
1913_143521_000007_000006	I remember saying that I should like to know him.	I remember saying that I should like to know him.
1913_143521_000008_000001	I know Vincey; I'll introduce you," and he did, and for some minutes we stood chatting--about the Zulu people, I think, for I had just returned from the Cape at the time.	I know Vincey; I'll introduce you," and he did, and for some minutes we stood chatting-about the Zulu people, I think, for I had just returned from the Cape at the time.
1913_143521_000008_000002	Presently, however, a stoutish lady, whose name I do not remember, came along the pavement, accompanied by a pretty fair-haired girl, and these two Mr. Vincey, who clearly knew them well, at once joined, walking off in their company.	Presently, however, a stoutish lady, whose name I do not remember, came along the pavement, accompanied by a pretty fair haired girl, and these two mr Vincey, who clearly knew them well, at once joined, walking off in their company.
1913_143521_000008_000003	I remember being rather amused because of the change in the expression of the elder man, whose name I discovered was Holly, when he saw the ladies advancing.	I remember being rather amused because of the change in the expression of the elder man, whose name I discovered was Holly, when he saw the ladies advancing.
1913_143521_000008_000004	He suddenly stopped short in his talk, cast a reproachful look at his companion, and, with an abrupt nod to myself, turned and marched off alone across the street.	He suddenly stopped short in his talk, cast a reproachful look at his companion, and, with an abrupt nod to myself, turned and marched off alone across the street.
1913_143521_000008_000005	I heard afterwards that he was popularly supposed to be as much afraid of a woman as most people are of a mad dog, which accounted for his precipitate retreat.	I heard afterwards that he was popularly supposed to be as much afraid of a woman as most people are of a mad dog, which accounted for his precipitate retreat.
1913_143521_000008_000006	I cannot say, however, that young Vincey showed much aversion to feminine society on this occasion.	I cannot say, however, that young Vincey showed much aversion to feminine society on this occasion.
1913_143521_000008_000007	Indeed I remember laughing, and remarking to my friend at the time that he was not the sort of man whom it would be desirable to introduce to the lady one was going to marry, since it was exceedingly probable that the acquaintance would end in a transfer of her affections.	Indeed I remember laughing, and remarking to my friend at the time that he was not the sort of man whom it would be desirable to introduce to the lady one was going to marry, since it was exceedingly probable that the acquaintance would end in a transfer of her affections.
1913_143521_000009_000000	That same evening my visit came to an end, and this was the last I saw or heard of "Charon" and "the Greek god" for many a long day.	That same evening my visit came to an end, and this was the last I saw or heard of "Charon" and "the Greek god" for many a long day.
1913_143521_000009_000001	Indeed, I have never seen either of them from that hour to this, and do not think it probable that I shall.	Indeed, I have never seen either of them from that hour to this, and do not think it probable that I shall.
1913_143521_000011_000000	"My dear Sir,--You will be surprised, considering the very slight nature of our acquaintance, to get a letter from me.	"My dear Sir,--You will be surprised, considering the very slight nature of our acquaintance, to get a letter from me.
