4592_22179_000004_000000	CHAPTER XVIII	CHAPTER eighteen
4592_22179_000005_000000	It was a long time before Pierre could fall asleep that night.	It was a long time before Pierre could fall asleep that night.
4592_22179_000006_000000	He was thinking of Prince Andrew, of Natasha, and of their love, at one moment jealous of her past, then reproaching himself for that feeling.	He was thinking of Prince Andrew, of Natasha, and of their love, at one moment jealous of her past, then reproaching himself for that feeling.
4592_22179_000006_000001	It was already six in the morning and he still paced up and down the room.	It was already six in the morning and he still paced up and down the room.
4592_22179_000007_000000	"Well, what's to be done if it cannot be avoided?	"Well, what's to be done if it cannot be avoided?
4592_22179_000007_000001	What's to be done?	What's to be done?
4592_22179_000007_000002	Evidently it has to be so," said he to himself, and hastily undressing he got into bed, happy and agitated but free from hesitation or indecision.	Evidently it has to be so," said he to himself, and hastily undressing he got into bed, happy and agitated but free from hesitation or indecision.
4592_22179_000008_000000	"Strange and impossible as such happiness seems, I must do everything that she and I may be man and wife," he told himself.	"Strange and impossible as such happiness seems, I must do everything that she and I may be man and wife," he told himself.
4592_22179_000009_000000	A few days previously Pierre had decided to go to Petersburg on the Friday.	A few days previously Pierre had decided to go to Petersburg on the Friday.
4592_22179_000009_000001	When he awoke on the Thursday, Savelich came to ask him about packing for the journey.	When he awoke on the Thursday, Savelich came to ask him about packing for the journey.
4592_22179_000010_000000	"What, to Petersburg?	"What, to Petersburg?
4592_22179_000010_000001	What is Petersburg?	What is Petersburg?
4592_22179_000010_000002	Who is there in Petersburg?" he asked involuntarily, though only to himself.	Who is there in Petersburg?" he asked involuntarily, though only to himself.
4592_22179_000010_000004	"Why?	"Why?
4592_22179_000010_000005	But perhaps I shall go.	But perhaps I shall go.
4592_22179_000010_000006	What a good fellow he is and how attentive, and how he remembers everything," he thought, looking at Savelich's old face, "and what a pleasant smile he has!"	What a good fellow he is and how attentive, and how he remembers everything," he thought, looking at Savelich's old face, "and what a pleasant smile he has!"
4592_22179_000011_000000	"Well, Savelich, do you still not wish to accept your freedom?" Pierre asked him.	"Well, Savelich, do you still not wish to accept your freedom?" Pierre asked him.
4592_22179_000012_000000	"What's the good of freedom to me, your excellency?	"What's the good of freedom to me, your excellency?
4592_22179_000012_000001	We lived under the late count--the kingdom of heaven be his!--and we have lived under you too, without ever being wronged."	We lived under the late count-the kingdom of heaven be his!--and we have lived under you too, without ever being wronged."
4592_22179_000013_000000	"And your children?"	"And your children?"
4592_22179_000014_000001	With such masters one can live."	With such masters one can live."
4592_22179_000015_000000	"But what about my heirs?" said Pierre.	"But what about my heirs?" said Pierre.
4592_22179_000015_000001	"Supposing I suddenly marry... it might happen," he added with an involuntary smile.	"Supposing I suddenly marry... it might happen," he added with an involuntary smile.
4592_22179_000017_000002	Too soon or too late... it is terrible!"	Too soon or too late... it is terrible!"
4592_22179_000019_000000	"No, I'll put it off for a bit.	"No, I'll put it off for a bit.
4592_22179_000019_000004	Shall I have a talk with him and see what he thinks?" Pierre reflected.	Shall I have a talk with him and see what he thinks?" Pierre reflected.
4592_22179_000019_000005	"No, another time."	"No, another time."
4592_22179_000020_000000	At breakfast Pierre told the princess, his cousin, that he had been to see Princess Mary the day before and had there met--"Whom do you think?	At breakfast Pierre told the princess, his cousin, that he had been to see Princess Mary the day before and had there met-"Whom do you think?
4592_22179_000020_000001	Natasha Rostova!"	Natasha Rostova!"
4592_22179_000022_000000	"Do you know her?" asked Pierre.	"Do you know her?" asked Pierre.
4592_22179_000023_000000	"I have seen the princess," she replied.	"I have seen the princess," she replied.
4592_22179_000023_000002	It would be a very good thing for the Rostovs, they are said to be utterly ruined."	It would be a very good thing for the Rostovs, they are said to be utterly ruined."
4592_22179_000025_000000	"I heard about that affair of hers at the time.	"I heard about that affair of hers at the time.
4592_22179_000025_000001	It was a great pity."	It was a great pity."
4592_22179_000026_000000	"No, she either doesn't understand or is pretending," thought Pierre.	"No, she either doesn't understand or is pretending," thought Pierre.
4592_22179_000026_000001	"Better not say anything to her either."	"Better not say anything to her either."
4592_22179_000027_000000	The princess too had prepared provisions for Pierre's journey.	The princess too had prepared provisions for Pierre's journey.
4592_22179_000028_000000	"How kind they all are," thought Pierre.	"How kind they all are," thought Pierre.
4592_22179_000028_000002	And all for me!"	And all for me!"
4592_22179_000029_000000	On the same day the Chief of Police came to Pierre, inviting him to send a representative to the Faceted Palace to recover things that were to be returned to their owners that day.	On the same day the Chief of Police came to Pierre, inviting him to send a representative to the Faceted Palace to recover things that were to be returned to their owners that day.
4592_22179_000030_000000	"And this man too," thought Pierre, looking into the face of the Chief of Police.	"And this man too," thought Pierre, looking into the face of the Chief of Police.
4592_22179_000030_000001	"What a fine, good-looking officer and how kind.	"What a fine, good looking officer and how kind.
4592_22179_000030_000002	Fancy bothering about such trifles now!	Fancy bothering about such trifles now!
4592_22179_000030_000003	And they actually say he is not honest and takes bribes.	And they actually say he is not honest and takes bribes.
4592_22179_000030_000004	What nonsense!	What nonsense!
4592_22179_000030_000005	Besides, why shouldn't he take bribes?	Besides, why shouldn't he take bribes?
4592_22179_000030_000006	That's the way he was brought up, and everybody does it.	That's the way he was brought up, and everybody does it.
4592_22179_000030_000007	But what a kind, pleasant face and how he smiles as he looks at me."	But what a kind, pleasant face and how he smiles as he looks at me."
4592_22179_000031_000000	Pierre went to Princess Mary's to dinner.	Pierre went to Princess Mary's to dinner.
4592_22179_000032_000000	As he drove through the streets past the houses that had been burned down, he was surprised by the beauty of those ruins.	As he drove through the streets past the houses that had been burned down, he was surprised by the beauty of those ruins.
4592_22179_000032_000001	The picturesqueness of the chimney stacks and tumble-down walls of the burned-out quarters of the town, stretching out and concealing one another, reminded him of the Rhine and the Colosseum.	The picturesqueness of the chimney stacks and tumble down walls of the burned out quarters of the town, stretching out and concealing one another, reminded him of the Rhine and the Colosseum.
4592_22179_000032_000003	Let's see what will come of it!"	Let's see what will come of it!"
4592_22179_000033_000002	She was in the same black dress with soft folds and her hair was done the same way as the day before, yet she was quite different.	She was in the same black dress with soft folds and her hair was done the same way as the day before, yet she was quite different.
4592_22179_000033_000003	Had she been like this when he entered the day before he could not for a moment have failed to recognize her.	Had she been like this when he entered the day before he could not for a moment have failed to recognize her.
4592_22179_000034_000001	A bright questioning light shone in her eyes, and on her face was a friendly and strangely roguish expression.	A bright questioning light shone in her eyes, and on her face was a friendly and strangely roguish expression.
4592_22179_000035_000000	Pierre dined with them and would have spent the whole evening there, but Princess Mary was going to vespers and Pierre left the house with her.	Pierre dined with them and would have spent the whole evening there, but Princess Mary was going to vespers and Pierre left the house with her.
4592_22179_000036_000000	Next day he came early, dined, and stayed the whole evening.	Next day he came early, dined, and stayed the whole evening.
4592_22179_000036_000001	Though Princess Mary and Natasha were evidently glad to see their visitor and though all Pierre's interest was now centered in that house, by the evening they had talked over everything and the conversation passed from one trivial topic to another and repeatedly broke off.	Though Princess Mary and Natasha were evidently glad to see their visitor and though all Pierre's interest was now centered in that house, by the evening they had talked over everything and the conversation passed from one trivial topic to another and repeatedly broke off.
4592_22179_000036_000002	He stayed so long that Princess Mary and Natasha exchanged glances, evidently wondering when he would go.	He stayed so long that Princess Mary and Natasha exchanged glances, evidently wondering when he would go.
4592_22179_000036_000003	Pierre noticed this but could not go.	Pierre noticed this but could not go.
4592_22179_000036_000004	He felt uneasy and embarrassed, but sat on because he simply could not get up and take his leave.	He felt uneasy and embarrassed, but sat on because he simply could not get up and take his leave.
4592_22179_000037_000000	Princess Mary, foreseeing no end to this, rose first, and complaining of a headache began to say good night.	Princess Mary, foreseeing no end to this, rose first, and complaining of a headache began to say good night.
4592_22179_000038_000000	"So you are going to Petersburg tomorrow?" she asked.	"So you are going to Petersburg tomorrow?" she asked.
4592_22179_000039_000001	"Yes... no... to Petersburg?	"Yes... no.. to Petersburg?
4592_22179_000039_000002	Tomorrow--but I won't say good-by yet.	Tomorrow-but I won't say good by yet.
4592_22179_000039_000003	I will call round in case you have any commissions for me," said he, standing before Princess Mary and turning red, but not taking his departure.	I will call round in case you have any commissions for me," said he, standing before Princess Mary and turning red, but not taking his departure.
4592_22179_000040_000000	Natasha gave him her hand and went out.	Natasha gave him her hand and went out.
4592_22179_000040_000001	Princess Mary on the other hand instead of going away sank into an armchair, and looked sternly and intently at him with her deep, radiant eyes.	Princess Mary on the other hand instead of going away sank into an armchair, and looked sternly and intently at him with her deep, radiant eyes.
4592_22179_000040_000002	The weariness she had plainly shown before had now quite passed off.	The weariness she had plainly shown before had now quite passed off.
4592_22179_000041_000000	When Natasha left the room Pierre's confusion and awkwardness immediately vanished and were replaced by eager excitement.	When Natasha left the room Pierre's confusion and awkwardness immediately vanished and were replaced by eager excitement.
4592_22179_000041_000001	He quickly moved an armchair toward Princess Mary.	He quickly moved an armchair toward Princess Mary.
4592_22179_000042_000001	"Princess, help me!	"Princess, help me!
4592_22179_000042_000003	Can I hope?	Can I hope?
4592_22179_000042_000004	Princess, my dear friend, listen!	Princess, my dear friend, listen!
4592_22179_000042_000007	But I want to be a brother to her.	But I want to be a brother to her.
4592_22179_000042_000008	No, not that, I don't, I can't..."	No, not that, I don't, I can't..."
4592_22179_000043_000000	He paused and rubbed his face and eyes with his hands.	He paused and rubbed his face and eyes with his hands.
4592_22179_000044_000001	"I don't know when I began to love her, but I have loved her and her alone all my life, and I love her so that I cannot imagine life without her.	"I don't know when I began to love her, but I have loved her and her alone all my life, and I love her so that I cannot imagine life without her.
4592_22179_000044_000002	I cannot propose to her at present, but the thought that perhaps she might someday be my wife and that I may be missing that possibility... that possibility... is terrible.	I cannot propose to her at present, but the thought that perhaps she might someday be my wife and that I may be missing that possibility... that possibility... is terrible.
4592_22179_000044_000003	Tell me, can I hope?	Tell me, can I hope?
4592_22179_000044_000004	Tell me what I am to do, dear princess!" he added after a pause, and touched her hand as she did not reply.	Tell me what I am to do, dear princess!" he added after a pause, and touched her hand as she did not reply.
4592_22179_000045_000001	"This is what I will say.	"This is what I will say.
4592_22179_000046_000000	Princess Mary stopped.	Princess Mary stopped.
4592_22179_000046_000001	She was going to say that to speak of love was impossible, but she stopped because she had seen by the sudden change in Natasha two days before that she would not only not be hurt if Pierre spoke of his love, but that it was the very thing she wished for.	She was going to say that to speak of love was impossible, but she stopped because she had seen by the sudden change in Natasha two days before that she would not only not be hurt if Pierre spoke of his love, but that it was the very thing she wished for.
4592_22179_000048_000000	"But what am I to do?"	"But what am I to do?"
4592_22179_000049_000000	"Leave it to me," said Princess Mary.	"Leave it to me," said Princess Mary.
4592_22179_000049_000001	"I know..."	"I know..."
4592_22179_000050_000000	Pierre was looking into Princess Mary's eyes.	Pierre was looking into Princess Mary's eyes.
4592_22179_000051_000000	"Well?...	"Well?...
4592_22179_000051_000001	Well?..." he said.	Well?..." he said.
4592_22179_000052_000000	"I know that she loves... will love you," Princess Mary corrected herself.	"I know that she loves... will love you," Princess Mary corrected herself.
4592_22179_000053_000000	Before her words were out, Pierre had sprung up and with a frightened expression seized Princess Mary's hand.	Before her words were out, Pierre had sprung up and with a frightened expression seized Princess Mary's hand.
4592_22179_000054_000000	"What makes you think so?	"What makes you think so?
