369_125883_000000_000000	CHAPTER 36	CHAPTER thirty six
369_125883_000003_000000	Without another word, he swam swiftly away in an effort to reach land as soon as possible.	Without another word, he swam swiftly away in an effort to reach land as soon as possible.
369_125883_000003_000001	All at once he noticed that Geppetto was shivering and shaking as if with a high fever.	All at once he noticed that Geppetto was shivering and shaking as if with a high fever.
369_125883_000004_000000	Was he shivering from fear or from cold?	Was he shivering from fear or from cold?
369_125883_000004_000001	Who knows?	Who knows?
369_125883_000004_000002	Perhaps a little of both.	Perhaps a little of both.
369_125883_000004_000003	But Pinocchio, thinking his father was frightened, tried to comfort him by saying:	But Pinocchio, thinking his father was frightened, tried to comfort him by saying:
369_125883_000005_000000	"Courage, Father!	"Courage, Father!
369_125883_000005_000001	In a few moments we shall be safe on land."	In a few moments we shall be safe on land."
369_125883_000006_000001	"Here I am searching on all sides and I see nothing but sea and sky."	"Here I am searching on all sides and I see nothing but sea and sky."
369_125883_000007_000001	"Remember, Father, that I am like a cat.	"Remember, Father, that I am like a cat.
369_125883_000008_000000	Poor Pinocchio pretended to be peaceful and contented, but he was far from that.	Poor Pinocchio pretended to be peaceful and contented, but he was far from that.
369_125883_000008_000001	He was beginning to feel discouraged, his strength was leaving him, and his breathing was becoming more and more labored.	He was beginning to feel discouraged, his strength was leaving him, and his breathing was becoming more and more labored.
369_125883_000008_000002	He felt he could not go on much longer, and the shore was still far away.	He felt he could not go on much longer, and the shore was still far away.
369_125883_000009_000000	He swam a few more strokes.	He swam a few more strokes.
369_125883_000009_000001	Then he turned to Geppetto and cried out weakly:	Then he turned to Geppetto and cried out weakly:
369_125883_000010_000000	"Help me, Father!	"Help me, Father!
369_125883_000011_000000	Father and son were really about to drown when they heard a voice like a guitar out of tune call from the sea:	Father and son were really about to drown when they heard a voice like a guitar out of tune call from the sea:
369_125883_000012_000000	"What is the trouble?"	"What is the trouble?"
369_125883_000013_000000	"It is I and my poor father."	"It is I and my poor father."
369_125883_000014_000001	You are Pinocchio."	You are Pinocchio."
369_125883_000015_000001	And you?"	And you?"
369_125883_000016_000000	"I am the Tunny, your companion in the Shark's stomach."	"I am the Tunny, your companion in the Shark's stomach."
369_125883_000017_000000	"And how did you escape?"	"And how did you escape?"
369_125883_000018_000000	"I imitated your example.	"I imitated your example.
369_125883_000019_000000	"Tunny, you arrived at the right moment!	"Tunny, you arrived at the right moment!
369_125883_000019_000001	I implore you, for the love you bear your children, the little Tunnies, to help us, or we are lost!"	I implore you, for the love you bear your children, the little Tunnies, to help us, or we are lost!"
369_125883_000020_000000	"With great pleasure indeed.	"With great pleasure indeed.
369_125883_000020_000001	Hang onto my tail, both of you, and let me lead you.	Hang onto my tail, both of you, and let me lead you.
369_125883_000020_000002	In a twinkling you will be safe on land."	In a twinkling you will be safe on land."
369_125883_000021_000000	Geppetto and Pinocchio, as you can easily imagine, did not refuse the invitation; indeed, instead of hanging onto the tail, they thought it better to climb on the Tunny's back.	Geppetto and Pinocchio, as you can easily imagine, did not refuse the invitation; indeed, instead of hanging onto the tail, they thought it better to climb on the Tunny's back.
369_125883_000022_000000	"Are we too heavy?" asked Pinocchio.	"Are we too heavy?" asked Pinocchio.
369_125883_000023_000000	"Heavy?	"Heavy?
369_125883_000023_000002	You are as light as sea-shells," answered the Tunny, who was as large as a two-year-old horse.	You are as light as sea shells," answered the Tunny, who was as large as a two year old horse.
369_125883_000024_000000	As soon as they reached the shore, Pinocchio was the first to jump to the ground to help his old father.	As soon as they reached the shore, Pinocchio was the first to jump to the ground to help his old father.
369_125883_000025_000000	"Dear friend, you have saved my father, and I have not enough words with which to thank you!	"Dear friend, you have saved my father, and I have not enough words with which to thank you!
369_125883_000025_000001	Allow me to embrace you as a sign of my eternal gratitude."	Allow me to embrace you as a sign of my eternal gratitude."
369_125883_000026_000000	The Tunny stuck his nose out of the water and Pinocchio knelt on the sand and kissed him most affectionately on his cheek.	The Tunny stuck his nose out of the water and Pinocchio knelt on the sand and kissed him most affectionately on his cheek.
369_125883_000026_000001	At this warm greeting, the poor Tunny, who was not used to such tenderness, wept like a child.	At this warm greeting, the poor Tunny, who was not used to such tenderness, wept like a child.
369_125883_000026_000002	He felt so embarrassed and ashamed that he turned quickly, plunged into the sea, and disappeared.	He felt so embarrassed and ashamed that he turned quickly, plunged into the sea, and disappeared.
369_125883_000027_000000	In the meantime day had dawned.	In the meantime day had dawned.
369_125883_000028_000000	Pinocchio offered his arm to Geppetto, who was so weak he could hardly stand, and said to him:	Pinocchio offered his arm to Geppetto, who was so weak he could hardly stand, and said to him:
369_125883_000029_000000	"Lean on my arm, dear Father, and let us go.	"Lean on my arm, dear Father, and let us go.
369_125883_000029_000001	We will walk very, very slowly, and if we feel tired we can rest by the wayside."	We will walk very, very slowly, and if we feel tired we can rest by the wayside."
369_125883_000031_000000	"To look for a house or a hut, where they will be kind enough to give us a bite of bread and a bit of straw to sleep on."	"To look for a house or a hut, where they will be kind enough to give us a bite of bread and a bit of straw to sleep on."
369_125883_000033_000000	It was the Fox and the Cat, but one could hardly recognize them, they looked so miserable.	It was the Fox and the Cat, but one could hardly recognize them, they looked so miserable.
369_125883_000033_000003	That sly thief had fallen into deepest poverty, and one day he had been forced to sell his beautiful tail for a bite to eat.	That sly thief had fallen into deepest poverty, and one day he had been forced to sell his beautiful tail for a bite to eat.
369_125883_000034_000002	We are old, tired, and sick."	We are old, tired, and sick."
369_125883_000035_000000	"Sick!" repeated the Cat.	"Sick!" repeated the Cat.
369_125883_000036_000000	"Addio, false friends!" answered the Marionette.	"Addio, false friends!" answered the Marionette.
369_125883_000036_000001	"You cheated me once, but you will never catch me again."	"You cheated me once, but you will never catch me again."
369_125883_000037_000000	"Believe us!	"Believe us!
369_125883_000037_000001	Today we are truly poor and starving."	Today we are truly poor and starving."
369_125883_000038_000000	"Starving!" repeated the Cat.	"Starving!" repeated the Cat.
369_125883_000039_000000	"If you are poor; you deserve it!	"If you are poor; you deserve it!
369_125883_000040_000000	"Have mercy on us!"	"Have mercy on us!"
369_125883_000041_000000	"On us."	"On us."
369_125883_000042_000000	"Addio, false friends.	"Addio, false friends.
369_125883_000044_000000	"Abandon us," repeated the Cat.	"Abandon us," repeated the Cat.
369_125883_000045_000000	"Addio, false friends.	"Addio, false friends.
369_125883_000045_000001	Remember the old proverb: 'Whoever steals his neighbor's shirt, usually dies without his own.'"	Remember the old proverb: 'Whoever steals his neighbor's shirt, usually dies without his own.'"
369_125883_000047_000001	"Let us see for ourselves."	"Let us see for ourselves."
369_125883_000051_000000	"Turn the key and the door will open," said the same little voice.	"Turn the key and the door will open," said the same little voice.
369_125883_000052_000000	Pinocchio turned the key and the door opened.	Pinocchio turned the key and the door opened.
369_125883_000052_000001	As soon as they went in, they looked here and there and everywhere but saw no one.	As soon as they went in, they looked here and there and everywhere but saw no one.
369_125883_000053_000000	"Oh--ho, where is the owner of the hut?" cried Pinocchio, very much surprised.	"Oh-ho, where is the owner of the hut?" cried Pinocchio, very much surprised.
369_125883_000056_000000	"Oh, my dear Cricket," said Pinocchio, bowing politely.	"Oh, my dear Cricket," said Pinocchio, bowing politely.
369_125883_000058_000000	"You are right, dear Cricket.	"You are right, dear Cricket.
369_125883_000058_000002	I deserve it! But spare my poor old father."	I deserve it! But spare my poor old father."
369_125883_000059_000000	"I am going to spare both the father and the son.	"I am going to spare both the father and the son.
369_125883_000060_000000	"You are right, little Cricket, you are more than right, and I shall remember the lesson you have taught me.	"You are right, little Cricket, you are more than right, and I shall remember the lesson you have taught me.
369_125883_000061_000000	"This cottage was given to me yesterday by a little Goat with blue hair."	"This cottage was given to me yesterday by a little Goat with blue hair."
369_125883_000062_000000	"And where did the Goat go?" asked Pinocchio.	"And where did the Goat go?" asked Pinocchio.
369_125883_000063_000000	"I don't know."	"I don't know."
369_125883_000065_000000	"She will never come back.	"She will never come back.
369_125883_000066_000001	Then it was she--it was--my dear little Fairy," cried out Pinocchio, sobbing bitterly.	Then it was she-it was-my dear little Fairy," cried out Pinocchio, sobbing bitterly.
369_125883_000066_000002	After he had cried a long time, he wiped his eyes and then he made a bed of straw for old Geppetto.	After he had cried a long time, he wiped his eyes and then he made a bed of straw for old Geppetto.
369_125883_000067_000000	"Tell me, little Cricket, where shall I find a glass of milk for my poor Father?"	"Tell me, little Cricket, where shall I find a glass of milk for my poor Father?"
369_125883_000068_000000	"Three fields away from here lives Farmer John.	"Three fields away from here lives Farmer john.
369_125883_000068_000002	Go there and he will give you what you want."	Go there and he will give you what you want."
369_125883_000069_000000	Pinocchio ran all the way to Farmer John's house.	Pinocchio ran all the way to Farmer John's house.
369_125883_000069_000001	The Farmer said to him:	The Farmer said to him:
369_125883_000071_000000	"I want a full glass."	"I want a full glass."
369_125883_000072_000000	"A full glass costs a penny.	"A full glass costs a penny.
369_125883_000072_000001	First give me the penny."	First give me the penny."
369_125883_000073_000000	"I have no penny," answered Pinocchio, sad and ashamed.	"I have no penny," answered Pinocchio, sad and ashamed.
369_125883_000074_000000	"Very bad, my Marionette," answered the Farmer, "very bad.	"Very bad, my Marionette," answered the Farmer, "very bad.
369_125883_000074_000001	If you have no penny, I have no milk."	If you have no penny, I have no milk."
369_125883_000075_000000	"Too bad," said Pinocchio and started to go.	"Too bad," said Pinocchio and started to go.
369_125883_000076_000000	"Wait a moment," said Farmer John.	"Wait a moment," said Farmer john.
369_125883_000076_000002	Do you know how to draw water from a well?"	Do you know how to draw water from a well?"
369_125883_000077_000000	"I can try."	"I can try."
369_125883_000079_000000	"Very well."	"Very well."
369_125883_000080_000000	"After you have finished, I shall give you a glass of warm sweet milk."	"After you have finished, I shall give you a glass of warm sweet milk."
369_125883_000081_000000	"I am satisfied."	"I am satisfied."
369_125883_000082_000000	Farmer John took the Marionette to the well and showed him how to draw the water.	Farmer john took the Marionette to the well and showed him how to draw the water.
369_125883_000082_000001	Pinocchio set to work as well as he knew how, but long before he had pulled up the one hundred buckets, he was tired out and dripping with perspiration.	Pinocchio set to work as well as he knew how, but long before he had pulled up the one hundred buckets, he was tired out and dripping with perspiration.
369_125883_000082_000002	He had never worked so hard in his life.	He had never worked so hard in his life.
369_125883_000084_000000	"Will you take me to see him?" said Pinocchio.	"Will you take me to see him?" said Pinocchio.
369_125883_000086_000002	After looking at him a long time, he said to himself: "I know that Donkey!	After looking at him a long time, he said to himself: "I know that Donkey!
369_125883_000086_000003	I have seen him before."	I have seen him before."
369_125883_000090_000000	"Oh, my poor Lamp-Wick," said Pinocchio in a faint voice, as he wiped his eyes with some straw he had picked up from the ground.	"Oh, my poor Lamp Wick," said Pinocchio in a faint voice, as he wiped his eyes with some straw he had picked up from the ground.
369_125883_000091_000001	"What should I do--I, who have paid my good money for him?"	"What should I do-I, who have paid my good money for him?"
369_125883_000092_000000	"But, you see, he was my friend."	"But, you see, he was my friend."
369_125883_000093_000000	"Your friend?"	"Your friend?"
369_125883_000094_000000	"A classmate of mine."	"A classmate of mine."
369_125883_000095_000000	"What," shouted Farmer John, bursting out laughing.	"What," shouted Farmer john, bursting out laughing.
369_125883_000095_000001	"What!	"What!
369_125883_000095_000002	You had donkeys in your school?	You had donkeys in your school?
369_125883_000095_000003	How you must have studied!"	How you must have studied!"
369_125883_000096_000000	The Marionette, ashamed and hurt by those words, did not answer, but taking his glass of milk returned to his father.	The Marionette, ashamed and hurt by those words, did not answer, but taking his glass of milk returned to his father.
369_125883_000097_000000	From that day on, for more than five months, Pinocchio got up every morning just as dawn was breaking and went to the farm to draw water. And every day he was given a glass of warm milk for his poor old father, who grew stronger and better day by day.	From that day on, for more than five months, Pinocchio got up every morning just as dawn was breaking and went to the farm to draw water. And every day he was given a glass of warm milk for his poor old father, who grew stronger and better day by day.
369_125883_000097_000001	But he was not satisfied with this.	But he was not satisfied with this.
369_125883_000097_000002	He learned to make baskets of reeds and sold them.	He learned to make baskets of reeds and sold them.
369_125883_000097_000003	With the money he received, he and his father were able to keep from starving.	With the money he received, he and his father were able to keep from starving.
369_125883_000098_000000	Among other things, he built a rolling chair, strong and comfortable, to take his old father out for an airing on bright, sunny days.	Among other things, he built a rolling chair, strong and comfortable, to take his old father out for an airing on bright, sunny days.
369_125883_000099_000000	In the evening the Marionette studied by lamplight.	In the evening the Marionette studied by lamplight.
369_125883_000099_000001	With some of the money he had earned, he bought himself a secondhand volume that had a few pages missing, and with that he learned to read in a very short time.	With some of the money he had earned, he bought himself a secondhand volume that had a few pages missing, and with that he learned to read in a very short time.
369_125883_000099_000002	As far as writing was concerned, he used a long stick at one end of which he had whittled a long, fine point.	As far as writing was concerned, he used a long stick at one end of which he had whittled a long, fine point.
369_125883_000099_000003	Ink he had none, so he used the juice of blackberries or cherries.	Ink he had none, so he used the juice of blackberries or cherries.
369_125883_000099_000005	He succeeded, not only in his studies, but also in his work, and a day came when he put enough money together to keep his old father comfortable and happy.	He succeeded, not only in his studies, but also in his work, and a day came when he put enough money together to keep his old father comfortable and happy.
369_125883_000099_000006	Besides this, he was able to save the great amount of fifty pennies.	Besides this, he was able to save the great amount of fifty pennies.
369_125883_000099_000007	With it he wanted to buy himself a new suit.	With it he wanted to buy himself a new suit.
369_125883_000101_000000	"I am going to the market place to buy myself a coat, a cap, and a pair of shoes.	"I am going to the market place to buy myself a coat, a cap, and a pair of shoes.
369_125883_000101_000001	When I come back I'll be so dressed up, you will think I am a rich man."	When I come back I'll be so dressed up, you will think I am a rich man."
369_125883_000103_000000	"Don't you recognize me?" said the Snail.	"Don't you recognize me?" said the Snail.
369_125883_000104_000000	"Yes and no."	"Yes and no"
369_125883_000105_000001	Do you not remember how she opened the door for you one night and gave you something to eat?"	Do you not remember how she opened the door for you one night and gave you something to eat?"
369_125883_000106_000000	"I remember everything," cried Pinocchio.	"I remember everything," cried Pinocchio.
369_125883_000106_000001	"Answer me quickly, pretty Snail, where have you left my Fairy?	"Answer me quickly, pretty Snail, where have you left my Fairy?
369_125883_000106_000002	What is she doing?	What is she doing?
369_125883_000106_000005	Does she still love me?	Does she still love me?
369_125883_000107_000000	At all these questions, tumbling out one after another, the Snail answered, calm as ever:	At all these questions, tumbling out one after another, the Snail answered, calm as ever:
369_125883_000108_000000	"My dear Pinocchio, the Fairy is lying ill in a hospital."	"My dear Pinocchio, the Fairy is lying ill in a hospital."
369_125883_000109_000000	"In a hospital?"	"In a hospital?"
369_125883_000110_000001	She has been stricken with trouble and illness, and she hasn't a penny left with which to buy a bite of bread."	She has been stricken with trouble and illness, and she hasn't a penny left with which to buy a bite of bread."
369_125883_000111_000000	"Really?	"Really?
369_125883_000111_000002	My poor, dear little Fairy!	My poor, dear little Fairy!
369_125883_000111_000004	But I have only fifty pennies.	But I have only fifty pennies.
369_125883_000111_000005	Here they are.	Here they are.
369_125883_000111_000006	I was just going to buy some clothes.	I was just going to buy some clothes.
369_125883_000111_000007	Here, take them, little Snail, and give them to my good Fairy."	Here, take them, little Snail, and give them to my good Fairy."
369_125883_000112_000000	"What about the new clothes?"	"What about the new clothes?"
369_125883_000113_000000	"What does that matter?	"What does that matter?
369_125883_000113_000002	Go, and hurry.	Go, and hurry.
369_125883_000113_000003	Come back here within a couple of days and I hope to have more money for you!	Come back here within a couple of days and I hope to have more money for you!
369_125883_000113_000004	Until today I have worked for my father.	Until today I have worked for my father.
369_125883_000113_000005	Now I shall have to work for my mother also.	Now I shall have to work for my mother also.
369_125883_000113_000006	Good-by, and I hope to see you soon."	Good by, and I hope to see you soon."
369_125883_000114_000000	The Snail, much against her usual habit, began to run like a lizard under a summer sun.	The Snail, much against her usual habit, began to run like a lizard under a summer sun
369_125883_000115_000000	When Pinocchio returned home, his father asked him:	When Pinocchio returned home, his father asked him:
369_125883_000116_000000	"And where is the new suit?"	"And where is the new suit?"
369_125883_000117_000000	"I couldn't find one to fit me.	"I couldn't find one to fit me.
369_125883_000117_000001	I shall have to look again some other day."	I shall have to look again some other day."
369_125883_000118_000000	That night, Pinocchio, instead of going to bed at ten o'clock waited until midnight, and instead of making eight baskets, he made sixteen.	That night, Pinocchio, instead of going to bed at ten o'clock waited until midnight, and instead of making eight baskets, he made sixteen.
369_125883_000119_000000	After that he went to bed and fell asleep.	After that he went to bed and fell asleep.
369_125883_000119_000001	As he slept, he dreamed of his Fairy, beautiful, smiling, and happy, who kissed him and said to him, "Bravo, Pinocchio!	As he slept, he dreamed of his Fairy, beautiful, smiling, and happy, who kissed him and said to him, "Bravo, Pinocchio!
369_125883_000119_000003	Boys who love and take good care of their parents when they are old and sick, deserve praise even though they may not be held up as models of obedience and good behavior.	Boys who love and take good care of their parents when they are old and sick, deserve praise even though they may not be held up as models of obedience and good behavior.
369_125883_000120_000000	At that very moment, Pinocchio awoke and opened wide his eyes.	At that very moment, Pinocchio awoke and opened wide his eyes.
369_125883_000121_000003	There, he found a new suit, a new hat, and a pair of shoes.	There, he found a new suit, a new hat, and a pair of shoes.
369_125883_000122_000000	As soon as he was dressed, he put his hands in his pockets and pulled out a little leather purse on which were written the following words:	As soon as he was dressed, he put his hands in his pockets and pulled out a little leather purse on which were written the following words:
369_125883_000124_000000	The Marionette opened the purse to find the money, and behold--there were fifty gold coins!	The Marionette opened the purse to find the money, and behold-there were fifty gold coins!
369_125883_000125_000000	Pinocchio ran to the mirror.	Pinocchio ran to the mirror.
369_125883_000125_000001	He hardly recognized himself.	He hardly recognized himself.
369_125883_000125_000002	The bright face of a tall boy looked at him with wide-awake blue eyes, dark brown hair and happy, smiling lips.	The bright face of a tall boy looked at him with wide awake blue eyes, dark brown hair and happy, smiling lips.
369_125883_000126_000000	Surrounded by so much splendor, the Marionette hardly knew what he was doing.	Surrounded by so much splendor, the Marionette hardly knew what he was doing.
369_125883_000126_000001	He rubbed his eyes two or three times, wondering if he were still asleep or awake and decided he must be awake.	He rubbed his eyes two or three times, wondering if he were still asleep or awake and decided he must be awake.
369_125883_000127_000000	"And where is Father?" he cried suddenly.	"And where is Father?" he cried suddenly.
369_125883_000127_000001	He ran into the next room, and there stood Geppetto, grown years younger overnight, spick and span in his new clothes and gay as a lark in the morning.	He ran into the next room, and there stood Geppetto, grown years younger overnight, spick and span in his new clothes and gay as a lark in the morning.
369_125883_000127_000002	He was once more Mastro Geppetto, the wood carver, hard at work on a lovely picture frame, decorating it with flowers and leaves, and heads of animals.	He was once more Mastro Geppetto, the wood carver, hard at work on a lovely picture frame, decorating it with flowers and leaves, and heads of animals.
369_125883_000128_000000	"Father, Father, what has happened?	"Father, Father, what has happened?
369_125883_000128_000001	Tell me if you can," cried Pinocchio, as he ran and jumped on his Father's neck.	Tell me if you can," cried Pinocchio, as he ran and jumped on his Father's neck.
369_125883_000130_000000	"What have I to do with it?"	"What have I to do with it?"
369_125883_000131_000000	"Just this.	"Just this.
369_125883_000132_000000	"I wonder where the old Pinocchio of wood has hidden himself?"	"I wonder where the old Pinocchio of wood has hidden himself?"
369_125883_000133_000001	And he pointed to a large Marionette leaning against a chair, head turned to one side, arms hanging limp, and legs twisted under him.	And he pointed to a large Marionette leaning against a chair, head turned to one side, arms hanging limp, and legs twisted under him.
369_125883_000135_000000	"How ridiculous I was as a Marionette!	"How ridiculous I was as a Marionette!
