7868_110705_000001_000000	Southwest Wind, Esquire, was as good as his word.	Southwest Wind, Esquire, was as good as his word.
7868_110705_000002_000000	"Suppose we turn goldsmiths?" said Schwartz to Hans, as they entered the large city.	"Suppose we turn goldsmiths?" said Schwartz to Hans, as they entered the large city.
7868_110705_000003_000000	The thought was agreed to be a very good one; they hired a furnace, and turned goldsmiths.	The thought was agreed to be a very good one; they hired a furnace, and turned goldsmiths.
7868_110705_000003_000002	So they melted all their gold, without making money enough to buy more, and were at last reduced to one large drinking-mug, which an uncle of his had given to little Gluck, and which he was very fond of, and would not have parted with for the world; though he never drank anything out of it but milk and water.	So they melted all their gold, without making money enough to buy more, and were at last reduced to one large drinking mug, which an uncle of his had given to little Gluck, and which he was very fond of, and would not have parted with for the world; though he never drank anything out of it but milk and water.
7868_110705_000003_000003	The mug was a very odd mug to look at.	The mug was a very odd mug to look at.
7868_110705_000003_000006	When it came to the mug's turn to be made into spoons, it half broke poor little Gluck's heart: but the brothers only laughed at him, tossed the mug into the melting-pot, and staggered out to the ale-house: leaving him, as usual, to pour the gold into bars, when it was all ready.	When it came to the mug's turn to be made into spoons, it half broke poor little Gluck's heart: but the brothers only laughed at him, tossed the mug into the melting pot, and staggered out to the ale house: leaving him, as usual, to pour the gold into bars, when it was all ready.
7868_110705_000004_000000	When they were gone, Gluck took a farewell look at his old friend in the melting-pot.	When they were gone, Gluck took a farewell look at his old friend in the melting pot.
7868_110705_000004_000001	The flowing hair was all gone; nothing remained but the red nose, and the sparkling eyes, which looked more malicious than ever.	The flowing hair was all gone; nothing remained but the red nose, and the sparkling eyes, which looked more malicious than ever.
7868_110705_000004_000002	"And no wonder," thought Gluck, "after being treated in that way." He sauntered disconsolately to the window, and sat himself down to catch the fresh evening air, and escape the hot breath of the furnace.	"And no wonder," thought Gluck, "after being treated in that way." He sauntered disconsolately to the window, and sat himself down to catch the fresh evening air, and escape the hot breath of the furnace.
7868_110705_000004_000003	Now this window commanded a direct view of the range of mountains, which, as I told before, overhung the Treasure Valley, and more especially of the peak from which fell the Golden River.	Now this window commanded a direct view of the range of mountains, which, as I told before, overhung the Treasure Valley, and more especially of the peak from which fell the Golden River.
7868_110705_000006_000000	"No it wouldn't, Gluck," said a clear, metallic voice close at his ear.	"No it wouldn't, Gluck," said a clear, metallic voice close at his ear.
7868_110705_000007_000000	"Bless me!	"Bless me!
7868_110705_000007_000001	what's that?" exclaimed Gluck, jumping up.	what's that?" exclaimed Gluck, jumping up.
7868_110705_000007_000002	There was nobody there.	There was nobody there.
7868_110705_000008_000000	"Not at all, my boy," said the same voice, louder than before.	"Not at all, my boy," said the same voice, louder than before.
7868_110705_000009_000001	He looked again into all the corners and cupboards, and then began turning round, and round, as fast as he could in the middle of the room, thinking there was somebody behind him, when the same voice struck again on his ear. It was singing now very merrily, "Lala-lira-la;" no words, only a soft running, effervescent melody, something like that of a kettle on the boil.	He looked again into all the corners and cupboards, and then began turning round, and round, as fast as he could in the middle of the room, thinking there was somebody behind him, when the same voice struck again on his ear. It was singing now very merrily, "Lala lira la;" no words, only a soft running, effervescent melody, something like that of a kettle on the boil.
