126_122467_000003_000000	48 A FAMILY AFFAIR	forty eight A FAMILY AFFAIR
126_122467_000004_000000	Athos had invented the phrase, family affair.	Athos had invented the phrase, family affair.
126_122467_000004_000001	A family affair was not subject to the investigation of the cardinal; a family affair concerned nobody.	A family affair was not subject to the investigation of the cardinal; a family affair concerned nobody.
126_122467_000004_000002	People might employ themselves in a family affair before all the world.	People might employ themselves in a family affair before all the world.
126_122467_000004_000003	Therefore Athos had invented the phrase, family affair.	Therefore Athos had invented the phrase, family affair.
126_122467_000005_000000	Aramis had discovered the idea, the lackeys.	Aramis had discovered the idea, the lackeys.
126_122467_000006_000000	Porthos had discovered the means, the diamond.	Porthos had discovered the means, the diamond.
126_122467_000007_000000	D'Artagnan alone had discovered nothing--he, ordinarily the most inventive of the four; but it must be also said that the very name of Milady paralyzed him.	D'Artagnan alone had discovered nothing-he, ordinarily the most inventive of the four; but it must be also said that the very name of Milady paralyzed him.
126_122467_000008_000000	Ah! no, we were mistaken; he had discovered a purchaser for his diamond.	Ah! no, we were mistaken; he had discovered a purchaser for his diamond.
126_122467_000010_000000	D'Artagnan would have been at the height of his wishes if he had not constantly seen Milady like a dark cloud hovering in the horizon.	D'Artagnan would have been at the height of his wishes if he had not constantly seen Milady like a dark cloud hovering in the horizon.
126_122467_000011_000000	After breakfast, it was agreed that they should meet again in the evening at Athos's lodging, and there finish their plans.	After breakfast, it was agreed that they should meet again in the evening at Athos's lodging, and there finish their plans.
126_122467_000012_000000	D'Artagnan passed the day in exhibiting his Musketeer's uniform in every street of the camp.	D'Artagnan passed the day in exhibiting his Musketeer's uniform in every street of the camp.
126_122467_000013_000000	In the evening, at the appointed hour, the four friends met.	In the evening, at the appointed hour, the four friends met.
126_122467_000014_000000	Everyone offered his own.	Everyone offered his own.
126_122467_000014_000001	Athos talked of the discretion of Grimaud, who never spoke a word but when his master unlocked his mouth.	Athos talked of the discretion of Grimaud, who never spoke a word but when his master unlocked his mouth.
126_122467_000014_000003	Aramis, confiding in the address of Bazin, made a pompous eulogium on his candidate.	Aramis, confiding in the address of Bazin, made a pompous eulogium on his candidate.
126_122467_000015_000000	These four virtues disputed the prize for a length of time, and gave birth to magnificent speeches which we do not repeat here for fear they should be deemed too long.	These four virtues disputed the prize for a length of time, and gave birth to magnificent speeches which we do not repeat here for fear they should be deemed too long.
126_122467_000016_000000	"Unfortunately," said Athos, "he whom we send must possess in himself alone the four qualities united."	"Unfortunately," said Athos, "he whom we send must possess in himself alone the four qualities united."
126_122467_000017_000000	"But where is such a lackey to be found?"	"But where is such a lackey to be found?"
126_122467_000018_000000	"Not to be found!" cried Athos.	"Not to be found!" cried Athos.
126_122467_000018_000001	"I know it well, so take Grimaud."	"I know it well, so take Grimaud."
126_122467_000020_000000	"Take Bazin."	"Take Bazin."
126_122467_000022_000000	"Gentlemen," said Aramis, "the principal question is not to know which of our four lackeys is the most discreet, the most strong, the most clever, or the most brave; the principal thing is to know which loves money the best."	"Gentlemen," said Aramis, "the principal question is not to know which of our four lackeys is the most discreet, the most strong, the most clever, or the most brave; the principal thing is to know which loves money the best."
126_122467_000023_000000	"What Aramis says is very sensible," replied Athos; "we must speculate upon the faults of people, and not upon their virtues.	"What Aramis says is very sensible," replied Athos; "we must speculate upon the faults of people, and not upon their virtues.
126_122467_000024_000000	"Doubtless," said Aramis, "for we not only require to be well served in order to succeed, but moreover, not to fail; for in case of failure, heads are in question, not for our lackeys--"	"Doubtless," said Aramis, "for we not only require to be well served in order to succeed, but moreover, not to fail; for in case of failure, heads are in question, not for our lackeys-"
126_122467_000025_000000	"Speak lower, Aramis," said Athos.	"Speak lower, Aramis," said Athos.
126_122467_000026_000000	"That's wise--not for the lackeys," resumed Aramis, "but for the master--for the masters, we may say.	"That's wise-not for the lackeys," resumed Aramis, "but for the master-for the masters, we may say.
126_122467_000026_000001	Are our lackeys sufficiently devoted to us to risk their lives for us?	Are our lackeys sufficiently devoted to us to risk their lives for us?
126_122467_000026_000002	No."	no"
126_122467_000027_000000	"My faith," said d'Artagnan.	"My faith," said d'Artagnan.
126_122467_000029_000001	"They will promise everything for the sake of the money, and on the road fear will prevent them from acting.	"They will promise everything for the sake of the money, and on the road fear will prevent them from acting.
126_122467_000029_000002	Once taken, they will be pressed; when pressed, they will confess everything.	Once taken, they will be pressed; when pressed, they will confess everything.
126_122467_000029_000003	What the devil!	What the devil!
126_122467_000029_000004	we are not children.	we are not children.
126_122467_000029_000006	A passport for embarkation must be obtained; and the party must be acquainted with English in order to ask the way to London.	A passport for embarkation must be obtained; and the party must be acquainted with English in order to ask the way to London.
126_122467_000029_000007	Really, I think the thing very difficult."	Really, I think the thing very difficult."
126_122467_000030_000000	"Not at all," cried d'Artagnan, who was anxious the matter should be accomplished; "on the contrary, I think it very easy.	"Not at all," cried d'Artagnan, who was anxious the matter should be accomplished; "on the contrary, I think it very easy.
126_122467_000030_000001	It would be, no doubt, parbleu, if we write to Lord de Winter about affairs of vast importance, of the horrors of the cardinal--"	It would be, no doubt, parbleu, if we write to Lord de Winter about affairs of vast importance, of the horrors of the cardinal-"
126_122467_000031_000000	"Speak lower!" said Athos.	"Speak lower!" said Athos.
126_122467_000032_000000	"--of intrigues and secrets of state," continued d'Artagnan, complying with the recommendation.	"--of intrigues and secrets of state," continued d'Artagnan, complying with the recommendation.
126_122467_000032_000002	I will write to him, then, nearly in these terms."	I will write to him, then, nearly in these terms."
126_122467_000033_000000	"Let us see," said Athos, assuming in advance a critical look.	"Let us see," said Athos, assuming in advance a critical look.
126_122467_000034_000000	"Monsieur and dear friend--"	"Monsieur and dear friend-"
126_122467_000035_000001	Dear friend to an Englishman," interrupted Athos; "well commenced!	Dear friend to an Englishman," interrupted Athos; "well commenced!
126_122467_000035_000002	Bravo, d'Artagnan!	Bravo, d'Artagnan!
126_122467_000036_000000	"Well, perhaps.	"Well, perhaps.
126_122467_000036_000001	I will say, then, Monsieur, quite short."	I will say, then, Monsieur, quite short."
126_122467_000040_000000	"Well, then, we will put simply, My Lord, do you remember a certain little enclosure where your life was spared?"	"Well, then, we will put simply, My Lord, do you remember a certain little enclosure where your life was spared?"
126_122467_000041_000000	"My dear d'Artagnan, you will never make anything but a very bad secretary.	"My dear d'Artagnan, you will never make anything but a very bad secretary.
126_122467_000041_000001	Where your life was spared!	Where your life was spared!
126_122467_000041_000003	that's unworthy.	that's unworthy.
126_122467_000041_000004	A man of spirit is not to be reminded of such services.	A man of spirit is not to be reminded of such services.
126_122467_000041_000005	A benefit reproached is an offense committed."	A benefit reproached is an offense committed."
126_122467_000042_000000	"The devil!" said d'Artagnan, "you are insupportable.	"The devil!" said d'Artagnan, "you are insupportable.
126_122467_000042_000001	If the letter must be written under your censure, my faith, I renounce the task."	If the letter must be written under your censure, my faith, I renounce the task."
126_122467_000043_000000	"And you will do right.	"And you will do right.
126_122467_000043_000001	Handle the musket and the sword, my dear fellow. You will come off splendidly at those two exercises; but pass the pen over to Monsieur Abbe.	Handle the musket and the sword, my dear fellow. You will come off splendidly at those two exercises; but pass the pen over to Monsieur Abbe.
126_122467_000043_000002	That's his province."	That's his province."
126_122467_000045_000000	"Well, so be it," said d'Artagnan.	"Well, so be it," said d'Artagnan.
126_122467_000046_000000	"I ask no better," said Aramis, with that ingenious air of confidence which every poet has in himself; "but let me be properly acquainted with the subject.	"I ask no better," said Aramis, with that ingenious air of confidence which every poet has in himself; "but let me be properly acquainted with the subject.
126_122467_000046_000001	I have heard here and there that this sister-in-law was a hussy.	I have heard here and there that this sister in law was a hussy.
126_122467_000046_000002	I have obtained proof of it by listening to her conversation with the cardinal."	I have obtained proof of it by listening to her conversation with the cardinal."
126_122467_000047_000000	"Lower!	"Lower!
126_122467_000047_000001	SACRE BLEU!" said Athos.	SACRE BLEU!" said Athos.
126_122467_000048_000000	"But," continued Aramis, "the details escape me."	"But," continued Aramis, "the details escape me."
126_122467_000049_000000	"And me also," said Porthos.	"And me also," said Porthos.
126_122467_000050_000000	D'Artagnan and Athos looked at each other for some time in silence.	D'Artagnan and Athos looked at each other for some time in silence.
126_122467_000050_000001	At length Athos, after serious reflection and becoming more pale than usual, made a sign of assent to d'Artagnan, who by it understood he was at liberty to speak.	At length Athos, after serious reflection and becoming more pale than usual, made a sign of assent to d'Artagnan, who by it understood he was at liberty to speak.
126_122467_000054_000000	"Bah!" cried Porthos.	"Bah!" cried Porthos.
126_122467_000054_000002	What do you say--that she wanted to have her brother-in-law killed?"	What do you say-that she wanted to have her brother in law killed?"
126_122467_000055_000000	"Yes."	"Yes."
126_122467_000056_000000	"She was married?" asked Aramis.	"She was married?" asked Aramis.
126_122467_000057_000000	"Yes."	"Yes."
126_122467_000058_000000	"And her husband found out that she had a fleur-de-lis on her shoulder?" cried Porthos.	"And her husband found out that she had a fleur de lis on her shoulder?" cried Porthos.
126_122467_000060_000000	These three yeses had been pronounced by Athos, each with a sadder intonation.	These three yeses had been pronounced by Athos, each with a sadder intonation.
126_122467_000061_000000	"And who has seen this fleur-de-lis?" inquired Aramis.	"And who has seen this fleur de lis?" inquired Aramis.
126_122467_000062_000000	"d'Artagnan and I. Or rather, to observe the chronological order, I and d'Artagnan," replied Athos.	"d'Artagnan and i Or rather, to observe the chronological order, I and d'Artagnan," replied Athos.
126_122467_000063_000000	"And does the husband of this frightful creature still live?" said Aramis.	"And does the husband of this frightful creature still live?" said Aramis.
126_122467_000064_000000	"He still lives."	"He still lives."
126_122467_000065_000000	"Are you quite sure of it?"	"Are you quite sure of it?"
126_122467_000066_000000	"I am he."	"I am he."
126_122467_000067_000000	There was a moment of cold silence, during which everyone was affected according to his nature.	There was a moment of cold silence, during which everyone was affected according to his nature.
126_122467_000068_000000	"This time," said Athos, first breaking the silence, "d'Artagnan has given us an excellent program, and the letter must be written at once."	"This time," said Athos, first breaking the silence, "d'Artagnan has given us an excellent program, and the letter must be written at once."
126_122467_000069_000002	The chancellor himself would be puzzled how to write such a letter, and yet the chancellor draws up an official report very readily.	The chancellor himself would be puzzled how to write such a letter, and yet the chancellor draws up an official report very readily.
126_122467_000069_000003	Never mind!	Never mind!
126_122467_000069_000004	Be silent, I will write."	Be silent, I will write."
126_122467_000070_000000	Aramis accordingly took the quill, reflected for a few moments, wrote eight or ten lines in a charming little female hand, and then with a voice soft and slow, as if each word had been scrupulously weighed, he read the following:	Aramis accordingly took the quill, reflected for a few moments, wrote eight or ten lines in a charming little female hand, and then with a voice soft and slow, as if each word had been scrupulously weighed, he read the following:
126_122467_000071_000001	As you have several times since declared yourself the friend of that person, he thinks it his duty to respond to that friendship by sending you important information.	As you have several times since declared yourself the friend of that person, he thinks it his duty to respond to that friendship by sending you important information.
