176_123271_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.
176_123271_000001_000000	THE WONDERS OF TERRESTRIAL DEPTHS	THE WONDERS OF TERRESTRIAL DEPTHS
176_123271_000002_000000	At eight in the morning a ray of daylight came to wake us up.	At eight in the morning a ray of daylight came to wake us up.
176_123271_000002_000001	The thousand shining surfaces of lava on the walls received it on its passage, and scattered it like a shower of sparks.	The thousand shining surfaces of lava on the walls received it on its passage, and scattered it like a shower of sparks.
176_123271_000003_000000	There was light enough to distinguish surrounding objects.	There was light enough to distinguish surrounding objects.
176_123271_000004_000000	"Well, Axel, what do you say to it?" cried my uncle, rubbing his hands.	"Well, Axel, what do you say to it?" cried my uncle, rubbing his hands.
176_123271_000004_000001	"Did you ever spend a quieter night in our little house at Koenigsberg?	"Did you ever spend a quieter night in our little house at Koenigsberg?
176_123271_000004_000002	No noise of cart wheels, no cries of basket women, no boatmen shouting!"	No noise of cart wheels, no cries of basket women, no boatmen shouting!"
176_123271_000009_000000	"Are you sure of that?"	"Are you sure of that?"
176_123271_000010_000000	"Quite sure.	"Quite sure.
176_123271_000011_000000	In fact, the mercury, which had risen in the instrument as fast as we descended, had stopped at twenty-nine inches.	In fact, the mercury, which had risen in the instrument as fast as we descended, had stopped at twenty nine inches.
176_123271_000013_000000	And in truth this instrument would become useless as soon as the weight of the atmosphere should exceed the pressure ascertained at the level of the sea.	And in truth this instrument would become useless as soon as the weight of the atmosphere should exceed the pressure ascertained at the level of the sea.
176_123271_000014_000000	"But," I said, "is there not reason to fear that this ever-increasing pressure will become at last very painful to bear?"	"But," I said, "is there not reason to fear that this ever increasing pressure will become at last very painful to bear?"
176_123271_000015_000000	"No; we shall descend at a slow rate, and our lungs will become inured to a denser atmosphere.	"No; we shall descend at a slow rate, and our lungs will become inured to a denser atmosphere.
176_123271_000015_000002	Don't let us lose a moment.	Don't let us lose a moment.
176_123271_000016_000000	I then remembered that we had searched for it in vain the evening before.	I then remembered that we had searched for it in vain the evening before.
176_123271_000016_000001	My uncle questioned Hans, who, after having examined attentively with the eye of a huntsman, replied:	My uncle questioned Hans, who, after having examined attentively with the eye of a huntsman, replied:
176_123271_000019_000000	And so it was.	And so it was.
176_123271_000019_000001	The bundle had been caught by a projection a hundred feet above us.	The bundle had been caught by a projection a hundred feet above us.
176_123271_000019_000002	Immediately the Icelander climbed up like a cat, and in a few minutes the package was in our possession.	Immediately the Icelander climbed up like a cat, and in a few minutes the package was in our possession.
176_123271_000022_000000	Breakfast over, my uncle drew from his pocket a small notebook, intended for scientific observations.	Breakfast over, my uncle drew from his pocket a small notebook, intended for scientific observations.
176_123271_000022_000001	He consulted his instruments, and recorded:	He consulted his instruments, and recorded:
176_123271_000025_000000	This last observation applied to the dark gallery, and was indicated by the compass.	This last observation applied to the dark gallery, and was indicated by the compass.
176_123271_000026_000001	At this precise moment the journey commences."	At this precise moment the journey commences."
176_123271_000027_000000	So saying, my uncle took in one hand Ruhmkorff's apparatus, which was hanging from his neck; and with the other he formed an electric communication with the coil in the lantern, and a sufficiently bright light dispersed the darkness of the passage.	So saying, my uncle took in one hand Ruhmkorff's apparatus, which was hanging from his neck; and with the other he formed an electric communication with the coil in the lantern, and a sufficiently bright light dispersed the darkness of the passage.
176_123271_000028_000000	Hans carried the other apparatus, which was also put into action. This ingenious application of electricity would enable us to go on for a long time by creating an artificial light even in the midst of the most inflammable gases.	Hans carried the other apparatus, which was also put into action. This ingenious application of electricity would enable us to go on for a long time by creating an artificial light even in the midst of the most inflammable gases.
176_123271_000029_000000	"Now, march!" cried my uncle.	"Now, march!" cried my uncle.
176_123271_000030_000000	Each shouldered his package.	Each shouldered his package.
