1851_148962_000000_000000	Russians!	Russians!	false	0	0.03	-20
1851_148962_000000_000001	O'er all barriers on!	O'er all barriers on!	false	0.03	0.21	-20
1851_148962_000000_000002	Courage conquest guarantees; Have we not Bagration?	Courage conquest guarantees; Have we not Bagration?	false	0.21	0.54	-20
1851_148962_000000_000003	He brings foe men to their knees,... etc.	He brings foe men to their knees,... etc	false	0.54	0.9	-20
1851_148962_000001_000000	As soon as the singing was over, another and another toast was proposed and Count Ilya Rostov became more and more moved, more glass was smashed, and the shouting grew louder.	As soon as the singing was over, another and another toast was proposed and Count Ilya Rostov became more and more moved, more glass was smashed, and the shouting grew louder.	false	0.9	5.4	19.106834
1851_148962_000001_000001	They drank to Bekleshev, Naryshkin, Uvarov, Dolgorukov, Apraksin, Valuev, to the committee, to all the club members and to all the club guests, and finally to Count Ilya Rostov separately, as the organizer of the banquet.	They drank to Bekleshev, Naryshkin, Uvarov, Dolgorukov, Apraksin, Valuev, to the committee, to all the club members and to all the club guests, and finally to Count Ilya Rostov separately, as the organizer of the banquet.	false	5.4	8.22	16
1851_148962_000001_000002	At that toast, the count took out his handkerchief and, covering his face, wept outright.	At that toast, the count took out his handkerchief and, covering his face, wept outright.	false	8.22	9.36	-3
1851_148962_000002_000000	CHAPTER IV	CHAPTER four	false	9.36	9.525	-20
1851_148962_000003_000000	Pierre sat opposite Dolokhov and Nicholas Rostov.	Pierre sat opposite Dolokhov and Nicholas Rostov.	true	9.525	13.63	14
1851_148962_000003_000001	As usual, he ate and drank much, and eagerly.	As usual, he ate and drank much, and eagerly.	true	13.88	17.11	13
1851_148962_000003_000002	But those who knew him intimately noticed that some great change had come over him that day.	But those who knew him intimately noticed that some great change had come over him that day.	true	17.48	22.81	14
1851_148962_000003_000003	He was silent all through dinner and looked about, blinking and scowling, or, with fixed eyes and a look of complete absent-mindedness, kept rubbing the bridge of his nose.	He was silent all through dinner and looked about, blinking and scowling, or, with fixed eyes and a look of complete absent mindedness, kept rubbing the bridge of his nose.	false	23.48	34.63	16
1851_148962_000003_000004	His face was depressed and gloomy.	His face was depressed and gloomy.	true	34.91	37.09	17
1851_148962_000003_000005	He seemed to see and hear nothing of what was going on around him and to be absorbed by some depressing and unsolved problem.	He seemed to see and hear nothing of what was going on around him and to be absorbed by some depressing and unsolved problem.	true	37.16	45.34	13
1851_148962_000004_000000	The unsolved problem that tormented him was caused by hints given by the princess, his cousin, at Moscow, concerning Dolokhov's intimacy with his wife, and by an anonymous letter he had received that morning, which in the mean jocular way common to anonymous letters said that he saw badly through his spectacles, but that his wife's connection with Dolokhov was a secret to no one but himself.	The unsolved problem that tormented him was caused by hints given by the princess, his cousin, at Moscow, concerning Dolokhov's intimacy with his wife, and by an anonymous letter he had received that morning, which in the mean jocular way common to anonymous letters said that he saw badly through his spectacles, but that his wife's connection with Dolokhov was a secret to no one but himself.	false	46.37	72.13	15
1851_148962_000004_000001	Pierre absolutely disbelieved both the princess' hints and the letter, but he feared now to look at Dolokhov, who was sitting opposite him.	Pierre absolutely disbelieved both the princess' hints and the letter, but he feared now to look at Dolokhov, who was sitting opposite him.	false	73.67	81.61	15
1851_148962_000004_000002	Every time he chanced to meet Dolokhov's handsome insolent eyes, Pierre felt something terrible and monstrous rising in his soul and turned quickly away.	Every time he chanced to meet Dolokhov's handsome insolent eyes, Pierre felt something terrible and monstrous rising in his soul and turned quickly away.	true	82.01	91.72	12
1851_148962_000004_000003	Involuntarily recalling his wife's past and her relations with Dolokhov, Pierre saw clearly that what was said in the letter might be true, or might at least seem to be true had it not referred to his wife.	Involuntarily recalling his wife's past and her relations with Dolokhov, Pierre saw clearly that what was said in the letter might be true, or might at least seem to be true had it not referred to his wife.	true	92.27	105.13	15
1851_148962_000004_000004	He involuntarily remembered how Dolokhov, who had fully recovered his former position after the campaign, had returned to Petersburg and come to him.	He involuntarily remembered how Dolokhov, who had fully recovered his former position after the campaign, had returned to Petersburg and come to him.	true	105.8	115.63	17
1851_148962_000004_000005	Availing himself of his friendly relations with Pierre as a boon companion, Dolokhov had come straight to his house, and Pierre had put him up and lent him money.	Availing himself of his friendly relations with Pierre as a boon companion, Dolokhov had come straight to his house, and Pierre had put him up and lent him money.	false	116.15	125.32	15
