8329_279775_000003_000000	Once upon a time there lived a king and queen, who had an only daughter.	Once upon a time there lived a king and queen, who had an only daughter.
8329_279775_000003_000001	Her incomparable beauty, sweetness, and intelligence caused her to be named Graciosa.	Her incomparable beauty, sweetness, and intelligence caused her to be named Graciosa.
8329_279775_000003_000002	She was all her mother's joy.	She was all her mother's joy.
8329_279775_000003_000003	Every day she had given her a different dress, of gold brocade, velvet, or satin; yet she was neither conceited nor boastful.	Every day she had given her a different dress, of gold brocade, velvet, or satin; yet she was neither conceited nor boastful.
8329_279775_000003_000005	She had, however, plenty of play-time, and sweetmeats without end, so that she was altogether the happiest princess alive.	She had, however, plenty of play time, and sweetmeats without end, so that she was altogether the happiest princess alive.
8329_279775_000004_000001	Her hair was fiery red, her face fat and spotty, and she had but one eye.	Her hair was fiery red, her face fat and spotty, and she had but one eye.
8329_279775_000004_000002	Her mouth was so big that you might have thought she could eat you up, only she had no teeth to do it with; she was also humpbacked and lame.	Her mouth was so big that you might have thought she could eat you up, only she had no teeth to do it with; she was also humpbacked and lame.
8329_279775_000004_000003	Of course she could not help her ugliness, and nobody would have disliked her for that, if she had not been of such an unpleasant temper that she hated everything sweet and beautiful, and especially Graciosa.	Of course she could not help her ugliness, and nobody would have disliked her for that, if she had not been of such an unpleasant temper that she hated everything sweet and beautiful, and especially Graciosa.
8329_279775_000004_000004	She had also a very good opinion of herself, and when any one praised the princess, would say angrily, "That is a lie!	She had also a very good opinion of herself, and when any one praised the princess, would say angrily, "That is a lie!
8329_279775_000004_000005	My little finger is worth her whole body."	My little finger is worth her whole body."
8329_279775_000005_000000	In course of time the queen fell sick and died, and her daughter was almost broken-hearted.	In course of time the queen fell sick and died, and her daughter was almost broken hearted.
8329_279775_000005_000001	So was her husband for a year, and then he began to comfort himself by hunting.	So was her husband for a year, and then he began to comfort himself by hunting.
8329_279775_000005_000002	One day, after a long chase, he came to a strange castle, which happened to be that of the Duchess Grognon.	One day, after a long chase, he came to a strange castle, which happened to be that of the Duchess Grognon.
8329_279775_000005_000003	She, informed of his approach, went out to meet him, and received him most respectfully.	She, informed of his approach, went out to meet him, and received him most respectfully.
8329_279775_000005_000004	As he was very hot with hunting, she took him into the coolest place in the palace, which was a vaulted cave, most elegantly furnished, where there were two hundred barrels arranged in long rows.	As he was very hot with hunting, she took him into the coolest place in the palace, which was a vaulted cave, most elegantly furnished, where there were two hundred barrels arranged in long rows.
8329_279775_000007_000000	"Yes, sire, but I shall be most happy if you will condescend to taste their contents.	"Yes, sire, but I shall be most happy if you will condescend to taste their contents.
8329_279775_000007_000001	Which wine do you prefer--canary, hermitage, champagne?" and she ran over a long list, out of which his majesty made his choice.	Which wine do you prefer-canary, hermitage, champagne?" and she ran over a long list, out of which his majesty made his choice.
8329_279775_000008_000000	Grognon took a little hammer, and struck "toc, toc," on the cask, from which there rolled out a handful of silver money.	Grognon took a little hammer, and struck "toc, toc," on the cask, from which there rolled out a handful of silver money.
8329_279775_000008_000002	"I never saw the like--what nonsense!" and she tried the third, out of which came a heap of pearls and diamonds, so that the floor of the cave was strewn with them.	"I never saw the like-what nonsense!" and she tried the third, out of which came a heap of pearls and diamonds, so that the floor of the cave was strewn with them.
8329_279775_000008_000003	"Sire," she exclaimed, "some one has robbed me of my good wine, and put this rubbish in its place."	"Sire," she exclaimed, "some one has robbed me of my good wine, and put this rubbish in its place."
8329_279775_000009_000001	Why, such rubbish would buy my whole kingdom."	Why, such rubbish would buy my whole kingdom."
8329_279775_000011_000000	The king, who was a great lover of money, replied eagerly, "Certainly, madam, I'll marry you to-morrow if you will."	The king, who was a great lover of money, replied eagerly, "Certainly, madam, I'll marry you to morrow if you will."
