207_143321_000004_000000	CHAPTER XII	CHAPTER twelve
207_143321_000005_000000	A FALSE FRIEND	A FALSE FRIEND
207_143321_000006_000000	"What is it?	"What is it?
207_143321_000006_000002	"What has happened, Ned?"	"What has happened, Ned?"
207_143321_000007_000000	"I don't know, but Jacinto is yelling something about vampires!"	"I don't know, but Jacinto is yelling something about vampires!"
207_143321_000009_000000	"Yes.	"Yes.
207_143321_000009_000001	Big bats.	Big bats.
207_143321_000009_000002	And he's warning us to be careful.	And he's warning us to be careful.
207_143321_000009_000003	I stuck my head out just now and I felt that same sort of shadow I felt this evening when we were down near the river."	I stuck my head out just now and I felt that same sort of shadow I felt this evening when we were down near the river."
207_143321_000010_000000	"Nonsense!"	"Nonsense!"
207_143321_000012_000000	At that instant Tom flashed a pocket electric lamp he had taken from beneath his pillow and in the gleam of it he and Ned saw fluttering about the tent some dark, shadow-like form, at the sight of which Tom's chum cried:	At that instant Tom flashed a pocket electric lamp he had taken from beneath his pillow and in the gleam of it he and Ned saw fluttering about the tent some dark, shadow like form, at the sight of which Tom's chum cried:
207_143321_000013_000001	That's the shadow!	That's the shadow!
207_143321_000013_000002	Look out!" and he held up his hands instinctively to shield his face.	Look out!" and he held up his hands instinctively to shield his face.
207_143321_000014_000000	"Shadow!" yelled Tom, unconsciously adding to the din that seemed to pervade every part of the camp.	"Shadow!" yelled Tom, unconsciously adding to the din that seemed to pervade every part of the camp.
207_143321_000014_000001	"That isn't a shadow.	"That isn't a shadow.
207_143321_000014_000002	It's substance. It's a monster bat, and here goes for a strike at it!"	It's substance. It's a monster bat, and here goes for a strike at it!"
207_143321_000016_000000	"Look out!" yelled Ned.	"Look out!" yelled Ned.
207_143321_000016_000001	"If it's a vampire it'll----"	"If it's a vampire it'll----"
207_143321_000017_000000	"It won't do anything to me!" shouted Tom, as he struck the creature, knocking it into the corner of the tent with a thud that told it must be completely stunned, if not killed.	"It won't do anything to me!" shouted Tom, as he struck the creature, knocking it into the corner of the tent with a thud that told it must be completely stunned, if not killed.
207_143321_000017_000002	"What's the row?"	"What's the row?"
207_143321_000019_000000	"Oshtoo!	"Oshtoo!
207_143321_000019_000001	Oshtoo!"	Oshtoo!"
207_143321_000020_000000	Mingled with them were calls of Jacinto, partly in Spanish, partly in the Indian tongue and partly in English.	Mingled with them were calls of Jacinto, partly in Spanish, partly in the Indian tongue and partly in English.
207_143321_000021_000000	"It is a raid by vampire bats!" was all Tom and Ned could distinguish. "We shall have to light fires to keep them away, if we can succeed. Every one grab up a club and strike hard!"	"It is a raid by vampire bats!" was all Tom and Ned could distinguish. "We shall have to light fires to keep them away, if we can succeed. Every one grab up a club and strike hard!"
207_143321_000023_000000	"You're not going out there, are you?" asked Ned.	"You're not going out there, are you?" asked Ned.
207_143321_000024_000001	If there's a fight I want to be in it, bats or anything else.	If there's a fight I want to be in it, bats or anything else.
207_143321_000024_000002	Here, you have a light like mine.	Here, you have a light like mine.
207_143321_000024_000004	Then get a club and come on.	Then get a club and come on.
207_143321_000025_000000	Tom's plan seemed to be a good one.	Tom's plan seemed to be a good one.
207_143321_000025_000001	His lamp and Ned's had small hooks on them, so they could be carried in the upper coat pocket, showing a gleam of light and leaving the hands free for use.	His lamp and Ned's had small hooks on them, so they could be carried in the upper coat pocket, showing a gleam of light and leaving the hands free for use.
207_143321_000026_000000	Out of the tents rushed the young men to find Professor Bumper and Mr. Damon before them.	Out of the tents rushed the young men to find Professor Bumper and mr Damon before them.
207_143321_000026_000001	The two men had clubs and were striking about in the half darkness, for now the Indians had set several fires aglow. And in the gleams, constantly growing brighter as more fuel was piled on, the young inventor and his chum saw a weird sight.	The two men had clubs and were striking about in the half darkness, for now the Indians had set several fires aglow. And in the gleams, constantly growing brighter as more fuel was piled on, the young inventor and his chum saw a weird sight.
207_143321_000027_000001	Great bats they were, and a dangerous species, if Jacinto was to be believed.	Great bats they were, and a dangerous species, if Jacinto was to be believed.
207_143321_000028_000003	But the increasing lights, and the attacks made by the Indians and the white travelers turned the tide of battle, and, with silent flappings of their soft, velvety wings, the bats flew back to the jungle whence they had emerged.	But the increasing lights, and the attacks made by the Indians and the white travelers turned the tide of battle, and, with silent flappings of their soft, velvety wings, the bats flew back to the jungle whence they had emerged.
207_143321_000029_000000	"We are safe--for the present!" exclaimed Jacinto with a sigh of relief.	"We are safe-for the present!" exclaimed Jacinto with a sigh of relief.
207_143321_000030_000000	"Do you think they will come back?" asked Tom.	"Do you think they will come back?" asked Tom.
207_143321_000031_000000	"They may--there is no telling."	"They may-there is no telling."
207_143321_000032_000000	"Bless my speedometer!" cried Mr. Damon, "If those beasts or birds--whatever they are--come back I'll go and hide in the river and take my chances with the alligators!"	"Bless my speedometer!" cried mr Damon, "If those beasts or birds-whatever they are-come back I'll go and hide in the river and take my chances with the alligators!"
207_143321_000033_000000	"The alligators aren't much worse," asserted Jacinto with a visible shiver.	"The alligators aren't much worse," asserted Jacinto with a visible shiver.
207_143321_000033_000001	"These vampire bats sometimes depopulate a whole village."	"These vampire bats sometimes depopulate a whole village."
207_143321_000035_000000	"Not quite.	"Not quite.
207_143321_000035_000001	Though they might if they got the chance," was the answer of the Spanish guide.	Though they might if they got the chance," was the answer of the Spanish guide.
207_143321_000035_000003	Then the villagers come back.	Then the villagers come back.
207_143321_000036_000001	I do not think this lot will come back.	I do not think this lot will come back.
207_143321_000036_000002	We have killed too many of them," and he looked about on the ground where many of the uncanny creatures were still twitching in the death struggle.	We have killed too many of them," and he looked about on the ground where many of the uncanny creatures were still twitching in the death struggle.
207_143321_000037_000001	"Bless my skin!	"Bless my skin!
207_143321_000037_000002	I hope not!	I hope not!
207_143321_000037_000003	I've had enough of bats--and mosquitoes," he added, as he slapped at his face and neck.	I've had enough of bats-and mosquitoes," he added, as he slapped at his face and neck.
207_143321_000039_000000	Tom and Ned kicked outside the bat the former had killed in their tent, and then both went back to their cots.	Tom and Ned kicked outside the bat the former had killed in their tent, and then both went back to their cots.
207_143321_000040_000001	"That was some night!	"That was some night!
207_143321_000040_000002	If this is a sample of the wilds of Honduras, give me the tameness of Shopton."	If this is a sample of the wilds of Honduras, give me the tameness of Shopton."
207_143321_000041_000001	"It's all in the day's work.	"It's all in the day's work.
207_143321_000041_000002	We've only got started.	We've only got started.
207_143321_000041_000003	I guess we're a bit soft, Ned, though we had hard enough work in that tunnel-digging."	I guess we're a bit soft, Ned, though we had hard enough work in that tunnel digging."
207_143321_000042_000000	After breakfast, while the Indians were making ready the canoes, Professor Bumper, who, in a previous visit to Central America, had become interested in the subject, made a brief examination of some of the dead bats.	After breakfast, while the Indians were making ready the canoes, Professor Bumper, who, in a previous visit to Central America, had become interested in the subject, made a brief examination of some of the dead bats.
207_143321_000043_000000	"This is a true blood-sucking bat," went on the professor.	"This is a true blood sucking bat," went on the professor.
207_143321_000043_000001	"This," and he pointed to the nose-leaves, "is the sucking apparatus.	"This," and he pointed to the nose leaves, "is the sucking apparatus.
207_143321_000043_000002	The bat makes an opening in the skin with its sharp teeth and proceeds to extract the blood.	The bat makes an opening in the skin with its sharp teeth and proceeds to extract the blood.
207_143321_000044_000000	"And a man, too?" asked Ned.	"And a man, too?" asked Ned.
207_143321_000045_000000	"Well a man has hands with which to use weapons, but a helpless quadruped has not.	"Well a man has hands with which to use weapons, but a helpless quadruped has not.
207_143321_000045_000001	Though if a sufficient number of these bats attacked a man at the same time, he would have small chance to escape alive.	Though if a sufficient number of these bats attacked a man at the same time, he would have small chance to escape alive.
