8824_279153_000000_000000	LECTURE VIII.	LECTURE eight.	false	9	17.205	22.474205
8824_279153_000000_000001	SENSATIONS AND IMAGES	SENSATIONS AND IMAGES	true	17.205	19.63	23.422403
8824_279153_000001_000000	The dualism of mind and matter, if we have been right so far, cannot be allowed as metaphysically valid.	The dualism of mind and matter, if we have been right so far, cannot be allowed as metaphysically valid.	true	20.57	27.4	21.115349
8824_279153_000001_000001	Nevertheless, we seem to find a certain dualism, perhaps not ultimate, within the world as we observe it.	Nevertheless, we seem to find a certain dualism, perhaps not ultimate, within the world as we observe it.	true	27.65	33.97	20.13713
8824_279153_000001_000002	The dualism is not primarily as to the stuff of the world, but as to causal laws.	The dualism is not primarily as to the stuff of the world, but as to causal laws.	true	34.64	39.79	22.152702
8824_279153_000001_000003	On this subject we may again quote William James.	On this subject we may again quote William james.	true	39.89	43.21	22.356276
8824_279153_000001_000004	He points out that when, as we say, we merely "imagine" things, there are no such effects as would ensue if the things were what we call "real." He takes the case of imagining a fire.	He points out that when, as we say, we merely "imagine" things, there are no such effects as would ensue if the things were what we call "real." He takes the case of imagining a fire.	false	43.88	56.55	21.106817
8824_279153_000002_000000	"I make for myself an experience of blazing fire; I place it near my body; but it does not warm me in the least.	"I make for myself an experience of blazing fire; I place it near my body; but it does not warm me in the least.	true	56.55	62.86	21.543581
8824_279153_000002_000001	I lay a stick upon it and the stick either burns or remains green, as I please.	I lay a stick upon it and the stick either burns or remains green, as I please.	true	63.26	67.57	23.94535
8824_279153_000002_000002	I call up water, and pour it on the fire, and absolutely no difference ensues.	I call up water, and pour it on the fire, and absolutely no difference ensues.	true	67.97	72.46	22.619457
8824_279153_000002_000003	I account for all such facts by calling this whole train of experiences unreal, a mental train.	I account for all such facts by calling this whole train of experiences unreal, a mental train.	true	72.74	78.4	23.042612
8824_279153_000002_000004	Mental fire is what won't burn real sticks; mental water is what won't necessarily (though of course it may) put out even a mental fire....	Mental fire is what won't burn real sticks; mental water is what won't necessarily (though of course it may) put out even a mental fire....	true	78.56	88.15	23.71961
8824_279153_000002_000005	With 'real' objects, on the contrary, consequences always accrue; and thus the real experiences get sifted from the mental ones, the things from our thoughts of them, fanciful or true, and precipitated together as the stable part of the whole experience--chaos, under the name of the physical world."*	With 'real' objects, on the contrary, consequences always accrue; and thus the real experiences get sifted from the mental ones, the things from our thoughts of them, fanciful or true, and precipitated together as the stable part of the whole experience-chaos, under the name of the physical world."asterisk	false	88.49	106.47	21.511156
8824_279153_000003_000000	* "Essays in Radical Empiricism," pp. 32-3.	asterisk "Essays in Radical Empiricism," p p. thirty two to three.	false	106.47	107.64	32.091946
8824_279153_000004_000000	In this passage James speaks, by mere inadvertence, as though the phenomena which he is describing as "mental" had NO effects.	In this passage james speaks, by mere inadvertence, as though the phenomena which he is describing as "mental" had NO effects.	false	107.64	115.39	22.912516
8824_279153_000004_000001	This is, of course, not the case: they have their effects, just as much as physical phenomena do, but their effects follow different laws.	This is, of course, not the case: they have their effects, just as much as physical phenomena do, but their effects follow different laws.	true	115.55	123.285	23.354715
8824_279153_000004_000002	For example, dreams, as Freud has shown, are just as much subject to laws as are the motions of the planets.	For example, dreams, as Freud has shown, are just as much subject to laws as are the motions of the planets.	true	123.285	129.43	23.444912
8824_279153_000004_000003	But the laws are different: in a dream you may be transported from one place to another in a moment, or one person may turn into another under your eyes.	But the laws are different: in a dream you may be transported from one place to another in a moment, or one person may turn into another under your eyes.	true	129.56	138.04	21.657166
8824_279153_000004_000004	Such differences compel you to distinguish the world of dreams from the physical world.	Such differences compel you to distinguish the world of dreams from the physical world.	true	138.08	142.6	25.404406
8824_279153_000005_000000	If the two sorts of causal laws could be sharply distinguished, we could call an occurrence "physical" when it obeys causal laws appropriate to the physical world, and "mental" when it obeys causal laws appropriate to the mental world.	If the two sorts of causal laws could be sharply distinguished, we could call an occurrence "physical" when it obeys causal laws appropriate to the physical world, and "mental" when it obeys causal laws appropriate to the mental world.	true	143.24	155.5	23.189844
