8824_279153_000000_000001	SENSATIONS AND IMAGES	SENSATIONS AND IMAGES
8824_279153_000001_000000	The dualism of mind and matter, if we have been right so far, cannot be allowed as metaphysically valid.	The dualism of mind and matter, if we have been right so far, cannot be allowed as metaphysically valid.
8824_279153_000001_000001	Nevertheless, we seem to find a certain dualism, perhaps not ultimate, within the world as we observe it.	Nevertheless, we seem to find a certain dualism, perhaps not ultimate, within the world as we observe it.
8824_279153_000001_000002	The dualism is not primarily as to the stuff of the world, but as to causal laws.	The dualism is not primarily as to the stuff of the world, but as to causal laws.
8824_279153_000001_000003	On this subject we may again quote William James.	On this subject we may again quote William james.
8824_279153_000002_000000	"I make for myself an experience of blazing fire; I place it near my body; but it does not warm me in the least.	"I make for myself an experience of blazing fire; I place it near my body; but it does not warm me in the least.
8824_279153_000002_000001	I lay a stick upon it and the stick either burns or remains green, as I please.	I lay a stick upon it and the stick either burns or remains green, as I please.
8824_279153_000002_000002	I call up water, and pour it on the fire, and absolutely no difference ensues.	I call up water, and pour it on the fire, and absolutely no difference ensues.
8824_279153_000002_000003	I account for all such facts by calling this whole train of experiences unreal, a mental train.	I account for all such facts by calling this whole train of experiences unreal, a mental train.
8824_279153_000002_000004	Mental fire is what won't burn real sticks; mental water is what won't necessarily (though of course it may) put out even a mental fire....	Mental fire is what won't burn real sticks; mental water is what won't necessarily (though of course it may) put out even a mental fire....
8824_279153_000004_000001	This is, of course, not the case: they have their effects, just as much as physical phenomena do, but their effects follow different laws.	This is, of course, not the case: they have their effects, just as much as physical phenomena do, but their effects follow different laws.
8824_279153_000004_000002	For example, dreams, as Freud has shown, are just as much subject to laws as are the motions of the planets.	For example, dreams, as Freud has shown, are just as much subject to laws as are the motions of the planets.
8824_279153_000004_000003	But the laws are different: in a dream you may be transported from one place to another in a moment, or one person may turn into another under your eyes.	But the laws are different: in a dream you may be transported from one place to another in a moment, or one person may turn into another under your eyes.
8824_279153_000004_000004	Such differences compel you to distinguish the world of dreams from the physical world.	Such differences compel you to distinguish the world of dreams from the physical world.
8824_279153_000005_000000	If the two sorts of causal laws could be sharply distinguished, we could call an occurrence "physical" when it obeys causal laws appropriate to the physical world, and "mental" when it obeys causal laws appropriate to the mental world.	If the two sorts of causal laws could be sharply distinguished, we could call an occurrence "physical" when it obeys causal laws appropriate to the physical world, and "mental" when it obeys causal laws appropriate to the mental world.
8824_279153_000006_000000	These definitions would have all the precision that could be desired if the distinction between physical and psychological causation were clear and sharp.	These definitions would have all the precision that could be desired if the distinction between physical and psychological causation were clear and sharp.
8824_279153_000006_000001	As a matter of fact, however, this distinction is, as yet, by no means sharp.	As a matter of fact, however, this distinction is, as yet, by no means sharp.
8824_279153_000006_000002	It is possible that, with fuller knowledge, it will be found to be no more ultimate than the distinction between the laws of gases and the laws of rigid bodies.	It is possible that, with fuller knowledge, it will be found to be no more ultimate than the distinction between the laws of gases and the laws of rigid bodies.
8824_279153_000006_000005	The law of habit, which is one of the most distinctive, may be fully explicable in terms of the peculiarities of nervous tissue, and these peculiarities, in turn, may be explicable by the laws of physics.	The law of habit, which is one of the most distinctive, may be fully explicable in terms of the peculiarities of nervous tissue, and these peculiarities, in turn, may be explicable by the laws of physics.
8824_279153_000006_000006	It seems, therefore, that we are driven to a different kind of definition.	It seems, therefore, that we are driven to a different kind of definition.
8824_279153_000006_000007	It is for this reason that it was necessary to develop the definition of perception.	It is for this reason that it was necessary to develop the definition of perception.
8824_279153_000006_000008	With this definition, we can define a sensation as the non-mnemic elements in a perception.	With this definition, we can define a sensation as the non mnemic elements in a perception.
8824_279153_000007_000000	When, following our definition, we try to decide what elements in our experience are of the nature of sensations, we find more difficulty than might have been expected.	When, following our definition, we try to decide what elements in our experience are of the nature of sensations, we find more difficulty than might have been expected.
8824_279153_000007_000001	Prima facie, everything is sensation that comes to us through the senses: the sights we see, the sounds we hear, the smells we smell, and so on; also such things as headache or the feeling of muscular strain.	Prima facie, everything is sensation that comes to us through the senses: the sights we see, the sounds we hear, the smells we smell, and so on; also such things as headache or the feeling of muscular strain.
8824_279153_000007_000006	In a foreign language, these inferences are more difficult, and we are more dependent upon actual sensation.	In a foreign language, these inferences are more difficult, and we are more dependent upon actual sensation.
8824_279153_000007_000007	If we found ourselves in a foreign world, where tables looked like cushions and cushions like tables, we should similarly discover how much of what we think we see is really inference.	If we found ourselves in a foreign world, where tables looked like cushions and cushions like tables, we should similarly discover how much of what we think we see is really inference.
8824_279153_000007_000008	Every fairly familiar sensation is to us a sign of the things that usually go with it, and many of these things will seem to form part of the sensation.	Every fairly familiar sensation is to us a sign of the things that usually go with it, and many of these things will seem to form part of the sensation.
8824_279153_000007_000009	I remember in the early days of motor-cars being with a friend when a tyre burst with a loud report.	I remember in the early days of motor cars being with a friend when a tyre burst with a loud report.
8824_279153_000007_000010	He thought it was a pistol, and supported his opinion by maintaining that he had seen the flash.	He thought it was a pistol, and supported his opinion by maintaining that he had seen the flash.
8824_279153_000007_000011	But of course there had been no flash.	But of course there had been no flash.
8824_279153_000008_000002	Thus, although it may be difficult to determine what exactly is sensation in any given experience, it is clear that there is sensation, unless, like Leibniz, we deny all action of the outer world upon us.	Thus, although it may be difficult to determine what exactly is sensation in any given experience, it is clear that there is sensation, unless, like Leibniz, we deny all action of the outer world upon us.
8824_279153_000009_000003	It is of course undeniable that knowledge comes THROUGH the seeing, but I think it is a mistake to regard the mere seeing itself as knowledge.	It is of course undeniable that knowledge comes THROUGH the seeing, but I think it is a mistake to regard the mere seeing itself as knowledge.
8824_279153_000009_000004	If we are so to regard it, we must distinguish the seeing from what is seen: we must say that, when we see a patch of colour of a certain shape, the patch of colour is one thing and our seeing of it is another.	If we are so to regard it, we must distinguish the seeing from what is seen: we must say that, when we see a patch of colour of a certain shape, the patch of colour is one thing and our seeing of it is another.
8824_279153_000009_000005	This view, however, demands the admission of the subject, or act, in the sense discussed in our first lecture.	This view, however, demands the admission of the subject, or act, in the sense discussed in our first lecture.
8824_279153_000009_000006	If there is a subject, it can have a relation to the patch of colour, namely, the sort of relation which we might call awareness.	If there is a subject, it can have a relation to the patch of colour, namely, the sort of relation which we might call awareness.
8824_279153_000009_000007	In that case the sensation, as a mental event, will consist of awareness of the colour, while the colour itself will remain wholly physical, and may be called the sense-datum, to distinguish it from the sensation. The subject, however, appears to be a logical fiction, like mathematical points and instants.	In that case the sensation, as a mental event, will consist of awareness of the colour, while the colour itself will remain wholly physical, and may be called the sense datum, to distinguish it from the sensation. The subject, however, appears to be a logical fiction, like mathematical points and instants.
8824_279153_000009_000008	It is introduced, not because observation reveals it, but because it is linguistically convenient and apparently demanded by grammar.	It is introduced, not because observation reveals it, but because it is linguistically convenient and apparently demanded by grammar.
8824_279153_000009_000009	Nominal entities of this sort may or may not exist, but there is no good ground for assuming that they do.	Nominal entities of this sort may or may not exist, but there is no good ground for assuming that they do.
8824_279153_000009_000011	If we are to avoid a perfectly gratuitous assumption, we must dispense with the subject as one of the actual ingredients of the world.	If we are to avoid a perfectly gratuitous assumption, we must dispense with the subject as one of the actual ingredients of the world.
8824_279153_000009_000012	But when we do this, the possibility of distinguishing the sensation from the sense-datum vanishes; at least I see no way of preserving the distinction.	But when we do this, the possibility of distinguishing the sensation from the sense datum vanishes; at least I see no way of preserving the distinction.
8824_279153_000009_000014	A patch of colour is certainly not knowledge, and therefore we cannot say that pure sensation is cognitive.	A patch of colour is certainly not knowledge, and therefore we cannot say that pure sensation is cognitive.
8824_279153_000009_000016	But in itself the pure sensation is not cognitive.	But in itself the pure sensation is not cognitive.
8824_279153_000010_000001	The kind of argument which formerly made me accept Brentano's view in this case was exceedingly simple.	The kind of argument which formerly made me accept Brentano's view in this case was exceedingly simple.
8824_279153_000010_000002	When I see a patch of colour, it seemed to me that the colour is not psychical, but physical, while my seeing is not physical, but psychical.	When I see a patch of colour, it seemed to me that the colour is not psychical, but physical, while my seeing is not physical, but psychical.
8824_279153_000010_000003	Hence I concluded that the colour is something other than my seeing of the colour.	Hence I concluded that the colour is something other than my seeing of the colour.
8824_279153_000010_000004	This argument, to me historically, was directed against idealism: the emphatic part of it was the assertion that the colour is physical, not psychical.	This argument, to me historically, was directed against idealism: the emphatic part of it was the assertion that the colour is physical, not psychical.
8824_279153_000010_000005	I shall not trouble you now with the grounds for holding as against Berkeley that the patch of colour is physical; I have set them forth before, and I see no reason to modify them.	I shall not trouble you now with the grounds for holding as against Berkeley that the patch of colour is physical; I have set them forth before, and I see no reason to modify them.
8824_279153_000010_000006	But it does not follow that the patch of colour is not also psychical, unless we assume that the physical and the psychical cannot overlap, which I no longer consider a valid assumption.	But it does not follow that the patch of colour is not also psychical, unless we assume that the physical and the psychical cannot overlap, which I no longer consider a valid assumption.
8824_279153_000010_000007	If we admit--as I think we should--that the patch of colour may be both physical and psychical, the reason for distinguishing the sense-datum from the sensation disappears, and we may say that the patch of colour and our sensation in seeing it are identical.	If we admit-as I think we should-that the patch of colour may be both physical and psychical, the reason for distinguishing the sense datum from the sensation disappears, and we may say that the patch of colour and our sensation in seeing it are identical.
8824_279153_000011_000000	This is the view of William James, Professor Dewey, and the American realists.	This is the view of William james, Professor Dewey, and the American realists.
8824_279153_000013_000000	The stuff of the world, so far as we have experience of it, consists, on the view that I am advocating, of innumerable transient particulars such as occur in seeing, hearing, etc., together with images more or less resembling these, of which I shall speak shortly.	The stuff of the world, so far as we have experience of it, consists, on the view that I am advocating, of innumerable transient particulars such as occur in seeing, hearing, etc, together with images more or less resembling these, of which I shall speak shortly.
8824_279153_000013_000002	But this topic belongs to the philosophy of physics, and need not concern us in our present inquiry.	But this topic belongs to the philosophy of physics, and need not concern us in our present inquiry.
8824_279153_000014_000000	Sensations are what is common to the mental and physical worlds; they may be defined as the intersection of mind and matter.	Sensations are what is common to the mental and physical worlds; they may be defined as the intersection of mind and matter.
8824_279153_000014_000002	The essence of sensation, according to the view I am advocating, is its independence of past experience.	The essence of sensation, according to the view I am advocating, is its independence of past experience.
8824_279153_000014_000003	It is a core in our actual experiences, never existing in isolation except possibly in very young infants.	It is a core in our actual experiences, never existing in isolation except possibly in very young infants.
8824_279153_000014_000004	It is not itself knowledge, but it supplies the data for our knowledge of the physical world, including our own bodies.	It is not itself knowledge, but it supplies the data for our knowledge of the physical world, including our own bodies.
