510_130101_000001_000000	Chapter 9	Chapter nine
510_130101_000002_000000	The youth fell back in the procession until the tattered soldier was not in sight.	The youth fell back in the procession until the tattered soldier was not in sight.
510_130101_000002_000001	Then he started to walk on with the others.	Then he started to walk on with the others.
510_130101_000003_000001	The mob of men was bleeding.	The mob of men was bleeding.
510_130101_000003_000002	Because of the tattered soldier's question he now felt that his shame could be viewed. He was continually casting sidelong glances to see if the men were contemplating the letters of guilt he felt burned into his brow.	Because of the tattered soldier's question he now felt that his shame could be viewed. He was continually casting sidelong glances to see if the men were contemplating the letters of guilt he felt burned into his brow.
510_130101_000004_000000	At times he regarded the wounded soldiers in an envious way.	At times he regarded the wounded soldiers in an envious way.
510_130101_000004_000001	He conceived persons with torn bodies to be peculiarly happy.	He conceived persons with torn bodies to be peculiarly happy.
510_130101_000004_000002	He wished that he, too, had a wound, a red badge of courage.	He wished that he, too, had a wound, a red badge of courage.
510_130101_000005_000000	The spectral soldier was at his side like a stalking reproach.	The spectral soldier was at his side like a stalking reproach.
510_130101_000005_000002	His gray, appalling face had attracted attention in the crowd, and men, slowing to his dreary pace, were walking with him.	His gray, appalling face had attracted attention in the crowd, and men, slowing to his dreary pace, were walking with him.
510_130101_000005_000003	They were discussing his plight, questioning him and giving him advice.	They were discussing his plight, questioning him and giving him advice.
510_130101_000005_000004	In a dogged way he repelled them, signing to them to go on and leave him alone.	In a dogged way he repelled them, signing to them to go on and leave him alone.
510_130101_000005_000005	The shadows of his face were deepening and his tight lips seemed holding in check the moan of great despair.	The shadows of his face were deepening and his tight lips seemed holding in check the moan of great despair.
510_130101_000005_000006	There could be seen a certain stiffness in the movements of his body, as if he were taking infinite care not to arouse the passion of his wounds.	There could be seen a certain stiffness in the movements of his body, as if he were taking infinite care not to arouse the passion of his wounds.
510_130101_000006_000000	Something in the gesture of the man as he waved the bloody and pitying soldiers away made the youth start as if bitten.	Something in the gesture of the man as he waved the bloody and pitying soldiers away made the youth start as if bitten.
510_130101_000007_000001	Jim Conklin!"	Jim Conklin!"
510_130101_000008_000000	The tall soldier made a little commonplace smile.	The tall soldier made a little commonplace smile.
510_130101_000008_000001	"Hello, Henry," he said.	"Hello, Henry," he said.
510_130101_000009_000001	He stuttered and stammered.	He stuttered and stammered.
510_130101_000010_000000	The tall soldier held out his gory hand.	The tall soldier held out his gory hand.
510_130101_000011_000000	The youth still lamented.	The youth still lamented.
