6927_86043_000002_000000	Story of Wali Dad the Simple-Hearted	Story of Wali Dad the Simple Hearted
6927_86043_000003_000000	Once upon a time there lived a poor old man whose name was Wali Dad Gunjay, or Wali Dad the Bald.	Once upon a time there lived a poor old man whose name was Wali Dad Gunjay, or Wali Dad the Bald.
6927_86043_000003_000001	He had no relations, but lived all by himself in a little mud hut some distance from any town, and made his living by cutting grass in the jungle, and selling it as fodder for horses.	He had no relations, but lived all by himself in a little mud hut some distance from any town, and made his living by cutting grass in the jungle, and selling it as fodder for horses.
6927_86043_000003_000002	He only earned by this five halfpence a day; but he was a simple old man, and needed so little out of it, that he saved up one halfpenny daily, and spent the rest upon such food and clothing as he required.	He only earned by this five halfpence a day; but he was a simple old man, and needed so little out of it, that he saved up one halfpenny daily, and spent the rest upon such food and clothing as he required.
6927_86043_000004_000000	In this way he lived for many years until, one night, he thought that he would count the money he had hidden away in the great earthen pot under the floor of his hut.	In this way he lived for many years until, one night, he thought that he would count the money he had hidden away in the great earthen pot under the floor of his hut.
6927_86043_000004_000001	So he set to work, and with much trouble he pulled the bag out on to the floor, and sat gazing in astonishment at the heap of coins which tumbled out of it.	So he set to work, and with much trouble he pulled the bag out on to the floor, and sat gazing in astonishment at the heap of coins which tumbled out of it.
6927_86043_000004_000002	What should he do with them all?	What should he do with them all?
6927_86043_000004_000003	he wondered.	he wondered.
6927_86043_000005_000000	At last he threw all the money into an old sack, which he pushed under his bead, and then, rolled in his ragged old blanket, he went off to sleep.	At last he threw all the money into an old sack, which he pushed under his bead, and then, rolled in his ragged old blanket, he went off to sleep.
6927_86043_000006_000001	With this carefully wrapped up in his cotton waistband he went to the house of a rich friend, who was a travelling merchant, and used to wander about with his camels and merchandise through many countries.	With this carefully wrapped up in his cotton waistband he went to the house of a rich friend, who was a travelling merchant, and used to wander about with his camels and merchandise through many countries.
6927_86043_000006_000002	Wali Dad was lucky enough to find him at home, so he sat down, and after a little talk he asked the merchant who was the most virtuous and beautiful lady he had ever met with.	Wali Dad was lucky enough to find him at home, so he sat down, and after a little talk he asked the merchant who was the most virtuous and beautiful lady he had ever met with.
6927_86043_000006_000003	The merchant replied that the princess of Khaistan was renowned everywhere as well for the beauty of her person as for the kindness and generosity of her disposition.	The merchant replied that the princess of Khaistan was renowned everywhere as well for the beauty of her person as for the kindness and generosity of her disposition.
6927_86043_000007_000000	'Then,' said Wali Dad, 'next time you go that way, give her this little bracelet, with the respectful compliments of one who admires virtue far more than he desires wealth.'	'Then,' said Wali Dad, 'next time you go that way, give her this little bracelet, with the respectful compliments of one who admires virtue far more than he desires wealth.'
6927_86043_000008_000000	With that he pulled the bracelet from his waistband, and handed it to his friend.	With that he pulled the bracelet from his waistband, and handed it to his friend.
