6927_86043_000000_000000	Nur Mahomed's old mother lived for a long time in her 'son's' palace, and died in peace.	Nur Mahomed's old mother lived for a long time in her 'son's' palace, and died in peace.	false	0	2.7	19.742119
6927_86043_000000_000001	The princess, his wife, although she had got her husband by a trick, found that she could not trick HIM, and so she never tried, but busied herself in teaching her children and scolding her maids.	The princess, his wife, although she had got her husband by a trick, found that she could not trick HIM, and so she never tried, but busied herself in teaching her children and scolding her maids.	false	2.7	10.62	21.31134
6927_86043_000000_000002	As for the old hermit, no trace of him was ever discovered; but the cave is there, and the leaves lie thick in front of it unto this day.	As for the old hermit, no trace of him was ever discovered; but the cave is there, and the leaves lie thick in front of it unto this day.	false	10.62	21.39	22.853067
6927_86043_000001_000000	[Told the writer by an Indian.]	[Told the writer by an Indian.]	false	21.39	23.94	23.059164
6927_86043_000002_000000	Story of Wali Dad the Simple-Hearted	Story of Wali Dad the Simple Hearted	true	23.94	26.65	22.250399
6927_86043_000003_000000	Once upon a time there lived a poor old man whose name was Wali Dad Gunjay, or Wali Dad the Bald.	Once upon a time there lived a poor old man whose name was Wali Dad Gunjay, or Wali Dad the Bald.	true	27.83	35.53	22.674408
6927_86043_000003_000001	He had no relations, but lived all by himself in a little mud hut some distance from any town, and made his living by cutting grass in the jungle, and selling it as fodder for horses.	He had no relations, but lived all by himself in a little mud hut some distance from any town, and made his living by cutting grass in the jungle, and selling it as fodder for horses.	true	36.08	47.35	20.345875
6927_86043_000003_000002	He only earned by this five halfpence a day; but he was a simple old man, and needed so little out of it, that he saved up one halfpenny daily, and spent the rest upon such food and clothing as he required.	He only earned by this five halfpence a day; but he was a simple old man, and needed so little out of it, that he saved up one halfpenny daily, and spent the rest upon such food and clothing as he required.	true	48.23	60.88	23.583237
6927_86043_000004_000000	In this way he lived for many years until, one night, he thought that he would count the money he had hidden away in the great earthen pot under the floor of his hut.	In this way he lived for many years until, one night, he thought that he would count the money he had hidden away in the great earthen pot under the floor of his hut.	true	62.21	71.23	23.81664
6927_86043_000004_000001	So he set to work, and with much trouble he pulled the bag out on to the floor, and sat gazing in astonishment at the heap of coins which tumbled out of it.	So he set to work, and with much trouble he pulled the bag out on to the floor, and sat gazing in astonishment at the heap of coins which tumbled out of it.	true	71.87	81.31	25.759176
6927_86043_000004_000002	What should he do with them all?	What should he do with them all?	true	82.28	83.89	26.369823
6927_86043_000004_000003	he wondered.	he wondered.	true	84.05	85.03	25.93677
6927_86043_000004_000004	But he never thought of spending the money on himself, because he was content to pass the rest of his days as he had been doing for ever so long, and he really had no desire for any greater comfort or luxury.	But he never thought of spending the money on himself, because he was content to pass the rest of his days as he had been doing for ever so long, and he really had no desire for any greater comfort or luxury.	false	85.28	97.21	21.98659
6927_86043_000005_000000	At last he threw all the money into an old sack, which he pushed under his bead, and then, rolled in his ragged old blanket, he went off to sleep.	At last he threw all the money into an old sack, which he pushed under his bead, and then, rolled in his ragged old blanket, he went off to sleep.	true	99.26	108.37	21.351763
6927_86043_000006_000000	Early next morning he staggered off with his sack of money to the shop of a jeweller, whom he knew in the town, and bargained with him for a beautiful little gold bracelet.	Early next morning he staggered off with his sack of money to the shop of a jeweller, whom he knew in the town, and bargained with him for a beautiful little gold bracelet.	false	109.52	119.38	23.270596
6927_86043_000006_000001	With this carefully wrapped up in his cotton waistband he went to the house of a rich friend, who was a travelling merchant, and used to wander about with his camels and merchandise through many countries.	With this carefully wrapped up in his cotton waistband he went to the house of a rich friend, who was a travelling merchant, and used to wander about with his camels and merchandise through many countries.	true	120.59	132.615	23.884762
6927_86043_000006_000002	Wali Dad was lucky enough to find him at home, so he sat down, and after a little talk he asked the merchant who was the most virtuous and beautiful lady he had ever met with.	Wali Dad was lucky enough to find him at home, so he sat down, and after a little talk he asked the merchant who was the most virtuous and beautiful lady he had ever met with.	true	132.615	142.9	22.286589
6927_86043_000006_000003	The merchant replied that the princess of Khaistan was renowned everywhere as well for the beauty of her person as for the kindness and generosity of her disposition.	The merchant replied that the princess of Khaistan was renowned everywhere as well for the beauty of her person as for the kindness and generosity of her disposition.	true	143.87	153.19	23
6927_86043_000007_000000	'Then,' said Wali Dad, 'next time you go that way, give her this little bracelet, with the respectful compliments of one who admires virtue far more than he desires wealth.'	'Then,' said Wali Dad, 'next time you go that way, give her this little bracelet, with the respectful compliments of one who admires virtue far more than he desires wealth.'	true	155	168.31	21.086748
6927_86043_000008_000000	With that he pulled the bracelet from his waistband, and handed it to his friend.	With that he pulled the bracelet from his waistband, and handed it to his friend.	true	169.79	174.69	23.351648
6927_86043_000008_000001	The merchant was naturally much astonished, but said nothing, and made no objection to carrying out his friend's plan.	The merchant was naturally much astonished, but said nothing, and made no objection to carrying out his friend's plan.	false	174.69	182.14	22.893282
6927_86043_000009_000000	Time passed by, and at length the merchant arrived in the course of his travels at the capital of Khaistan.	Time passed by, and at length the merchant arrived in the course of his travels at the capital of Khaistan.	false	183.56	191.13	23.90013
6927_86043_000009_000001	As soon as he had opportunity he presented himself at the palace, and sent in the bracelet, neatly packed in a little perfumed box provided by himself, giving at the same time the message entrusted to him by Wali Dad.	As soon as he had opportunity he presented himself at the palace, and sent in the bracelet, neatly packed in a little perfumed box provided by himself, giving at the same time the message entrusted to him by Wali Dad.	true	191.13	205.63	22.570826
