227_129974_000000_000000	"Shall we see you tomorrow to dinner?" said Mrs. Dashwood, when he was leaving them.	"Shall we see you tomorrow to dinner?" said mrs Dashwood, when he was leaving them.	false	0	6.39	20.497683
227_129974_000000_000001	"I do not ask you to come in the morning, for we must walk to the park, to call on Lady Middleton."	"I do not ask you to come in the morning, for we must walk to the park, to call on Lady Middleton."	false	6.39	19.53	24.621294
227_129974_000001_000000	He engaged to be with them by four o'clock.	He engaged to be with them by four o'clock.	false	19.53	28.26	25.328518
227_129974_000002_000000	CHAPTER 15	CHAPTER fifteen	true	28.26	29.56	24.914846
227_129974_000003_000000	Mrs. Dashwood's visit to Lady Middleton took place the next day, and two of her daughters went with her; but Marianne excused herself from being of the party, under some trifling pretext of employment; and her mother, who concluded that a promise had been made by Willoughby the night before of calling on her while they were absent, was perfectly satisfied with her remaining at home.	mrs Dashwood's visit to Lady Middleton took place the next day, and two of her daughters went with her; but Marianne excused herself from being of the party, under some trifling pretext of employment; and her mother, who concluded that a promise had been made by Willoughby the night before of calling on her while they were absent, was perfectly satisfied with her remaining at home.	false	31.61	52.75	23.93183
227_129974_000004_000000	On their return from the park they found Willoughby's curricle and servant in waiting at the cottage, and Mrs. Dashwood was convinced that her conjecture had been just.	On their return from the park they found Willoughby's curricle and servant in waiting at the cottage, and mrs Dashwood was convinced that her conjecture had been just.	true	54.5	63.88	24.513277
227_129974_000004_000001	So far it was all as she had foreseen; but on entering the house she beheld what no foresight had taught her to expect.	So far it was all as she had foreseen; but on entering the house she beheld what no foresight had taught her to expect.	true	64.37	71.98	21.958704
227_129974_000004_000002	They were no sooner in the passage than Marianne came hastily out of the parlour apparently in violent affliction, with her handkerchief at her eyes; and without noticing them ran up stairs. Surprised and alarmed they proceeded directly into the room she had just quitted, where they found only Willoughby, who was leaning against the mantel-piece with his back towards them.	They were no sooner in the passage than Marianne came hastily out of the parlour apparently in violent affliction, with her handkerchief at her eyes; and without noticing them ran up stairs. Surprised and alarmed they proceeded directly into the room she had just quitted, where they found only Willoughby, who was leaning against the mantel piece with his back towards them.	false	72.41	93.19	23.007336
227_129974_000004_000003	He turned round on their coming in, and his countenance shewed that he strongly partook of the emotion which over-powered Marianne.	He turned round on their coming in, and his countenance shewed that he strongly partook of the emotion which over powered Marianne.	true	93.59	100.57	22.731012
227_129974_000005_000000	"Is anything the matter with her?" cried Mrs. Dashwood as she entered--"is she ill?"	"Is anything the matter with her?" cried mrs Dashwood as she entered-"is she ill?"	true	102.92	108.85	26.257872
227_129974_000006_000000	"I hope not," he replied, trying to look cheerful; and with a forced smile presently added, "It is I who may rather expect to be ill--for I am now suffering under a very heavy disappointment!"	"I hope not," he replied, trying to look cheerful; and with a forced smile presently added, "It is I who may rather expect to be ill-for I am now suffering under a very heavy disappointment!"	false	110.66	124.48	24.25585
227_129974_000007_000000	"Disappointment?"	"Disappointment?"	true	125.72	127.12	26.55588
227_129974_000008_000000	"Yes, for I am unable to keep my engagement with you.	"Yes, for I am unable to keep my engagement with you.	true	128.69	132.49	23.469519
227_129974_000008_000001	Mrs. Smith has this morning exercised the privilege of riches upon a poor dependent cousin, by sending me on business to London.	mrs Smith has this morning exercised the privilege of riches upon a poor dependent cousin, by sending me on business to London.	true	132.92	140.02	23.671423
227_129974_000008_000002	I have just received my dispatches, and taken my farewell of Allenham; and by way of exhilaration I am now come to take my farewell of you."	I have just received my dispatches, and taken my farewell of Allenham; and by way of exhilaration I am now come to take my farewell of you."	true	140.54	149.11	23.544668
227_129974_000009_000000	"To London!--and are you going this morning?"	"To London!--and are you going this morning?"	true	150.41	153.25	24.694925
227_129974_000010_000000	"Almost this moment."	"Almost this moment."	true	154.73	156.16	24.07285
227_129974_000011_000000	"This is very unfortunate.	"This is very unfortunate.	true	157.31	159.22	20.868923
227_129974_000011_000001	But Mrs. Smith must be obliged;--and her business will not detain you from us long I hope."	But mrs Smith must be obliged;--and her business will not detain you from us long I hope."	true	159.65	165.49	22.43131
227_129974_000012_000000	He coloured as he replied, "You are very kind, but I have no idea of returning into Devonshire immediately.	He coloured as he replied, "You are very kind, but I have no idea of returning into Devonshire immediately.	true	167.12	174.55	22.02875
227_129974_000012_000001	My visits to Mrs. Smith are never repeated within the twelvemonth."	My visits to mrs Smith are never repeated within the twelvemonth."	true	175.07	178.48	23.148165
227_129974_000013_000000	"And is Mrs. Smith your only friend?	"And is mrs Smith your only friend?	true	180.32	182.62	23.924034
227_129974_000013_000001	Is Allenham the only house in the neighbourhood to which you will be welcome?	Is Allenham the only house in the neighbourhood to which you will be welcome?	true	182.72	186.1	19.15317
227_129974_000013_000002	For shame, Willoughby, can you wait for an invitation here?"	For shame, Willoughby, can you wait for an invitation here?"	true	186.14	189.37	24.16851
227_129974_000014_000000	His colour increased; and with his eyes fixed on the ground he only replied, "You are too good."	His colour increased; and with his eyes fixed on the ground he only replied, "You are too good."	true	191.27	197.92	24.819317
227_129974_000015_000000	Mrs. Dashwood looked at Elinor with surprise.	mrs Dashwood looked at Elinor with surprise.	true	200.81	203.5	23.569397
227_129974_000015_000001	Elinor felt equal amazement.	Elinor felt equal amazement.	true	203.78	205.96	25.508135
227_129974_000015_000002	For a few moments every one was silent.	For a few moments every one was silent.	true	206.09	208.84	24.157246
227_129974_000015_000003	Mrs. Dashwood first spoke.	mrs Dashwood first spoke.	true	209.21	211.42	24.276907
