227_129974_000002_000000	CHAPTER 15	CHAPTER fifteen
227_129974_000004_000000	On their return from the park they found Willoughby's curricle and servant in waiting at the cottage, and Mrs. Dashwood was convinced that her conjecture had been just.	On their return from the park they found Willoughby's curricle and servant in waiting at the cottage, and mrs Dashwood was convinced that her conjecture had been just.
227_129974_000004_000001	So far it was all as she had foreseen; but on entering the house she beheld what no foresight had taught her to expect.	So far it was all as she had foreseen; but on entering the house she beheld what no foresight had taught her to expect.
227_129974_000004_000003	He turned round on their coming in, and his countenance shewed that he strongly partook of the emotion which over-powered Marianne.	He turned round on their coming in, and his countenance shewed that he strongly partook of the emotion which over powered Marianne.
227_129974_000005_000000	"Is anything the matter with her?" cried Mrs. Dashwood as she entered--"is she ill?"	"Is anything the matter with her?" cried mrs Dashwood as she entered-"is she ill?"
227_129974_000007_000000	"Disappointment?"	"Disappointment?"
227_129974_000008_000000	"Yes, for I am unable to keep my engagement with you.	"Yes, for I am unable to keep my engagement with you.
227_129974_000008_000001	Mrs. Smith has this morning exercised the privilege of riches upon a poor dependent cousin, by sending me on business to London.	mrs Smith has this morning exercised the privilege of riches upon a poor dependent cousin, by sending me on business to London.
227_129974_000008_000002	I have just received my dispatches, and taken my farewell of Allenham; and by way of exhilaration I am now come to take my farewell of you."	I have just received my dispatches, and taken my farewell of Allenham; and by way of exhilaration I am now come to take my farewell of you."
227_129974_000009_000000	"To London!--and are you going this morning?"	"To London!--and are you going this morning?"
227_129974_000010_000000	"Almost this moment."	"Almost this moment."
227_129974_000011_000000	"This is very unfortunate.	"This is very unfortunate.
227_129974_000011_000001	But Mrs. Smith must be obliged;--and her business will not detain you from us long I hope."	But mrs Smith must be obliged;--and her business will not detain you from us long I hope."
227_129974_000012_000000	He coloured as he replied, "You are very kind, but I have no idea of returning into Devonshire immediately.	He coloured as he replied, "You are very kind, but I have no idea of returning into Devonshire immediately.
227_129974_000012_000001	My visits to Mrs. Smith are never repeated within the twelvemonth."	My visits to mrs Smith are never repeated within the twelvemonth."
227_129974_000013_000000	"And is Mrs. Smith your only friend?	"And is mrs Smith your only friend?
227_129974_000013_000002	For shame, Willoughby, can you wait for an invitation here?"	For shame, Willoughby, can you wait for an invitation here?"
227_129974_000014_000000	His colour increased; and with his eyes fixed on the ground he only replied, "You are too good."	His colour increased; and with his eyes fixed on the ground he only replied, "You are too good."
227_129974_000015_000000	Mrs. Dashwood looked at Elinor with surprise.	mrs Dashwood looked at Elinor with surprise.
227_129974_000015_000001	Elinor felt equal amazement.	Elinor felt equal amazement.
227_129974_000015_000002	For a few moments every one was silent.	For a few moments every one was silent.
227_129974_000015_000003	Mrs. Dashwood first spoke.	mrs Dashwood first spoke.
227_129974_000016_000000	"I have only to add, my dear Willoughby, that at Barton cottage you will always be welcome; for I will not press you to return here immediately, because you only can judge how far THAT might be pleasing to Mrs. Smith; and on this head I shall be no more disposed to question your judgment than to doubt your inclination."	"I have only to add, my dear Willoughby, that at Barton cottage you will always be welcome; for I will not press you to return here immediately, because you only can judge how far THAT might be pleasing to mrs Smith; and on this head I shall be no more disposed to question your judgment than to doubt your inclination."
227_129974_000017_000000	"My engagements at present," replied Willoughby, confusedly, "are of such a nature--that--I dare not flatter myself"--	"My engagements at present," replied Willoughby, confusedly, "are of such a nature-that-I dare not flatter myself"--
227_129974_000018_000000	He stopt.	He stopt.
227_129974_000018_000001	Mrs. Dashwood was too much astonished to speak, and another pause succeeded.	mrs Dashwood was too much astonished to speak, and another pause succeeded.
227_129974_000018_000002	This was broken by Willoughby, who said with a faint smile, "It is folly to linger in this manner.	This was broken by Willoughby, who said with a faint smile, "It is folly to linger in this manner.
227_129974_000018_000003	I will not torment myself any longer by remaining among friends whose society it is impossible for me now to enjoy."	I will not torment myself any longer by remaining among friends whose society it is impossible for me now to enjoy."
227_129974_000019_000000	He then hastily took leave of them all and left the room.	He then hastily took leave of them all and left the room.
227_129974_000019_000001	They saw him step into his carriage, and in a minute it was out of sight.	They saw him step into his carriage, and in a minute it was out of sight.
227_129974_000020_000000	Mrs. Dashwood felt too much for speech, and instantly quitted the parlour to give way in solitude to the concern and alarm which this sudden departure occasioned.	mrs Dashwood felt too much for speech, and instantly quitted the parlour to give way in solitude to the concern and alarm which this sudden departure occasioned.
227_129974_000021_000000	Elinor's uneasiness was at least equal to her mother's.	Elinor's uneasiness was at least equal to her mother's.
227_129974_000021_000001	She thought of what had just passed with anxiety and distrust.	She thought of what had just passed with anxiety and distrust.
227_129974_000021_000002	Willoughby's behaviour in taking leave of them, his embarrassment, and affectation of cheerfulness, and, above all, his unwillingness to accept her mother's invitation, a backwardness so unlike a lover, so unlike himself, greatly disturbed her.	Willoughby's behaviour in taking leave of them, his embarrassment, and affectation of cheerfulness, and, above all, his unwillingness to accept her mother's invitation, a backwardness so unlike a lover, so unlike himself, greatly disturbed her.
227_129974_000022_000000	But whatever might be the particulars of their separation, her sister's affliction was indubitable; and she thought with the tenderest compassion of that violent sorrow which Marianne was in all probability not merely giving way to as a relief, but feeding and encouraging as a duty.	But whatever might be the particulars of their separation, her sister's affliction was indubitable; and she thought with the tenderest compassion of that violent sorrow which Marianne was in all probability not merely giving way to as a relief, but feeding and encouraging as a duty.
227_129974_000023_000000	In about half an hour her mother returned, and though her eyes were red, her countenance was not uncheerful.	In about half an hour her mother returned, and though her eyes were red, her countenance was not uncheerful.
227_129974_000024_000000	"Our dear Willoughby is now some miles from Barton, Elinor," said she, as she sat down to work, "and with how heavy a heart does he travel?"	"Our dear Willoughby is now some miles from Barton, Elinor," said she, as she sat down to work, "and with how heavy a heart does he travel?"
227_129974_000025_000000	"It is all very strange.	"It is all very strange.
227_129974_000025_000001	So suddenly to be gone!	So suddenly to be gone!
227_129974_000025_000002	It seems but the work of a moment.	It seems but the work of a moment.
227_129974_000025_000003	And last night he was with us so happy, so cheerful, so affectionate?	And last night he was with us so happy, so cheerful, so affectionate?
227_129974_000025_000005	He did not speak, he did not behave like himself.	He did not speak, he did not behave like himself.
227_129974_000025_000006	YOU must have seen the difference as well as I. What can it be?	YOU must have seen the difference as well as i What can it be?
227_129974_000025_000007	Can they have quarrelled?	Can they have quarrelled?
227_129974_000026_000000	"It was not inclination that he wanted, Elinor; I could plainly see THAT.	"It was not inclination that he wanted, Elinor; I could plainly see THAT.
227_129974_000026_000001	He had not the power of accepting it.	He had not the power of accepting it.
227_129974_000027_000000	"Can you, indeed!"	"Can you, indeed!"
227_129974_000028_000000	"Yes.	"Yes.
